Nome: COARI
Codigo Estacao: A117
Latitude: -4.09749999
Longitude: -63.14527777
Altitude: 33.84
Situacao: Pane
Data Inicial: 2008-04-11
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-04-11;null;null;null;null;null;null;null;null;null;null;
2008-04-12;null;null;null;null;null;null;null;null;null;null;
2008-04-13;null;null;null;null;null;null;null;null;null;null;
2008-04-14;null;null;null;null;null;null;85.714286;73;6.2;null;
2008-04-15;.4;1005.1375;22.804167;31.7;26.05;22.1;83.208333;56;7.7;.891667;
2008-04-16;31;1006.179167;23.504167;29.9;25.6125;23.6;88.375;66;7.3;1.025;
2008-04-17;0;1007.004167;23.2875;30.8;25.3625;22.7;88.958333;60;5.5;1.108333;
2008-04-18;7.2;1006.925;23.283333;30.1;24.9125;23.1;91.041667;59;7.9;1.308333;
2008-04-19;15.6;1006.1375;22.845833;31.6;26.583333;23.2;81.25;54;6.4;.85;
2008-04-20;11.6;1005.45;23.333333;28.2;24.9375;23.9;90.916667;73;4;.525;
2008-04-21;13;1005.329167;23.0625;32;26.370833;22.8;83.375;56;5;.766667;
2008-04-22;72.8;1005.304167;23.575;31.5;26.1125;23.2;86.75;58;8.4;1.275;
2008-04-23;.2;1005.741667;23.166667;27.2;24.804167;23.8;90.833333;75;8.2;.766667;
2008-04-24;9.6;1005.4;23.4875;32.5;26.541667;23.1;84.541667;57;5;.75;
2008-04-25;35.8;1004.508333;23.716667;30;25.9125;23.4;88.083333;66;5;1.0625;
2008-04-26;.8;1004.45;23.416667;32;27.195833;23.5;81.125;58;5.9;1.05;
2008-04-27;0;1003.75;23.704167;33.5;27.891667;24.1;79.291667;54;8.2;1.341667;
2008-04-28;20.8;1004.7375;23.879167;31.2;26.3375;24.3;86.958333;63;8;1.191667;
2008-04-29;2.6;1005.4625;23.404167;30.4;26.608333;23.5;83.208333;67;7;1.808333;
2008-04-30;1;1004.116667;22.945833;33.1;27.675;22.8;77.541667;52;5.7;1.191667;
2008-05-01;0;1004.295652;23.53913;30.5;25.986957;23.2;86.652174;67;6.2;1.269565;
2008-05-02;25.8;1006.0875;22.525;25.7;23.870833;23.7;92.125;83;8.4;1.908333;
2008-05-03;3.8;1007.2;21.816667;28.2;23.854167;22;88.75;69;8.5;1.554167;
2008-05-04;.8;1008.15;21.141667;26.3;23.808333;21.9;85.458333;70;7;2.104167;
2008-05-05;0;1008.295833;21.466667;27.8;24.291667;22.1;84.708333;69;6.8;1.425;
2008-05-06;0;1007.3;22.291667;29.6;25.329167;22.3;83.958333;66;5.3;1.154167;
2008-05-07;34;1006.633333;22.854167;26.1;23.9875;23.4;93.5;84;6.1;.925;
2008-05-08;40;1006.8875;21.995833;27.8;23.795833;21.6;90.125;68;10;.7875;
2008-05-09;5.8;1006.733333;22.958333;30.4;25.695833;22.4;85.666667;66;5.3;1.054167;
2008-05-10;29.4;1006.970833;23.041667;30.1;25.933333;23.4;85;60;6.8;1.0375;
2008-05-11;10.8;1007.7625;23.345833;27.9;25.179167;23.4;89.833333;73;7.2;.7625;
2008-05-12;18;1008.4375;23.1375;30.2;25.1625;23.2;89;65;6.6;.754167;
2008-05-13;1;1008.795833;22.929167;28.8;24.883333;23.3;89.375;71;7.8;1.116667;
2008-05-14;2.8;1008.145833;22.833333;30.3;25.304167;23;86.708333;65;5.7;1.295833;
2008-05-15;3.4;1007.633333;23.15;28.2;24.975;23;89.791667;74;7.8;1.275;
2008-05-16;.6;1007.229167;23.495833;32;26.579167;23.1;84.166667;59;8.4;1.004167;
2008-05-17;0;1006.8375;23.895833;32.5;26.7875;24;84.958333;55;5.8;1.191667;
2008-05-18;3.2;1007.316667;23.6;27.8;25.495833;24.3;89.416667;77;6;1.016667;
2008-05-19;7.2;1007.433333;23.608333;30.9;26.145833;23.5;86.708333;64;7;1.0375;
2008-05-20;50.8;1007.504167;23.483333;28.3;25.420833;22;89.333333;68;9.6;.970833;
2008-05-21;7.8;1006.070833;23.445833;31.7;26.233333;22.9;85.458333;58;6;.8625;
2008-05-22;0;1006.1375;23.825;32.2;26.991667;23.8;83.708333;57;5.6;1.183333;
2008-05-23;0;1006.179167;23.666667;32.1;27.025;24.3;82.375;59;10.6;1.225;
2008-05-24;0;1006.3;22.925;30.7;25.175;22.8;87.958333;61;9.3;1.0625;
2008-05-25;.2;1006.108333;22.820833;30.5;25.145833;22.9;87.458333;63;11.5;.966667;
2008-05-26;10.8;1005.695833;22.645833;30.8;25.7875;23;83.666667;62;6.5;1.279167;
2008-05-27;0;1004.754167;22.958333;32.5;26.704167;22.6;81.416667;54;8.1;1.0625;
2008-05-28;0;1004.925;23.645833;33.3;27.804167;23.9;79.458333;53;6.2;1.1625;
2008-05-29;0;1005.904167;23.5125;31.2;27.029167;23.3;81.916667;63;6.1;1.066667;
2008-05-30;8.8;1008.629167;22.175;28;23.608333;22.4;91.791667;74;11.7;1.2125;
