Nome: MANACAPURU
Codigo Estacao: A119
Latitude: -3.29472221
Longitude: -60.62833332
Altitude: 36.57
Situacao: Operante
Data Inicial: 2008-04-09
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-04-09;null;null;null;null;null;null;null;null;null;null;
2008-04-10;null;null;null;null;null;null;null;63;10.2;null;
2008-04-11;34.4;1003.6125;23.045833;27.5;24.966667;23.7;89.291667;76;8.2;1.6;
2008-04-12;10;1004.638095;22.680952;30.3;null;23.2;84.571429;62;6;1.304762;
2008-04-13;null;null;null;null;null;null;73.538462;60;5.5;null;
2008-04-14;null;null;null;null;null;null;82.416667;71;2.9;null;
2008-04-15;null;1004.933333;23.261111;31.1;null;22.9;82.055556;61;8.1;1.627778;
2008-04-16;.2;1005.6625;22.6;31.6;26.3375;23.9;81.125;53;6;1.475;
2008-04-17;31.6;1006.7625;23.170833;28.4;25.191667;23.3;88.875;65;5.8;1.204167;
2008-04-18;95.4;1006.408696;23.252174;29;25.582609;22.9;87.434783;68;6.2;.926087;
2008-04-19;11.4;1005.729167;23.316667;30.7;26.129167;23;85.166667;61;5.9;1.170833;
2008-04-20;130.4;1005.279167;23.295833;29.6;25.9375;23;85.75;66;6.5;1.795833;
2008-04-21;2;1005.279167;23.175;31.6;26.179167;23.3;84.25;60;9.7;1.691667;
2008-04-22;5.4;1004.520833;23.4875;32.3;28.091667;24.8;77.458333;53;7.7;1.9375;
2008-04-23;35.6;1005.125;23.308333;28.4;25.983333;22.1;85.458333;75;9.4;1.3875;
2008-04-24;0;1004.995833;23.075;31.5;26.995833;23.7;79.916667;57;7.6;1.620833;
2008-04-25;0;1004.070833;23.225;31.2;27.0625;24.2;80.5;56;7.6;1.408333;
2008-04-26;23.2;1004.341667;23.3875;29.2;25.766667;23.7;87.083333;72;7.7;1.666667;
2008-04-27;.6;1003.758333;23.6625;32;27.041667;24.2;82.5;60;10.4;1.591667;
2008-04-28;.2;1004.366667;23.4125;30.3;25.616667;24.3;87.916667;70;9.2;1.3375;
2008-04-29;67.2;1005.533333;23.229167;29.1;25.6125;23.1;87.083333;69;5.8;1.654167;
2008-04-30;0;1003.970833;23.604167;32.1;27.070833;23.6;82.375;58;6.5;1.2;
2008-05-01;55.8;1003.841667;23.075;30.9;26.7;23;81.666667;52;7.1;1.329167;
2008-05-02;6;1005.095833;23.083333;27.4;24.783333;23.2;90.25;81;9.6;1.9125;
2008-05-03;18.8;1006.6;21.879167;29;25.245833;22.8;82.125;64;8;1.920833;
2008-05-04;1.6;1007.179167;22.545833;26.2;24.658333;23.5;88.041667;83;8.2;2.133333;
2008-05-05;1.4;1007.379167;22.445833;28.7;25.179167;23.5;84.916667;72;6.8;2.091667;
2008-05-06;2.6;1006.666667;23.145833;30;26.175;23.9;84.041667;64;6.3;1.795833;
2008-05-07;15;1006.204167;23.158333;28.2;25.5125;23.1;86.958333;73;5.6;1.375;
2008-05-08;13;1006.2;22.445833;29.4;25.745833;22.9;82.666667;64;9.3;1.2125;
2008-05-09;0;1006.2625;23.054167;30.3;25.4875;24.3;86.583333;68;11.2;1.216667;
2008-05-10;2.2;1006.416667;22.858333;31.1;26.479167;23.6;81.416667;59;4;1.1125;
2008-05-11;.6;1007.125;23.2;28.4;26.195833;24;83.666667;73;5.2;1.320833;
2008-05-12;33;1008.125;22.7625;26.8;24.995833;23;87.75;74;4.7;.958333;
2008-05-13;8.6;1008;22.729167;30.6;25.608333;22.5;84.958333;59;9.2;1.204167;
2008-05-14;.6;1007.8125;23.025;30.8;26.345833;24.4;82.458333;61;5.1;1.425;
2008-05-15;0;1007.291667;23.420833;30.5;26.154167;24.4;85.416667;61;6.7;1.3;
2008-05-16;.4;1006.941667;23.6875;31.4;27.1;24;82.541667;62;6.7;1.425;
2008-05-17;0;1006.191667;23.641667;33.1;27.508333;24.4;80.708333;54;8.5;1.129167;
2008-05-18;13.6;1006.754167;23.495833;30.4;25.75;23.8;87.791667;64;12.8;.9375;
2008-05-19;5.6;1006.833333;23.508333;30.9;26.791667;24.4;82.916667;63;4.2;1.125;
2008-05-20;.8;1006.895833;23.516667;28.8;26.066667;23.7;86.166667;69;6;1.083333;
2008-05-21;1.4;1005.629167;23.441667;32.6;27.383333;23.5;80.416667;52;6.2;1.2;
2008-05-22;0;1005.7125;23.729167;32.5;27.1375;24.7;82.541667;57;8.6;1.408333;
2008-05-23;7.6;1005.816667;22.904167;32.7;26.708333;23.8;80.666667;53;6.9;1.379167;
2008-05-24;2.4;1006.175;22.979167;26.6;25.116667;23.9;88.125;76;9.9;1.454167;
2008-05-25;32.2;1005.845833;23.191667;27.7;25.1375;22.5;89;77;7.8;1.15;
2008-05-26;3.8;1005.608333;22.329167;30.6;26.2125;23.6;80.375;59;6.3;2.216667;
2008-05-27;0;1004.604167;23.0625;31.4;27.025;24.3;79.583333;59;6.5;1.675;
2008-05-28;0;1004.675;23.679167;31.4;26.7375;24.1;84.083333;63;10.3;1.225;
2008-05-29;6.8;1005.395833;23.483333;28.4;25.420833;23.8;89.291667;75;6.2;.816667;
2008-05-30;9;1007.795833;22.15;26.3;24.291667;22.3;87.916667;76;12.3;1.754167;
2008-05-31;44.8;1009.0125;22.3125;29;24.716667;22.8;86.625;69;7.9;1.445833;
2008-06-01;6.4;1009.908696;22.126087;28.3;24.456522;22.5;87.304348;70;6.6;1.769565;
2008-06-02;.2;1009.2875;21.675;28.2;25.141667;23;81.416667;67;6.6;1.7625;
2008-06-03;0;1008.1625;22.325;29.5;25.8875;23.9;81;64;5.9;1.525;
2008-06-04;0;1007.5875;22.3375;30.1;25.754167;23.7;81.958333;63;8.7;1.691667;
2008-06-05;19.4;1007.85;22.4375;28.9;25.3;22.4;84.541667;70;7.6;1.583333;
2008-06-06;.2;1007.5875;22.383333;31.6;27.0125;24.1;76.875;52;6.2;1.1625;
2008-06-07;.4;1006.679167;23.325;28.4;25.945833;24.2;85.791667;70;6.4;1.175;
2008-06-08;4;1006.129167;23.266667;29.4;25.758333;23.2;86.541667;65;9.2;.8375;
2008-06-09;7.8;1006.554167;22.7125;31.5;26.791667;23.2;79.583333;56;6.6;1.304167;
2008-06-10;0;1007.033333;23;32.7;27.520833;23.6;77.625;51;4.6;1.1125;
2008-06-11;0;1005.958333;23.058333;31.2;27.375;24.3;78.125;54;3.9;.6875;
2008-06-12;19.2;1008.083333;22.891667;28.7;25.0125;22.9;88.291667;70;7.3;1.545833;
2008-06-13;.6;1007.1;22.925;30.3;26.154167;23.6;83.083333;64;6.8;1.720833;
2008-06-14;.2;1005.366667;23.354167;30.3;26.479167;23.8;83.416667;62;4.2;1.066667;
2008-06-15;3.8;1006.341667;23.120833;30.7;26.616667;24.1;81.791667;60;9.3;1.295833;
2008-06-16;6.2;1007.2125;23.041667;31;27.408333;24.4;77.791667;58;7.3;.966667;
2008-06-17;3.8;1007.445833;22.854167;29.1;26.1375;23.9;82.583333;70;7.7;1.304167;
2008-06-18;1.4;1006.795833;23.004167;27.3;25.504167;24.4;86.083333;78;6.3;1.720833;
2008-06-19;1;1006.283333;22.6875;29.7;25.2375;22.5;86.291667;67;4.7;1.2125;
2008-06-20;0;1006.341667;23.0875;32.4;26.191667;23.6;83.75;55;6.5;1.3625;
2008-06-21;0;1005.854167;23.320833;31.1;27.016667;23.6;81;59;6.2;1.054167;
2008-06-22;10.4;1005.308333;23.170833;32;27.1625;23.8;79.75;57;8.2;.916667;
2008-06-23;6.6;1006.229167;23.016667;32.3;27.233333;22.5;78.625;58;7.4;1.183333;
2008-06-24;0;1007.7375;22.566667;32.9;27.9875;24.1;74.166667;46;6;.941667;
2008-06-25;0;1007.383333;22.770833;31.1;27.191667;24.1;77.583333;57;5.2;1.229167;
2008-06-26;0;1006.8125;22.708333;30;26.983333;24.7;77.708333;64;6.1;2.441667;
2008-06-27;47.6;1008.379167;22.3375;28.6;25.370833;21.3;83.625;66;6.2;1.2625;
2008-06-28;1.4;1008.920833;22.875;32.2;26.925;22.9;79.541667;56;5.6;1.091667;
2008-06-29;0;1008.433333;22.866667;32.8;28.175;25;74.708333;49;6.8;1.020833;
2008-06-30;0;1007.7375;22.3625;33.1;27.804167;23.7;74.208333;46;5.7;1.233333;
2008-07-01;0;1007.279167;22.3875;33.5;28.3;24.4;72.125;45;5.7;1.433333;
2008-07-02;0;1007.6125;22.0875;33.5;28.375;23.9;70.916667;45;6.7;1.129167;
2008-07-03;0;1007.554167;22.416667;33.1;28.370833;23.9;72;47;3.1;.7125;
2008-07-04;.4;1007.975;23.1;30;26.291667;25.3;83;59;6.8;1.75;
2008-07-05;15.4;1007.516667;22.1375;30.8;25.7375;22.8;81.166667;63;4.5;1.216667;
2008-07-06;0;1007.070833;22.566667;32.6;27.333333;23.9;76.666667;52;10.6;1.695833;
2008-07-07;0;1007.370833;22.758333;32.2;27.020833;24.3;78.333333;53;7.2;1.4375;
2008-07-08;0;1006.620833;22.391667;32.4;27.604167;23.5;74.791667;51;8.6;1.916667;
2008-07-09;0;1006.125;22.329167;32.7;28.179167;24.2;72.083333;48;7.3;1.916667;
2008-07-10;0;1007.354167;22.766667;32.4;26.5875;24;80.541667;52;13.7;1.658333;
