Nome: AUTAZES
Codigo Estacao: A120
Latitude: -3.58333333
Longitude: -59.12944443
Altitude: 19.9
Situacao: Pane
Data Inicial: 2008-04-16
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-04-16;null;null;null;null;null;null;null;null;null;null;
2008-04-17;null;null;null;null;null;null;null;72;4.6;null;
2008-04-18;null;1008.5875;23.475;27.7;24.804167;23.4;92.583333;80;5.7;.404167;
2008-04-19;55.6;1008.095833;23.145833;26.9;24.270833;23;93.583333;82;6.8;.570833;
2008-04-20;39.6;1007.358333;22.9875;31.7;24.925;22.1;89.541667;63;8.3;.9375;
2008-04-21;17.2;1007.6125;23.370833;31.9;26.258333;22.5;85.291667;59;7.4;1.1;
2008-04-22;0;1006.55;23.733333;33.4;27.770833;23.9;80.416667;53;7.7;1.15;
2008-04-23;2.6;1007.316667;23.725;29.8;25.179167;24.2;91.833333;71;7.9;.933333;
2008-04-24;52.6;1007.220833;23.558333;31.4;25.925;22.8;87.5;65;6.2;.854167;
2008-04-25;7.4;1006.266667;24.095833;30.8;26.558333;23.8;86.875;68;4.8;.595833;
2008-04-26;11.6;1006.441667;23.975;31.8;27.05;24;84.25;60;6.3;1.258333;
2008-04-27;2.6;1005.929167;24.658333;32.2;26.691667;25;88.958333;61;8.1;.65;
2008-04-28;13.6;1006.454167;24.083333;30.2;26.1875;24.2;88.416667;69;7.8;.858333;
2008-04-29;33.6;1007.675;23.4625;30;25.841667;22.9;87.166667;66;9.1;.7;
2008-04-30;2;1006.275;23.683333;32.1;26.658333;23.4;84.708333;57;5.5;1.091667;
2008-05-01;15.8;1005.808696;24.117391;30.9;26.9;23.9;85.521739;67;3.9;.756522;
2008-05-02;26.8;1006.9875;23.445833;29.5;25.533333;23.3;88.625;72;8.5;.991667;
2008-05-03;1.4;1008.420833;23.116667;30.6;25.770833;23.1;85.916667;62;6.8;.941667;
2008-05-04;162.8;1008.983333;23.179167;29;24.916667;22.3;90.416667;72;5.6;.820833;
2008-05-05;17.4;1009.204167;23.575;30.6;25.870833;22.6;87.541667;65;6;1.075;
2008-05-06;31.2;1008.7125;23.708333;30.8;25.708333;23.3;89.291667;64;5.3;.6875;
2008-05-07;5.2;1008.241667;23.641667;29.5;26.275;23.8;86.041667;67;5.3;.816667;
2008-05-08;10.4;1008.170833;23.216667;29.9;25.804167;23.2;86.166667;66;9;.6375;
2008-05-09;2;1008.391667;23.629167;30.2;25.383333;24.3;90.375;66;6.1;.85;
2008-05-10;6.2;1008.5875;23.208333;31.2;26.004167;23.1;85.5;62;6;.6625;
2008-05-11;.4;1009.258333;23.670833;31.5;26.558333;24.2;84.875;63;4.7;.7875;
2008-05-12;0;1009.845833;23.4125;31.5;26.245833;23.6;85.166667;56;5;.666667;
2008-05-13;3.2;1010.275;23.333333;25.8;24.525;23.7;93.041667;86;3.9;.5;
2008-05-14;7.6;1010.041667;23.433333;31.5;25.854167;23.3;87.333333;61;6;.579167;
2008-05-15;0;1009.504167;24.0125;30.7;25.958333;23.9;89.541667;63;7.2;.5625;
2008-05-16;22;1009.104167;23.85;31.7;26.65;22.9;85.625;61;4.9;.479167;
2008-05-17;0;1008.2;23.666667;34;27.808333;23.6;79.958333;49;6.3;.983333;
2008-05-18;0;1008.708333;24.070833;32.2;26.725;24.8;85.833333;60;6.2;.6625;
2008-05-19;.2;1008.779167;23.725;31.8;26.945833;23.8;83.583333;63;8.8;.658333;
2008-05-20;0;1008.795833;23.895833;29.7;25.829167;24.1;89.291667;75;6.4;.375;
2008-05-21;6;1007.741667;24.116667;32.9;27.095833;24;85;59;3.9;.579167;
2008-05-22;0;1007.766667;23.741667;33.5;26.879167;23.6;84.208333;54;4.9;.633333;
2008-05-23;1.4;1007.8875;23.5625;32.1;26.104167;22.7;86.541667;65;7.9;.5125;
2008-05-24;1.4;1008.3375;23.354167;29.1;25.504167;23.1;88.166667;73;7.6;.6375;
