Nome: BOA VISTA
Codigo Estacao: A135
Latitude: 2.81694443
Longitude: -60.69083333
Altitude: 82.35
Situacao: Pane
Data Inicial: 2010-08-25
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2010-08-25;null;null;null;null;null;null;null;null;null;null;
2010-08-26;null;null;null;null;null;null;null;null;null;null;
2010-08-27;null;null;null;null;null;null;null;43;10.8;null;
2010-08-28;5.4;1001.254167;22.35;35.1;28.2125;23.4;72.958333;42;8.3;null;
2010-08-29;0;1001.266667;21.804167;34.9;28.1125;23.2;70.875;44;11.8;null;
2010-08-30;0;1000.991667;21.7875;35;28.833333;24.1;67.625;41;6.9;null;
2010-08-31;17.2;1000.304167;21.895833;34.5;28.783333;21.4;67.958333;43;8.3;null;
2010-09-01;0;1000.429167;21.795833;35.1;28.9;23.6;67.75;39;7.5;null;
2010-09-02;0;1002.658333;21.466667;35.4;29.191667;24.3;64.833333;40;7.6;null;
2010-09-03;0;1003.045833;21.683333;35.2;28.975;24.4;66.875;39;8.3;null;
2010-09-04;0;1002.720833;22.55;34.6;28.5375;24.5;72.25;39;6.8;null;
2010-09-05;.2;1002.491667;22.0125;35.5;28.695833;24.6;69;41;8.1;null;
2010-09-06;0;1003.55;21.929167;30.3;25.4875;23.5;81.166667;58;8.7;null;
2010-09-07;37;1003.4;22.258333;33.8;26.941667;22.9;77.125;48;9.4;null;
2010-09-08;.4;1002.729167;22.55;32;26.4375;24;79.916667;53;7;null;
2010-09-09;.2;1002.275;21.583333;33.9;27.7625;23;71.541667;42;5.5;null;
2010-09-10;33.6;1003.358333;21.75;31.3;25.995833;21.6;78.375;54;8.4;null;
2010-09-11;0;1001.625;22.008333;34.6;27.8875;22.9;73.083333;42;4.9;null;
2010-09-12;0;1000.825;21.6125;34.6;28.883333;24.1;66.875;41;6.8;null;
2010-09-13;0;999.775;21.958333;35.9;29.729167;24;64.958333;37;5.8;null;
2010-09-14;0;1000.716667;22.095833;35.6;29.095833;24;67.916667;41;7.5;null;
2010-09-15;0;1000.133333;22.116667;36.1;30.175;24.6;64.416667;37;5.4;null;
2010-09-16;0;998.766667;21.908333;36.2;30.2125;24.9;63.666667;37;6.5;null;
2010-09-17;2.4;999.6;22.125;33.2;27.9625;25.1;71.625;50;13.4;null;
2010-09-18;16.4;1001.466667;22.170833;33.5;26.7625;22.5;77.208333;49;8.5;null;
2010-09-19;0;1000.975;21.708333;34;27.729167;23.1;71.791667;46;8.8;null;
2010-09-20;1;1000.829167;21.879167;33.7;26.795833;23.4;76.041667;44;10;null;
2010-09-21;1.4;1001.129167;22.395833;33.5;26.695833;23.2;78.875;47;6.1;null;
2010-09-22;0;1000.583333;22.825;34.7;27.066667;23.3;79.25;45;10.7;null;
