Nome: NOVO ARIPUANA
Codigo Estacao: A144
Latitude: -8.0911111
Longitude: -60.38055554
Altitude: 45
Situacao: Operante
Data Inicial: 2019-07-17
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2019-07-17;null;null;null;null;null;null;null;null;null;null;
2019-07-18;null;null;null;null;null;null;null;null;null;null;
2019-07-19;null;null;null;null;null;null;null;null;null;null;
2019-07-20;null;null;null;null;null;null;null;null;null;null;
2019-07-21;null;null;null;null;null;null;null;null;null;null;
2019-07-22;null;null;null;null;null;null;null;null;4;null;
2019-07-23;0;1007.55;null;33.2;27.145833;23.3;null;69;4.4;.433333;
2019-07-24;1;1007.845833;null;33.7;27.645833;23.6;null;null;5.1;.479167;
2019-07-25;0;1007.733333;null;34.4;27.091667;21.4;null;36;4.3;.470833;
2019-07-26;0;1008.383333;null;34.1;26.866667;21.8;null;null;3.6;.375;
2019-07-27;0;1008.895833;null;33.7;27.7;22.6;null;null;3.7;.529167;
2019-07-28;0;1008.545833;null;34.1;27.1625;21.8;null;null;4.7;.408333;
2019-07-29;0;1008.145833;null;33.6;26.65;22.6;null;null;3.7;.5125;
2019-07-30;0;1008.333333;null;34.4;27.941667;23.9;null;63;4.2;.479167;
2019-07-31;0;1007.233333;null;34.7;27.604167;22.5;null;null;4.3;.441667;
2019-08-01;0;1005.875;null;34.2;27.35;22.4;null;null;4;.479167;
2019-08-02;0;1006.733333;null;34.5;27.608333;22.9;null;64;4;.508333;
2019-08-03;0;1008.095833;null;33.2;27.866667;23.3;null;null;5.9;.616667;
2019-08-04;0;1009.633333;18.705;30.8;26.175;22.6;64.5;49;5.8;1.075;
2019-08-05;0;1010.85;19.116667;30.9;25.8625;22.3;67.708333;45;4.6;.833333;
2019-08-06;0;1011.104167;21.575;31.6;25.375;21.9;81.083333;45;4.9;.466667;
2019-08-07;0;1010.9875;22.966667;32.1;25.945833;22.6;84.625;58;5.2;.620833;
2019-08-08;1.4;1011.026087;22.966667;33.1;26.717391;22.4;84.944444;52;3.2;.626087;
2019-08-09;0;1009.716667;null;33.9;27.729167;22.7;88.8;53;4.1;.641667;
2019-08-10;0;1009;null;35.3;27.816667;22.4;null;null;4.6;.433333;
2019-08-11;0;1008.259091;null;35.4;27.618182;22.1;null;67;6;.545455;
2019-08-12;null;null;null;null;null;null;null;null;5;null;
2019-08-13;0;1007.2875;null;35.1;27.266667;20.9;null;null;4.2;.545833;
2019-08-14;0;1007.108333;null;35.1;28.1375;22.6;null;null;5;.433333;
2019-08-15;0;1007.679167;null;32.8;26.116667;24.4;null;null;8.1;.525;
2019-08-16;25.2;1008.875;null;32.3;25.579167;22;null;null;8.9;.741667;
2019-08-17;16;1008.7;null;32;25.913043;22.5;null;null;5.4;.669565;
2019-08-18;5.6;1008.595833;null;33;26.95;23.4;null;null;4.1;.683333;
2019-08-19;0;1008.408333;null;33.8;27.2375;23;null;null;4.5;.504167;
2019-08-20;0;1008.2125;null;33.4;27.270833;23.7;null;null;6.3;.641667;
2019-08-21;0;1009.016667;null;32.4;26.408333;23;null;null;4.5;.708333;
2019-08-22;0;1008.741667;null;34.2;27.566667;22.9;null;null;5.3;.595833;
2019-08-23;0;1009.483333;23.445;32.5;26.375;24.4;84.45;59;9.7;.758333;
2019-08-24;8.8;1008.708333;null;34.1;27.079167;22.7;87.294118;52;3.8;.695833;
2019-08-25;.2;1007.729167;null;34.5;27.4;23;null;null;6.1;.545833;
2019-08-26;.6;1008.0625;null;32.9;26.958333;23.4;null;null;5.5;.591667;
2019-08-27;0;1008.183333;null;33.4;27.220833;23;null;null;3.4;.545833;
