Nome: SAO LUIS
Codigo Estacao: A203
Latitude: -2.52666666
Longitude: -44.21361111
Altitude: 54.8
Situacao: Operante
Data Inicial: 2003-01-28
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2003-01-28;null;null;null;null;null;null;null;null;null;null;
2003-01-29;null;null;null;null;null;null;null;null;null;null;
2003-01-30;null;null;null;null;null;null;null;71;9.6;null;
2003-01-31;null;1003.9;23.5;29.5;25.645833;23.3;88.333333;69;8.8;1.683333;
2003-02-01;10.8;1005.004167;23.208333;30.1;25.670833;23.5;87;62;11;2.116667;
2003-02-02;8.4;1005.1125;23.679167;30.3;25.15;23.8;91.875;67;9.3;1.608333;
2003-02-03;56;1006.55;23.566667;30.5;25.491667;22.5;89.583333;69;9;1.795833;
2003-02-04;2.8;1005.233333;23.7375;31.6;26.883333;23.8;83.5;62;8.8;2.5375;
2003-02-05;2;1004.383333;23.816667;30.1;26.5875;24.1;85.208333;68;9.8;2.554167;
2003-02-06;13.4;1005.829167;23.395833;30.3;25.566667;23.1;88.291667;66;12.5;1.775;
2003-02-07;5.4;1005.079167;23.591667;29.7;26.208333;23.3;86.083333;68;10.2;2.225;
2003-02-08;7.8;1004.841667;23.408333;30.8;25.295833;22.8;89.666667;68;10.6;1.5625;
2003-02-09;8.8;1005.833333;23.958333;30.8;26.808333;22.8;85.083333;65;11.3;2.516667;
2003-02-10;39;1005.120833;22.904167;28.5;24.925;21.7;88.75;77;9.5;1.7;
