Nome: BALSAS
Codigo Estacao: A204
Latitude: -7.45555555
Longitude: -46.02749999
Altitude: 271.03
Situacao: Pane
Data Inicial: 2007-10-25
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-10-25;null;null;null;null;null;null;null;null;null;null;
2007-10-26;null;978.529167;11.95;39.3;29.8125;null;38.458333;15;9.9;2.645833;
2007-10-27;0;978.345833;13.9;37.9;29.454167;20.6;41.708333;20;9.5;2.183333;
2007-10-28;0;977.704167;16.804167;37.1;30.166667;24.9;46.583333;26;7.1;2.225;
2007-10-29;0;976.933333;18.320833;37.3;30.116667;23.8;52;29;6.4;1.558333;
2007-10-30;0;976.491667;19.3125;35.6;29.6625;24.5;55.583333;32;8.6;1.879167;
2007-10-31;19.2;977.495833;21.220833;30.9;26.333333;20.3;74.625;54;15.3;1.833333;
2007-11-01;null;null;null;35.1;null;22.5;58.647059;34;7;null;
2007-11-02;null;979.716667;21.25;32.7;null;24.2;69.833333;47;16;2.338889;
2007-11-03;null;null;null;35.4;null;22.5;59.058824;31;10.8;null;
2007-11-04;null;977.316667;19.394444;35.2;null;23;54.833333;35;8.1;2.038889;
2007-11-05;null;976.405556;19.638889;36.1;null;23.5;52.722222;32;7.6;2.233333;
2007-11-06;null;978.494444;20.266667;34.5;null;23.8;59.444444;39;11.5;2.811111;
2007-11-07;null;null;null;37.2;null;22.9;46.941176;21;9.4;null;
2007-11-08;null;976.7;14.583333;38.3;null;21.8;38;21;11.7;2.933333;
2007-11-09;null;976.327778;17.105556;36.6;null;23;44.055556;25;9.4;2.222222;
2007-11-10;null;976.511111;20.716667;32.2;null;24.1;63.277778;47;8.2;2.411111;
2007-11-11;null;null;null;32.8;null;21.7;62.2;45;8.6;null;
2007-11-12;null;null;null;35.3;null;22.3;53.625;33;8.2;null;
2007-11-13;null;null;null;33.4;null;23.5;56.588235;39;9.2;null;
2007-11-14;null;null;null;34.3;null;22.8;49.2;33;10.2;null;
