Nome: CHAPADINHA
Codigo Estacao: A206
Latitude: -3.74277777
Longitude: -43.35222222
Altitude: 104
Situacao: Pane
Data Inicial: 2008-09-16
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-09-16;null;null;null;null;null;null;null;null;null;null;
2008-09-17;null;null;null;null;null;null;null;null;null;null;
2008-09-18;null;null;null;null;null;null;null;29;6.8;null;
2008-09-19;null;999.316667;20.225;35.9;28.320833;23.1;65.458333;32;8.3;2.2;
2008-09-20;0;1000.104167;19.629167;36;28.541667;23.1;63.125;28;8.7;2.516667;
2008-09-21;0;1000.0125;19.070833;35.9;28.408333;23.1;61.708333;28;7.4;1.825;
2008-09-22;0;999.4625;20.158333;36.3;28.441667;23;65.375;32;7;1.7;
2008-09-23;0;998.45;20.7625;36.6;27.9375;22.8;68.583333;34;8.6;1.916667;
2008-09-24;0;998.5625;19.841667;35.6;28.016667;22.7;64.875;31;9.6;2.304167;
2008-09-25;0;1000;19.4125;34.1;28.025;23.3;62.708333;36;9.3;2.358333;
2008-09-26;0;999.508333;19.783333;35.2;27.829167;22.4;65.333333;33;7.8;1.683333;
2008-09-27;0;998.070833;19.279167;35.6;28.391667;22.8;62.666667;29;10.7;2.066667;
2008-09-28;0;998.633333;18.645833;36;28.1875;22.4;60.791667;29;8.3;2.2;
2008-09-29;0;999.445833;20.679167;36.8;28.533333;22.8;66.125;31;8.3;1.979167;
2008-09-30;0;1000.170833;20.545833;35;28.858333;23.7;64.416667;37;9.2;2.208333;
2008-10-01;0;998.120833;21.254167;36.3;28.966667;23.9;66.916667;33;10.1;1.7875;
2008-10-02;0;997.775;20.095833;36;28.554167;22.6;64.416667;31;9.2;1.975;
2008-10-03;0;997.370833;19.45;36.9;29.120833;23;61.458333;27;9.3;2.508333;
2008-10-04;0;997.170833;20.570833;36.4;27.958333;23;68.416667;33;17.8;1.854167;
2008-10-05;13.2;998.05;21.125;35.3;27.9625;21.1;70.333333;35;10.7;1.791667;
2008-10-06;0;998.383333;19.429167;36.5;28.7375;22.7;61.75;28;8.5;1.879167;
2008-10-07;0;999.058333;18.591667;36.4;28.941667;23;57.208333;29;8.4;2.1375;
2008-10-08;0;999.170833;18.320833;36.3;28.691667;22.7;58.375;24;8.4;1.754167;
2008-10-09;0;999.004167;20.2625;34.8;28.2875;23.1;65.333333;36;9.1;2.083333;
2008-10-10;0;997.529167;20.2375;36.5;28.85;23.1;63.875;31;9.1;1.783333;
2008-10-11;0;996.983333;20.104167;37.1;29.270833;24.3;62.833333;26;8.3;2.066667;
2008-10-12;0;997.5;19.004167;36.6;29.0125;23.4;59.583333;28;10.1;2.3625;
2008-10-13;0;997.708333;18.154167;36.8;29.045833;21.9;56.541667;27;10.9;2.258333;
2008-10-14;0;996.5875;19.5;36.2;29.008333;23.2;61.083333;27;9.8;2.366667;
2008-10-15;0;997.916667;18.358333;37;29.179167;23;57.166667;24;12;2.370833;
2008-10-16;0;999.5625;19.120833;36.6;28.866667;23.5;59.75;27;9;2.3;
2008-10-17;0;999.395833;19.9375;36.8;28.716667;22.5;63.875;29;8.9;1.895833;
2008-10-18;0;999.470833;21.075;35.5;28.091667;23.9;68.166667;35;10.5;1.941667;
2008-10-19;.4;1000.120833;19.804167;35.8;28.258333;22.6;64.666667;30;10.3;2.066667;
2008-10-20;0;1000.3;19.75;36.5;28.666667;23.2;62.958333;29;8.1;2.333333;
2008-10-21;0;998.970833;19.791667;36.7;28.708333;23.1;62.583333;30;9;2.429167;
2008-10-22;0;998.220833;18.054167;37.2;29.1375;22.7;55.75;26;10.4;2.270833;
2008-10-23;0;997.9375;17.7625;38;29.216667;22.4;57.166667;20;10;2.170833;
2008-10-24;0;998.833333;16.875;36.5;28.7125;22.4;53.625;22;9;2.0875;
2008-10-25;0;998.833333;18.466667;37;28.875;22.5;58.5;21;9.5;2.295833;
2008-10-26;0;998.2;19.429167;37.4;29.120833;22.7;60.791667;27;8.9;1.808333;
2008-10-27;0;998.420833;19.45;38.5;29.3875;23;60.5;25;8.8;1.883333;
2008-10-28;1.8;998.254167;20.595833;36.1;28.566667;24;65.583333;33;10;2.258333;
2008-10-29;0;998.041667;20.025;35.5;28.304167;23.2;64.333333;33;11.1;2.629167;
2008-10-30;0;998.295833;19.5875;35.9;28.8375;23.1;61.541667;31;10.4;2.3375;
2008-10-31;0;997.320833;18.85;37.6;29.3875;23.1;58.208333;26;10.1;1.975;
2008-11-01;0;997.920833;19.729167;36.2;28.770833;23.9;61.875;32;11.7;2.170833;
2008-11-02;0;998.666667;18.070833;37.6;29.145833;23.3;56.958333;22;8.9;2.233333;
2008-11-03;0;999.220833;21.0625;37.1;28.129167;23.6;68.25;33;9;2.1875;
2008-11-04;0;998.445833;20.858333;36.8;28.775;23.6;66.5;31;9.5;2.095833;
2008-11-05;0;998.016667;20.270833;37;28.979167;23.6;63.375;30;10.4;2.341667;
2008-11-06;0;997.854167;19.795833;36.2;28.791667;23.5;63.208333;29;9.9;1.916667;
2008-11-07;0;997.533333;19.5625;36.4;28.829167;23;62.291667;30;8.6;1.945833;
2008-11-08;0;997.275;20.716667;36.4;28.879167;24;65.375;31;8.5;1.575;
2008-11-09;0;998.320833;20.6;36;29;24.7;64;32;9.3;2.270833;
2008-11-10;0;998.229167;19.675;36.4;29.183333;23.8;61.125;29;8.7;2.208333;
2008-11-11;0;997.05;20.095833;37.8;28.945833;23.4;63.541667;28;7.7;1.633333;
2008-11-12;0;995.995833;20.466667;36;28.820833;23.4;64.166667;35;9.2;1.845833;
2008-11-13;0;995.35;20.541667;36;29.183333;25;62.708333;33;12.6;2.575;
2008-11-14;0;994.970833;19.1875;36.4;29.358333;23.8;58.125;30;8.5;2.408333;
2008-11-15;0;994.775;19.445833;36.3;29.270833;23.9;58.958333;31;9.5;2.033333;
2008-11-16;0;995.495833;19.929167;36.9;28.825;23.4;62.291667;30;11;2.2875;
2008-11-17;0;996.383333;19.8375;36.6;28.7875;23.2;63.25;29;10;1.875;
2008-11-18;0;996.470833;20.0375;36.3;28.8875;23.1;63.083333;32;9.3;1.920833;
2008-11-19;0;996.170833;20.233333;36.9;29.1875;23.4;62.25;31;8.6;1.879167;
2008-11-20;0;996.425;19.670833;37;29.195833;24.6;60.416667;28;11.4;2.833333;
2008-11-21;0;998.141667;19.120833;36.8;28.929167;23.5;60.25;27;10;2.416667;
2008-11-22;0;997.8875;19.291667;36.8;29.204167;23.6;60.458333;26;8.6;2.2;
2008-11-23;0;996.341667;19.6625;37.5;29.408333;24.1;60.333333;27;8.5;2.125;
2008-11-24;0;996.433333;19.008333;36.8;29.3375;24;57.125;29;10.1;2.3625;
2008-11-25;0;996.695833;18.929167;38;29.545833;23.4;57.541667;23;10.3;2.7625;
2008-11-26;0;996.3125;19.85;37.4;29.454167;23.3;60.666667;28;7.3;1.779167;
2008-11-27;0;997.229167;19.529167;36.9;29.179167;23.6;59.375;31;7.3;1.875;
2008-11-28;0;997.1375;19.2;36.5;28.7375;24;59.875;29;9.3;2.2125;
2008-11-29;0;997.8625;21.008333;34.3;28.425;23.7;67.166667;39;8.2;1.7875;
2008-11-30;0;998.258333;21.225;36.3;29.125;24.8;65.833333;33;9;2.208333;
2008-12-01;0;998.325;21.108333;37.8;29.666667;25.1;63.583333;31;8.1;2.029167;
2008-12-02;0;998.058333;21.025;35.6;28.966667;24.9;64.916667;37;8.3;1.833333;
2008-12-03;17.8;998.433333;22.425;29.5;25.829167;22.3;82;62;6.8;1.417391;
2008-12-04;.6;997.441667;20.104167;36.1;28.654167;22.8;63.958333;30;9.5;1.816667;
2008-12-05;0;998.141667;20.020833;36.7;28.879167;23.2;63.458333;30;9.3;1.8625;
2008-12-06;0;999.066667;22.541667;33.7;26.770833;24;79.166667;46;10.7;1.758333;
2008-12-07;9;998.829167;20.7375;35.3;28.225;23;67.875;34;8;1.6875;
2008-12-08;0;999.083333;20.9875;36.4;28.229167;23.3;68.5;33;8.3;1.858333;
2008-12-09;.2;999.108333;20.65;35.5;28.754167;23.3;64.875;34;7.8;1.8375;
2008-12-10;0;997.495833;21.1625;35.5;28.1;24.1;68.916667;37;11.7;2.1875;
2008-12-11;4.6;996.7;21.254167;36;28.733333;23.7;68.125;34;8;1.845833;
2008-12-12;0;996.925;20.9;36;28.266667;24.2;67.541667;33;11.3;2.1875;
2008-12-13;1.2;997.320833;20.016667;36.2;28.829167;23.6;63.125;31;8.4;2.308333;
2008-12-14;0;997;20.025;36;29.0625;23.6;61.541667;32;9.3;1.8625;
2008-12-15;0;996.170833;20.4125;35.7;28.7375;24;63.333333;36;8.8;1.870833;
