Nome: FLORESTA DO ARAGUAIA
Codigo Estacao: A208
Latitude: -7.56176
Longitude: -49.69884
Altitude: 188.09
Situacao: Desativada
Data Inicial: 2008-04-10
Data Final: 2009-05-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-04-10;null;null;null;null;null;null;null;null;null;null;
2008-04-11;null;null;null;null;null;null;null;62;6.7;null;
2008-04-12;null;987.316667;22.8875;30.3;25.604167;22.7;85.666667;63;8.9;1.320833;
2008-04-13;0;988.375;21.445833;32.1;25.3;21;81.291667;50;7.4;1.070833;
2008-04-14;0;988.8625;22.291667;33.4;26.4875;22.5;79.916667;46;12.3;.7;
2008-04-15;20.4;989.404167;22.104167;27.6;24.0375;22.9;88.958333;71;6.2;1.383333;
2008-04-16;.6;990.029167;21.7625;31.1;25.1;21.5;83.333333;53;5.8;1.225;
2008-04-17;46.4;990.55;22.45;30.1;25.3375;21.6;84.958333;62;6.3;1.283333;
2008-04-18;8.2;989.566667;21.991667;31.3;25.1625;21.7;83.458333;58;9.1;1.125;
2008-04-19;.4;989.166667;22.016667;28.9;24.795833;21.2;85.541667;61;11;.8875;
2008-04-20;5.8;988.833333;22.358333;32.3;26.1;22.2;81.625;47;6.2;.758333;
2008-04-21;0;989.116667;22.670833;32.3;26.158333;21.7;82.625;53;7;.979167;
2008-04-22;0;989.108333;22.745833;32.1;25.275;22.6;86.666667;56;7.2;.9875;
2008-04-23;0;988.325;22.6125;32.7;26.2375;22.1;82.125;52;6.6;.908333;
2008-04-24;0;989.095833;22.066667;29.8;24.883333;22.2;85.125;63;7.6;.954167;
2008-04-25;0;988.295833;22.170833;32.3;25.883333;21.7;81.666667;52;6;1.075;
2008-04-26;0;988.529167;22.6875;29.5;25.616667;22.6;84.625;65;4;.85;
2008-04-27;0;988.008333;22.758333;32.9;26.0625;21.8;83.333333;52;3.6;.420833;
2008-04-28;0;987.670833;22.979167;33.1;26.5125;22.4;82.583333;50;7.1;1.033333;
2008-04-29;.2;988.158333;22.4375;33.9;27.458333;22.3;76.083333;46;4;.570833;
2008-04-30;11.8;988.25;22.291667;30.5;25.0375;21.5;85.666667;62;9.1;1.595833;
2008-05-01;3.2;987.53913;21.752174;32.7;25.747826;21.5;80.913043;50;7.7;.926087;
2008-05-02;39.8;988.1875;22.6;28.5;24.7625;22.2;88.166667;69;5.1;1.1875;
2008-05-03;8.6;989.258333;22.066667;30.4;24.445833;22.1;87.416667;62;10.4;1.270833;
2008-05-04;5;990.516667;22.3;28.7;24.570833;22.2;87.708333;69;6.4;1.404167;
2008-05-05;32.4;991.616667;22.033333;24.2;23.058333;21.5;94;89;8.9;1.345833;
2008-05-06;20;990.570833;21.3625;30.8;24.566667;20.5;84.083333;56;6.3;.604167;
2008-05-07;0;989.670833;21.945833;33.1;26.316667;20.7;79.333333;47;4.9;.445833;
2008-05-08;0;989.2375;22.416667;32.3;25.725;22.6;83.291667;56;9.4;1.325;
2008-05-09;10.6;989.170833;22.4375;26.9;23.833333;21.7;92.25;76;5.3;1.020833;
2008-05-10;1.4;990.35;22.579167;29.7;24.4125;22.3;90.083333;66;8.6;1.295833;
2008-05-11;17.2;991.254167;22.254167;30.1;25.0625;22.4;85.375;61;6.7;1.033333;
2008-05-12;38.2;991.8;22.333333;30.5;24.766667;21.5;87.5;57;13.7;1.283333;
2008-05-13;15.4;991.420833;21.979167;31;25.85;22;80.875;53;7;1.295833;
2008-05-14;.4;991.75;21.4625;31.8;26.108333;22.4;78;46;6.1;1.1125;
2008-05-15;0;991.495833;21.325;32.4;26.058333;20.9;77.541667;46;7.1;1.020833;
2008-05-16;0;991.108333;21.666667;32.7;26.370833;21.1;78.125;45;6.1;.725;
2008-05-17;0;990.875;21.758333;31.5;25.65;22.2;80.583333;51;7.1;.845833;
2008-05-18;0;990.808333;20.9;31.6;25.683333;20.6;77.25;43;8.1;1.204167;
2008-05-19;0;990.791667;21.016667;32.9;26.183333;20.4;75.583333;46;8.7;1.179167;
2008-05-20;0;990.275;21.670833;33;26.645833;21.6;76.875;45;7;1.1875;
2008-05-21;0;989.6125;21.520833;32.1;25.454167;20.5;80.625;51;6;.804167;
2008-05-22;0;990.25;21.920833;30.3;25.158333;21.2;83.416667;61;5.5;.875;
2008-05-23;0;989.970833;20.683333;32;25.6125;20.3;76.958333;47;6.4;1.1125;
2008-05-24;0;990.225;21.641667;29.9;23.783333;21.2;88.416667;61;7.3;.716667;
2008-05-25;16.8;989.3125;21.4;31.6;25.045833;21.7;81.791667;47;7.6;1.220833;
2008-05-26;0;989.841667;21.408333;31.8;24.816667;20.9;82.916667;52;9.5;.541667;
2008-05-27;0;989.5625;21.533333;31.5;25.004167;21.5;82.75;52;15.2;1.0375;
2008-05-28;0;989.2;20.991667;32.1;25.429167;19.9;78.666667;47;7.7;1.179167;
2008-05-29;0;989.395833;20.395833;31.8;25.491667;20.2;76.208333;43;6.8;.983333;
2008-05-30;0;991.029167;19.445833;32.3;25.408333;19.1;73.333333;41;8.7;1.254167;
2008-05-31;0;991.370833;19.679167;33.4;25.991667;20.2;71.958333;38;9.8;1.470833;
2008-06-01;0;991.856522;19.334783;32.4;25.317391;19.1;72.956522;39;8;1.034783;
2008-06-02;0;991.816667;18.945833;32;24.495833;18.6;74.458333;40;7.7;1.058333;
2008-06-03;1;992.245833;18.066667;31.4;25.0375;18.8;69.5;33;8.5;1.133333;
2008-06-04;0;991.820833;17.325;32.4;24.179167;16.9;70.166667;33;6.4;.683333;
