Nome: PARAGOMINAS
Codigo Estacao: A212
Latitude: -2.99027777
Longitude: -47.40777777
Altitude: 113
Situacao: Pane
Data Inicial: 2007-10-17
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-10-17;null;null;null;null;null;null;null;null;null;null;
2007-10-18;null;1000.727273;null;null;null;null;53.5;38;8.8;1.886364;
2007-10-19;0;1001.375;20.466667;32.7;27.804167;23.7;66.166667;42;7.4;1.75;
2007-10-20;0;1001.2875;21.245833;33.8;26.729167;21.7;74.583333;42;15.2;2.054167;
2007-10-21;0;1000.5875;21.9125;34.6;26.6125;21.9;77.666667;42;9.3;1.495833;
2007-10-22;0;1001.054167;21.8625;32.6;26.729167;22.5;76.75;46;10.6;1.758333;
2007-10-23;0;1001.079167;20.108333;34.8;26.875;20.8;70.75;36;22.1;1.65;
2007-10-24;0;1001.075;19.766667;34.6;26.745833;19.8;68.625;39;9.1;1.654167;
2007-10-25;0;1000.1;21.220833;33.3;26.729167;21.6;73.833333;47;11.1;1.879167;
2007-10-26;0;999.9125;20.666667;35.4;27.65;21.2;69.208333;36;10.2;2.029167;
2007-10-27;0;999.908333;20.579167;34.6;28.079167;22.4;66.166667;40;11.1;3;
2007-10-28;0;999.108333;20.9875;34.3;28.1625;22.6;67.5;42;10.9;2.308333;
2007-10-29;0;998.245833;21.266667;34.7;28.625;22.7;67.041667;41;10;2.391667;
2007-10-30;0;998.091667;21.191667;33.6;28.125;22.2;67.875;45;7.1;1.85;
2007-10-31;0;998.466667;20.745833;33.1;27.075;21.9;70.583333;45;11.3;2.095833;
2007-11-01;0;998.975;20.679167;33.7;27.4375;21.8;68.666667;44;8.5;1.9625;
2007-11-02;0;1000.2;20.479167;34.7;28.354167;22.4;65.166667;39;10.4;2.475;
2007-11-03;0;999.5125;20.704167;35.3;28.541667;22.8;65.125;38;10.9;2.504167;
2007-11-04;0;998.579167;20.245833;34.5;28.479167;21.7;63.791667;38;10.4;2.5375;
2007-11-05;0;997.679167;20.716667;33.6;28.075;21.6;66.208333;45;8.9;2.1125;
2007-11-06;0;999.475;20.970833;34;27.904167;22.2;68.25;42;10.9;2.383333;
2007-11-07;0;999.2625;19.758333;35.5;27.9375;21.3;64.333333;33;12.3;2.458333;
2007-11-08;0;998.208333;20.879167;34.8;27.804167;23.8;67.916667;38;10.5;2.583333;
2007-11-09;0;997.433333;21.2875;34.6;28.045833;24.4;68.25;43;13.1;2.483333;
2007-11-10;0;997.4;21.133333;34.2;27.670833;22.1;69.833333;42;10.2;2.220833;
2007-11-11;0;998.670833;21.483333;33;27.329167;22.6;72.041667;47;8.4;1.895833;
2007-11-12;0;999.516667;21.216667;34.9;27.804167;22.9;69.375;41;15.3;1.9875;
2007-11-13;0;998.85;21.241667;34.2;27.4375;22.8;71.291667;42;12.2;2.354167;
2007-11-14;0;999.508333;20.466667;34.3;27.225;21.4;69.375;39;11;2.241667;
2007-11-15;0;999.6125;19.825;34.7;28.141667;21.6;63.5;36;12.2;2.508333;
2007-11-16;0;999.0875;19.979167;35.5;28.504167;21.7;62.75;35;12.8;2.591667;
2007-11-17;0;998.991667;20.741667;35.1;28.508333;23;64.916667;38;13.4;2.708333;
2007-11-18;0;999.416667;20.345833;34.5;28.0375;21.3;65.666667;38;8.5;2.004167;
2007-11-19;0;1000.113043;20.756522;33.5;27.734783;23.7;67.173913;42;9.2;1.878261;
2007-11-20;0;999.316667;21.05;34.3;27.891667;22.3;68.458333;42;9.3;1.8875;
2007-11-21;0;1000.775;21.1125;34.5;28.2875;22.6;67.583333;41;10;2.141667;
2007-11-22;0;1000.916667;22;34.1;27.695833;23.5;72.958333;45;9.3;2.1;
2007-11-23;0;1000.754167;21.204167;33.7;27.408333;22.2;71.666667;43;8.9;1.575;
2007-11-24;0;999.775;20.979167;34.7;28.241667;22.1;67.541667;38;8.2;1.966667;
2007-11-25;0;999.195833;21.1375;35.4;28.9875;23;65.25;39;8.1;2.395833;
2007-11-26;0;999.270833;21.895833;33.9;28.533333;24.9;69;44;9.5;2.483333;
2007-11-27;0;998.758333;22.504167;32.1;27.3125;23.9;76.708333;51;9.1;1.670833;
2007-11-28;0;999.258333;21.7125;31.6;26.966667;24.2;74.125;48;6.7;1.245833;
2007-11-29;0;998.479167;20.429167;34.3;28.05;23.1;67;35;6.7;1.075;
2007-11-30;0;998.675;21.254167;34.7;28.004167;23;68.791667;42;9.6;1.4875;
2007-12-01;0;999.916667;22.875;29.8;25.941667;24;83.791667;61;5.8;1.291667;
2007-12-02;0;1000.275;21.6;34.7;27.991667;23.8;71.291667;39;10.6;1.666667;
2007-12-03;0;1000.695833;21.170833;33.3;27.845833;23.4;69.041667;43;8.3;1.683333;
2007-12-04;0;999.754167;20.745833;34.9;27.716667;21.5;68.541667;39;11.4;1.8375;
2007-12-05;0;1001.7125;21.479167;33.7;26.5625;23.1;75.291667;45;7.7;1.616667;
2007-12-06;0;1001.7125;21.170833;32.8;26.725;21.5;73.666667;46;9;1.766667;
2007-12-07;0;1000.420833;20.941667;35;28.466667;23.4;66.25;38;8.4;2.0875;
2007-12-08;0;999.854167;21.683333;32.6;26.3625;23.7;77.208333;48;16.2;1.516667;
2007-12-09;0;1000.366667;21.908333;32.9;25.491667;22.5;82.541667;48;14.7;1.225;
