Nome: PREGUICAS
Codigo Estacao: A218
Latitude: -2.59222221
Longitude: -42.7075
Altitude: 4.62
Situacao: Pane
Data Inicial: 2008-11-21
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-11-21;null;null;null;null;null;null;null;null;null;null;
2008-11-22;null;null;null;null;null;null;null;null;null;null;
2008-11-23;null;null;null;null;null;null;null;null;null;null;
2008-11-24;null;null;null;null;null;null;67.076923;58;13.5;null;
2008-11-25;0;1008.6625;23.2125;31.9;28.404167;26.9;73.791667;62;13.8;5.041667;
2008-11-26;0;1008.179167;23.204167;31.7;28.558333;27.1;73.208333;60;13.8;5.141667;
2008-11-27;0;1008.678261;22.821739;32;28.504348;27;71.652174;56;14.9;5.365217;
2008-11-28;0;1008.995833;23.033333;31;28.129167;26.8;74.083333;65;11.4;3.754167;
2008-11-29;0;1009.65;23.2875;32.4;28.3125;26.4;74.625;59;8.6;3.383333;
2008-11-30;0;1010.041667;23.65;32.3;28.725;27;74.458333;60;9.7;3.695833;
2008-12-01;0;1010.220833;23.541667;32.4;28.645833;26.9;74.291667;60;10;3.725;
2008-12-02;0;1009.7125;23.225;31.7;28.5375;27.1;73.291667;61;10.3;3.820833;
2008-12-03;0;1009.445833;22.654167;30.9;28.058333;27;72.625;62;9.7;3.741667;
2008-12-04;0;1009.2875;22.7375;32.1;28.491667;26.9;71.458333;55;10.9;3.316667;
2008-12-05;0;1009.8125;23.154167;32.3;28.5875;26.8;72.833333;58;9.2;3.666667;
2008-12-06;0;1010.5125;23.5125;32.2;28.508333;27.1;74.666667;58;10.4;3.629167;
2008-12-07;0;1010.5125;22.366667;31.7;28.466667;25.9;70.041667;55;13.3;4.316667;
2008-12-08;0;1010.745833;22.629167;32.3;28.575;27;70.625;57;11;3.891667;
2008-12-09;0;1010.9875;22.579167;32.5;28.566667;26.8;70.666667;56;9.7;3.520833;
2008-12-10;0;1009.225;23.141667;32.2;28.666667;26.9;72.5;59;9.1;3.683333;
2008-12-11;0;1008.375;23.241667;32.2;28.625;27.1;72.958333;60;10.2;3.708333;
2008-12-12;0;1008.595833;22.725;32.1;28.654167;27.3;70.625;57;14.2;5.208333;
2008-12-13;0;1008.958333;22.7875;32.1;28.820833;27.3;70.25;58;12.4;4.9375;
