Nome: TURIACU
Codigo Estacao: A219
Latitude: -1.66111111
Longitude: -45.37249999
Altitude: 35.86
Situacao: Pane
Data Inicial: 2008-06-09
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-06-09;null;null;null;null;null;null;null;null;null;null;
2008-06-10;null;null;null;null;null;null;null;null;null;null;
2008-06-11;null;null;null;null;null;null;71.769231;55;8.9;null;
2008-06-12;0;1006.925;23.5875;30.8;25.870833;25;87.5;65;13.3;1.7875;
2008-06-13;18.2;1007.054167;22.8625;31.7;25.808333;22.8;85.041667;55;7.7;1.629167;
2008-06-14;0;1005.916667;22.9125;31.2;25.658333;22;85.708333;60;9.6;2.091667;
2008-06-15;0;1006.4;23.691667;29.7;26.204167;24.8;86.208333;69;10.4;2.204167;
2008-06-16;4.6;1007.366667;23.345833;31;25.183333;23.2;89.958333;62;8.1;1.6;
2008-06-17;23.2;1006.475;23.366667;29.7;25.220833;22.7;89.708333;69;9.5;1.708333;
2008-06-18;3;1005.895833;23.445833;28.4;24.645833;23.5;93.125;78;15.4;1.458333;
2008-06-19;28.6;1005.791667;22.816667;31;26.125;22.5;83.333333;57;11.7;2.554167;
2008-06-20;.4;1005.408333;22.183333;35.6;26.883333;22.4;77.541667;43;11.5;2.2375;
