Nome: BACABAL
Codigo Estacao: A220
Latitude: -4.24305555
Longitude: -44.79499999
Altitude: 22.33
Situacao: Operante
Data Inicial: 2008-07-08
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-07-08;null;null;null;null;null;null;null;null;null;null;
2008-07-09;null;null;null;null;null;null;null;null;null;null;
2008-07-10;null;null;null;null;null;null;57;41;8.7;null;
2008-07-11;0;1011.029167;18.8125;33.2;25.904167;18.9;68.958333;37;7.9;1.520833;
2008-07-12;0;1010.729167;19.125;32.4;25.733333;20;70;42;9.4;1.466667;
2008-07-13;0;1009.516667;18.975;32.3;25.5875;19.8;70.291667;41;10.4;1.541667;
2008-07-14;0;1009.908333;17.554167;32.2;25.179167;19.5;67.291667;33;9.4;1.554167;
2008-07-15;0;1010.745833;17.695833;32.3;25.15;18.6;67.5;37;11.6;1.695833;
2008-07-16;0;1011.0375;18.554167;31.8;25.195833;19.6;69.416667;44;9.9;1.754167;
2008-07-17;0;1010.225;19.6375;32.4;26.158333;20.6;70.083333;43;9;1.495833;
2008-07-18;0;1010.245833;21.0125;32.8;26.7875;23;72.333333;46;7.8;1.179167;
2008-07-19;0;1010.741667;21.1375;33.6;27.391667;22.7;71.75;42;7.4;1.379167;
2008-07-20;0;1010.341667;21.283333;33.6;27.2375;22.5;72.75;41;7.4;1.229167;
2008-07-21;0;1010.145833;19.879167;33.1;26.325;20.8;71.291667;39;7.4;1.291667;
2008-07-22;0;1010.308333;20.341667;33.6;26.908333;21;70.416667;41;9.7;1.5625;
2008-07-23;0;1009.9125;19.85;33.8;27.375;22.3;66.875;38;9.3;1.445833;
2008-07-24;0;1009.5;19.295833;34.3;26.866667;20.7;67.916667;33;8.1;1.070833;
2008-07-25;0;1010.079167;20.308333;34.3;26.9125;21;70.875;37;6.8;.825;
2008-07-26;0;1009.883333;21.358333;33.5;27.429167;22.8;72.041667;43;7.3;1.45;
2008-07-27;0;1010.329167;21.4625;33.9;27.091667;21.6;73.666667;44;8.7;1.5375;
2008-07-28;0;1010.933333;19.366667;33.5;27.854167;22.4;63;37;11.2;1.875;
2008-07-29;0;1010.3125;17.075;33;26.695833;21.6;59.541667;30;10.7;1.945833;
2008-07-30;0;1009.145833;19.466667;33;27.216667;22.5;64.041667;40;6.8;1.225;
2008-07-31;0;1008.35;20.629167;34.3;27.741667;23.2;68.375;19;6.9;1.070833;
2008-08-01;0;1008.679167;19.675;34.3;27.325;21.9;67.416667;32;8.7;1.354167;
2008-08-02;0;1009.033333;19.520833;34.5;26.754167;20.4;69.041667;31;6.1;.925;
2008-08-03;0;1008.670833;20.595833;35;27.983333;21.1;67.416667;37;6.4;1.058333;
2008-08-04;0;1008.5875;20.920833;35;26.9625;20.8;72.166667;39;7;1.491667;
2008-08-05;0;1008.479167;21.5875;34.8;27.795833;21.7;71.708333;42;7.1;1.275;
2008-08-06;1.6;1008.020833;19.6125;35.2;28.1;22.6;65.75;26;8.4;1.533333;
2008-08-07;0;1008.4625;18.270833;34.8;26.2875;18.4;65.708333;33;6.9;1.041667;
2008-08-08;3;1009.1125;21.733333;34.5;26.6;22.8;76.708333;43;7.9;1.0125;
