Nome: IMPERATRIZ
Codigo Estacao: A225
Latitude: -5.555723
Longitude: -47.459794
Altitude: 117.96
Situacao: Operante
Data Inicial: 2008-02-29
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-02-29;null;null;null;null;null;null;null;null;null;null;
2008-03-01;null;null;null;null;null;null;null;null;null;null;
2008-03-02;null;null;null;null;null;null;null;75;7.6;null;
2008-03-03;null;997.513043;21.891304;32.2;26.069565;null;79.565217;51;7.6;1.230435;
2008-03-04;0;997.179167;22.079167;33.2;27.204167;22.8;75.583333;46;7;.979167;
2008-03-05;26.2;996.45;22.229167;33.2;27.058333;22.4;76.458333;49;8.1;1.483333;
2008-03-06;0;995.575;22.195833;31.5;26.6375;23.2;77.666667;56;6.2;1.370833;
2008-03-07;6.8;null;null;30;null;22;86.1875;62;11.9;null;
2008-03-08;null;null;null;null;null;null;null;91;5.5;null;
2008-03-09;null;null;null;null;null;null;null;null;null;null;
2008-03-10;null;null;null;null;null;null;70.25;46;14.1;null;
2008-03-11;1.4;996.316667;22.525;32.6;26.829167;22.8;78.625;52;8.3;1.179167;
2008-03-12;5;998.216667;22.783333;28.1;25.258333;23;86.416667;71;5.4;1.404167;
2008-03-13;.8;998.616667;23.045833;30.9;24.945833;23;89.791667;59;8.4;.870833;
2008-03-14;16.6;997.375;22.216667;31.8;26.145833;22.1;80.666667;51;6.4;1.108333;
2008-03-15;13.2;998.395833;21.795833;31.2;25.129167;21.7;82.791667;53;12.5;1.254167;
2008-03-16;23.4;999.325;22.4;30.2;24.8625;22.3;86.75;60;7.4;1.5875;
2008-03-17;.8;998.5125;21.958333;30.3;24.520833;22.4;86.333333;59;8.7;1.420833;
2008-03-18;.8;998.220833;22.508333;30.2;25.479167;23.3;84.583333;61;7.9;1.504167;
