Nome: BREVES
Codigo Estacao: A228
Latitude: -1.68027777
Longitude: -50.47805554
Altitude: 11
Situacao: Pane
Data Inicial: 2017-10-19
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2017-10-19;null;null;null;null;null;null;null;null;null;null;
2017-10-20;null;null;null;null;null;null;null;51;5.3;null;
2017-10-21;null;1009.575;22.004167;34;27.445833;22.3;73.958333;48;9.9;1.429167;
2017-10-22;0;1009.820833;21.729167;33.9;27.345833;22;73.458333;47;7.7;1.225;
2017-10-23;0;1008.825;22.216667;34;27.766667;22.7;73.375;45;6.9;1.2875;
2017-10-24;0;1008.375;22.704167;34.2;27.825;22.7;75.041667;47;5.7;1;
2017-10-25;0;1008.95;22.820833;33;26.6375;23.3;80.75;52;7;1.0375;
2017-10-26;.4;1009.270833;22.879167;31.6;26.125;23.2;83.125;59;8.6;1.1125;
2017-10-27;12.2;1008.841667;22.645833;32.6;25.983333;22.5;82.791667;56;7.1;.958333;
2017-10-28;17.8;1008.720833;22.583333;33.4;25.754167;22.3;83.625;53;6.7;.866667;
2017-10-29;1;1008.279167;22.825;33.3;26.670833;22.2;80.958333;50;7.1;.979167;
2017-10-30;5;1007.720833;22.2625;33.1;26.970833;22.5;77.083333;49;7;1.1875;
2017-10-31;3.2;1008.7125;22.545833;32.3;26.691667;22.9;79.083333;55;5.7;.8875;
2017-11-01;0;1009.404167;22.0875;33.5;26.5625;22.6;77.666667;52;5.9;.833333;
2017-11-02;0;1009.0875;22.45;34.4;27.020833;23.5;77.708333;48;7.1;1.008333;
2017-11-03;5.8;1008.816667;22.891667;32.9;27.079167;23.6;79;54;7.1;1.016667;
2017-11-04;0;1008.766667;22.841667;32.8;26.966667;23.2;79.291667;53;8.1;1.0875;
2017-11-05;.8;1008.833333;22.245833;33.2;27.3125;22.2;75.5;50;8.1;1.204167;
2017-11-06;0;1009.120833;22;33.6;27.545833;22.7;73.916667;44;6;.941667;
2017-11-07;0;1007.895833;22.6125;33.9;27.720833;23.5;75.125;50;5.2;1.008333;
2017-11-08;0;1007.504167;22.0375;33.8;27.533333;22.4;74;45;8.4;1.216667;
2017-11-09;0;1007.366667;22.254167;34.1;27.908333;23.1;72.916667;44;6.4;1.245833;
2017-11-10;0;1006.6125;22.079167;33.4;27.8125;23.5;72.458333;48;7.6;1.479167;
2017-11-11;0;1006.8375;22.020833;33.3;27.595833;22.7;73.25;49;8.2;1.170833;
2017-11-12;0;1007.525;21.908333;33.6;27.4;23.1;73.458333;49;6.8;1.195833;
2017-11-13;0;1007.604167;21.004167;35.6;27.6625;20.5;69.958333;38;6.5;1.2375;
2017-11-14;0;1007.183333;21.5625;34.7;27.645833;22.5;72.333333;39;8.6;1.354167;
2017-11-15;14.4;1007.825;22.295833;33.3;27.2625;22.6;76.166667;48;7.5;1.291667;
2017-11-16;0;1009.2;22.233333;33.1;27.241667;23.3;75.291667;51;6.7;1.070833;
2017-11-17;0;1008.2625;21.3875;33.6;27.266667;22;72.541667;47;7.5;1.133333;
2017-11-18;0;1007.383333;21.083333;33.6;27.020833;21.3;72.375;44;7.3;1.120833;
2017-11-19;.4;1007.804167;21.6875;33.1;26.791667;21.6;75.708333;46;5.9;1.020833;
2017-11-20;.2;1007.9125;21.375;34;27.5;22.7;71.291667;43;7.2;1.129167;
2017-11-21;0;1008.170833;21.141667;33.9;27.254167;21.5;71.166667;45;6.5;1.283333;
2017-11-22;0;1008.420833;21.820833;34.2;27.466667;22.2;72.833333;48;9;1.154167;
2017-11-23;0;1009.116667;22.154167;33.5;27.266667;23.6;75.291667;46;9.5;1.2125;
2017-11-24;0;1009.275;21.929167;33.8;27.3;22.9;74.25;43;10;1.445833;
2017-11-25;14.2;1009.708333;22.35;33.9;26.475;22.9;80.208333;46;12.9;1.075;
2017-11-26;14.4;1009.683333;21.6375;34;27.1375;22;74.291667;46;6.8;1.108333;
2017-11-27;0;1009.691667;22.6;32.5;26.7;22.8;79.291667;53;7.1;1.133333;
2017-11-28;2.2;1009.420833;22.475;33.6;26.958333;22.5;78.125;46;7;1.0625;
2017-11-29;1.8;1008.745833;22.1625;33.5;27.2625;22.9;75.458333;47;8;1.225;
2017-11-30;10.4;1007.354167;22.5625;32.9;27.1625;22.6;77.583333;51;5.8;.958333;
2017-12-01;0;1007.4875;22.029167;33.4;26.775;22.3;77.041667;47;10.8;1.345833;
2017-12-02;7.6;1007.6875;22.058333;33.9;27.179167;22.7;75.75;48;8.2;1.033333;
2017-12-03;0;1007.608333;22.208333;33.2;26.941667;21.7;76.666667;50;6.6;.875;
