Nome: NOVO REPARTIMENTO
Codigo Estacao: A235
Latitude: -4.243989
Longitude: -49.939308
Altitude: 100.76
Situacao: Operante
Data Inicial: 2008-07-22
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-07-22;null;null;null;null;null;null;null;null;null;null;
2008-07-23;null;null;null;null;null;null;null;43;7.2;null;
2008-07-24;null;999.208333;20.683333;33.9;27.304167;21.5;69.833333;40;7.8;1.3875;
2008-07-25;0;999.604167;21.133333;34;26.85;21.3;73.375;39;5.9;1.220833;
2008-07-26;0;999.333333;21.095833;33.6;27.154167;21.9;71.875;42;6.9;1.608333;
2008-07-27;0;999.591667;21.341667;33.1;26.954167;23;73.041667;46;7.5;1.808333;
2008-07-28;0;1000.183333;21.025;33.4;27.083333;22;72.25;42;8.6;1.754167;
2008-07-29;0;999.616667;17.945833;34.1;26.941667;20.2;63.458333;28;9.6;1.608333;
2008-07-30;0;998.741667;17.4875;34;26.229167;19.6;62.583333;30;6.4;1.216667;
2008-07-31;0;997.9875;19.2625;34.8;27.1875;19.6;65.625;32;7.1;1.554167;
2008-08-01;0;998.083333;20.495833;34;26.725;20;70.833333;38;7;1.5625;
2008-08-02;0;998.525;20.725;33.6;26.641667;21.1;73.041667;36;7.9;1.620833;
2008-08-03;0;998.295833;20.379167;34.2;27.020833;21.4;70.333333;34;7.8;1.754167;
2008-08-04;0;997.925;20.854167;33.5;27.333333;22.6;69.75;42;8;1.716667;
2008-08-05;0;998.154167;21.2;34;27.1875;22;72.166667;41;8.9;1.566667;
2008-08-06;.2;997.845833;21.525;31.3;25.754167;21.2;78.916667;53;7.8;1.516667;
2008-08-07;0;998.195833;20.241667;33.2;26.566667;20.3;71.916667;34;8.9;1.654167;
2008-08-08;0;998.316667;19.129167;34.3;26.745833;19.4;66.791667;33;7.9;1.475;
2008-08-09;0;998.979167;21.358333;33.6;27.2625;22.4;71.875;46;7.4;1.8625;
2008-08-10;0;998.783333;21.304167;32.9;27.204167;21.7;72.5;46;7.9;1.616667;
2008-08-11;0;997.9375;20.175;34.3;27.570833;22.5;67.875;31;7.9;1.85;
2008-08-12;0;998.095833;18.179167;35.3;27.745833;20.8;61.041667;26;8.7;1.591667;
2008-08-13;0;998.741667;17.870833;35.8;27.470833;19.3;60.583333;27;7.2;1.416667;
2008-08-14;0;999.083333;19.7375;35.2;28.529167;22.1;61.583333;34;8.4;1.8;
2008-08-15;0;999.083333;20.1;34.4;28.420833;22.3;63.541667;35;8.5;1.695833;
2008-08-16;0;997.908333;19.929167;34.7;27.433333;21.2;66.833333;35;9.2;1.683333;
2008-08-17;0;997.35;20.254167;34.5;28.079167;22.5;65.125;34;8.6;1.65;
2008-08-18;0;997.470833;20.366667;34.6;28.3625;22.5;65;36;8.1;1.6875;
2008-08-19;0;997.516667;19.654167;34.2;27.666667;21.8;65.416667;29;9;1.620833;
2008-08-20;0;997.033333;16.683333;34.5;26.879167;18.9;59.666667;25;8.2;1.4875;
2008-08-21;0;997.0125;16.608333;35;26.775;18.3;58.583333;28;9;1.429167;
2008-08-22;0;997.195833;19.895833;35.4;27.2625;21.2;65.916667;34;8.7;1.520833;
2008-08-23;0;997.916667;21.9375;34.5;27.391667;22.5;74.208333;43;8.6;1.891667;
2008-08-24;0;998.175;21.266667;34.1;27.6125;23;70.583333;43;8.4;2.15;
2008-08-25;0;998.3125;21.4125;33.6;27.654167;22.4;70.666667;46;9.6;2.216667;
2008-08-26;0;998.05;21.266667;33.9;27.1875;21.4;72.125;43;8.4;1.783333;
2008-08-27;0;997.108333;20.9;34;27.1875;21.3;71.041667;41;8;1.520833;
2008-08-28;0;996.591667;19.904167;35.3;27.475;21.1;67.041667;30;7.6;1.7375;
2008-08-29;0;997.2375;20.5875;34.3;27.716667;22.8;67.25;36;7.9;1.970833;
2008-08-30;0;996.566667;21.079167;33.3;27.620833;22.8;69.125;48;9.3;2.383333;
2008-08-31;0;996.904167;21.904167;31.5;26.833333;22.8;75.208333;57;8;2.204167;
2008-09-01;27.2;997.425;22.266667;32.1;26.054167;21.9;81.083333;54;9.7;2.5625;
2008-09-02;10.8;996.891667;21.6625;31.5;25.9;21.7;79.25;53;16.5;1.641667;
2008-09-03;0;997.154167;21.795833;31.3;26.275;22.1;78.208333;52;9.3;1.754167;
2008-09-04;0;997.883333;21.766667;32.9;26.908333;22.6;75.625;49;8.7;1.745833;
2008-09-05;0;997.833333;22.145833;32.9;26.770833;22.8;77.291667;52;9.8;1.954167;
2008-09-06;0;998.8;21.541667;33;26.85;22.1;74.666667;48;8;1.65;
2008-09-07;0;999.566667;21.433333;32.1;26.595833;21.5;75.125;47;8.8;1.808333;
2008-09-08;0;999.2125;21.9;32.4;26.716667;21.7;76.166667;52;7.6;1.654167;
2008-09-09;12.2;999.745833;21.920833;32.4;26.670833;21.2;76.916667;50;10;1.858333;
2008-09-10;0;999.795833;21.841667;32.8;27.333333;22.6;73.75;46;6.7;1.3125;
2008-09-11;0;999.325;22.016667;32.2;26.525;21.7;77.916667;53;8.5;1.733333;
2008-09-12;0;998.9;21.7875;33;27.0375;22.9;74.625;50;7.3;1.7125;
2008-09-13;4;998.6375;21.754167;33.8;27.583333;22.6;72.458333;44;9.5;1.883333;
2008-09-14;0;998;21.558333;34.9;28.2625;23.4;69.75;39;8.4;1.879167;
2008-09-15;0;998.504167;21.6625;34;28.116667;23.9;70.166667;42;8.5;1.975;
2008-09-16;0;999.095833;21.779167;33;27.429167;23.9;72.625;47;9.3;2.420833;
2008-09-17;0;998.4875;21.179167;33.9;27.745833;22.7;69.875;40;7.2;1.6375;
2008-09-18;0;997.633333;21.8625;33.6;27.508333;22.4;72.75;47;7.5;1.8125;
2008-09-19;0;998.104167;22.0875;33.3;27.25;23.3;75.125;48;11.3;2.2625;
2008-09-20;0;998.875;21.6875;33.7;27.666667;23.9;71.458333;47;11.9;2.854167;
2008-09-21;0;999.329167;21.1875;33.8;27.558333;23.8;70.541667;40;7.3;1.691667;
2008-09-22;7.4;998.654167;22.0875;34.6;28.375;23.4;70.5;43;6.9;1.6875;
2008-09-23;1.8;997.5875;22.720833;31.2;26.920833;22.1;78.5;60;9.6;1.991667;
2008-09-24;0;997.1125;22.516667;33.3;27.375;23.6;76.833333;45;8.6;1.991667;
2008-09-25;0;998.895833;21.216667;32.8;27.441667;22.5;71.041667;45;9.9;2.25;
2008-09-26;0;998.4625;21.216667;34;27.395833;21.7;71.458333;42;6.9;1.370833;
2008-09-27;0;996.929167;21.616667;34.4;28.2375;23.6;69.125;43;6.7;1.604167;
2008-09-28;0;997.2125;21.1;34.8;28.175;23.5;67.583333;42;8;1.8875;
2008-09-29;0;998.675;21.491667;33.9;28.233333;23.6;68.541667;45;7.3;1.6;
2008-09-30;0;998.870833;21.058333;35.6;28.325;22.9;67.791667;38;9.2;1.875;
2008-10-01;0;996.958333;21.516667;34.8;28.129167;22.7;69.25;42;9.1;1.725;
2008-10-02;43.6;997.379167;22.004167;31.3;25.170833;20.7;83.5;58;14.2;2.058333;
2008-10-03;0;997.158333;21.741667;32.6;26.779167;22.4;76.416667;46;9.9;1.695833;
2008-10-04;0;996.891667;21.9875;34;27.875;22.3;72.375;45;6.1;1.283333;
2008-10-05;0;997.008333;21.975;33.1;27.066667;22.6;75.291667;51;9;2.166667;
2008-10-06;2.2;997.825;21.45;32.5;26.491667;21.8;75.625;51;13;1.854167;
2008-10-07;4.2;998.604167;21.979167;32.5;27.1;22.6;74.875;52;7.5;1.85;
2008-10-08;0;998.170833;22.358333;33.2;27.154167;22.7;76.666667;47;7.5;1.75;
2008-10-09;3;998.025;22.304167;32.5;26.6625;22.3;78.333333;53;7.4;1.691667;
2008-10-10;.2;996.766667;21.8375;33.3;27;22.4;75.25;47;6.3;1.4625;
2008-10-11;0;995.754167;22.325;32.1;27.3625;24.4;75.208333;52;8.9;2.170833;
2008-10-12;0;996.691667;22.420833;32.7;27.075;23.4;77.083333;48;8.1;1.879167;
2008-10-13;0;996.408333;22.041667;33.4;27.25;22.2;75.25;49;8.6;1.708333;
2008-10-14;0;995.5375;21.9125;33.9;28.341667;23.4;70.333333;44;7.5;1.666667;
2008-10-15;0;996.970833;21.875;33.7;28.325;24.2;69.583333;45;9.7;2.058333;
2008-10-16;0;999.0375;21.575;33;27.508333;23.6;71.25;49;9.3;2.091667;
2008-10-17;0;998.833333;21.65;32.5;27.666667;23.4;71.125;49;9.5;2.2125;
2008-10-18;0;998.1875;21.933333;33.1;27.670833;23.2;72.625;47;6.2;1.770833;
2008-10-19;0;999.270833;22.4375;31.2;26.991667;24.3;77;58;5.5;1.3625;
2008-10-20;1.2;998.9125;21.825;33.6;27.7625;23.5;72.291667;44;8.8;1.775;
2008-10-21;0;997.858333;21.295833;34.1;27.595833;23.4;70.916667;42;9.4;2.0125;
2008-10-22;1.2;997.775;22.033333;33.3;27.4625;23.3;73.916667;47;7.4;1.591667;
2008-10-23;0;997.329167;21.891667;32.2;25.070833;22.8;83.083333;54;8.5;1.604167;
2008-10-24;0;997.754167;21.245833;32.5;26.9375;22.3;72.791667;49;9.6;2.4;
2008-10-25;0;997.8875;19.795833;34.4;28.008333;23.3;64.166667;34;11;2.5;
2008-10-26;0;997.558333;19.15;35.5;28.066667;21.2;61.875;31;7;1.204167;
2008-10-27;0;998.0625;21.316667;32.7;27.758333;22.6;69.125;50;7.2;1.966667;
2008-10-28;0;997.504167;21.595833;33.3;27.795833;23.8;70.583333;46;8;2.104167;
2008-10-29;0;996.8875;21.366667;32.8;27.1625;23;72.25;46;9.9;2.058333;
2008-10-30;0;997.3625;20.479167;34.5;27.875;23.5;66.708333;39;9.1;1.695833;
2008-10-31;0;996.9375;21.504167;34.4;28.4125;23.9;68.083333;41;8;1.608333;
2008-11-01;0;997.033333;21.545833;32.2;27.391667;23.5;71.75;50;9.6;2.479167;
2008-11-02;0;997.5375;20.883333;34.8;28.1625;22.7;67.416667;39;8.8;1.9625;
2008-11-03;0;998.545833;21.295833;32.6;27.4375;23;70.666667;48;8.1;1.8875;
2008-11-04;0;997.670833;21.2125;33.3;27.520833;22.4;70.375;47;9.5;1.9625;
2008-11-05;0;997.329167;21.458333;33.5;27.191667;22;72.625;46;9.3;2.3625;
2008-11-06;0;997.270833;21.595833;32.5;27.033333;22.7;73.5;51;9.2;1.720833;
2008-11-07;0;997.3375;21.008333;33.7;26.858333;21.7;72.041667;46;8.1;1.4625;
2008-11-08;0;996.620833;21.566667;33.6;25.979167;22.3;78.083333;48;9;1.116667;
2008-11-09;13.8;996.995833;22.141667;33.6;27.516667;23.1;74.541667;47;8.3;1.908333;
2008-11-10;6;997.970833;21.983333;30.9;25.1;21.6;84;58;14.2;1.7375;
