Nome: CAXIAS
Codigo Estacao: A237
Latitude: -4.82138888
Longitude: -43.3436111
Altitude: 84.85
Situacao: Pane
Data Inicial: 2008-07-12
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-07-12;null;null;null;null;null;null;null;null;null;null;
2008-07-13;null;null;null;null;null;null;null;null;null;null;
2008-07-14;null;null;null;null;null;null;51.769231;32;9.8;null;
2008-07-15;2.6;1004.116667;16.6625;32.2;23.441667;16.5;70.458333;37;10.5;1.520833;
2008-07-16;0;1004.420833;17.904167;31.9;24.2625;17.5;71.083333;41;8.7;1.65;
2008-07-17;0;1003.558333;18.55;32.2;24.7125;17.5;71.875;40;9.9;1.470833;
2008-07-18;0;1003.620833;20.75;32.5;25.741667;22.2;76.291667;45;12.5;1.354167;
2008-07-19;2.8;1004.045833;20.808333;33.7;26.1625;21.3;75.916667;42;6.7;1.220833;
2008-07-20;0;1003.65;19.75;33.2;25.85;19.6;72.916667;40;8;1.3875;
2008-07-21;0;1003.341667;19.020833;33.1;25.883333;19.8;69.958333;39;8.1;1.3375;
2008-07-22;0;1003.75;19.733333;32.7;25.675;19.3;72.5;42;8.6;1.508333;
2008-07-23;0;1003.366667;18.85;33.3;25.991667;19;68.291667;37;8.9;1.55;
2008-07-24;0;1002.845833;17.791667;33.5;25.1375;18.1;69;32;7.6;1.395833;
2008-07-25;0;1003.366667;17.508333;34.5;24.7;17.2;70.291667;30;7.2;1.204167;
2008-07-26;0;1003.2875;19.829167;33.6;25.208333;18.8;75.5;37;8.8;1.283333;
2008-07-27;0;1003.879167;20.891667;33.4;25.158333;20.5;80.083333;41;9.5;1.433333;
2008-07-28;3.6;1004.466667;18.716667;33;25.816667;19.1;69.041667;37;8.9;1.9;
2008-07-29;0;1003.791667;16.054167;32.3;23.85;16.3;67.416667;31;10.1;1.716667;
2008-07-30;0;1002.504167;18.566667;33.3;26.145833;20.1;66.958333;33;8.5;1.120833;
2008-07-31;0;1001.654167;18.1875;34.5;26.854167;20.3;64.958333;28;8;1.4375;
2008-08-01;0;1002.083333;17;33.4;24.441667;17.3;69.625;30;7.7;1.3;
2008-08-02;0;1002.308333;17.45;33.9;24.345833;16.5;70.75;30;6;1;
2008-08-03;0;1001.8875;19.954167;34.2;25.8;18.9;73.791667;40;5.9;1.066667;
2008-08-04;0;1001.595833;20.016667;35;26.358333;19.2;72.416667;38;5.3;.879167;
2008-08-05;0;1001.679167;20.729167;34.4;26.375;19.8;74.083333;41;5.9;1.129167;
2008-08-06;0;1001.479167;17.533333;33.6;25.958333;19.6;66.166667;25;9.7;1.558333;
