Nome: MONTE ALEGRE
Codigo Estacao: A239
Latitude: -2
Longitude: -54.07638888
Altitude: 100.53
Situacao: Pane
Data Inicial: 2012-07-05
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2012-07-05;null;null;null;null;null;null;null;null;null;null;
2012-07-06;null;null;null;null;null;null;null;null;null;null;
2012-07-07;null;null;null;null;null;null;null;null;null;null;
2012-07-08;null;null;null;null;null;null;null;null;null;null;
2012-07-09;null;null;null;null;null;null;null;null;null;null;
2012-07-10;null;null;null;null;null;null;null;61;5.1;null;
2012-07-11;null;998.241667;21.845833;27.8;25.420833;23.1;80.833333;67;9.6;2.720833;
2012-07-12;1.2;998.475;22.220833;29.1;25.558333;22.9;82.458333;60;7.8;2.2;
2012-07-13;2.2;999.679167;22.225;30.9;26.691667;23.4;77.291667;56;7.4;2.658333;
2012-07-14;0;1000.1875;22.604167;30;27.333333;24.3;75.708333;63;7.1;2.341667;
2012-07-15;12.8;1000.6;22.679167;30.7;26.4375;22.3;80.541667;59;10.6;2.6125;
2012-07-16;11.8;1000.6;22.029167;29.7;25.5875;21.9;81.541667;63;9.5;1.9125;
2012-07-17;2;1001.104167;21.9875;31.3;27.104167;22.6;74.166667;51;5.3;1.575;
2012-07-18;0;1001.558333;21.7875;31.6;27.8;24.7;70.541667;49;8.7;1.766667;
2012-07-19;0;1001.05;21.3375;31.1;27.4875;24;69.833333;53;10.1;3.458333;
2012-07-20;2.4;1000.608333;21.9375;30.9;27.2375;23.8;73.625;54;8.9;3.1125;
2012-07-21;.2;1000.6125;21.791667;31.1;26.891667;23.6;74.583333;55;10.8;3.383333;
2012-07-22;6.2;1001.7375;21.879167;30.8;26.754167;22.6;75.708333;54;15.5;3.075;
2012-07-23;0;1001.520833;22.175;31;27.454167;24;73.833333;55;7.9;2.704167;
2012-07-24;0;1000.754167;22.0125;31.5;27.7625;24.3;71.958333;50;9.2;3.229167;
2012-07-25;32.8;1001.279167;22.029167;28.2;25.1375;21.8;83.458333;67;13.6;3.0125;
2012-07-26;7.8;1001.058333;21.783333;30.7;26.65;22.8;75.666667;53;8.4;2.95;
2012-07-27;0;1000.875;21.904167;31.1;27.229167;23.9;73.458333;56;8.9;3.0875;
2012-07-28;0;1000.079167;21.4375;31.5;27.670833;24.2;69.416667;53;8.7;3.295833;
2012-07-29;0;998.754167;21.575;31.1;27.575;24.5;70.541667;52;8;3.266667;
2012-07-30;0;999.829167;22.008333;31.7;27.895833;24;71.375;54;8.8;3.125;
2012-07-31;2.8;1000.304167;22.2;31.3;27.395833;22.6;74.125;56;10.3;2.85;
