Nome: MINA DO PALITO
Codigo Estacao: A246
Latitude: -6.31999999
Longitude: -55.78777777
Altitude: 259.88
Situacao: Pane
Data Inicial: 2010-09-27
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2010-09-27;null;null;null;null;null;null;null;null;null;null;
2010-09-28;null;null;null;null;null;null;null;null;null;null;
2010-09-29;null;null;null;null;null;null;null;null;null;null;
2010-09-30;null;null;null;null;null;null;null;null;null;null;
2010-10-01;null;null;null;null;null;null;null;null;null;null;
2010-10-02;null;null;null;null;null;null;null;null;null;null;
2010-10-03;null;null;null;null;null;null;null;null;null;null;
2010-10-04;null;null;null;null;null;null;null;null;null;null;
2010-10-05;null;null;null;null;null;null;null;null;null;null;
2010-10-06;null;null;null;null;null;null;null;null;null;null;
2010-10-07;null;null;null;null;null;null;null;null;null;null;
2010-10-08;null;null;null;null;null;null;null;null;null;null;
2010-10-09;null;null;null;null;null;null;null;null;null;null;
2010-10-10;null;null;null;null;null;null;null;null;null;null;
2010-10-11;null;null;null;null;null;null;null;null;null;null;
2010-10-12;null;null;null;null;null;null;null;null;null;null;
2010-10-13;null;null;null;null;null;null;null;null;null;null;
2010-10-14;null;null;null;null;null;null;null;null;null;null;
2010-10-15;null;null;null;null;null;null;null;null;null;null;
2010-10-16;null;null;null;null;null;null;null;null;null;null;
2010-10-17;null;null;null;null;null;null;null;null;null;null;
2010-10-18;null;null;null;null;null;null;null;null;null;null;
2010-10-19;null;null;null;null;null;null;null;null;null;null;
2010-10-20;null;null;null;null;null;null;null;null;null;null;
2010-10-21;null;null;null;null;null;null;null;null;null;null;
2010-10-22;null;null;null;null;null;null;null;null;null;null;
2010-10-23;null;null;null;null;null;null;null;null;null;null;
2010-10-24;null;null;null;null;null;null;null;null;null;null;
2010-10-25;null;null;null;null;null;null;null;null;null;null;
2010-10-26;null;null;null;null;null;null;null;null;null;null;
2010-10-27;null;null;null;null;null;null;null;null;null;null;
2010-10-28;null;null;null;null;null;null;null;null;null;null;
2010-10-29;null;null;null;null;null;null;null;null;null;null;
2010-10-30;null;null;null;null;null;null;null;null;null;null;
2010-10-31;null;null;null;null;null;null;null;null;null;null;
2010-11-01;null;null;null;null;null;null;null;null;null;null;
2010-11-02;null;null;null;null;null;null;null;null;null;null;
2010-11-03;null;null;null;null;null;null;null;null;null;null;
2010-11-04;null;null;null;null;null;null;null;null;null;null;
2010-11-05;null;null;null;null;null;null;null;null;null;null;
2010-11-06;null;null;null;null;null;null;null;null;null;null;
2010-11-07;null;null;null;null;null;null;null;null;null;null;
2010-11-08;null;null;null;null;null;null;null;null;null;null;
2010-11-09;null;null;null;null;null;null;null;null;null;null;
2010-11-10;null;null;null;null;null;null;null;null;null;null;
2010-11-11;null;null;null;null;null;null;null;null;null;null;
2010-11-12;null;null;null;null;null;null;null;null;null;null;
2010-11-13;null;null;null;null;null;null;null;null;null;null;
2010-11-14;null;null;null;null;null;null;null;null;null;null;
2010-11-15;null;null;null;null;null;null;null;null;null;null;
2010-11-16;null;null;null;null;null;null;null;null;null;null;
2010-11-17;null;null;null;null;null;null;null;null;null;null;
2010-11-18;null;null;null;null;null;null;null;null;null;null;
2010-11-19;null;null;null;null;null;null;null;null;null;null;
2010-11-20;null;null;null;null;null;null;null;null;null;null;
2010-11-21;null;null;null;null;null;null;null;null;null;null;
2010-11-22;null;null;null;null;null;null;null;null;null;null;
2010-11-23;null;null;null;null;null;null;null;null;null;null;
2010-11-24;null;null;null;null;null;null;null;null;null;null;
2010-11-25;null;null;null;null;null;null;null;null;null;null;
2010-11-26;null;null;null;null;null;null;null;null;null;null;
2010-11-27;null;null;null;null;null;null;null;null;null;null;
2010-11-28;null;null;null;null;null;null;null;null;null;null;
2010-11-29;null;null;null;null;null;null;null;null;null;null;
2010-11-30;null;null;null;null;null;null;null;null;null;null;
2010-12-01;null;null;null;null;null;null;null;null;null;null;
2010-12-02;null;null;null;null;null;null;null;null;null;null;
2010-12-03;null;null;null;null;null;null;null;null;null;null;
2010-12-04;null;null;null;null;null;null;null;null;null;null;
2010-12-05;null;null;null;null;null;null;null;null;null;null;
2010-12-06;null;null;null;null;null;null;null;null;null;null;
2010-12-07;null;null;null;null;null;null;null;null;null;null;
2010-12-08;null;null;null;null;null;null;null;null;null;null;
2010-12-09;null;null;null;null;null;null;null;null;null;null;
2010-12-10;null;null;null;null;null;null;null;null;null;null;
2010-12-11;null;null;null;null;null;null;null;null;null;null;
2010-12-12;null;null;null;null;null;null;null;null;null;null;
2010-12-13;null;null;null;null;null;null;null;null;null;null;
