Nome: SANTAREM
Codigo Estacao: A250
Latitude: -2.5025
Longitude: -54.72027777
Altitude: 137
Situacao: Pane
Data Inicial: 2015-09-01
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2015-09-01;null;null;null;null;null;null;null;null;null;null;
2015-09-02;null;null;null;null;null;null;null;null;null;null;
2015-09-03;null;null;null;null;null;null;65.833333;50;6.2;null;
2015-09-04;3.2;995.4625;23.1125;31.7;26.383333;23;83.333333;59;6.5;.995833;
2015-09-05;3.4;995.695833;23.241667;32;27.1375;23.9;80.583333;56;7.1;1.2875;
2015-09-06;0;995.116667;22.675;31.7;27.5875;24.7;75.583333;54;8.3;1.695833;
2015-09-07;0;994.425;21.5625;31.5;27.733333;24.8;69.916667;52;9.4;1.854167;
2015-09-08;0;994.0375;22.091667;31.7;26.525;23.1;77.541667;55;8.2;1.283333;
2015-09-09;0;993.391667;22.245833;31.8;26.458333;23.3;79.25;52;6.7;1.216667;
2015-09-10;0;993.95;22.083333;31.5;26.620833;23.5;77.375;56;7.9;1.3;
2015-09-11;0;994.808333;21.704167;32.8;26.9625;23.1;74.875;44;6;1.095833;
2015-09-12;0;995.208333;22.4;32.9;27.133333;23.5;77.333333;48;6;.975;
2015-09-13;0;995.366667;23.091667;33.1;27.7875;24.4;77.25;46;6.6;1.145833;
2015-09-14;0;995.629167;22.75;32.4;27.379167;23.6;76.833333;50;7.1;1.408333;
2015-09-15;0;995.375;21.870833;33.2;27.854167;24.3;72.208333;36;7.2;1.316667;
