Nome: ITAUBAL
Codigo Estacao: A251
Latitude: 0.56777777
Longitude: -50.8236111
Altitude: 21
Situacao: Pane
Data Inicial: 2017-08-23
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2017-08-23;null;null;null;null;null;null;null;null;null;null;
2017-08-24;null;null;null;null;null;null;null;47;10;null;
2017-08-25;null;1009.258333;23.258333;34;28.066667;24.6;76.958333;49;10;2.570833;
2017-08-26;0;1009.329167;23.191667;33.5;27.645833;23.4;78.541667;52;10;2.541667;
2017-08-27;0;1009.5125;22.525;33.4;27.858333;24.2;75;43;13.3;3.079167;
2017-08-28;0;1009.3;22.6125;33.8;27.804167;23.5;75.083333;48;11.5;2.683333;
2017-08-29;0;1009.733333;22.383333;34.6;27.9125;22.9;74.541667;42;10;2.7875;
2017-08-30;0;1010.229167;22.670833;33.7;28.004167;23.8;74.958333;46;10.4;2.1875;
2017-08-31;0;1010.608333;23.120833;34.5;28.1875;24;76.208333;46;9.3;2.170833;
2017-09-01;0;1011.508333;22.858333;34.8;28.283333;23.8;74.625;43;10.1;2.625;
2017-09-02;0;1012.045833;22.620833;34.1;28.3125;24.1;73.833333;40;10.5;2.808333;
2017-09-03;0;1011.025;22.754167;34.2;27.995833;24;75.25;47;10.6;2.091667;
2017-09-04;0;1009.970833;22.8375;34.4;27.970833;23.5;75.333333;47;11.3;2.175;
2017-09-05;1.8;1010.079167;23.104167;34;27.3375;22.9;79.625;50;10.2;2.175;
2017-09-06;.2;1010.391667;23.558333;33.2;27.816667;24.7;79.083333;54;12;2.5125;
2017-09-07;0;1009.9375;22.775;33.5;27.766667;23.6;75.958333;49;9.9;2.4875;
2017-09-08;0;1008.5375;22.270833;34.5;27.995833;23.2;73.875;37;10.6;2.583333;
2017-09-09;0;1008.220833;null;34.4;28.016667;23.7;null;81;11.9;3.1125;
2017-09-10;0;1008.75;null;33.4;28.0125;23.7;null;null;12;2.670833;
2017-09-11;0;1009.1625;null;33.4;27.229167;23.6;null;null;11.8;2.291667;
2017-09-12;1;1009.725;null;33.6;28.15;24.5;null;null;12.5;3.1125;
2017-09-13;.2;1010.383333;null;33.9;27.979167;23.1;null;null;12.4;3.091667;
2017-09-14;0;1010.358333;null;35.4;28.279167;23.4;null;null;10.9;2.225;
2017-09-15;0;1010.1125;null;35.5;28.1625;23.2;null;null;13.7;2.066667;
2017-09-16;0;1009.1;null;33.3;27.404167;23.9;null;null;11.4;2.754167;
2017-09-17;4.6;1009.075;null;32.5;27.770833;24.3;null;null;12.5;3.0375;
2017-09-18;.2;1009.791667;null;33.8;27.5125;23.1;null;null;10;2.554167;
2017-09-19;0;1009.958333;null;35.2;28.329167;24.1;null;null;10.8;2.420833;
2017-09-20;0;1010.291667;null;35;26.808333;23.8;null;null;9.9;1.295833;
2017-09-21;14.8;1009.845833;null;33.4;27.666667;23.2;null;null;12.4;2.920833;
2017-09-22;0;1009.666667;null;33.5;28.125;24.5;null;null;14;3.0875;
2017-09-23;0;1009.745833;null;34.1;27.85;23;null;null;11.3;2.5625;
2017-09-24;0;1008.804167;null;34.5;27.741667;23.7;null;null;11;2.670833;
2017-09-25;0;1008.825;null;35.3;27.95;23.1;null;null;11.1;2.283333;
2017-09-26;0;1008.141667;null;34.4;28.020833;23.9;null;null;9.3;2.533333;
2017-09-27;0;1008.370833;null;34;27.795833;23.4;null;null;10.7;2.75;
2017-09-28;0;1009.379167;null;33.9;28.0125;24.4;null;null;12.7;2.891667;
2017-09-29;0;1008.691667;null;34.5;27.745833;23.2;null;null;11.8;2.95;
2017-09-30;0;1008.0375;null;34.9;27.9125;22.9;null;null;9.2;2.208333;
2017-10-01;0;1006.133333;null;34.7;27.970833;22.9;null;null;8.6;2.233333;
2017-10-02;0;1006.3;null;34.2;27.816667;23.1;null;null;12.2;2.858333;
2017-10-03;0;1007.816667;null;33.9;27.741667;23.1;null;null;11.6;2.879167;
2017-10-04;0;1008.154167;null;34.1;28.2125;23.8;null;null;12.2;3.383333;
2017-10-05;0;1008.925;null;33.7;27.8125;23.8;null;null;14.6;3.0125;
2017-10-06;.6;1009.541667;null;34.5;27.829167;23.1;null;null;14;3.533333;
2017-10-07;0;1009.575;null;33.8;27.904167;22.8;null;null;12.7;2.808333;
2017-10-08;0;1008.766667;null;34.8;28.045833;23.4;null;null;12.7;1.891667;
2017-10-09;0;1008.7125;null;33.5;27.9125;24.1;null;null;10.2;1.7875;
2017-10-10;0;1008.045833;null;35;28.341667;23.8;null;null;10.9;2.604167;
2017-10-11;0;1007.070833;null;34.7;28.104167;23.8;null;null;10.5;2.2375;
2017-10-12;2.2;1007.195833;null;33.6;28.241667;24.5;null;null;13.6;3.616667;
2017-10-13;0;1007.466667;null;34.1;28.204167;23.3;null;null;10.8;2.4625;
2017-10-14;0;1008.141667;null;34.2;27.9125;23;null;null;13.5;3.120833;
2017-10-15;0;1009.1125;null;34.7;28.120833;23.4;null;null;12.5;2.679167;
2017-10-16;0;1009.7875;null;34.9;28.229167;23.4;null;null;11.3;2.575;
2017-10-17;0;1010.3;null;34.4;28.4125;24;null;null;12.9;2.3875;
2017-10-18;0;1009.729167;null;34.1;27.908333;23.3;null;null;12.4;2.870833;
2017-10-19;0;1009.275;null;33.8;28.195833;23.7;null;null;11.8;2.770833;
2017-10-20;0;1009.0625;null;34;27.945833;23.7;null;null;14.3;3.629167;
2017-10-21;0;1008.766667;null;34.5;27.854167;23.1;null;null;15.3;3.4625;
2017-10-22;0;1008.9375;null;34.3;27.8875;22.4;null;null;14.5;3.1625;
2017-10-23;0;1007.795833;null;34.7;28.4125;23;null;null;11.3;2.679167;
2017-10-24;0;1007.2;null;35.2;28.841667;24.1;null;null;10.3;2.4;
2017-10-25;0;1007.908333;null;34.9;28.479167;24.3;null;null;11.6;2.4125;
2017-10-26;0;1008.220833;null;34;28.029167;24.1;null;null;13.2;2.445833;
2017-10-27;0;1007.754167;null;34.3;28.008333;23.1;null;null;14;3.0625;
2017-10-28;0;1007.666667;null;34.3;28.0625;23.7;null;null;12.1;2.766667;
2017-10-29;0;1007.1625;null;35.1;28.175;22.7;null;null;10.8;2.466667;
2017-10-30;0;1006.7625;null;34.9;28.208333;23.1;null;null;9.9;2.254167;
2017-10-31;0;1007.016667;null;35.6;28.533333;23.6;null;null;9.7;2.220833;
2017-11-01;0;1008.1125;null;33.3;27.479167;23.5;null;null;10.2;2.658333;
2017-11-02;.8;1008.029167;null;35.1;28.204167;23.7;null;null;11;2.870833;
2017-11-03;0;1007.716667;null;34.4;28;24;null;null;13.5;3.075;
2017-11-04;0;1007.795833;null;34.7;28.216667;23.4;null;null;14.5;3.525;
2017-11-05;0;1007.875;null;34.8;28.333333;23.5;null;null;13.1;3.166667;
2017-11-06;0;1007.841667;null;35.1;28.491667;23.4;null;null;11.5;2.825;
2017-11-07;0;1006.716667;null;35.1;28.475;24;null;null;9.9;2.133333;
2017-11-08;0;1006.295833;null;35.2;28.166667;23.6;null;null;11.4;2.541667;
2017-11-09;0;1006.075;null;35.2;28.35;23.2;null;null;12;3.041667;
2017-11-10;0;1005.65;null;34.6;28.1875;23.9;null;null;11.7;3;
2017-11-11;0;1005.833333;null;34.5;28.345833;23.7;null;null;13;2.820833;
2017-11-12;0;1006.641667;null;35.1;28.05;23;null;null;10.7;2.4;
2017-11-13;0;1006.483333;null;36.1;28.375;22.6;null;null;10.3;2.679167;
2017-11-14;0;1006.075;null;34.6;28.325;23.5;null;null;13.4;3.425;
2017-11-15;0;1006.8875;null;34.5;28.416667;23.7;null;null;12.6;3.358333;
2017-11-16;0;1007.970833;null;34.1;28.0875;24.1;null;null;11.9;3.529167;
2017-11-17;0;1007.258333;null;34.9;28.083333;23.8;null;null;12.6;2.933333;
2017-11-18;0;1006.216667;null;34.6;27.816667;22.5;null;null;10.3;2.3875;
2017-11-19;0;1006.704167;null;34;27.529167;22.6;null;null;11.3;2.120833;
2017-11-20;0;1006.841667;null;34.6;27.708333;22.3;null;null;10.7;2.808333;
2017-11-21;0;1007.091667;null;35.3;28.004167;22.6;null;null;11.5;2.916667;
2017-11-22;0;1007.229167;null;35.1;27.741667;22.7;null;null;10.5;2.366667;
2017-11-23;0;1007.929167;null;34.5;28.45;24.4;null;null;12;2.8125;
2017-11-24;0;1008.279167;null;34.4;28.191667;23.9;null;null;14.4;3.55;
2017-11-25;0;1008.620833;null;34.3;28.254167;23.4;null;null;12.6;2.983333;
2017-11-26;.2;1008.545833;null;35.3;28.433333;23.6;null;null;12.4;3.108333;
2017-11-27;0;1008.520833;null;34.7;28.145833;23.4;null;null;13.5;3.154167;
2017-11-28;0;1008.429167;null;34.8;28.454167;24;null;null;14.2;3.483333;
2017-11-29;0;1007.6625;null;34.9;28.254167;22.9;null;null;11.5;2.808333;
2017-11-30;0;1006.329167;null;35;28.454167;24;null;null;12.2;2.891667;
2017-12-01;0;1006.329167;null;34.6;28.295833;23.4;null;null;13.8;3.541667;
2017-12-02;0;1006.7;null;33.7;27.975;23.4;null;null;13.3;3.554167;
2017-12-03;0;1006.816667;null;33.6;27.666667;22.9;null;null;13.1;3.504167;
2017-12-04;0;1007.304167;null;35.4;28.295833;23.1;null;null;15.7;3.3375;
2017-12-05;0;1007.566667;null;34.5;28.4;23.6;null;null;13.9;3.670833;
2017-12-06;0;1007.25;null;35;28.416667;23.9;null;null;14.5;2.420833;
2017-12-07;0;1007.3375;null;33.4;27.329167;24.2;null;null;14.4;2.241667;
2017-12-08;3.4;1007.654167;null;34.1;27.6625;23.6;null;null;11.4;2.191667;
2017-12-09;0;1007.9125;null;32.5;27.016667;24.7;null;null;14.7;1.483333;
2017-12-10;0;1006.7625;null;35.3;26.933333;22.8;null;null;12.2;1.733333;
2017-12-11;.6;1006.9375;null;34.6;28;23.6;null;null;10.5;2.395833;
2017-12-12;0;1006.8375;null;37.7;28.641667;23.7;null;null;11;2.695833;
2017-12-13;0;1008.679167;null;33.4;26.7875;24.4;null;null;12.4;1.520833;
2017-12-14;13.4;1009.508333;null;29.6;25.204167;23.1;null;null;10.9;1.054167;
2017-12-15;22.2;1009.5875;null;28.7;24.966667;22.9;null;null;7.2;1.195833;
2017-12-16;14.8;1008.633333;null;30.3;24.829167;23.1;null;null;10.8;1.454167;
2017-12-17;6;1008.775;null;31.8;25.466667;22.5;null;null;10.7;1.275;
2017-12-18;1.4;1008.858333;null;32;25.758333;23.1;null;null;13.7;1.629167;
2017-12-19;20.6;1009.066667;null;31.1;25.645833;22.9;null;null;16.6;2.608333;
2017-12-20;1.6;1008.016667;null;31.5;26.470833;23.3;null;null;12.3;2.166667;
2017-12-21;.2;1007.970833;null;33;26.991667;23;null;null;10.9;2.479167;
2017-12-22;0;1007.866667;null;32.3;27.1625;24.5;null;null;9.6;2.2625;
2017-12-23;3;1007.925;null;32.6;27.229167;23.3;null;null;12.5;2.329167;
2017-12-24;4.4;1007.620833;null;30.3;25.370833;24.1;null;null;11.7;1.391667;
2017-12-25;64.4;1007.954167;null;25.8;23.7125;21.5;null;null;8.4;1.3;
2017-12-26;.2;1007.354167;null;30.1;25.020833;22.5;null;null;8.5;1.275;
