Nome: DOM ELISEU
Codigo Estacao: A252
Latitude: -4.28055554
Longitude: -47.56388888
Altitude: 251
Situacao: Operante
Data Inicial: 2018-03-07
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-03-07;null;null;null;null;null;null;null;null;null;null;
2018-03-08;null;null;null;null;null;null;null;null;null;null;
2018-03-09;null;null;null;null;null;null;null;60;7.3;null;
2018-03-10;1.8;982.891667;22.5;30.8;25.233333;22.3;85.75;61;7.7;1.570833;
2018-03-11;.2;982.445833;23.020833;29.3;25.341667;23.1;87.458333;67;11.1;1.970833;
2018-03-12;15.2;982.075;23.129167;30.5;25.658333;23.4;86.833333;62;10.8;1.8375;
2018-03-13;3.8;982.095833;22.45;31.3;26.1125;22.6;81.875;54;7.4;1.9875;
2018-03-14;.6;982.745833;22.7875;30.8;25.175;22.9;87.291667;61;10.3;2.054167;
2018-03-15;1;982.6375;22.466667;30.8;25.1625;22.4;86.083333;61;12.6;1.533333;
2018-03-16;13.8;982.225;23.029167;30.7;25.545833;22.6;86.833333;63;7.7;1.183333;
2018-03-17;1.4;981.183333;22.591667;32.6;26.8;22.8;79.708333;49;5.9;1.545833;
2018-03-18;.6;980.204167;22.05;32.3;26.204167;22.8;79.333333;52;7.3;1.391667;
2018-03-19;0;980.375;22.204167;32;26.441667;23.1;78.583333;54;8.6;1.8875;
2018-03-20;0;981.041667;22.758333;30.9;26.058333;23.1;82.583333;62;10.3;1.85;
2018-03-21;1.2;981.716667;22.729167;32.1;26.383333;22.2;81.5;55;7.6;1.65;
2018-03-22;0;981.4;22.695833;31.6;26.1625;22.9;82.375;60;7.7;1.791667;
2018-03-23;4.4;982.091667;22.3375;25.7;23.0625;23.1;95.666667;85;9.8;1.2875;
2018-03-24;69.8;981.404167;21.5375;30.1;23.783333;20.7;87.958333;61;5.8;1.283333;
2018-03-25;.2;981.995833;22.225;29.1;23.6125;22.7;92.125;72;12.8;1.35;
2018-03-26;15.6;983.1;21.541667;28.5;23.325;21.3;90.166667;67;6.7;1.091667;
2018-03-27;1.2;982.179167;21.675;30.7;24.8;21.4;83.75;57;9;2.283333;
2018-03-28;0;980.954167;22.925;30.8;25.083333;21.7;88.416667;65;6.3;1.245833;
2018-03-29;8;980.754167;23.358333;30.6;25.5625;23.3;88.458333;63;6.9;1.258333;
2018-03-30;35.4;981.3375;22.641667;28.6;24.404167;21.6;90.375;66;9;1.3625;
2018-03-31;16.2;981.108333;22.395833;29.9;25.0875;21.4;86.041667;63;8.5;1.383333;
2018-04-01;.8;980.3875;null;31.8;25.241667;22.4;95.333333;68;11.6;1.833333;
2018-04-02;2.8;980.4;null;30.6;25.070833;22.4;null;null;9.8;1.345833;
2018-04-03;26.4;980.479167;null;30.8;24.941667;21.2;null;null;8.7;1.866667;
2018-04-04;6;980.333333;null;30.1;25.129167;22.6;null;null;6.4;1.5875;
2018-04-05;35.6;980.795833;null;30.5;24.354167;20.2;null;null;12.2;1.579167;
2018-04-06;5;981.2375;22.495238;29.5;24.766667;22;86.857143;49;6.1;1.320833;
2018-04-07;12.6;982.591667;22.495833;27.5;23.8375;21.7;92.458333;76;5.8;1.1875;
2018-04-08;15.6;982.795833;21.691667;30.6;24.466667;20.7;85.458333;59;9.8;1.641667;
2018-04-09;.2;982.2875;22.729167;27.8;24.5375;22.7;90.083333;75;5.4;1.2375;
2018-04-10;0;983.15;22.220833;27.4;23.275;22;93.958333;73;6.3;1.091667;
2018-04-11;18.6;982.95;21.7125;29.8;24.2625;21.3;86.666667;62;6.3;1.354167;
2018-04-12;42.8;983.4125;null;24.8;22.683333;21.8;95;86;7.8;1.379167;
