Nome: NATAL
Codigo Estacao: A304
Latitude: -5.83722221
Longitude: -35.20805555
Altitude: 47.46
Situacao: Operante
Data Inicial: 2003-02-23
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2003-02-23;null;1007.3625;22.95;30.3;26.733333;25.5;80.333333;65;13.3;4.666667;
2003-02-24;61.4;1007.929167;22.716667;28.2;24.854167;22.4;88.291667;70;8;2.895833;
2003-02-25;10.8;1006.2;22.366667;30.6;26.766667;23.3;77.916667;60;12;4.566667;
2003-02-26;0;1005.933333;22.666667;30.2;27.579167;26.3;74.916667;64;14.4;4.304167;
2003-02-27;20.8;1006.325;23.4625;30;25.975;23.6;86.25;71;13.4;3.491667;
2003-02-28;14;1006.416667;22.8625;30.5;27.8;23.3;74.875;62;11.4;5.7;
2003-03-01;.2;1005.55;22.625;30.8;27.4125;24.4;75.708333;61;11.2;4.4125;
2003-03-02;0;1004.770833;22.845833;31.2;27.625;23.9;75.708333;60;10.5;4.795833;
2003-03-03;.2;1005.291667;22.758333;30.9;27.283333;25.2;76.625;62;11.2;4.775;
2003-03-04;18.8;1006.5625;22.616667;30.1;25.970833;23.2;82.416667;62;10.2;3.779167;
2003-03-05;3.8;1005.179167;23.220833;30.2;27.2;23.8;79.458333;65;12.9;4.95;
2003-03-06;0;1004.658333;22.575;30.8;28.0375;25.5;72.583333;60;11.6;5.541667;
2003-03-07;2.2;1005.545833;22.358333;30.3;27.095833;23.4;75.708333;65;14.1;4.979167;
2003-03-08;9.8;1006.3;21.979167;30.6;27.75;23.1;71.208333;60;10.9;4.579167;
2003-03-09;0;1005.945833;22.625;30.2;27.191667;24.1;76.416667;63;9.3;3.820833;
2003-03-10;2.6;1005.829167;22.495833;30;27.420833;23.7;74.833333;64;10.4;3.370833;
2003-03-11;.8;1005.4625;22.691667;30.8;27.533333;24.3;75.583333;58;13.3;4.8875;
2003-03-12;0;1005.341667;22.575;30.3;27.0875;23.9;76.708333;62;9.1;3.654167;
2003-03-13;2;1004.954167;23.129167;30.8;28.0375;25.3;75.125;61;10.1;4.720833;
2003-03-14;2.8;1004.945833;23.258333;30.6;27.533333;24.6;77.958333;63;10.1;3.929167;
2003-03-15;2;1005.708333;22.091667;30.4;27.404167;24.1;73.166667;56;14.1;4.3375;
2003-03-16;0;1005.633333;22.783333;31;27.466667;24;76.125;59;9.1;3.6625;
2003-03-17;0;1005.958333;21.933333;30.8;26.35;23.2;77.416667;55;10.1;3.133333;
2003-03-18;.2;1005.558333;22.991667;30.8;27.154167;24.5;78.375;63;9.7;3.195833;
2003-03-19;19.4;1006.75;22.908333;27;24.6125;23.4;90.333333;79;11.6;2.295833;
2003-03-20;42;1006.729167;23.079167;27.8;24.370833;23.5;92.583333;76;11.3;2.3125;
2003-03-21;77.6;1006.908333;22.8;28.1;24.5875;22.8;90;75;5.9;1.783333;
2003-03-22;9.4;1005.425;22.475;30;25.791667;22.3;82.583333;63;10.8;2.979167;
2003-03-23;49.8;1005.704167;22.9375;30.2;26.658333;23.4;80.875;65;11.2;3.854167;
2003-03-24;4.4;1007.183333;22.554167;29.3;26.120833;23.6;81.208333;66;9.8;2.75;
2003-03-25;.4;1006.15;22.995833;30.5;26.875;24;79.791667;67;11.5;4.145833;
2003-03-26;.8;1004.925;22.054167;30.9;27.041667;23.7;75.083333;56;13.2;4.8625;
2003-03-27;0;1005.670833;22.425;30.3;27.108333;23.9;76;63;11.3;4.7125;
2003-03-28;.2;1006.4625;22.695833;30.7;27.641667;24.2;74.833333;59;10.3;4.504167;
2003-03-29;32.6;1005.895833;23;29.1;26.770833;24.1;80.208333;68;10.8;3.675;
