Nome: FORTALEZA
Codigo Estacao: A305
Latitude: -3.815701
Longitude: -38.537792
Altitude: 29.55
Situacao: Operante
Data Inicial: 2003-02-17
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2003-02-17;null;null;null;null;null;null;null;null;null;null;
2003-02-18;null;null;null;null;null;null;78.166667;68;8;null;
2003-02-19;6;1008.666667;23.6375;31.5;27.433333;24.3;80.583333;62;8.9;2.366667;
2003-02-20;14;1008.333333;23.783333;27.6;25.745833;24.2;88.916667;78;7.1;1.195833;
2003-02-21;20.4;1008.345833;22.533333;30.8;25.8625;22;82.791667;61;8.6;1.745833;
2003-02-22;.6;1008.3625;23.429167;31.2;26.933333;24.2;81.875;59;8.4;1.891667;
2003-02-23;5.8;1009.9625;23.454167;30.3;26.508333;23.7;83.833333;65;10.7;1.725;
2003-02-24;29.4;1009.958333;23.495833;30.7;26.1375;23.1;85.916667;63;6.7;1.829167;
2003-02-25;7;1009.308333;22.9;28.6;25.108333;23.3;87.875;70;7.6;1.9;
2003-02-26;10.6;1008.3125;23.129167;30.7;26.5625;23.8;82.125;63;8.5;2.2375;
2003-02-27;30.2;1008.7625;23.266667;27.1;25.070833;22.6;89.875;77;9.1;1.979167;
2003-02-28;18.6;1008.995833;23.195833;25.5;24.354167;23.5;93.375;87;10.1;1.6375;
2003-03-01;14.4;1007.983333;22.883333;31.4;26.479167;23.3;81.958333;54;8.8;2.275;
2003-03-02;0;1007.166667;23.158333;31.3;27.083333;23.6;80.291667;58;9.4;2.383333;
2003-03-03;10.8;1007.645833;23.529167;29.8;26.0125;24;86.625;72;8.5;2.158333;
2003-03-04;22.8;1008.675;23.079167;30.6;26.316667;23.5;83.083333;62;11.3;2.35;
2003-03-05;15;1007.620833;22.9375;31;26.35;23.3;82.5;57;10.3;2.4625;
2003-03-06;1.6;1007.0375;22.754167;31.6;27.6875;24.2;75.666667;52;10.6;2.8875;
2003-03-07;4;1008.091667;23.075;31.1;26.808333;23.7;80.583333;59;10.3;2.683333;
2003-03-08;.4;1008.529167;23.179167;31.3;26.920833;24.7;80.583333;58;9.1;2.225;
2003-03-09;1;1008.416667;23.058333;31.7;26.6875;24;81.333333;57;9.5;2.229167;
2003-03-10;15.2;1008.291667;23.633333;30.7;26.520833;23.7;84.875;63;7.9;1.720833;
2003-03-11;10.4;1008.1625;23.595833;27.1;24.983333;23.9;92.125;83;7.6;1.483333;
2003-03-12;48;1007.791667;23.4;30.5;26.245833;22.9;84.958333;63;9.5;1.954167;
2003-03-13;16.8;1007.429167;24.041667;30.7;26.858333;24.5;85.083333;68;7;1.5875;
2003-03-14;65.4;1007.5125;24.020833;30.3;26.358333;23.3;87.458333;66;10.6;1.695833;
2003-03-15;5.2;1008.3375;23.6375;28.9;25.829167;24.1;87.958333;75;8.9;1.325;
2003-03-16;52;1008.770833;22.583333;30.6;25.858333;21.4;83.25;58;9;1.6125;
2003-03-17;11.2;1008.816667;22.895833;25.7;24.2625;22.5;91.958333;84;7.3;1.170833;
2003-03-18;11.2;1008.316667;23.0375;30.2;25.1875;23;88.5;63;6.9;1.1;
2003-03-19;94.8;1009.4375;22.908333;28.8;24.829167;22.5;89.375;70;7.8;1.591667;
2003-03-20;1.2;1009.695833;23.245833;27.5;25.229167;23.6;89;77;5.1;1.195833;
2003-03-21;8.6;1009.33913;23.065217;27;24.56087;23.5;91.434783;77;6.7;1.313043;
2003-03-22;7.4;1008.1125;22.9375;27.8;24.391667;23.2;91.708333;77;5.4;1.533333;
2003-03-23;12;1008.9125;23.170833;29.3;24.866667;23.1;90.458333;70;7.9;1.2125;
2003-03-24;15.8;1009.533333;22.270833;30.9;26.208333;22.5;79.791667;61;7.6;2.2;
2003-03-25;7;1008.445833;23.141667;31.4;26.529167;23;82.541667;60;8.8;2.029167;
2003-03-26;19.6;1007.733333;23.316667;30.2;25.7;23.5;87.125;66;10.4;2.1375;
2003-03-27;7.6;1007.983333;23.554167;31.1;27.05;23.9;82.083333;62;8.1;1.858333;
2003-03-28;5.8;1008.870833;23.791667;31;27.5375;25.2;80.875;59;9.6;2.233333;
2003-03-29;9.8;1008.641667;23.620833;27;24.845833;24.2;92.916667;84;6.9;.933333;
2003-03-30;38.2;1007.520833;23.3;30;25.5375;23.1;88.125;68;6.9;1.558333;
2003-03-31;13.4;1007.208333;23.529167;31.4;26.729167;23.7;83.625;62;9.3;2.016667;
2003-04-01;61.8;1008.958333;23.391667;29.3;24.933333;23.8;91.5;70;7.8;1.775;
2003-04-02;19;1009.125;23.458333;28.8;24.991667;23.5;91.5;74;9;1.6625;
2003-04-03;13.2;1007.6375;22.091667;31.5;26.8;23.2;77;48;8.6;2.445833;
2003-04-04;1.4;1007.170833;23.6625;31.4;27.216667;24.5;81.625;63;9.8;2.145833;
2003-04-05;8.8;1008.55;23.4875;27.2;25.2875;24.4;89.833333;78;6.8;1.104167;
2003-04-06;10;1008.295833;22.991667;29.5;24.904167;22.8;89.666667;69;6.2;1;
2003-04-07;41.2;1006.983333;23.220833;30.4;26.408333;23.4;83.25;65;6.9;1.641667;
2003-04-08;0;1007.083333;23.558333;31.1;26.795833;24.1;83.208333;61;11.6;1.770833;
2003-04-09;1.4;1008.033333;23.5875;30.2;26.295833;22.6;85.583333;68;9.6;1.6;
2003-04-10;15.8;1009.404167;23.383333;26;24.633333;23.9;92.791667;87;9.5;1.783333;
