Nome: SOBRAL
Codigo Estacao: A306
Latitude: -3.74805555
Longitude: -40.34583333
Altitude: 92.07
Situacao: Pane
Data Inicial: 2003-02-11
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2003-02-11;null;null;null;25.7;null;null;null;77;8.9;null;
2003-02-12;null;1000.954167;22.4625;30.1;25.6125;22.8;83.291667;63;9;2.225;
2003-02-13;0;1000.445833;22.241667;32.6;26.3375;22.6;79.833333;48;10.4;1.975;
2003-02-14;.2;999.670833;21.6375;32.2;26.791667;22.4;75.291667;48;7.6;2.608333;
2003-02-15;0;998.9375;21.904167;31.6;26.691667;23;76.666667;48;9.8;2.266667;
2003-02-16;.6;998.6625;22.845833;32.6;26.333333;23.3;82.041667;54;11;3.004167;
2003-02-17;2.2;1000.208333;22.829167;29.5;24.520833;24.2;90.541667;66;8.9;1.766667;
2003-02-18;22.2;1001.008333;22.325;30.4;24.375;22.5;88.916667;62;11;2.166667;
2003-02-19;14.4;1000.466667;22.816667;32.1;26.058333;22.8;83.541667;53;8.9;2.433333;
2003-02-20;0;1000.158333;23.391667;29.5;25.741667;23.2;87.375;69;8.5;2.329167;
2003-02-21;11;1000.604167;21.7625;26.2;23.904167;21.3;88.083333;72;11.2;1.683333;
2003-02-22;0;1000.295833;22.541667;32.4;25.7375;21.1;83.791667;49;9.3;2;
