Nome: PETROLINA
Codigo Estacao: A307
Latitude: -9.388323
Longitude: -40.523262
Altitude: 372.72
Situacao: Operante
Data Inicial: 2003-02-20
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2003-02-20;null;null;null;33;null;null;null;36;13.1;null;
2003-02-21;null;null;null;null;null;null;49.166667;41;9.5;null;
2003-02-22;0;969.970833;18.779167;33.8;27.85;23.9;59.583333;37;11.3;3.5875;
2003-02-23;0;971.454167;16.95;33.6;28.3;23.7;52.541667;30;9.9;3.95;
2003-02-24;0;971.475;18.354167;35.4;28.108333;24.1;57.625;31;10.7;3.954167;
2003-02-25;0;970.275;19.8;31.6;26.620833;23.1;67.708333;44;9.7;3.816667;
2003-02-26;0;969.541667;19.041667;33.5;28.066667;24.2;59.833333;36;8.6;3.325;
2003-02-27;0;969.6625;15.904167;34.7;28.554167;22.2;48.291667;26;11.1;3.570833;
2003-02-28;0;970.004167;18.208333;35.4;28.9875;24.8;53.833333;29;11.6;4.183333;
2003-03-01;0;969.729167;17.641667;33.9;28.504167;24.3;53.625;31;9.7;3.954167;
2003-03-02;0;968.7125;15.925;34.5;28.108333;22.6;49.75;28;9.3;3.883333;
2003-03-03;0;968.8;16.25;34.9;28.716667;22.8;49.833333;24;9.1;3.4625;
2003-03-04;0;969.85;15.766667;34.9;29.045833;23.4;47.041667;28;10.4;3.558333;
2003-03-05;0;969.0375;16.1375;35.5;29.454167;24.1;47.208333;25;10.8;3.8625;
2003-03-06;0;968.583333;16.929167;33.7;28.841667;24.7;50.125;30;10.2;3.9;
2003-03-07;.2;968.908333;16.8375;34.6;28.925;24.2;50.333333;28;8.8;3.4125;
2003-03-08;0;969.470833;16.733333;34.6;29.329167;23.9;49.125;28;9.4;3.620833;
2003-03-09;0;969.2875;15.120833;35.3;29.441667;23.5;43.875;27;10.1;3.670833;
2003-03-10;0;968.991667;16.254167;36.3;30.191667;24.8;45.125;25;10.7;3.858333;
2003-03-11;0;968.620833;17.375;36.7;30.35;25.5;48.75;25;10.1;4.0875;
2003-03-12;0;968.579167;16.133333;35.2;29.591667;24;47.5;26;11.3;3.333333;
2003-03-13;0;968.316667;16.6375;35.1;29.883333;25;46.75;29;7.8;2.8;
2003-03-14;0;968.120833;17.320833;36.9;30.654167;25.3;47.083333;24;10.5;3.7625;
2003-03-15;0;969.7875;18.2125;35.7;28.208333;25.6;57.5;28;18.2;4.645833;
2003-03-16;9;970.3125;19.766667;34.5;26.279167;23;69.333333;30;16;3;
2003-03-17;.2;969.2625;19.020833;33.8;27.95;23.7;61.291667;33;8.3;2.970833;
2003-03-18;0;969.175;19.370833;34.4;27.245833;24.6;64.125;33;10.9;2.841667;
2003-03-19;1.4;970.758333;20.891667;32.2;26.066667;22.5;74.625;47;12.8;3.0625;
2003-03-20;0;970.854167;19.2625;33;27.475;23.7;62.708333;36;8.4;3.25;
2003-03-21;0;969.870833;20.066667;32.7;27.520833;24;65.166667;43;8.5;3.5375;
2003-03-22;10.6;969.104167;21.033333;31.4;26.6375;22.4;72.875;49;8.1;2.495833;
2003-03-23;2.2;969.879167;21.495833;29.9;25.295833;23;79.916667;58;15;2.545833;
2003-03-24;79.2;971.2875;19.9875;31.3;25.3625;20.3;74.708333;44;7.7;2.254167;
2003-03-25;0;970.216667;19.016667;32.7;27.391667;23;62.541667;35;9.5;3.141667;
2003-03-26;0;969.341667;19.058333;31.9;27.508333;23;61.5;40;9.6;3.1625;
2003-03-27;0;969.870833;19.491667;31.5;27.658333;23.6;61.916667;46;9.4;3.833333;
2003-03-28;0;970.570833;19.9375;31.6;27.691667;23.8;63.25;47;9;3.579167;
2003-03-29;0;969.7375;19.570833;32.5;27.9125;23.9;62.25;38;20.2;3.004167;
2003-03-30;0;968.970833;19.508333;31.9;27.683333;24.2;62.083333;41;9.8;3.525;
2003-03-31;0;968.795833;19.1875;32;27.466667;23.5;61.791667;41;8.6;3.316667;
2003-04-01;0;970.054167;19.154167;30.9;27.691667;23.7;60.5;47;7.8;3.258333;
2003-04-02;0;970.458333;19.025;31.9;27.508333;23.5;61.166667;43;9.1;2.783333;
2003-04-03;0;969.708333;17.883333;33.5;28.370833;23.8;55.25;31;8.8;3.05;
2003-04-04;0;968.633333;17.4375;33.7;28.575;23.5;52.75;33;10.2;3.6875;
2003-04-05;0;969.275;18.1375;33.6;28.741667;23.8;54.458333;34;7.5;2.745833;
2003-04-06;0;968.55;17.9;34.1;29.158333;24;52.041667;33;11.2;1.733333;
2003-04-07;4.8;967.204167;20.7125;32.3;27.458333;22.2;67.708333;47;12.3;2.241667;
2003-04-08;27.4;967.416667;21.458333;32.4;27.0125;22.2;73.25;48;12.4;2.145833;
2003-04-09;11.4;969.0875;21.283333;31.4;26.9625;23;72.708333;46;8.1;2.7125;
2003-04-10;0;970.091667;20.329167;32.3;27.279167;23.7;67.416667;42;7.4;2.575;
