Nome: PARNAIBA
Codigo Estacao: A308
Latitude: -3.08666666
Longitude: -41.78305554
Altitude: 52.11
Situacao: Operante
Data Inicial: 2003-02-05
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2003-02-05;null;null;null;32.7;null;null;null;52;10.6;null;
2003-02-06;12.4;null;null;null;null;23.3;93.5;83;7.1;null;
2003-02-07;null;null;null;null;null;null;null;null;null;null;
2003-02-08;null;null;null;null;null;null;null;null;null;null;
2003-02-09;null;null;null;null;null;null;null;null;null;null;
2003-02-10;null;null;null;null;null;null;85.083333;73;8.8;null;
2003-02-11;.4;1004.983333;22.8;30.4;25.2625;22.9;87.083333;65;11.8;2.658333;
2003-02-12;6.4;1005.866667;23.041667;29.2;25.041667;23.2;89.041667;68;7.2;2.0125;
2003-02-13;1.6;1004.9625;23.141667;32.7;26.666667;22.7;82.416667;50;10.9;3.416667;
2003-02-14;.4;1004.4375;23.233333;31.3;26.5;22.9;83.125;60;8.3;3.091667;
2003-02-15;0;1003.6375;22.791667;31;26.620833;23.6;80.166667;60;11;3.595833;
2003-02-16;0;1003.595833;22.8625;32;26.341667;23.6;82.166667;55;9.9;3.666667;
2003-02-17;73.8;1005.304167;22.891667;29.2;24.616667;22.5;90.833333;69;8.8;2.120833;
2003-02-18;17.4;1005.654167;22.529167;29.1;24.633333;22.2;88.583333;68;9.6;2.5625;
2003-02-19;3;1005.308333;23.008333;31.6;26.0875;22.9;83.958333;59;9.3;2.729167;
2003-02-20;0;1005.045833;23.6375;30.1;25.283333;24.4;90.916667;66;13.6;2.516667;
2003-02-21;90;1005.45;22.266667;25;23.25;21.4;94.291667;85;10.2;1.75;
2003-02-22;6.2;1005.275;22.433333;30.8;25.275;21.5;85.083333;62;9.8;2.441667;
2003-02-23;0;1006.65;23.191667;30.1;25.416667;23.3;88.041667;66;12;2.604167;
2003-02-24;14.6;1006.958333;23.379167;29.7;24.870833;22.9;91.75;65;8.1;1.958333;
2003-02-25;23.6;1005.6875;22.770833;31;25.366667;22;86.458333;63;7.2;2.233333;
2003-02-26;0;1004.754167;22.345833;31.2;25.916667;22.5;81.75;57;10.8;3.054167;
2003-02-27;0;1004.975;22.904167;30.9;25.466667;23.2;86.333333;62;16.4;3.320833;
2003-02-28;15.4;1005.666667;23.025;29.6;24.475;22.9;91.916667;68;7.9;2.554167;
2003-03-01;17.2;1004.641667;22.970833;32.6;26.095833;22;84.333333;52;9.5;2.8875;
2003-03-02;0;1003.6375;23.245833;31.8;26.55;23.2;82.916667;57;9.8;3.533333;
2003-03-03;0;1004.1375;23.320833;31.1;26.070833;23.7;85.5;63;9.7;3.441667;
2003-03-04;4.8;1005.216667;22.7375;30.6;25.170833;23.2;87.083333;63;12.1;2.9625;
2003-03-05;3.8;1004.316667;22.983333;31.7;25.85;22.8;85.166667;60;9.5;2.916667;
2003-03-06;.4;1003.745833;22.666667;32.4;26.216667;22.4;82.333333;52;12.4;2.658333;
2003-03-07;3.6;1004.691667;22.8125;29.9;25.75;23.4;84.5;66;11.2;3.483333;
2003-03-08;0;1005.104167;22.741667;30.9;25.879167;23.2;83.75;59;10.3;3.483333;
2003-03-09;.4;1004.820833;22.583333;33.1;26.225;22.5;81.75;44;11.1;3.575;
2003-03-10;0;1004.829167;23.508333;30;25.670833;23.7;88.208333;69;11.6;3.1625;
2003-03-11;14.6;1004.845833;23.525;28.8;24.8875;23.6;92.333333;76;10.6;2.379167;
2003-03-12;19.2;1004.733333;22.9625;29.2;25.320833;22.9;87.375;70;7.9;2.883333;
2003-03-13;.2;1004.0625;23.175;31.4;26.15;22.2;84.791667;60;9.2;3.020833;
2003-03-14;5.4;1004.308333;23.533333;30.7;26.029167;23.4;86.708333;65;10.3;2.991667;
2003-03-15;0;1005.516667;23.170833;28.8;25.104167;23.5;89.416667;74;10.6;2.7125;
2003-03-16;.4;1006.091667;22.933333;29.2;24.441667;22.3;91.75;67;7.9;1.579167;
2003-03-17;9;1005.725;22.658333;30.2;25.158333;22.2;86.958333;58;8.9;1.9125;
2003-03-18;0;1005.066667;22.258333;31.1;25.808333;22.5;82.125;57;9.9;2.770833;
2003-03-19;0;1005.604167;22.8875;31.2;26.2375;23.1;82.791667;60;8.6;2.875;
2003-03-20;4.6;1006.879167;22.704167;29.1;24.370833;22.4;90.75;69;7.2;2.1375;
2003-03-21;26.2;1005.833333;22.479167;29.8;25.304167;22.3;85.208333;64;9.1;2.870833;
2003-03-22;0;1004.504167;22.8625;30.6;25.670833;23.2;85.041667;60;9.2;2.2875;
2003-03-23;.6;1006.4875;22.566667;26.6;23.583333;23.4;94.083333;81;8.1;2.0125;
2003-03-24;110.6;1005.875;21.891667;31.6;25.483333;21.7;82.083333;50;8.2;2.495833;
2003-03-25;.2;1005.095833;22.95;31;25.3875;22.8;87;59;11.4;3.1375;
2003-03-26;9;1004.345833;23.1875;30.5;25.629167;22.5;87;59;8.8;2.391667;
2003-03-27;3.4;1005.1125;23.65;30.5;25.604167;23.1;89.25;65;10.5;2.629167;
2003-03-28;3;1005.8375;23.7125;30.5;25.554167;23.3;89.958333;68;10.3;2.416667;
2003-03-29;3.6;1005.466667;23.304167;30.3;25.383333;23.5;88.708333;64;9.2;2.466667;
2003-03-30;0;1004.229167;22.658333;30.7;25.304167;22.3;86.208333;61;8.9;2.05;
2003-03-31;13.6;1004.058333;23.191667;30.8;25.483333;22.1;87.75;63;8.9;2.358333;
2003-04-01;.2;1005.304167;23.329167;30.5;25.0125;22.9;91;65;11.2;2.870833;
2003-04-02;4;1005.820833;22.779167;30.9;24.704167;22.5;89.708333;61;12.5;2.458333;
2003-04-03;6;1004.3;22.966667;31.7;26.5125;21.6;82.375;58;7.8;1.8875;
2003-04-04;0;1004.0375;23.975;31;26.004167;23.7;89;64;11.1;2.658333;
2003-04-05;.8;1004.825;23.408333;31.6;26.3;22.6;84.833333;62;9;3.170833;
2003-04-06;6.4;1005.370833;22.941667;29.7;25.9;22.8;84.541667;62;7.6;2.416667;
2003-04-07;.4;1004.079167;23.325;29.7;25.2625;23.5;89.416667;69;6.7;1.758333;
2003-04-08;2.4;1003.883333;23.6;29.2;25.2;23;91.125;73;7.4;1.8875;
2003-04-09;16.6;1004.825;22.866667;31.4;25.354167;22.7;87.041667;57;14.8;2.920833;
2003-04-10;22.2;1005.4875;23.075;29.6;25.7625;22.3;85.625;67;8.5;3.391667;
2003-04-11;0;1005.591667;22.445833;30.8;25.4875;23.2;84.041667;56;9.6;2.345833;
2003-04-12;0;1005.891667;23.075;31.7;26.245833;22.3;83.375;59;9;3.3875;
2003-04-13;0;1007.320833;23.333333;31;26.479167;23.5;83.541667;63;10.6;3.575;
2003-04-14;.4;1007.054167;23.183333;31.1;26.554167;22.9;82.5;57;8;3;
2003-04-15;0;1005.975;22.741667;30.6;25.1625;22;87.166667;67;13.1;2.3375;
2003-04-16;4;1005.616667;22.9875;30.3;24.9;22.4;89.625;70;8.6;2.029167;
2003-04-17;7.4;1005.979167;22.933333;31.1;25.104167;22.7;88.333333;62;12.4;2.154167;
2003-04-18;8.8;1005.4875;23.3875;30.7;25.9375;22.1;86.375;63;8.6;2.983333;
2003-04-19;0;1005.7125;23.2125;29.7;24.641667;22.4;92;71;11.6;2.2625;
2003-04-20;39.6;1004.570833;23.05;30.7;25.4125;22.3;87.666667;62;9.2;2.5875;
2003-04-21;6;1003.591667;23.045833;31.8;26.7125;23;81.916667;50;10.3;3.104167;
2003-04-22;0;1004.1875;22.629167;30.5;26.05;23.4;82.166667;57;6.8;2.233333;
2003-04-23;0;1004.479167;23.2625;30.8;25.958333;23;85.375;64;8;2.1125;
2003-04-24;1.4;1004.75;23.066667;30.4;26;23.5;84.291667;66;6.8;2.341667;
2003-04-25;0;1005.341667;22.975;30.4;25.354167;22.2;87.208333;63;11.5;2.35;
2003-04-26;0;1006.629167;22.7;30.6;25.770833;22.7;84;62;8.8;2.804167;
2003-04-27;0;1006.779167;22.841667;30.8;24.916667;22.4;89.083333;62;9.4;1.829167;
2003-04-28;57.8;1006.05;22.9;30.1;25.133333;22.4;88.333333;65;11.2;2.079167;
2003-04-29;32.8;1006.008333;23.1625;30.9;25.595833;22.3;87.166667;61;9.1;2.683333;
2003-04-30;1.6;1006.254167;23.520833;29.9;25.375;23.4;89.916667;70;10.6;2.6625;
2003-05-01;14.6;1006.7125;22.866667;29.4;25.066667;23;88.125;69;11.9;3.125;
2003-05-02;4.6;1005.729167;22.945833;30.2;25.5;22.2;86.458333;66;9.9;2.4875;
2003-05-03;0;1005.45;23.104167;29.8;25.804167;22.1;85.541667;69;8.7;2.8375;
2003-05-04;2.6;1005.404167;23.529167;31;26.258333;22.8;85.791667;63;11.4;2.629167;
2003-05-05;.2;1005.695652;23.091304;30.5;25.295652;22.4;88.173913;65;10.4;3.313043;
2003-05-06;5.2;1005.283333;22.441667;31;25.729167;22.2;83.208333;56;10.4;3.204167;
2003-05-07;0;1004.616667;21.929167;31.7;25.975;20.8;80.291667;52;8;2.391667;
2003-05-08;0;1005.008333;22.733333;33.1;26.0125;20.7;83.666667;52;7.6;1.85;
2003-05-09;0;1006.441667;23.104167;31;26.408333;22.6;82.666667;65;7.8;3.15;
2003-05-10;.8;1006.95;22.970833;30.4;25.458333;22.9;86.666667;66;9.1;2.833333;
2003-05-11;10.8;1006.658333;22.2;31.7;25.975;21.2;81.375;53;9.2;3.133333;
2003-05-12;null;1007.175;23.01;30.7;null;22.5;84.4;60;8.9;2.73;
2003-05-13;null;null;null;31;null;23.5;79.933333;61;8.5;null;
2003-05-14;null;null;null;null;null;null;null;92;4.9;null;
2003-05-15;null;null;null;null;null;null;null;62;13.5;null;
2003-05-16;null;null;null;null;null;null;76.357143;62;8.7;null;
2003-05-17;null;null;null;null;null;23.7;73;51;7.9;null;
2003-05-18;null;null;null;null;null;null;null;86;5.5;null;
2003-05-19;null;null;null;29.8;null;null;79.352941;63;9;null;
2003-05-20;null;1005.463158;22.331579;30.6;null;22.7;79.578947;58;8;2.173684;
2003-05-21;null;null;null;31.4;null;22.9;75.733333;56;13.5;null;
2003-05-22;null;null;null;null;null;null;null;null;null;null;
2003-05-23;null;null;null;null;null;null;null;58;7.5;null;
2003-05-24;null;null;null;null;null;null;null;57;13;null;
2003-05-25;null;null;null;null;null;null;null;55;9.1;null;
2003-05-26;null;null;null;null;null;null;null;72;8.6;null;
2003-05-27;null;null;null;null;null;null;null;89;4.9;null;
2003-05-28;null;null;null;null;null;null;null;54;9;null;
2003-05-29;null;null;null;null;null;null;null;90;7.9;null;
2003-05-30;null;null;null;null;null;null;null;83;6.3;null;
2003-05-31;null;null;null;null;null;null;null;70;9.2;null;
2003-06-01;null;null;null;null;null;null;null;59;9.7;null;
2003-06-02;null;null;null;null;null;null;null;72;7.2;null;
2003-06-03;null;null;null;null;null;null;null;null;null;null;
2003-06-04;null;null;null;null;null;null;null;76;8.9;null;
2003-06-05;null;null;null;null;null;null;76.75;62;10.3;null;
2003-06-06;null;null;null;null;null;null;null;76;5.8;null;
2003-06-07;null;null;null;null;null;null;null;49;7.8;null;
2003-06-08;null;null;null;null;null;null;null;84;11.4;null;
2003-06-09;null;null;null;null;null;null;null;null;null;null;
2003-06-10;null;null;null;null;null;null;null;73;4.8;null;
2003-06-11;null;null;null;null;null;null;null;85;3.8;null;
