Nome: ARCO VERDE
Codigo Estacao: A309
Latitude: -8.4336111
Longitude: -37.05555555
Altitude: 683.95
Situacao: Operante
Data Inicial: 2004-11-19
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2004-11-19;null;null;null;null;null;null;null;null;null;null;
2004-11-20;null;null;null;null;null;null;null;null;null;null;
2004-11-21;null;null;null;null;null;null;null;null;null;null;
2004-11-22;null;null;null;null;null;null;null;null;null;null;
2004-11-23;null;null;null;null;null;null;null;null;null;null;
2004-11-24;null;null;null;null;null;null;null;null;null;null;
2004-11-25;null;null;null;null;null;null;null;null;null;null;
2004-11-26;null;null;null;null;null;null;null;null;null;null;
2004-11-27;null;null;null;null;null;null;null;null;null;null;
2004-11-28;null;null;null;null;null;null;null;null;null;null;
2004-11-29;null;null;null;null;null;null;null;null;null;null;
2004-11-30;null;null;null;null;null;null;null;null;null;null;
2004-12-01;null;null;null;null;null;null;null;null;null;null;
2004-12-02;null;null;null;null;null;null;null;null;null;null;
2004-12-03;null;null;null;null;null;null;null;null;null;null;
2004-12-04;null;null;null;null;null;null;null;null;null;null;
2004-12-05;null;null;null;null;null;null;null;null;null;null;
2004-12-06;null;null;null;null;null;null;null;null;null;null;
2004-12-07;null;null;null;null;null;null;null;null;null;null;
2004-12-08;null;null;null;null;null;null;null;null;null;null;
2004-12-09;null;null;null;null;null;null;null;null;null;null;
2004-12-10;null;null;null;null;null;null;null;null;null;null;
2004-12-11;null;null;null;null;null;null;null;null;null;null;
2004-12-12;null;null;null;null;null;null;null;null;null;null;
2004-12-13;null;null;null;null;null;null;null;null;null;null;
2004-12-14;null;null;null;null;null;null;null;null;null;null;
2004-12-15;null;null;null;null;null;null;null;27;9.6;null;
2004-12-16;null;935.041667;13.445833;33.1;25.2625;19.2;52.083333;23;11.2;3.329167;
2004-12-17;null;934.991304;12.952174;34.3;25.456522;18.4;51.869565;18;12.1;3.369565;
2004-12-18;null;935.991667;14.141667;34.2;25.445833;18.7;54.625;20;10.8;4.158333;
2004-12-19;null;937.004167;15.366667;32.8;25.470833;20.4;57.708333;26;13.5;4.154167;
2004-12-20;null;936.841667;15.458333;34;25.754167;19.6;57.416667;25;12.8;4.2125;
2004-12-21;null;935.0875;13.808333;33.9;25.645833;17.8;53.958333;22;13.2;3.745833;
2004-12-22;null;934.166667;13.75;33.8;25.691667;18.8;52.583333;23;12.6;3.8;
2004-12-23;null;934.183333;13.958333;32.8;25.545833;19.6;53.375;25;12.3;4.620833;
2004-12-24;null;934.083333;14.704167;33.1;25.229167;19;56.25;25;14.6;4.383333;
2004-12-25;null;935.595833;16.495833;31.1;25.070833;20.4;61.75;33;11.6;3.5;
2004-12-26;null;935.827273;15.159091;33.4;25.4;20.1;57.909091;25;13.1;3.754545;
2004-12-27;null;934.36087;13.978261;33.1;25.821739;18.6;52.695652;27;10;3.578261;
2004-12-28;null;934.569565;15.543478;34.4;25.473913;19.5;58.565217;24;11.6;3.656522;
2004-12-29;null;937.225;17.7375;31;25.129167;21.9;65;39;11.4;2.679167;
2004-12-30;null;937.345833;17.233333;31.6;25.108333;20.9;64.375;36;9.6;2.4375;
2004-12-31;null;936.554167;15.825;32.1;25.875;20.2;57.458333;31;9.3;3.179167;
2005-01-01;null;935.920833;14.916667;33.7;25.625;18.7;55.791667;27;12.5;3.641667;
2005-01-02;0;936.866667;14.154167;34.5;25.8875;19.4;54;18;14.1;4.033333;
2005-01-03;0;937.2375;14.879167;33;25.5;20.2;56.208333;23;13;4.458333;
2005-01-04;0;936.354167;14.133333;33.4;25.879167;19.8;53.083333;23;13.2;4.55;
2005-01-05;0;936.05;13;34;26.083333;19.7;51.041667;14;10.3;3.608333;
2005-01-06;0;935.433333;12.979167;33.6;25.941667;19.4;51.083333;19;9.8;3.2125;
2005-01-07;0;935.729167;13.270833;34.2;25.854167;18.9;51.875;16;11.8;4.008333;
2005-01-08;0;935.291667;15.491667;33.1;26.6375;20.8;53.958333;27;10.2;4.475;
2005-01-09;0;934.9375;16.779167;33.4;26.033333;21.6;59.583333;29;9.6;3.291667;
2005-01-10;0;934.904167;15.779167;34.1;27.025;21.7;54.5;25;9.8;3.808333;
2005-01-11;0;935.095833;15.225;34.2;26.45;20.8;54.833333;23;11.4;3.958333;
2005-01-12;0;934.769565;14.2;34.5;26.591304;19.1;51.956522;22;11.1;2.6;
2005-01-13;0;934.120833;15.225;34.3;27.833333;21.7;50.541667;24;10.6;3.4625;
2005-01-14;19.8;934.583333;18.433333;31.3;25.55;20.5;67.75;33;12.2;2.916667;
2005-01-15;0;933.858333;16.233333;33.7;26.675;21.3;57.083333;26;11.1;3.358333;
2005-01-16;0;933.633333;16.729167;32.5;25.858333;21.1;60.125;33;11.1;3.175;
2005-01-17;0;933.170833;17.0625;33.8;26.183333;21.1;61.166667;29;10.2;2.583333;
2005-01-18;0;933.575;15.958333;33.1;26.470833;20.7;56.333333;29;9.8;3.420833;
2005-01-19;0;934.433333;17.666667;33.4;24.6;20.9;67.708333;30;14;3.391667;
2005-01-20;3;935.2375;15.604167;34.4;26.416667;20;56.25;24;8.6;2.829167;
2005-01-21;0;935.916667;15.129167;34.9;27.466667;20.4;52.208333;22;9.7;2.4;
2005-01-22;0;935.891667;16.833333;34.8;26.658333;20.5;59.208333;26;10.7;2.966667;
2005-01-23;.2;935.608333;19.133333;31.3;24.633333;20.4;73.458333;40;8.7;1.7;
2005-01-24;4;934.879167;17.175;32.8;26.275;20.5;60.791667;31;6.4;1.529167;
2005-01-25;0;934.745833;18.25;33.7;26.641667;22.1;61.958333;31;10.1;2.533333;
2005-01-26;0;935.945833;17.6375;34;27.508333;23.2;58.25;30;11.5;3.65;
2005-01-27;0;936.075;17.454167;35.7;26.941667;22;58.875;25;13.4;2.7375;
