Nome: IGUATU
Codigo Estacao: A319
Latitude: -6.39638888
Longitude: -39.26888888
Altitude: 221.56
Situacao: Operante
Data Inicial: 2007-05-29
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-05-29;null;null;null;null;null;null;null;null;4.6;null;
2007-05-30;null;987.416667;null;null;null;null;56.923077;38;7.2;1.766667;
2007-05-31;0;987.795652;19.234783;31.6;25.308696;19.3;71.391304;43;8.5;2.169565;
2007-06-01;10.6;988.770833;19.154167;31;25.691667;22;70.5;39;11.4;3.195833;
2007-06-02;0;988.670833;20.133333;28.8;24.683333;21.1;76.5;59;9.8;2.445833;
2007-06-03;.2;988.229167;19.595833;30.7;25.575;20.8;70.708333;49;7.4;2.004167;
2007-06-04;0;988.4625;21.125;32.4;26.345833;22.2;75.166667;45;6.5;1.433333;
2007-06-05;1.4;989.129167;21.891667;30.8;25.4125;23.3;82.083333;49;6.7;1.591667;
2007-06-06;.6;989.420833;19.625;30.8;25.0125;21.1;74.875;43;9.4;1.729167;
2007-06-07;0;988.047826;17.717391;33.2;25.452174;19.9;65.565217;32;10.1;2.230435;
2007-06-08;0;987.775;17.35;33.2;26.183333;20.6;60.5;33;9.2;2.9;
2007-06-09;0;987.908333;17.15;31.5;26.1375;20.6;59.125;38;13.6;3.0875;
2007-06-10;0;988.0375;18.895833;30.7;25.370833;21;69.333333;39;8.9;2.245833;
2007-06-11;0;987.573913;15.795652;33.4;26.578261;21.4;53.826087;31;12.1;3.33913;
2007-06-12;0;987.4;16.654167;32;27.016667;20.6;53.75;42;10.6;3.254167;
2007-06-13;.4;987.395833;19.520833;32.6;25.920833;21;70.541667;39;9.9;2.891667;
2007-06-14;0;986.791667;17.6875;32.3;25.9125;19.6;63.125;36;10.6;2.495833;
2007-06-15;0;987.104167;16.466667;32.1;25.854167;20.5;58.166667;32;9.7;2.908333;
2007-06-16;0;987.945833;16.2625;33;25.4875;18.4;60.458333;27;9.4;2.6375;
2007-06-17;0;987.966667;17.8;33.7;25.625;19;65.333333;33;16.6;2.679167;
2007-06-18;7.4;989.004167;18.766667;32.1;25.833333;21.3;67.916667;40;10.2;3.7625;
2007-06-19;0;988.816667;16.770833;33.2;26.733333;21.5;56.333333;32;10.1;3.120833;
2007-06-20;0;989.354167;15.4875;33.1;26.608333;20.6;52.875;27;11;3.595833;
2007-06-21;0;989.591667;15.4875;31.8;25.566667;20.1;55.708333;34;13.4;3.95;
2007-06-22;0;988.166667;15.208333;33;25.204167;17.9;57.75;28;12.2;2.979167;
2007-06-23;0;986.791667;16.191667;32.6;26.470833;21;55.041667;35;10.4;3.483333;
2007-06-24;.2;988.008333;17.016667;33.8;26.791667;20.3;57.833333;31;10.8;3.1625;
2007-06-25;0;989.341667;12.8375;33.8;26.583333;20.7;46.75;17;10;3.154167;
2007-06-26;0;990.233333;17.608333;29.4;25.116667;20.9;63.833333;38;12.1;3.220833;
2007-06-27;0;989.291667;17.970833;29.3;25.075;21.9;66;44;9.7;2.941667;
2007-06-28;5.4;989.275;19.895833;28;24.329167;21.2;77.708333;57;9;2.354167;
2007-06-29;0;989.7375;16.708333;33.1;26.5875;19.7;57.583333;32;10.2;2.495833;
2007-06-30;0;991.1625;16.954167;32.8;26.5;21.8;58.416667;30;9.2;2.091667;
2007-07-01;0;991.370833;15.541667;34.1;27.6;22.2;50.208333;26;9.3;2.85;
2007-07-02;0;990.483333;15.258333;34.5;27.529167;21.6;49.375;28;10.3;3.291667;
2007-07-03;0;990.120833;15.641667;33.8;27.920833;22.6;49.25;29;10.3;3.791667;
2007-07-04;0;990.641667;15.058333;33.3;26.875;20.6;50.833333;28;11.2;3.183333;
2007-07-05;0;990.308333;14.25;32.8;26.608333;19.6;48.583333;30;10.7;3.329167;
2007-07-06;0;988.845833;15.008333;34.2;27.495833;21.3;49.25;26;11.2;3.6;
2007-07-07;0;988.158333;14.766667;32.9;26.3875;19.3;52.458333;26;10.8;3.0625;
