Nome: TAUA
Codigo Estacao: A324
Latitude: -6.01749999
Longitude: -40.28138888
Altitude: 410.87
Situacao: Pane
Data Inicial: 2007-07-11
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-07-11;null;null;null;null;null;null;null;null;null;null;
2007-07-12;null;null;null;null;null;null;null;25;10.4;null;
2007-07-13;1;968.129167;15.345833;31.8;25.979167;20.1;53.666667;35;13.6;2.8125;
2007-07-14;0;967.626087;15.521739;32.5;25.83913;19;55.086957;33;8.8;2.230435;
2007-07-15;0;966.8125;14.5125;33.7;26.333333;19.7;51.083333;28;9.3;2.316667;
2007-07-16;0;966.320833;15.7;34.3;27.066667;21;53.708333;27;10.7;3.633333;
2007-07-17;0;966.820833;15.1875;34;26.695833;21.9;53.583333;23;10.3;3.170833;
2007-07-18;0;966.229167;12.533333;35.1;26.991667;18.8;47.541667;16;11.4;2.691667;
2007-07-19;0;965.958333;14.058333;34.2;26.366667;18.2;50.916667;27;8.8;2.033333;
2007-07-20;0;966.666667;12.825;33.7;26.9875;21.3;47.125;17;12.1;3.575;
2007-07-21;0;967.854167;12.7375;33.3;26.041667;19.1;47.958333;22;11.8;3.0625;
2007-07-22;0;966.386957;14.065217;33.6;26.756522;20.3;48;27;10.4;2.717391;
2007-07-23;0;966.395652;16.191304;31.6;27.013043;23;53;35;8.2;2.543478;
2007-07-24;0;966.791667;14.270833;34.5;27.445833;22.3;49.416667;21;13.7;2.625;
2007-07-25;0;966.904167;14.066667;33.4;26.516667;19.6;49.958333;25;13.3;2.904167;
2007-07-26;0;968.404167;15.5875;33.7;26.941667;22;53.208333;26;11.3;3.395833;
2007-07-27;0;967.770833;16.783333;32.4;26.075;21.4;58.75;35;10.4;3.316667;
2007-07-28;0;967.865217;14.130435;32.7;26.669565;20.2;48.478261;28;13;3.191304;
2007-07-29;0;967.495833;10.025;33.5;26.283333;18.2;38.333333;20;9.3;2.395833;
2007-07-30;0;967.425;12.170833;33.6;27.079167;21.1;42.291667;20;11.2;3.491667;
2007-07-31;0;968.441667;14.708333;30.5;24.858333;20.6;54.416667;36;13.6;5.2;
2007-08-01;0;967.579167;13.945833;31.9;25.75;20;50.166667;30;11.8;4.858333;
2007-08-02;0;968.447826;15.334783;30.9;25.573913;21.7;54.043478;36;12.1;4.421739;
2007-08-03;0;968.529167;14.7125;32.1;26.025;18.7;53;28;12.6;3.733333;
2007-08-04;0;968.491667;14.566667;33;26.1375;21.5;51.958333;27;10.8;3.25;
2007-08-05;0;967.979167;14.070833;33.1;26.891667;21.3;48.916667;23;12.4;3.454167;
2007-08-06;0;967.625;12.179167;33.4;26.6875;18.5;42.083333;27;11.6;3.508333;
2007-08-07;0;967.895652;13.982609;32.4;26.965217;22.9;46.434783;29;10.9;4.004348;
2007-08-08;0;967.754545;13.077273;33.2;26.545455;21.1;44.863636;27;11.6;3.436364;
2007-08-09;0;967.3;12.604167;32.4;26.916667;21.8;43.291667;25;11.3;4.116667;
2007-08-10;0;967.408333;12.520833;33.3;27.029167;20.6;42.833333;24;18.4;4.620833;
2007-08-11;0;967.691667;14.745833;32.4;26.9;22.1;49.541667;29;12.8;4.15;
2007-08-12;0;967.7;12.4;32.9;27.145833;20;42.25;25;12.1;4.004167;
2007-08-13;0;967.9375;10.35;33.3;26.825;20.5;38.75;19;13.2;4.391667;
2007-08-14;0;967.743478;13.56087;30.8;25.847826;21.9;48.130435;28;13.8;5.173913;
2007-08-15;0;967.633333;10.804167;32.5;26.466667;20.1;39.541667;19;14.2;5.516667;
2007-08-16;0;967.645833;12.3375;32.3;25.891667;20.1;44.5;29;11.6;4.175;
2007-08-17;0;966.675;13.575;32.5;26.495833;21.7;46.416667;28;14.1;4.470833;
2007-08-18;0;967.073913;10.321739;32.3;25.213043;19.5;42.130435;19;11.1;3.756522;
2007-08-19;0;967.870833;11.7875;32.8;25.658333;19;44.458333;27;12.7;2.870833;
2007-08-20;0;967.820833;15.075;33.7;27.508333;21.2;49.583333;28;12.8;4.533333;
2007-08-21;0;967.308333;15.3;34.2;27.7;21.4;48.791667;30;13.3;3.6875;
2007-08-22;0;967.054167;13.141667;34.3;27.595833;21.2;43.875;22;10.2;3.666667;
2007-08-23;0;966.530435;11.656522;32.9;26.982609;21.1;40.173913;25;11.2;3.704348;
2007-08-24;0;965.691667;13.391667;33.1;26.404167;20.2;47.166667;27;12.5;3.779167;
2007-08-25;0;965.069565;13.204348;34.9;27.791304;20.5;43.565217;23;13.6;3.682609;
2007-08-26;0;965.983333;13.283333;34.1;28.054167;22.6;42.625;24;12.7;4.3125;
2007-08-27;0;966.795833;12.0375;34.2;27.191667;20.1;42.875;18;12.3;3.9875;
2007-08-28;0;965.95;10.895833;35.6;27.845833;19.9;41.291667;14;12.5;2.7875;
2007-08-29;0;967.291667;11.820833;34.1;27.041667;19.8;44.416667;20;13.8;3.416667;
2007-08-30;0;968.1375;12.558333;33.9;27.0125;19.4;43.958333;25;13.5;3.795833;
2007-08-31;0;968.725;13.579167;32.3;27.295833;23.3;45.208333;26;14.1;4.9;
2007-09-01;0;968.795833;12.508333;33.2;27.008333;21.4;42.666667;23;10.6;3.591667;
2007-09-02;0;969.070833;12.420833;32.9;26.85;21.6;42.708333;26;12.2;4.2125;
2007-09-03;0;969.0875;11.0625;33.2;26.904167;21.4;39.5;20;12.9;4.354167;
2007-09-04;0;969.141667;12.045833;33.6;27.058333;21;42.5;20;12.5;4.7625;
2007-09-05;0;969.270833;14.933333;32.7;27.333333;21.7;48.75;30;14.8;5.875;
2007-09-06;0;969.154167;13.0375;33.3;27.375;22.2;43.791667;24;14.1;5.520833;
2007-09-07;0;968.6;13.758333;33.1;27.2125;21.4;45.083333;28;12.6;4.870833;
2007-09-08;0;967.679167;11.270833;34.4;27.995833;21.8;37.75;20;10.3;3.808333;
2007-09-09;0;967.225;11.720833;33.8;27.3625;20.6;40.041667;22;10.5;3.525;
2007-09-10;0;967.1625;12.708333;33.1;27.529167;22.4;41.416667;26;15.7;3.795833;
2007-09-11;0;967.183333;10.579167;33.4;27.5125;21;36.166667;22;14.2;4.545833;
2007-09-12;0;967.35;12.445833;33.9;27.783333;22;40;26;16;5.454167;
2007-09-13;0;966.45;12.5625;33.9;27.641667;22.3;41.791667;22;12.9;4.920833;
2007-09-14;0;966.383333;12.941667;33.2;27.479167;22.5;42.625;25;11.9;3.875;
2007-09-15;0;966.158333;12.9;34.3;28.3875;24.2;40.458333;23;11.5;4.220833;
2007-09-16;0;965.895833;13.216667;35;28.420833;22.3;41.541667;24;12.3;3.2375;
2007-09-17;0;965.533333;13.608333;37.3;29.316667;22.6;42.458333;14;12;3.5875;
