Nome: PALMEIRA DOS INDIOS
Codigo Estacao: A327
Latitude: -9.42027777
Longitude: -36.62027777
Altitude: 278.01
Situacao: Operante
Data Inicial: 2007-07-10
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-07-10;null;null;null;null;null;null;null;null;null;null;
2007-07-11;null;null;null;null;null;null;63.153846;40;8.6;null;
2007-07-12;0;985.520833;18.1375;27;21.291667;16.5;83.25;58;8.7;1.429167;
2007-07-13;1.2;985.558333;20.120833;24.7;21.308333;19.9;92.958333;80;7.7;1.283333;
2007-07-14;8.4;985.229167;19.591667;24.9;21.2875;19.6;90.375;69;6.4;1.129167;
2007-07-15;5.2;984.2375;19.4;27.7;22.583333;19;83.208333;57;7.9;1.475;
2007-07-16;0;983.6875;19.404167;28.5;23.091667;19.1;81;56;8.7;2.654167;
2007-07-17;0;984.270833;19.004167;28.6;23.358333;19.6;77.958333;50;9.2;2.804167;
2007-07-18;0;983.704167;18.920833;28.2;22.741667;18.9;80.666667;51;8.1;2.645833;
2007-07-19;0;982.804167;18.016667;28.3;22.958333;17.9;75.208333;51;9.4;2.891667;
2007-07-20;0;984.420833;18.2375;26.3;21.579167;17.6;82.083333;59;10.9;2;
2007-07-21;.4;985.2;18.916667;25.7;21.245833;18.2;87.125;62;9.2;1.104167;
2007-07-22;2.8;983.841667;20.054167;22.8;20.941667;20.4;94.666667;87;7.6;1.441667;
2007-07-23;11.2;983.504167;19.495833;27.2;22.570833;19.7;83.666667;60;8.6;1.458333;
2007-07-24;0;984.078261;19.304348;27.7;22.06087;18.5;85.217391;59;7.2;1.878261;
2007-07-25;0;984.025;19.825;27.4;23.05;19.6;82.666667;61;8.3;2.7875;
2007-07-26;0;985.5625;20.6125;27.5;22.645833;20.5;88.833333;63;7.6;1.416667;
2007-07-27;13;985.125;19.325;27.2;22.825;20.5;81.458333;60;11;3.033333;
2007-07-28;null;985.538095;18.495238;26.1;null;17.4;84.761905;61;9.4;1.314286;
2007-07-29;.2;985.429167;19.220833;27.2;21.808333;19.8;85.708333;59;10.9;1.591667;
2007-07-30;0;985.879167;18.4125;27.3;21.604167;18.4;83.541667;51;10.1;2.183333;
2007-07-31;27.4;985.804167;19.4375;22.9;20.2875;19.1;94.875;83;9.5;2.225;
2007-08-01;32.6;985.845833;19.258333;23;20.566667;19.6;92.25;80;9.3;1.4875;
2007-08-02;14.6;985.704167;20.004167;26.6;21.858333;19.9;89.666667;67;10.1;2.5625;
2007-08-03;4.4;985.816667;20.254167;26.1;21.7375;20.1;91.541667;72;9.2;1.695833;
2007-08-04;13.6;986.1125;19.975;26;21.8;20.3;89.791667;71;9.2;2.225;
2007-08-05;1.6;986.379167;18.825;24.4;20.795833;18.5;88.958333;67;7.8;1.108333;
2007-08-06;4.2;985.886957;19.304348;23.6;20.6;19.3;92.26087;79;8.1;1.221739;
2007-08-07;5.6;986.013043;18.395652;25.8;21.373913;16.9;84.347826;58;6.7;1.834783;
2007-08-08;.4;986.2875;19.1125;24.6;21.354167;19.7;87.416667;68;12.2;1.945833;
2007-08-09;2.2;985.833333;18.4875;26.3;21.616667;18.1;83.458333;60;13.2;2.304167;
2007-08-10;4.4;985.3375;20.091667;25.7;21.658333;19.5;91.125;73;11.5;2.3375;
2007-08-11;5.2;985.7375;18.891667;27.6;22.716667;20.1;80.625;51;9.1;2.308333;
2007-08-12;.2;985.841667;18.354167;27.4;22.420833;19.8;79.416667;52;11.7;2.9875;
2007-08-13;2.8;986.029167;18.7;26.9;21.2375;18.5;86.625;57;13.6;2.066667;
2007-08-14;6.4;986.23913;17.543478;26.2;21.678261;18.6;79.086957;52;12.3;2.878261;
2007-08-15;9.2;986.075;17.2875;25.7;21.116667;18.4;80.125;48;12.6;2.729167;
2007-08-16;.6;985.629167;18.308333;25.5;20.3875;17;88.208333;62;13;1.8625;
2007-08-17;3;984.895833;17.504167;26;21.045833;18.5;81.583333;51;9.7;2.375;
2007-08-18;0;985.008333;17.354167;25;20.120833;16.5;84.708333;61;11.5;2.141667;
2007-08-19;.6;985.825;18.725;24.7;20.4375;17.5;90.083333;73;10.2;1.579167;
2007-08-20;6.6;986.370833;19.479167;23.8;20.7625;19.2;92.5;78;9.6;1.725;
2007-08-21;7.8;985.775;19.483333;25.8;21.2875;19.5;89.75;68;8.9;1.529167;
2007-08-22;1.2;985.079167;18.504167;27.5;22.1125;18.5;81.291667;55;8.4;2.154167;
2007-08-23;.4;984.258333;18.441667;27.1;21.666667;18.1;82.708333;59;7.7;1.695833;
2007-08-24;1.8;983.575;19.0375;28.1;22.6875;19.6;82;48;8.6;2.304167;
2007-08-25;4.2;983.129167;20.3;27.3;22.8625;20.6;86.208333;63;9.7;2.5;
2007-08-26;0;983.675;18.958333;29;22.895833;19.2;80.083333;50;9.7;2.4875;
2007-08-27;0;983.9875;18.766667;28.6;23.2875;19.7;77.75;47;8.4;2.541667;
2007-08-28;0;983.954167;17.925;28;22.495833;19;77.416667;46;10.5;3.145833;
2007-08-29;0;985.779167;17.1125;27.7;22.108333;18.2;75.333333;44;10.1;2.470833;
2007-08-30;2.2;986.491667;19.670833;25.8;21.6875;19.7;88.666667;69;10.1;2.008333;
2007-08-31;4.8;987.120833;19.341667;25.2;21.516667;19.7;87.875;66;10.9;1.945833;
2007-09-01;2.4;986.904167;19.1875;27.1;21.408333;18.1;87.708333;64;8.9;1.8125;
2007-09-02;1.6;987.191667;18.425;27;22.383333;19.8;79.791667;51;10.2;2.5;
2007-09-03;.8;987.333333;18.5875;26.4;20.870833;17.5;87.208333;64;15.2;2.183333;
2007-09-04;6.4;987.304167;19.529167;25.9;21.6625;19.4;88.208333;69;13.2;2.375;
2007-09-05;7.6;987.775;19.329167;26.2;21.779167;19.8;86.541667;62;14.6;3.1625;
2007-09-06;2;987.416667;18.520833;26.6;22.2375;19.4;80.75;54;11.3;2.85;
2007-09-07;6.4;986.525;18.4875;27.4;22.529167;20;79.583333;50;10.2;3.029167;
2007-09-08;0;986.233333;18.2625;25.3;20.441667;16.9;87.833333;66;11.1;1.670833;
2007-09-09;2.8;985.466667;18.8125;27.5;21.625;18.3;84.916667;59;9.2;1.766667;
2007-09-10;2;985.770833;17.5625;27.5;22.6625;20.1;75.083333;42;10;2.3875;
2007-09-11;.6;985.7125;18.225;27.5;22.070833;18.8;80.125;52;12;2.204167;
2007-09-12;6;985.9875;18.916667;24.5;21.4375;19.8;85.875;70;11.7;2.233333;
2007-09-13;.2;984.804167;18.5125;28.4;22.370833;18.6;80.208333;49;10.5;2.5125;
2007-09-14;4;984.7625;18.454167;25.7;21.495833;19;83.875;59;10.8;2.395833;
2007-09-15;.8;984.5125;18.5;26.8;22.004167;18.9;81.666667;60;9.8;2.083333;
2007-09-16;.4;983.858333;19.508333;25.3;21.066667;19.4;91.083333;74;6.4;1.191667;
2007-09-17;3.6;983.045833;19.758333;29.4;23.795833;19.9;79.333333;56;7.3;2.479167;
2007-09-18;0;985.158333;19.045833;28.3;23.2625;20.5;78.458333;55;8;2.379167;
2007-09-19;0;985.75;17.908333;29.2;22.95;18.8;75.625;43;8.8;2.141667;
2007-09-20;0;984.020833;18.433333;28.7;22.754167;19.2;78;54;8.6;2.395833;
2007-09-21;0;983.870833;18.220833;29.1;23.283333;19.3;74.833333;47;12.2;4.05;
2007-09-22;0;985.325;17.679167;28.7;22.95;19.4;74.625;45;10;3.091667;
2007-09-23;.6;984.691667;18.054167;28.4;22.6875;19.2;77.291667;46;10;2.533333;
2007-09-24;0;984.1125;18.475;29;22.820833;18.2;78.333333;49;9.2;2.3125;
2007-09-25;0;984.058333;17.5125;29.2;22.779167;17.4;74.333333;45;10.2;2.4625;
2007-09-26;0;986.4625;18.845833;28.5;22.470833;18.9;80.958333;54;10.8;2.370833;
2007-09-27;.8;986.966667;18.158333;28.4;22.979167;19.5;75.958333;51;11.3;2.670833;
2007-09-28;0;986.6125;18.3625;28.5;22.458333;18.8;78.875;52;10.6;2.4875;
2007-09-29;0;986.133333;18.2;29.3;23.079167;18.9;75.875;48;10.2;2.920833;
2007-09-30;0;986.25;16.445833;29;22.804167;18.3;70.791667;37;9.5;2.766667;
2007-10-01;2.8;986.5375;18.175;28.5;22.0875;18.8;80.083333;49;8.9;2.1;
2007-10-02;0;985.779167;17.808333;29.1;23.025;18.8;74.583333;49;10;2.333333;
2007-10-03;0;984.616667;18.475;30;23.466667;19;75.541667;48;9.1;2.391667;
2007-10-04;.2;983.766667;19.2;29.1;23.695833;20.4;77.208333;51;8.8;2.941667;
2007-10-05;1.6;984.075;19.941667;24.6;22.008333;20.5;88.166667;75;8.6;2.320833;
2007-10-06;8.4;983.383333;18.883333;29;23.454167;20.4;76.833333;48;9.3;3.375;
2007-10-07;0;982.95;17.979167;28.9;23;19.2;75.458333;45;9.9;2.691667;
2007-10-08;1.4;983.616667;18.729167;27.1;22.0125;19.5;82.458333;59;9.2;2.004167;
2007-10-09;1.8;983.843478;18.817391;28;22.286957;18.7;82.043478;54;11.1;2.795652;
2007-10-10;3;983.520833;18.6;27.7;22.779167;19.3;78.791667;52;9.9;2.645833;
2007-10-11;0;981.9125;18.4625;30.2;23.575;19.3;75.125;40;9.3;2.875;
2007-10-12;0;981.683333;18.041667;30.7;24.0875;19.5;71.666667;42;9.3;3.625;
2007-10-13;0;982;18.9;29.3;23.433333;20.4;76.791667;52;10.9;3.995833;
2007-10-14;0;982.15;17.6;29.7;23.495833;18.9;71.75;42;12.2;3.7125;
2007-10-15;.2;983.625;17.695833;29.5;22.608333;18.3;75.416667;44;9.7;2.475;
2007-10-16;0;984.120833;16.675;29.9;23.025;16.8;70.416667;40;11.4;2.554167;
2007-10-17;0;982.916667;16.620833;30.5;23.3125;17.3;69.833333;35;9.2;2.166667;
2007-10-18;0;981.683333;18.225;32.7;25.05;19.6;68.25;39;10.2;3.325;
2007-10-19;0;981.6;18.604167;31.8;25.258333;20.8;68.083333;43;12;4.1125;
2007-10-20;0;982.058333;18.2875;32.4;25.033333;20.3;68.625;40;12.1;4.033333;
2007-10-21;0;982.020833;18.729167;32.9;25.204167;20.2;70.208333;36;12.1;3.970833;
2007-10-22;0;982.608333;18.945833;31.8;25.116667;20.7;70.916667;39;10.2;3.9625;
2007-10-23;0;983.254167;19.058333;31;24.725;21.9;72.25;44;11.1;3.591667;
2007-10-24;0;984.0625;18.925;30.4;24.408333;20.7;73.333333;44;12.4;3.395833;
2007-10-25;1.6;983.554167;18.254167;29.6;23.3875;20.5;75;43;13.5;2.954167;
2007-10-26;1.4;982.854167;17.316667;31.1;23.9875;19.2;69.75;38;10.3;2.895833;
2007-10-27;0;981.85;17.941667;32.2;24.825;19.9;69.125;35;9.3;3.404167;
2007-10-28;0;980.495833;18.5375;33.3;25.829167;20.5;66.791667;37;11.1;4.154167;
2007-10-29;0;980.5;18.05;32.8;25.508333;20.7;66.5;35;11.6;4.670833;
2007-10-30;0;979.925;18.116667;31.7;24.758333;20;69.625;39;12.3;4.070833;
2007-10-31;0;979.275;18.866667;32.9;25.466667;20.2;69.791667;34;11.2;4.020833;
2007-11-01;0;979.333333;18.525;33.4;25.695833;20.2;67.458333;35;11.9;4.883333;
2007-11-02;0;979.8375;15.9375;35;27.3;21.8;54.875;18;13.4;5.316667;
