Nome: CABROBO
Codigo Estacao: A329
Latitude: -8.504
Longitude: -39.31528
Altitude: 342.74
Situacao: Operante
Data Inicial: 2007-09-03
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-09-03;null;null;null;null;null;null;null;null;null;null;
2007-09-04;null;null;null;null;null;null;null;null;null;null;
2007-09-05;null;null;null;null;null;null;47.769231;38;13.9;null;
2007-09-06;.4;979.016667;16.858333;28.4;23.325;19.6;69.416667;38;17;5.620833;
2007-09-07;.6;978.079167;16.116667;30.3;23.945833;19.4;63.583333;39;13.4;4.766667;
2007-09-08;0;977.516667;15.108333;30.9;24.275;18.1;59.125;34;11.7;4.866667;
2007-09-09;0;976.945833;15.070833;30.7;24.6875;19.8;57.625;33;13.5;5.183333;
2007-09-10;0;976.725;15.5625;31.2;25.1;20.5;58.625;33;12.8;6.054167;
2007-09-11;0;977.091667;14.15;30.6;24.3;18.1;56.583333;32;14.7;5.8125;
2007-09-12;0;977.158333;15.895833;29.6;24.5625;20.7;60.541667;40;13.3;5.954167;
2007-09-13;0;976.154167;15.2;30.6;24.775;19.5;57.25;33;18.6;6.095833;
2007-09-14;0;976.1;16.7125;29.6;23.85;19.4;66.166667;41;13.7;5.429167;
2007-09-15;0;975.625;16.091667;31.8;24.904167;20.5;60.125;33;12.1;5.1;
2007-09-16;0;974.720833;14.920833;33.3;25.904167;19.8;54.791667;27;10.2;3.941667;
2007-09-17;0;973.85;17.020833;35;27.354167;21.8;56.875;26;13.2;4.5125;
2007-09-18;0;975.920833;17.083333;31.4;26.291667;23;59.041667;36;12.1;5.45;
2007-09-19;0;976.641667;15.1;32.7;26.154167;21.3;53.875;27;12.8;5.291667;
2007-09-20;0;974.995833;14.8875;32.4;25.704167;20;54.791667;29;12.6;4.641667;
2007-09-21;0;974.504167;14.241667;33.4;26.595833;20.7;52.125;20;13.8;4.658333;
2007-09-22;0;975.891667;14.729167;32.9;26.270833;21.1;52.833333;25;14.9;5.383333;
2007-09-23;0;975.591667;15.008333;31.9;25.65;20.2;54.375;31;14.3;5.845833;
2007-09-24;0;975.2375;15.166667;32.5;26.120833;19.8;54.416667;27;11.7;4.695833;
2007-09-25;0;974.295833;14.558333;34.3;27.158333;20.5;51.333333;20;11.4;4.604167;
2007-09-26;0;976.95;14.35;32.9;25.8625;20.2;52.291667;26;13.9;6.591667;
2007-09-27;0;977.741667;15.779167;32.3;25.8625;21;56.416667;32;13.9;6.295833;
2007-09-28;0;977.341667;14.4625;32.3;25.629167;20.7;53.625;28;13.3;5.7625;
2007-09-29;0;976.845833;15.5;32.9;26.495833;21.8;53.833333;30;13.5;5.516667;
2007-09-30;0;976.983333;13.670833;32.3;26.045833;21.5;50.333333;24;13.4;5.995833;
2007-10-01;0;977.2625;14.279167;32.4;26.070833;20.4;51.416667;28;15.6;5.9625;
2007-10-02;0;976.475;14.770833;33.1;26.4;20.9;51.75;29;13.5;5.704167;
2007-10-03;0;975.545833;15.008333;32.9;26.354167;20.8;52.208333;30;13.4;5.1125;
2007-10-04;0;974.879167;16.491667;31.2;26.15;22.1;57.25;37;11.9;4.695833;
2007-10-05;0;974.829167;16.8625;32.3;26.241667;21.5;58.791667;34;12.7;4.908333;
2007-10-06;0;974.304167;17.25;32;26.066667;22.1;60.083333;38;13.3;5.158333;
2007-10-07;0;973.7125;15.454167;32.7;26.316667;21.8;53.791667;31;13.6;6.358333;
2007-10-08;0;974.3125;15.075;32.6;25.995833;20.6;53.75;31;12.9;5.795833;
2007-10-09;0;974.682609;15.604348;32.1;25.826087;21.5;55.304348;32;13.7;5.956522;
2007-10-10;0;974.370833;15.675;32.9;25.829167;20.3;56.833333;31;15;5.616667;
2007-10-11;0;972.725;15.358333;34;26.7;20.8;53.416667;28;13.4;4.7375;
2007-10-12;0;971.979167;14.6;35.5;27.9875;21.7;48.416667;22;14.3;5.795833;
2007-10-13;0;972.283333;15.770833;34.4;27.2375;21;53.041667;26;13.3;5.6625;
2007-10-14;0;972.704167;14.791667;33.3;26.745833;20.9;51.333333;26;14.3;6.429167;
2007-10-15;0;974.370833;14.154167;33;26.533333;20.6;49.875;25;15.6;6.195833;
2007-10-16;0;974.995833;14.55;32.8;26.191667;20.7;51.75;28;13.2;5.4125;
2007-10-17;0;973.9125;14.6375;33.8;26.541667;20.3;51.583333;25;12.3;3.816667;
2007-10-18;0;972.116667;11.891667;37.7;29.175;20.9;41.25;13;8.5;2.7875;
2007-10-19;0;972.033333;16.4625;36;29.529167;22.2;49.583333;20;12.4;4.104167;
2007-10-20;0;972.4;16.570833;36;29.4;23.1;49.583333;26;12.9;4.770833;
2007-10-21;0;972.670833;16.920833;34.5;28.654167;23.1;51.5;31;12.5;4.404167;
2007-10-22;0;973.091667;16.2375;34.7;28.6375;23.2;50.75;26;12.1;5.2;
2007-10-23;0;973.916667;16.675;33.4;27.541667;22.4;54.833333;31;13.5;5.483333;
2007-10-24;0;974.5625;16.070833;33.6;27.491667;22.9;52.583333;29;14.4;6.4625;
2007-10-25;0;974.345833;15.541667;33;26.791667;21.9;53.125;29;14.3;6.504167;
2007-10-26;0;973.745833;14.8;33.4;27.041667;21.1;50.875;26;13.8;5.0875;
2007-10-27;0;972.575;14.466667;35.7;28.283333;21.4;46.541667;25;12.6;4.3125;
2007-10-28;0;970.920833;14.6625;37.2;30.033333;22.7;44.375;18;9.9;4;
2007-10-29;0;970.829167;15.033333;36.1;29.266667;22.8;47.583333;17;13.9;5.245833;
2007-10-30;0;970.479167;14.258333;35.6;28.429167;21.8;46.041667;23;12.8;5.141667;
2007-10-31;0;969.854167;14.520833;36;29.191667;22.7;44.5;20;12.1;4.754167;
2007-11-01;0;969.770833;15.345833;37.9;30.083333;23.2;46.583333;15;12.4;4.179167;
2007-11-02;0;971.054167;12.95;37.6;30.516667;23.9;38.083333;15;15.7;3.175;
2007-11-03;0;970.616667;11.070833;37.6;31.041667;25.2;31.375;18;10.7;3.720833;
2007-11-04;0;969.879167;12.479167;36.7;30.2375;23.6;36.5;18;12.3;3.558333;
