Nome: PIRIPIRI
Codigo Estacao: A335
Latitude: -4.276047
Longitude: -41.794568
Altitude: 157.89
Situacao: Operante
Data Inicial: 2007-08-30
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-08-30;null;null;null;null;null;null;null;null;null;null;
2007-08-31;null;994.570833;16.72381;35.3;27.920833;null;54.714286;22;10.1;2.454167;
2007-09-01;0;994.908333;16.213043;34.8;27.395833;20.1;55.869565;27;9.3;2.179167;
2007-09-02;0;994.708333;15.3625;35.9;27.9625;19;52.583333;24;9.2;2.125;
2007-09-03;0;994.458333;13.770833;36.1;29.216667;20.1;44.625;19;9;2.625;
2007-09-04;0;994.741667;14.845833;36.3;28.116667;20.6;52.916667;18;10.5;2.5625;
2007-09-05;0;995.079167;16.547368;35.3;27.625;19.1;51.210526;26;12.5;3.004167;
2007-09-06;0;994.945833;15.158333;34.8;29.029167;22.8;44.666667;28;11.8;2.925;
2007-09-07;0;994.5375;14.916667;36.3;28.404167;19.7;50.875;19;9.9;2.4625;
2007-09-08;0;993.6125;17.104167;36.8;28.516667;20.8;56.791667;23;7.8;1.929167;
2007-09-09;0;992.95;17.041667;37.6;29.2875;22.3;55.75;20;8.9;2.2875;
2007-09-10;0;992.583333;15.952381;37.3;28.8375;20.5;50.428571;20;10.3;2.366667;
2007-09-11;0;992.6625;13.354545;36;28.9125;21.2;44.045455;18;11.2;2.933333;
2007-09-12;0;992.8;14.5;36.6;28.7375;19;47.958333;22;12.7;2.716667;
2007-09-13;0;991.954167;16.3625;37.4;29.0875;21.6;50.291667;22;7.6;2.175;
2007-09-14;0;991.95;16.056522;37.1;28.5625;19.2;54.478261;18;10.2;2.0625;
2007-09-15;0;991.995833;17.513043;36.3;28.633333;20.5;57.086957;26;9.7;2.191667;
2007-09-16;0;991.704167;17.665217;37.9;28.870833;21.3;57.826087;21;9.5;2.158333;
2007-09-17;0;991.616667;18.345833;38.5;28.895833;21.1;59.791667;21;10.7;1.745833;
2007-09-18;0;993.220833;18.266667;36.5;28.045833;21.4;60.833333;24;9.2;2;
2007-09-19;0;993.875;17.981818;36.8;28.375;21.1;58.090909;24;9.7;1.816667;
2007-09-20;0;991.895833;18.720833;37.8;28.895833;21.5;61.958333;23;8.5;1.65;
2007-09-21;0;991.575;17.158333;37.6;29.5125;22;55.708333;19;8.2;1.758333;
2007-09-22;0;992.3375;15.92381;37.7;28.875;20.3;51.428571;17;10.1;2.295833;
2007-09-23;0;992.020833;16.819048;37.8;28.520833;19.7;52.857143;22;9.8;2.05;
2007-09-24;0;992.366667;17.586364;38.6;28.579167;20.4;57.409091;19;8;1.833333;
2007-09-25;0;992.375;18.275;39.2;28.783333;21.5;60.875;18;9.4;2.054167;
2007-09-26;0;993.595833;17.336842;37.4;28.475;21.5;53.473684;22;9.5;2.245833;
2007-09-27;0;994.045833;17.795455;37.1;28.829167;20.9;56.409091;23;9.4;1.741667;
2007-09-28;0;993.975;17.741667;36.6;29.158333;23;54.125;26;8.3;2.029167;
2007-09-29;0;993.4375;16.229167;38.1;29.433333;21;52.875;18;9.3;2.0125;
2007-09-30;0;993.279167;16.970833;37.5;29.591667;22.2;53.166667;23;9.7;2.266667;
2007-10-01;0;993.6875;16.6125;37.8;29.4375;22.8;50.791667;21;8.9;2.15;
2007-10-02;0;993.304167;18.654545;38.3;28.616667;21.1;60.181818;21;8.5;1.85;
2007-10-03;0;992.554167;18.416667;37.7;29.154167;22.8;59.041667;24;11.1;2.008333;
2007-10-04;.6;992.504167;20.3;35.1;27.691667;23.4;67.136364;31;10.4;2.175;
2007-10-05;0;992.683333;17.741667;36.7;29.566667;24.8;54.291667;25;9.5;1.670833;
2007-10-06;0;991.1625;14.779167;38.1;29.8875;23.1;43.5;20;9.6;2.15;
2007-10-07;0;990.2375;17.15;38.1;29.8875;23.1;50.833333;23;9.6;2.241667;
2007-10-08;0;990.6625;17.8125;38.7;29.725;22.6;55.833333;20;10.3;2.516667;
2007-10-09;0;990.508696;17.626087;38.1;30.2;22.7;53.521739;23;10.5;2.217391;
2007-10-10;0;990.458333;18.6625;38.2;29.558333;22.7;59.541667;22;12.8;2.141667;
2007-10-11;0;989.770833;19.2625;38.4;29.133333;22.3;62.166667;22;9.6;1.941667;
2007-10-12;0;989.6625;18.256522;39.5;29.1125;20.6;59.043478;19;10.5;1.929167;
2007-10-13;0;989.904167;17.554167;38.6;29.333333;21.1;58.666667;17;10.5;2.4375;
2007-10-14;0;989.279167;15.379167;38.7;29.666667;21.2;51.583333;15;10.4;2.604167;
2007-10-15;0;990.773913;14.278261;38.1;30.717391;24.4;39.956522;18;9.5;2.73913;
2007-10-16;0;991.186364;13.727273;38.8;30.313636;21.6;42.454545;15;9.7;2.368182;
2007-10-17;null;null;null;38.1;null;21.7;58.705882;22;9.9;null;
2007-10-18;null;null;null;39.7;null;22;52;17;7;null;
2007-10-19;null;null;null;37;null;22.5;60.375;28;7.6;null;
2007-10-20;null;null;null;null;null;null;null;25;8.9;null;
2007-10-21;null;null;null;37;null;21.7;54.9375;24;10.8;null;
2007-10-22;null;null;null;37.7;null;21.1;48.142857;19;12.6;null;
2007-10-23;null;null;null;null;null;null;50.076923;19;10.6;null;
2007-10-24;null;null;null;null;null;null;null;19;10.6;null;
2007-10-25;null;null;null;null;null;null;43.533333;15;12.5;null;
2007-10-26;null;null;null;39;null;21.3;39.785714;14;9.7;null;
2007-10-27;null;null;null;null;null;null;37.928571;20;11.3;null;
2007-10-28;null;null;null;null;null;null;41.692308;15;9.3;null;
2007-10-29;null;null;null;null;null;null;null;17;10.7;null;
2007-10-30;null;null;null;null;null;null;null;15;10.9;null;
2007-10-31;null;null;null;null;null;null;41.666667;20;9.7;null;
2007-11-01;null;null;null;null;null;null;null;23;9.8;null;
2007-11-02;null;null;null;null;null;null;null;28;9.4;null;
2007-11-03;null;null;null;null;null;null;null;21;7.7;null;
2007-11-04;null;null;null;null;null;null;50;25;7.2;null;
2007-11-05;null;null;null;null;null;null;null;22;12.1;null;
2007-11-06;null;null;null;null;null;null;null;14;10.2;null;
2007-11-07;null;null;null;null;null;null;27.5;14;11.7;null;
2007-11-08;null;null;null;null;null;null;null;19;10.6;null;
2007-11-09;null;null;null;null;null;null;null;13;8;null;
2007-11-10;null;null;null;38.5;null;21.7;50.230769;23;8;null;
2007-11-11;null;null;null;null;null;null;null;21;9.2;null;
2007-11-12;null;null;null;null;null;null;null;27;16.5;null;
2007-11-13;null;null;null;null;null;null;47.357143;18;9.4;null;
2007-11-14;null;null;null;null;null;21;54.214286;27;10.7;null;
2007-11-15;null;null;null;null;null;null;null;19;9.6;null;
2007-11-16;null;null;null;null;null;null;null;null;null;null;
2007-11-17;null;null;null;null;null;null;null;null;null;null;
2007-11-18;null;null;null;null;null;null;null;null;null;null;
2007-11-19;null;null;null;null;null;null;null;23;6.1;null;
2007-11-20;null;null;null;null;null;null;null;25;9.1;null;
2007-11-21;null;null;null;null;null;null;null;24;9.7;null;
2007-11-22;null;null;null;null;null;null;null;22;9.4;null;
2007-11-23;null;null;null;null;null;null;null;29;6.3;null;
2007-11-24;null;null;null;null;null;null;null;31;11.4;null;
2007-11-25;null;null;null;null;null;null;null;29;9.4;null;
2007-11-26;null;null;null;null;null;null;null;33;6.2;null;
2007-11-27;null;null;null;null;null;null;null;25;9.1;null;
2007-11-28;null;null;null;null;null;null;null;22;6.7;null;
2007-11-29;null;null;null;null;null;null;null;33;6.7;null;
2007-11-30;null;null;null;null;null;null;null;28;6.8;null;
2007-12-01;null;null;null;null;null;null;null;31;8.4;null;
2007-12-02;null;null;null;null;null;null;null;25;7.2;null;
2007-12-03;null;null;null;null;null;null;null;24;7.2;null;
2007-12-04;null;null;null;null;null;null;null;24;9.3;null;
2007-12-05;null;null;null;null;null;null;null;30;7.8;null;
2007-12-06;null;null;null;null;null;null;null;40;7;null;
2007-12-07;null;null;null;null;null;null;null;32;10.9;null;
2007-12-08;null;null;null;null;null;null;null;35;9.4;null;
2007-12-09;null;null;null;null;null;null;null;21;11.1;null;
2007-12-10;null;null;null;null;null;null;null;29;8.6;null;
2007-12-11;null;null;null;null;null;null;null;33;6.4;null;
2007-12-12;null;null;null;null;null;null;null;31;8.5;null;
2007-12-13;null;null;null;null;null;null;null;28;13;null;
2007-12-14;null;null;null;null;null;null;null;21;8.1;null;
2007-12-15;null;null;null;null;null;null;null;28;17.6;null;
2007-12-16;null;null;null;null;null;null;null;45;11.3;null;
2007-12-17;null;null;null;null;null;null;null;31;10.4;null;
2007-12-18;null;null;null;null;null;null;null;24;9.7;null;
2007-12-19;null;null;null;null;null;null;null;21;9.1;null;
2007-12-20;null;null;null;null;null;null;null;22;13.9;null;
2007-12-21;null;null;null;null;null;null;null;22;8.8;null;
2007-12-22;null;null;null;null;null;null;null;27;14.3;null;
2007-12-23;null;null;null;null;null;null;null;26;9.2;null;
2007-12-24;null;null;null;null;null;null;null;21;15.9;null;
2007-12-25;null;null;null;null;null;null;null;24;8.4;null;
2007-12-26;null;null;null;null;null;null;null;31;8.4;null;
2007-12-27;null;null;null;null;null;null;null;39;8.4;null;
2007-12-28;null;null;null;null;null;null;null;30;8;null;
2007-12-29;null;null;null;null;null;null;null;30;9.5;null;
2007-12-30;null;null;null;null;null;null;null;34;12.6;null;
2007-12-31;null;null;null;null;null;null;null;42;6.9;null;
2008-01-01;null;null;null;null;null;null;null;37;5.5;null;
2008-01-02;null;null;null;null;null;null;null;30;8.9;null;
2008-01-03;null;null;null;null;null;null;null;32;7.5;null;
