Nome: JAGUARUANA
Codigo Estacao: A339
Latitude: -4.78694444
Longitude: -37.76666666
Altitude: 49
Situacao: Operante
Data Inicial: 2007-11-09
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-11-09;null;null;null;null;null;null;null;null;null;null;
2007-11-10;null;1006.304167;17.6;35.8;27.870833;null;56.208333;27;12.2;4.3;
2007-11-11;0;1007.6375;19.520833;34.3;27.779167;23.4;62.833333;35;14.2;4.829167;
2007-11-12;0;1008.779167;19.766667;33.4;27.854167;23.9;64.333333;33;11.4;4.358333;
2007-11-13;0;1008.679167;19.741667;34;27.595833;22.8;64.958333;33;13;4.983333;
2007-11-14;0;1009.391667;19.895833;34.3;28.545833;25.5;60.791667;38;16.9;5.6125;
2007-11-15;0;1009.478261;19.347826;34.5;28.16087;22.9;60.652174;36;12.5;4.913043;
2007-11-16;null;null;null;null;null;null;null;null;null;null;
2007-11-17;null;null;null;null;null;null;null;null;null;null;
2007-11-18;null;null;null;null;null;null;null;null;null;null;
2007-11-19;null;null;null;null;null;null;null;39;11.6;null;
2007-11-20;null;1008.679167;19.429167;36.2;28.541667;23.7;60.416667;29;13.4;4.683333;
2007-11-21;0;1009.725;21.258333;34.6;28.533333;24.4;66.375;42;13.2;5.016667;
