Nome: CRATEUS
Codigo Estacao: A342
Latitude: -5.18666666
Longitude: -40.67222221
Altitude: 298.19
Situacao: Operante
Data Inicial: 2008-12-10
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-12-10;null;null;null;null;null;null;null;null;null;null;
2008-12-11;null;null;null;null;null;null;null;27;9.2;null;
2008-12-12;null;976.2;16.408333;35.2;29.729167;25.2;46.916667;27;11.9;3.520833;
2008-12-13;0;976.554167;15.195833;36.4;29.620833;23.6;44.625;25;10.4;2.595833;
2008-12-14;0;976.220833;16.608333;35.3;29.45;23.6;48.125;30;10.1;2.479167;
2008-12-15;null;974.542857;15.642857;37.2;null;23.8;42.52381;24;8.9;2.342857;
2008-12-16;null;975.161111;16.5;34.7;null;24.1;45.222222;30;9.2;2.222222;
2008-12-17;null;null;null;36.7;null;24.1;36.125;21;9.6;null;
2008-12-18;null;null;null;36.7;null;25.4;37.411765;26;9.1;null;
2008-12-19;null;null;null;36.6;null;24.5;41.764706;28;7.7;null;
2008-12-20;null;null;null;33.7;null;25.4;51;34;8.4;null;
2008-12-21;null;null;null;null;null;null;44.733333;33;8.9;null;
2008-12-22;null;null;null;34.8;null;25.6;38.6;26;13.6;null;
2008-12-23;null;null;null;36.5;null;23.2;33.75;21;9;null;
2008-12-24;null;976;15.915789;34.7;null;24.3;44.894737;29;7;1.926316;
2008-12-25;null;null;null;36.7;null;23.5;37.933333;24;9;null;
2008-12-26;null;null;null;34.8;null;24.5;43.588235;24;9.8;null;
2008-12-27;null;null;null;36.5;null;23.4;40.6875;23;14;null;
2008-12-28;null;null;null;36.7;null;25.6;39.625;25;8.2;null;
2008-12-29;null;null;null;36.4;null;25.7;40.466667;28;7.4;null;
2008-12-30;null;null;null;36.2;null;25.1;39.6875;26;9.3;null;
2008-12-31;null;976.561111;14.422222;35.5;null;24.2;39.333333;24;9.4;3.127778;
2009-01-01;null;null;null;36.2;null;23.2;40.176471;27;8.1;null;
2009-01-02;null;null;null;34.6;null;23.8;42.375;31;9.4;null;
2009-01-03;null;null;null;36.9;null;23.4;38.4375;23;8.6;null;
2009-01-04;null;null;null;35.9;null;23;41.705882;25;9.5;null;
2009-01-05;null;976.3;15.083333;36.1;null;23.6;40.888889;21;9.7;2.638889;
2009-01-06;null;null;null;37;null;24.7;37.333333;25;9.7;null;
2009-01-07;null;null;null;34.6;null;24.7;41.529412;30;10;null;
2009-01-08;null;null;null;36.5;null;25.8;39.6875;26;8;null;
2009-01-09;null;null;null;34.5;null;24.8;43.75;31;9.9;null;
2009-01-10;null;null;null;33.8;null;23.8;48.0625;35;9.1;null;
2009-01-11;null;null;null;36.2;null;25.5;36.625;24;10.4;null;
2009-01-12;null;null;null;37.4;null;24.3;36.5625;23;8.2;null;
2009-01-13;null;null;null;36.4;null;24.8;42.235294;28;10.1;null;
2009-01-14;null;null;null;35.6;null;24.9;46.5625;30;8.3;null;
2009-01-15;null;null;null;35;null;24.4;43.375;29;8.6;null;
2009-01-16;null;null;null;36.2;null;24.8;43.733333;28;8.3;null;
2009-01-17;null;null;null;35.1;null;24.1;46.75;32;13.6;null;
2009-01-18;null;null;null;null;null;25.1;61.307692;39;11.5;null;
2009-01-19;null;null;null;null;null;null;46.4;26;9.1;null;
2009-01-20;null;null;null;36;null;24.3;57.0625;28;12.3;null;
2009-01-21;null;null;null;33.5;null;24;73.142857;40;13.1;null;
2009-01-22;null;null;null;null;null;null;73.428571;44;11.9;null;
2009-01-23;null;null;null;null;null;null;69.933333;52;10.6;null;
2009-01-24;null;null;null;32.4;null;22.5;69;44;9.9;null;
2009-01-25;null;null;null;null;null;22.9;null;70;9.1;null;
2009-01-26;null;null;null;null;null;null;53.466667;31;8.6;null;
2009-01-27;null;null;null;34.8;null;21.6;45.411765;26;9.5;null;
2009-01-28;null;976.95;17.805556;34.2;null;22.6;49.444444;33;9;2.65;
2009-01-29;null;null;null;35;null;22.9;62.058824;35;10.4;null;
2009-01-30;null;null;null;32.9;null;23.6;69.266667;47;9.6;null;
2009-01-31;null;null;null;32.9;null;23;71.866667;44;11.4;null;
2009-02-01;null;null;null;32.9;null;23.1;71.4375;42;8.9;null;
2009-02-02;null;null;null;32.1;null;23.2;72;44;10.5;null;
2009-02-03;null;null;null;30.5;null;22.3;72.4375;55;9.1;null;
2009-02-04;null;null;null;32.1;null;20.8;64.588235;41;12.3;null;
2009-02-05;null;978.122222;19.922222;32.5;null;23.1;60.166667;43;8.4;2.344444;
2009-02-06;null;978.477778;21.077778;31.5;null;22.5;67.055556;52;7.9;1.894444;
2009-02-07;null;null;null;34.3;null;22.5;56.705882;34;8;null;
2009-02-08;null;977.572222;17.455556;34.4;null;21.9;53.222222;28;8.1;2.1;
2009-02-09;null;976.966667;18.888889;33.7;null;21.1;56.222222;38;8.5;2.138889;
2009-02-10;null;977.205556;19.844444;35.1;null;22.7;59;35;7.1;2.083333;
2009-02-11;null;null;null;33.9;null;23.5;54.764706;37;9.6;null;
2009-02-12;null;null;null;null;null;24.3;67.9375;40;10.4;null;
2009-02-13;27.4;975.708333;21.441667;31.8;24.504167;22.3;84.375;49;12.4;1.6375;
2009-02-14;11.8;975.429167;21.2125;33.3;26.116667;22.3;76.791667;41;7.9;1.85;
2009-02-15;0;975.6125;20.429167;33;26.945833;22.8;70.291667;41;10;2.254167;
2009-02-16;0;975.65;20.704167;33.2;26.554167;23;72.208333;39;7.6;1.916667;
2009-02-17;0;976.379167;21.008333;33.2;26.441667;23;73.583333;40;6.4;1.4125;
2009-02-18;0;976.666667;21.825;28.6;25.0875;23.4;82.75;61;8.2;1.858333;
2009-02-19;5.6;976.641667;21.2;31;26.066667;23.1;76.208333;51;9.1;1.516667;
2009-02-20;.2;975.908333;21.291667;32.1;25.566667;22.5;78.75;50;9.9;1.875;
2009-02-21;4;976.304167;22.116667;27.7;23.995833;22.7;89.5;72;10.6;1.533333;
2009-02-22;29.6;977.3125;21.95;32;25.008333;22.5;84.375;49;8.3;1.35;
2009-02-23;2.8;977.875;21.445833;28.5;23.595833;22.2;88.208333;65;10.6;1.158333;
2009-02-24;35.4;976.470833;20.4875;32.3;24.8875;20.7;78.541667;47;8.7;1.566667;
2009-02-25;2;976.383333;21.966667;29.4;24.9875;23.3;83.833333;64;7.4;1.254167;
2009-02-26;.4;975.616667;20.925;33.5;26.533333;22.4;74.166667;39;8;1.5;
2009-02-27;0;976.733333;21.675;32.8;26.033333;23.1;78.5;46;8.2;1.433333;
2009-02-28;9.6;977.4375;21.933333;31.1;24.754167;22.6;85.458333;56;6.3;1.420833;
2009-03-01;17.6;978.1375;22.033333;32.2;25.066667;22.4;84.583333;48;9.4;1.4625;
2009-03-02;1.4;978.145833;22.466667;29.2;24.475;22.8;88.958333;67;6.9;1.133333;
2009-03-03;12;978.454167;22.35;30.7;24.366667;22.6;89.083333;58;7.5;1.333333;
2009-03-04;4.4;977.504167;21.879167;32.1;25.625;22.2;81.291667;50;9.9;1.795833;
2009-03-05;.6;977.345833;21.995833;32.8;25.804167;23;80.875;49;7.6;1.741667;
2009-03-06;.6;977.879167;22.0375;30.8;25.55;22.8;81.625;59;7.6;1.829167;
2009-03-07;0;977.916667;21.191667;32.4;25.533333;22.6;78.416667;49;13.5;1.3875;
2009-03-08;4.2;977.6125;21.941667;30.5;24.758333;22.2;85.125;57;8.7;1.533333;
2009-03-09;3;976.825;21.733333;33;25.966667;22.7;79.208333;43;9;1.4875;
2009-03-10;0;976.8125;21.245833;33.5;26.833333;22.6;73.833333;41;7.5;1.291667;
2009-03-11;0;976.491667;22.041667;31.6;25.433333;22.7;82.708333;53;8.9;1.745833;
2009-03-12;12.2;976.716667;22.079167;30.5;24.720833;22.6;85.958333;61;8.9;1.541667;
2009-03-13;12;976.270833;22.270833;30.7;25.1875;22.7;84.75;59;6.9;1.320833;
2009-03-14;5;977.541667;22.229167;30.5;25.366667;23;83.375;60;7;1.604167;
2009-03-15;4.6;978.679167;21.929167;30.5;24.108333;22.2;88.166667;60;9.9;1.2;
2009-03-16;.2;977.925;21.870833;31.3;24.929167;22.6;84.125;56;10.5;2.004167;
2009-03-17;2;978.354167;21.954167;28.8;24.058333;22.8;88.416667;67;11.4;1.129167;
2009-03-18;25.8;978.195833;21.175;29.7;24.1;20.7;84.75;60;8.1;1.129167;
2009-03-19;3;977.045833;21.170833;32.4;25.725;21.9;77.875;49;7;1.858333;
2009-03-20;0;976.6875;21.1125;32.8;26.416667;21.9;74.791667;45;7.4;1.7;
2009-03-21;0;976.179167;21.575;33.1;26.716667;22.1;75.333333;47;6.7;1.6625;
2009-03-22;0;975.4625;21.758333;33.6;26.816667;22.8;76.041667;43;8.1;1.9625;
2009-03-23;0;975.575;22.3;31.7;25.875;23.7;81.708333;49;9.6;2.283333;
2009-03-24;1.2;976.025;21.95;33.5;25.6375;23.3;81.666667;44;12.1;1.895833;
2009-03-25;4.4;975.670833;21.908333;32.4;26.183333;23.3;78.916667;49;8.5;1.4625;
2009-03-26;8.6;976;22.1625;32.6;26.254167;23.1;80;48;11.9;2.129167;
2009-03-27;0;976.791667;21.8625;32.4;25.975;23;79.375;52;6.2;1.370833;
2009-03-28;.8;977.029167;22.116667;30.8;25.05;22.9;84.458333;60;12;1.575;
2009-03-29;9.8;976.625;21.241667;32.5;25.9;21.6;77.75;48;9.2;1.554167;
2009-03-30;0;976.691667;21.7875;31.7;25.525;22.8;80.875;55;10.1;1.6375;
2009-03-31;.2;976.508333;21.6875;30;24.979167;22.2;82.791667;58;8.7;1.795833;
2009-04-01;1.8;977.241667;21.645833;31.9;25.258333;22.2;82;49;10.2;1.329167;
2009-04-02;29.8;976.858333;21.675;31.6;24.816667;21.6;84;54;7.9;1.325;
2009-04-03;16.8;976.8625;22;31.5;25.658333;22.5;81.875;51;5.8;1.391667;
2009-04-04;.6;977.595833;22.25;29.4;24.566667;23;87.541667;62;4.7;1.404167;
2009-04-05;3.2;977.85;21.166667;31.3;25.204167;21.3;79.875;53;5.5;1.325;
2009-04-06;0;978.208333;21.375;32.1;26.604167;23.4;74.791667;49;5.7;1.516667;
2009-04-07;0;978.470833;21.866667;32.1;25.8;22.9;80.083333;53;8.3;1.658333;
