Nome: CALCANHAR
Codigo Estacao: A344
Latitude: -5.16
Longitude: -35.48749999
Altitude: 9.82
Situacao: Pane
Data Inicial: 2008-05-07
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-05-07;null;null;null;null;null;null;null;null;null;null;
2008-05-08;null;null;null;null;null;null;null;null;null;null;
2008-05-09;null;null;null;null;null;null;81.928571;70;7.8;null;
2008-05-10;27.2;1009.95;23.6625;29.3;26.295833;24.1;85.75;74;8.5;3.441667;
2008-05-11;1.2;1010.558333;23.129167;30.4;26.841667;24;80.75;63;13.9;6.025;
2008-05-12;.2;1010.804167;22.233333;31.3;26.895833;23.6;76.5;50;15.3;7.283333;
2008-05-13;41;1011.8;22.6375;26.8;24.083333;22.7;91.791667;78;11.5;4.458333;
2008-05-14;14.6;1011.0625;22.179167;27.7;24.6;23.2;86.625;71;12.6;6.025;
2008-05-15;15.2;1012.033333;22.208333;29.4;25.045833;22.2;84.75;68;14.1;5.795833;
2008-05-16;3;1011.704167;23.308333;30;26.2375;23;84.458333;70;11.7;5.6625;
2008-05-17;0;1011.5125;23.275;30.3;26.6625;23.6;82.125;64;12.2;5.595833;
2008-05-18;0;1011.704167;23.225;29.9;26.6;23.6;82.375;66;12;5.516667;
2008-05-19;.2;1010.766667;23.0125;30;26.479167;22.7;81.791667;65;10.9;5.425;
2008-05-20;0;1010.220833;23.095833;29.7;26.620833;23.6;81.541667;64;12.8;5.966667;
2008-05-21;0;1009.770833;22.995833;29.5;26.633333;23.4;81.041667;67;9.5;4.8125;
2008-05-22;0;1010.495833;22.804167;30;26.679167;23.7;79.875;62;10.1;5.633333;
2008-05-23;.2;1009.908333;22.658333;29.6;26.304167;23.2;80.791667;66;11.7;5.245833;
2008-05-24;0;1010.2375;22.329167;29.9;25.441667;22.5;83.416667;64;13.7;4.916667;
2008-05-25;4.8;1009.891667;23.070833;29.2;26.054167;23.1;83.916667;70;10.1;4.9375;
2008-05-26;0;1009.808333;23.029167;29.7;26.604167;23.5;81.125;67;9.7;4.995833;
2008-05-27;.6;1010.258333;22.8375;28.8;24.970833;23.5;88.291667;70;12;4.183333;
2008-05-28;2;1009.641667;22.145833;29.8;25.716667;23.4;81.416667;55;15.6;6.033333;
2008-05-29;4.4;1009.879167;22.7375;28.7;25.75;22.7;83.833333;71;13;5.591667;
2008-05-30;15.4;1010.758333;23.041667;29.7;25.408333;23.4;87.416667;66;15.8;5.575;
2008-05-31;10;1011.754167;22.416667;25.3;23.933333;23.7;91.291667;86;18.2;5.45;
2008-06-01;28.2;1011.46087;21.913043;29.7;25.56087;22.1;80.913043;62;13.4;6.43913;
2008-06-02;0;1010.983333;21.0875;30.9;25.629167;22.4;77.25;47;13.7;5.883333;
2008-06-03;0;1011.516667;21.495833;28.7;24.9;22.4;81.75;72;9.7;4.529167;
2008-06-04;0;1012.030435;22.13913;26.3;24.147826;22.6;88.652174;80;15.1;5.273913;
2008-06-05;19.6;1012.65;22.941667;29;25.445833;22.6;86.458333;64;11.4;4.495833;
2008-06-06;0;1012.0875;22.15;30;25.954167;23.4;80.5;60;15.5;5.945833;
2008-06-07;0;1011.175;21.720833;29.8;25.8625;22.3;78.875;60;15.5;6.441667;
2008-06-08;14.6;1011.145833;22.345833;25.3;23.745833;22.4;92;78;12.2;4.770833;
2008-06-09;48;1011.3625;21.604167;24.2;22.883333;21.9;92.333333;89;13.8;5.158333;
2008-06-10;32.8;1011.55;22.270833;28.6;24.895833;22.3;85.666667;69;13;5.75;
2008-06-11;1.4;1011.066667;21.775;29.6;25.341667;23.3;81.583333;53;15.6;5.491667;
2008-06-12;0;1011.4;21.595833;27.1;25.2;23.3;80.583333;70;13.1;6.004167;
2008-06-13;0;1010.854167;21.25;29.3;25.916667;23.3;75.958333;58;14.6;7.391667;
2008-06-14;0;1010.625;21.879167;29.5;25.5375;22.6;80.583333;63;13.3;6.5875;
2008-06-15;2.2;1011.675;22.325;28.5;25.041667;22.9;85.041667;74;11.1;5.358333;
