Nome: URUCUI
Codigo Estacao: A346
Latitude: -7.44138888
Longitude: -44.34499999
Altitude: 398.83
Situacao: Pane
Data Inicial: 2008-03-05
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-03-05;null;null;null;null;null;null;null;null;null;null;
2008-03-06;null;null;null;null;null;null;null;null;null;null;
2008-03-07;null;null;null;null;null;null;null;71;5;null;
2008-03-08;null;967.041667;20.7;30.7;24.2875;19.7;82.125;49;4.3;.629167;
2008-03-09;.8;967.55;20.495833;30;24.075;19.8;81.458333;56;12.1;1.1875;
2008-03-10;0;966.179167;20.791667;31.2;24.983333;19.7;79.083333;53;6.3;.854167;
2008-03-11;0;965.383333;21.504167;31;25.504167;21;79.541667;55;8.2;.891667;
2008-03-12;0;966.279167;22.4125;30.2;25.383333;22.4;84.291667;60;6.9;.8;
2008-03-13;4.6;967.466667;21.445833;29.3;23.483333;21;88.958333;59;6.9;.6125;
2008-03-14;19.8;966.025;21.416667;30.3;24.433333;20.4;84.666667;54;4.8;.6875;
2008-03-15;0;967.158333;20.7375;26;22.558333;20.6;89.791667;68;8;1.004167;
2008-03-16;2.4;967.8125;20.483333;29.5;23.095833;19.1;86.375;58;8.4;.7625;
2008-03-17;.2;966.958333;21.091667;29.3;23.5125;20.1;87.333333;59;6.6;.9125;
2008-03-18;2.6;967.233333;21.2125;27.2;22.704167;20.9;91.583333;70;8.8;.925;
2008-03-19;7.6;967.366667;20.9875;25.2;21.916667;20.7;94.75;81;5.6;.458333;
2008-03-20;29.8;967.608333;20.770833;27.6;22.1375;19.8;92.333333;71;6.9;.658333;
2008-03-21;21.4;966.445833;20.745833;29.4;23.5875;19.7;85.375;60;8.3;1.0625;
2008-03-22;2.6;966.204167;21.558333;30.1;24.154167;20.7;86.333333;56;6.4;.883333;
2008-03-23;.4;965.995833;21.866667;28.3;24.020833;21;88.25;63;6.1;.616667;
2008-03-24;0;967.120833;21.2875;27.8;22.579167;20.2;92.791667;67;7.6;.6375;
2008-03-25;11.4;967.204167;21.225;30.6;24.220833;19.7;84.583333;52;5.1;.525;
2008-03-26;.8;966.633333;21.3125;28;23.579167;21;87.458333;66;5.4;.683333;
2008-03-27;.8;965.079167;21.308333;28.9;23.6625;20.9;87.291667;61;8;.558333;
2008-03-28;7.2;965.008333;21.154167;30;24.608333;21.3;82.791667;50;5.3;.783333;
2008-03-29;1.2;965.116667;21.691667;28.4;23.6375;21.7;89.25;65;5.9;.520833;
2008-03-30;5.4;965.170833;21.854167;27;23.533333;22.3;90.625;71;6;.5375;
2008-03-31;25.4;964.633333;21.579167;27.8;23.1;22.1;91.5;69;10.5;.591667;
2008-04-01;1;965.141667;21.258333;26.3;22.55;21.4;92.5;74;6.1;.808333;
2008-04-02;3.6;965.45;20.854167;29.5;23.5875;20.7;85.833333;55;7;.816667;
2008-04-03;14.2;965.9125;21.304167;26.3;22.7625;21.3;91.708333;72;8.8;.616667;
2008-04-04;14.4;965.275;20.970833;29.7;23.866667;20.9;85.25;57;6.3;.879167;
2008-04-05;0;965.55;21.720833;30.6;24;21.2;88.166667;56;10.4;1.216667;
2008-04-06;7.4;966.1125;21.466667;28.9;24.454167;22.1;84.5;58;4.9;.575;
2008-04-07;0;965.4875;21.875;30.1;24.641667;21.6;85.458333;57;4.2;.516667;
2008-04-08;10.4;966.333333;22.279167;28.8;24.325;21.9;88.833333;66;5.9;.825;
2008-04-09;.8;966.5125;21.220833;30;24.666667;21.4;82.291667;58;7.8;1.2;
2008-04-10;0;964.5375;20.4875;31.8;25.5375;20.3;76.125;44;9.1;1.204167;
2008-04-11;0;963.379167;20.045833;32;26.108333;20.4;71.333333;46;7.3;1.275;
2008-04-12;0;964.095833;20.658333;31.1;25.120833;19.8;77.916667;50;6;.566667;
2008-04-13;0;965.408333;21.645833;28.5;24.120833;22.5;86.583333;64;8;.770833;
2008-04-14;1.8;966.120833;21.695833;28.8;23.6875;21.7;89.166667;65;7.4;.579167;
2008-04-15;1.8;966.0125;21.4375;31;25.095833;22.1;81.958333;52;7.2;.8375;
2008-04-16;0;966.791667;21.1875;31.7;24.858333;20.2;81.625;49;12;.85;
2008-04-17;.2;966.991667;20.608333;32;25.55;20.3;76.75;45;8.8;1.470833;
2008-04-18;0;966.391667;19.708333;31.5;25.3625;20;73.125;45;8.4;1.075;
2008-04-19;0;966.066667;19.658333;32.4;25.4125;20.1;72.875;40;8.7;1.125;
2008-04-20;0;965.991667;19.454167;32.2;25.3375;19.7;72.416667;44;7.3;1.095833;
2008-04-21;0;966.366667;20.054167;32.1;25.675;20.7;73.291667;45;8.4;1.325;
2008-04-22;0;966.108333;20.033333;32.3;26.408333;22.2;70.208333;44;8.8;1.15;
2008-04-23;0;965.395833;20.1;32.7;26.4375;20.9;70;44;8.7;1.0375;
2008-04-24;0;965.233333;21.133333;32.6;26.233333;21.8;75.333333;47;6.8;.833333;
2008-04-25;0;964.991667;22.1875;31.1;25.208333;22.1;84.166667;55;7.1;.633333;
2008-04-26;6;965.320833;22.25;28.6;24.608333;21.6;87.333333;67;6.9;.379167;
2008-04-27;1.2;965.2875;21.183333;30.5;25.1125;21.3;80.75;50;7.7;.516667;
2008-04-28;0;964.704167;19.775;32.6;25.6625;18.8;72.666667;43;7.7;1.025;
2008-04-29;0;964.770833;20.3875;33.4;26.0875;20.6;73;43;7.9;.95;
2008-04-30;2.2;965.475;21.791667;28.8;25.091667;22;82.625;63;6.8;1.125;
2008-05-01;.2;964.526087;21.034783;32.5;26.1;20.9;76.347826;46;8.2;1.395652;
2008-05-02;0;964.954167;20.454167;31.8;25.725;21;74.75;45;9;1.454167;
2008-05-03;0;965.8625;20.495833;32.6;25.845833;20.7;74.125;45;7.7;1.1875;
2008-05-04;.4;966.670833;20.35;32.1;26.041667;20.9;73;45;5.8;.783333;
2008-05-05;0;967.575;21.0375;29.2;24.733333;20.3;80.833333;58;5.9;.725;
2008-05-06;0;966.670833;20.3875;32.8;25.6375;19.7;75.875;41;7.2;.554167;
2008-05-07;0;966.433333;20.704167;32;25.570833;20.3;76.25;48;6.5;.620833;
2008-05-08;1.8;965.891667;21.479167;31.8;24.666667;21.1;83.375;52;11;.55;
2008-05-09;20.4;965.870833;21.754167;28.4;24.7875;22.2;83.791667;65;7.1;.8875;
2008-05-10;5.4;967.079167;20.791667;28.5;24.054167;21.1;83.166667;59;5.4;.879167;
2008-05-11;0;968.1875;19.75;29.8;24.333333;21.4;77.125;49;9.9;1.775;
2008-05-12;0;968.75;19.6;30;24.316667;20.6;76.458333;51;10.5;1.433333;
2008-05-13;0;969.195833;18.275;29;22.958333;19.1;76.833333;52;9.7;1.75;
2008-05-14;0;969.05;17.770833;30.8;23.7125;18;71.708333;44;9.6;1.504167;
2008-05-15;0;968.904167;17.6875;31.8;24.608333;18.4;68.291667;39;8.7;1.533333;
2008-05-16;0;968.433333;19.020833;32;25.591667;20.6;68.916667;43;8;1.1875;
2008-05-17;0;968.325;18.595833;33.1;26.166667;20.9;66.25;37;8.7;1.508333;
2008-05-18;0;968.395833;18.5;32.3;25.070833;19.5;69.125;41;10;2.0125;
2008-05-19;0;968.120833;19.033333;32.3;25.504167;20.7;69.625;41;10.6;1.758333;
2008-05-20;0;967.525;18.683333;32;25.775;20.3;67.083333;41;8.5;1.316667;
2008-05-21;0;966.920833;18.754167;31.2;25.108333;20;69.833333;46;7.6;1.0625;
2008-05-22;0;967.145833;18.85;33.1;25.445833;20.3;69.416667;40;8.2;1.4875;
2008-05-23;0;967.095833;18.658333;30.7;24.641667;19.3;71.333333;46;10;1.6125;
2008-05-24;0;967.191667;19.141667;30.7;24.375;19.6;74.208333;49;7.8;1.104167;
2008-05-25;0;966.195833;18.991667;31.8;25.1125;19.8;71.25;44;8.3;1.445833;
2008-05-26;0;966.495833;18.429167;32.7;26.2875;21.1;64.416667;37;8.5;1.1625;
2008-05-27;0;966.6625;18.695833;32.8;25.529167;19.7;67.875;41;7.9;1.4375;
2008-05-28;0;966.720833;17.7625;31.9;24.529167;18.7;68.625;40;9.4;1.704167;
2008-05-29;0;967.025;15.604167;30.9;23.433333;17.2;64.208333;37;12.1;1.9125;
2008-05-30;0;968.116667;17.554167;32.2;24.670833;18.8;66.666667;41;8.7;1.629167;
2008-05-31;0;968.570833;16.370833;33;25.35;19;60.75;32;8.8;1.791667;
2008-06-01;0;969.072727;17.140909;31.9;24.604545;19;65.954545;37;10.6;2.159091;
2008-06-02;0;969.166667;15.783333;30.5;24.320833;19.3;60.958333;34;10.9;1.933333;
2008-06-03;0;969.4;14.491667;30.8;22.891667;16.4;61.875;31;9;1.0875;
2008-06-04;0;968.983333;15.629167;31.7;23.754167;16.8;63.041667;34;7.7;1.266667;
2008-06-05;0;969.3375;16.275;32.2;24.875;18.5;61.708333;34;9.7;1.704167;
2008-06-06;0;969.130435;16.96087;33.2;25.069565;18.5;63.869565;32;10.6;1.817391;
2008-06-07;0;968.720833;16.620833;32;24.770833;19.2;63.916667;33;11.1;2.066667;
2008-06-08;0;968.145833;14.925;31.8;23.983333;17.3;60.25;31;11.4;2.329167;
2008-06-09;0;968.116667;15.808333;31.6;24.691667;19;59.75;34;11;2.158333;
2008-06-10;0;968.304167;15.8;32.3;25.691667;20.2;56.416667;34;10.4;1.683333;
2008-06-11;0;967.983333;16.791667;32.2;24.891667;18.7;62.875;38;9.4;1.804167;
2008-06-12;0;968.441667;15.1375;32.2;24.7;18.4;58.541667;33;8.1;1.175;
2008-06-13;0;968.25;15.520833;31.8;24.875;19.6;57.375;37;8.8;1.516667;
2008-06-14;0;967.204167;15.7125;32;24.895833;18.7;58.958333;33;9.7;1.625;
2008-06-15;0;968.475;15.416667;31.5;24.358333;18.2;59.583333;34;9.5;1.658333;
2008-06-16;0;968.575;15.008333;34.2;25.8625;18.7;54.666667;29;9.1;1.404167;
2008-06-17;0;967.5125;17.391667;33.3;27.279167;23.9;55.666667;37;9.8;1.533333;
2008-06-18;0;967.783333;14.404167;32.7;25.016667;20.2;55.125;28;11.4;2.4;
2008-06-19;0;967.908333;14.145833;31.4;23.7375;17;57.791667;32;9.8;2.045833;
2008-06-20;0;967.845833;13.466667;32.4;23.666667;16.6;55.458333;30;10.9;1.929167;
2008-06-21;0;967.479167;13.425;31.9;23.9625;16.4;54.583333;30;10.6;1.583333;
2008-06-22;0;967.583333;13.266667;31.6;23.954167;17.5;53.916667;29;9.1;1.583333;
2008-06-23;0;968.216667;13.5625;32.7;24.15;16.1;54.583333;30;10.3;1.391667;
2008-06-24;0;969.354167;16.791667;33.4;25.520833;19.4;60.291667;35;10.3;1.979167;
2008-06-25;0;968.7875;14.320833;32.6;25.0625;18.6;55.5;27;10.4;2.329167;
2008-06-26;0;968.4125;13.041667;32.6;24.4375;18.3;51.291667;28;9.8;2.154167;
2008-06-27;0;969.9125;14.5625;31.3;23.829167;16.7;57.875;35;10.9;2.216667;
2008-06-28;0;971.241667;15.575;31.8;23.858333;17.6;62.625;36;10.7;2.341667;
2008-06-29;0;971.120833;15.7125;30.4;23.670833;18.6;62.916667;40;10.1;2.133333;
2008-06-30;0;970.379167;13.283333;31.8;23.583333;16.9;55.75;29;11.2;1.666667;
2008-07-01;0;969.733333;13.783333;32.5;24.820833;17.3;52.833333;31;8.5;1.741667;
2008-07-02;0;970.066667;15.708333;31.9;25.854167;22.2;54.875;34;11.6;2.208333;
2008-07-03;0;969.758333;13.554167;31.2;24.595833;18.3;51.958333;31;11.5;2.420833;
2008-07-04;0;969.170833;13.008333;32.6;24.1875;17.2;52.666667;28;8.2;1.575;
2008-07-05;0;968.9125;13.5625;33.5;24.783333;17.2;52.333333;28;8.8;1.6875;
2008-07-06;0;969.766667;16.170833;33;25.183333;19.9;59.458333;36;9.6;2.6625;
2008-07-07;0;970.35;15.875;32;25.041667;19.9;58.916667;34;11.5;2.604167;
2008-07-08;0;969.829167;14.479167;31.9;25.020833;20.1;54.375;32;9.9;2.275;
2008-07-09;0;969.4;13.191667;31.8;23.808333;17.7;54.75;28;9.4;1.966667;
2008-07-10;0;970.004167;11.629167;32.9;24.1;17.7;48.791667;25;10.2;2.1;
2008-07-11;0;970.566667;13.941667;33.1;24.795833;19;52.791667;30;9.9;2.629167;
2008-07-12;0;970.129167;14.520833;32.5;24.733333;18.8;55.5;31;12.5;2.445833;
2008-07-13;0;969.079167;12.866667;31.7;23.9125;17;52.708333;28;13.6;2.220833;
2008-07-14;0;969.241667;10.3125;31.8;23.6;15.9;46.333333;23;9.6;2.295833;
2008-07-15;0;970.295833;11.495833;32;23.7375;17.9;48.666667;25;11;2.425;
2008-07-16;0;970.654167;12.866667;31.7;24;19;51.875;30;11.7;2.795833;
2008-07-17;0;969.554167;13.820833;31.9;24.5625;17.6;53.125;33;9.2;2.183333;
2008-07-18;0;969.5875;15.995833;31.8;25.558333;21.3;56.541667;38;9.3;2.4375;
2008-07-19;0;969.591667;16.020833;33.7;25.725;18.8;58;32;8.8;1.954167;
2008-07-20;0;969.341667;14.658333;33.5;25.329167;18.7;55;27;8.6;1.808333;
2008-07-21;0;969.491667;12.395833;32.6;25.158333;20.2;46.541667;27;10.6;2.195833;
2008-07-22;0;969.816667;14.958333;32.8;25.070833;20.6;55;32;10.2;2.495833;
2008-07-23;0;969.1125;14.758333;33.4;25.254167;18.7;55.458333;29;8.8;1.679167;
2008-07-24;0;968.7125;12.6375;33.7;25.970833;20.4;45.75;26;10.2;2.045833;
2008-07-25;0;969.041667;12.8125;33.9;25.4875;18.7;47.625;26;9.4;1.270833;
2008-07-26;0;968.85;10.983333;33.7;25.758333;18.2;42.708333;21;9.5;1.6875;
2008-07-27;0;969.570833;12.841667;33.6;25.404167;19.4;46.625;29;12.3;2.670833;
2008-07-28;0;970.579167;11.741667;32.3;24.679167;17.7;45.833333;28;10.8;2.908333;
2008-07-29;0;969.791667;12.7875;32.8;24.191667;17.4;52.166667;27;9.9;2.458333;
2008-07-30;0;968.391667;13.7125;32.4;25.7375;20;48.708333;30;8.7;1.758333;
2008-07-31;0;967.533333;12.479167;34.6;26.275;19;45.041667;23;8.4;2.1;
2008-08-01;0;967.795833;11.466667;33.5;25.629167;19.4;43.083333;23;11.2;2.608333;
2008-08-02;0;967.841667;11.341667;33.9;25.654167;17.8;42.875;24;8.9;1.708333;
2008-08-03;0;967.258333;13.383333;34;26.379167;18.6;46.375;29;9.8;1.3875;
2008-08-04;0;966.820833;15.720833;34.9;26.908333;20.3;52.416667;30;7.4;.875;
2008-08-05;0;967.104167;15.05;35;27.583333;22.1;48.666667;26;12.6;1.858333;
2008-08-06;0;967.325;11.3875;33.3;25.658333;19;43.083333;21;12.4;2.625;
2008-08-07;0;967.783333;13.554167;33.1;24.9;17.9;51.041667;31;10.2;2.158333;
2008-08-08;0;967.683333;15.933333;33.6;26.3375;20.3;54.416667;32;10;1.433333;
2008-08-09;0;968.395833;15.2375;34.3;26.616667;19.4;53.541667;27;8.6;1.458333;
2008-08-10;0;968.091667;11.004167;34.1;26.075;19.5;40.5;21;9;2.045833;
2008-08-11;0;967.829167;10.616667;33.6;25.475;19.1;41.541667;22;11.1;2.491667;
2008-08-12;0;967.9625;12.2375;33.7;25.983333;19.9;44.333333;24;9.9;2.116667;
2008-08-13;0;968.466667;13.0875;34.5;26.445833;20.6;45.791667;23;9;2.266667;
2008-08-14;0;969.175;11.783333;33.8;26.3375;20.7;41.916667;24;11;2.633333;
2008-08-15;0;969.441667;12.5375;33.7;25.858333;21;45.666667;24;10.6;2.933333;
2008-08-16;0;968.083333;11.916667;34.7;25.433333;18.2;45.791667;22;10.5;2.020833;
2008-08-17;0;967.308333;13.133333;34.6;26.358333;20.9;46.416667;24;9;2.754167;
2008-08-18;0;967.541667;11.516667;34.6;27.025;21.3;40.291667;20;10.3;2.616667;
2008-08-19;0;967.933333;9.370833;33.1;25.820833;19.4;37.458333;20;10.1;2.9375;
2008-08-20;0;967.025;10.629167;33.1;25.679167;20.3;41;23;10.9;2.504167;
2008-08-21;0;966.7625;12.4875;34.1;25.8375;19.1;44.708333;28;10.2;2.095833;
2008-08-22;0;966.9875;14.725;34.3;27.2875;22.3;47.875;29;8.4;2.104167;
2008-08-23;0;967.4875;14.5375;35.2;27.729167;22.4;46.416667;27;9.3;2.379167;
2008-08-24;0;967.466667;14.054167;35.2;27.504167;22.3;45.083333;27;10.5;2.4875;
2008-08-25;0;968.15;12.6;34.8;26.820833;21.4;43.375;24;9.6;2.766667;
2008-08-26;0;967.595833;11.354167;34.6;26.408333;19.8;41.541667;21;9.1;2.116667;
2008-08-27;0;966.358333;10.391667;34.7;27.070833;19.5;36.833333;21;9.5;1.491667;
2008-08-28;0;965.491667;12.195833;34.8;27.804167;20.7;38.958333;25;10.9;1.570833;
2008-08-29;0;966.2;14.166667;35.3;28.3625;22;43.541667;27;9.4;1.558333;
2008-08-30;0;965.2;12.966667;36.6;29.216667;22.5;38.625;23;9.8;2.004167;
2008-08-31;0;965.266667;12.5125;36.2;28.904167;21.4;37.708333;24;11.1;1.770833;
2008-09-01;0;965.958333;11.0875;36.9;28.675;23.7;35.083333;20;12.3;2.8625;
2008-09-02;0;966.408333;13.666667;35.1;27.4625;22.3;44;25;10.4;3.491667;
2008-09-03;0;966.675;14.1875;34.3;27.258333;22.1;46.75;25;10;2.191667;
2008-09-04;0;966.516667;11.641667;36.7;28.375;20.5;38.166667;18;9.9;1.891667;
2008-09-05;0;966.366667;11.7375;36.5;28.5125;21.3;37;21;12.3;2.116667;
2008-09-06;0;967.245833;8.616667;37.9;29.108333;22.5;30;13;13.2;2.183333;
2008-09-07;0;968.25;9.6875;37.2;28.479167;22.1;32.5;16;10;2.379167;
2008-09-08;0;968.1;12.233333;35.8;28.1125;23.1;39.333333;21;12;2.620833;
2008-09-09;0;968.695833;12.191667;35.7;27.7625;22.3;39.458333;23;8.8;2.104167;
2008-09-10;0;969.25;11.3625;35.7;27.345833;21.1;38.916667;22;10.1;2.833333;
2008-09-11;0;969.0375;13.95;35.5;27.758333;22.3;44.541667;27;12.3;2.975;
2008-09-12;0;968.4875;13.266667;34.5;27.341667;20.6;43.666667;25;10.4;2.491667;
2008-09-13;0;967.720833;11.933333;35.5;27.620833;20;39.958333;21;10.4;1.958333;
2008-09-14;0;967.179167;10.995833;36.8;29;22.5;34.875;17;8.8;2.233333;
2008-09-15;0;967.25;10.220833;38.2;29.675;24;31.416667;15;9.8;2.354167;
2008-09-16;0;967.5125;9.416667;37.1;29.079167;23.1;30.75;15;10.7;2.841667;
2008-09-17;0;967.054167;10.891667;36.9;28.766667;21;34.916667;19;10.2;2.041667;
2008-09-18;0;966.058333;10.216667;38;29.533333;23.1;32.208333;13;8.5;1.7625;
2008-09-19;0;966.7375;9.791667;37.3;29.016667;22.9;31.583333;14;12.8;2.579167;
2008-09-20;0;967.695833;9.758333;36.5;28.491667;22.4;32.583333;15;11.5;2.583333;
2008-09-21;0;967.595833;11.041667;36.8;28.733333;21.7;34.833333;20;9.1;1.975;
