Nome: IBIMIRIM
Codigo Estacao: A349
Latitude: -8.50944444
Longitude: -37.71166666
Altitude: 434.23
Situacao: Operante
Data Inicial: 2008-10-13
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-10-13;null;null;null;null;null;null;null;null;null;null;
2008-10-14;null;null;null;null;null;null;null;null;null;null;
2008-10-15;null;null;null;null;null;null;36.923077;24;12.1;null;
2008-10-16;0;965.566667;15.133333;33.5;25.7625;18.6;56.583333;26;11.3;3.754167;
2008-10-17;0;964.266667;15.45;35.6;26.570833;18.5;56.75;22;10.4;2.708333;
2008-10-18;.4;963.908333;15.333333;36.3;27.320833;19.6;54.625;17;9.5;3.058333;
2008-10-19;0;964.533333;14.741667;35.4;27.070833;18.7;52.666667;12;9.2;2.195833;
2008-10-20;0;965.604167;15.1625;36.5;27.35;19.6;52.125;20;12.2;3.195833;
2008-10-21;0;965.845833;16.308333;34.1;25.933333;20.2;59.25;26;11.6;3.9;
2008-10-22;0;965.854167;15.291667;34;25.166667;17.8;58.625;27;12.1;4.025;
2008-10-23;0;965.65;15.870833;31.3;24.433333;18.5;62.25;30;12.8;4.033333;
2008-10-24;0;965.683333;15.358333;33.2;24.8625;18.1;60.083333;27;12.3;4.054167;
2008-10-25;0;965.045833;15.370833;34.5;25.908333;16.6;56.666667;27;11.7;3.104167;
2008-10-26;0;964.595833;15.15;33.9;26.504167;18.7;53.416667;28;12.4;3.641667;
2008-10-27;0;963.7875;14.720833;36.5;27.6125;19.5;52.333333;15;9.7;2.604167;
