Nome: FLORESTA
Codigo Estacao: A351
Latitude: -8.59888888
Longitude: -38.58416666
Altitude: 327.42
Situacao: Operante
Data Inicial: 2008-09-14
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-09-14;null;null;null;null;null;null;null;null;null;null;
2008-09-15;null;null;null;null;null;null;null;null;null;null;
2008-09-16;null;null;null;null;null;null;null;null;null;null;
2008-09-17;null;null;null;null;null;null;null;null;null;null;
2008-09-18;null;null;null;null;null;null;41.230769;31;11;null;
2008-09-19;0;977.358333;14.966667;32.2;25.354167;19.6;56;28;12.3;3.7125;
2008-09-20;0;977.808333;14.583333;32.2;25.5125;18.4;54.791667;27;11.6;4.15;
2008-09-21;0;977.4375;16.120833;31.6;25.270833;18.5;59.666667;34;13.4;4.345833;
2008-09-22;0;976.304167;16.145833;33.5;26.6;21.1;56.041667;30;9.9;3.85;
2008-09-23;0;973.691667;14.479167;36.5;27.708333;19.3;50.375;20;9.3;2.733333;
2008-09-24;0;973.5875;15.325;35.3;28.279167;20.9;48.416667;23;11.7;3.479167;
2008-09-25;0;976.35;15.829167;34.4;27.266667;22.9;52.833333;23;11.9;4.641667;
2008-09-26;0;976.6;14.941667;33;26.445833;20.1;52.75;26;11.4;4.325;
2008-09-27;0;975.045833;16.208333;32.9;26.583333;19.6;56.083333;32;12.4;4.304167;
