Nome: ACARAU
Codigo Estacao: A360
Latitude: -3.1211111
Longitude: -40.08722221
Altitude: 67.15
Situacao: Pane
Data Inicial: 2009-04-21
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2009-04-21;null;null;null;null;null;null;null;null;null;null;
2009-04-22;null;null;null;null;null;null;null;63;8.9;null;
2009-04-23;null;1003.004167;22.966667;30.8;25.566667;22.8;86.583333;61;6.6;1.858333;
2009-04-24;14.8;1003.358333;22.95;32.1;25.3875;23.1;87.458333;57;7.5;1.529167;
2009-04-25;30;1005.020833;23.058333;27;24.458333;23.4;92.208333;75;5.5;1.504167;
2009-04-26;1;1004.466667;23.025;31.1;26.1625;22.4;83.958333;60;6.8;1.429167;
2009-04-27;0;1004.329167;23.254167;29.8;25.025;23.8;90.291667;68;12.8;1.958333;
2009-04-28;16.6;1004.204167;22.808333;30.9;25.5625;22.2;85.875;63;7.2;1.4625;
2009-04-29;5.4;1004.125;23.670833;28.4;25.008333;23;92.416667;76;5.8;1.658333;
2009-04-30;10;1005.075;22.945833;27.3;24.345833;21.9;92.166667;76;7.1;1.504167;
2009-05-01;.4;1004.070833;23.341667;31.9;26.275;23.3;85.125;56;6.8;1.158333;
2009-05-02;1;1004.05;23.366667;25.4;24.35;23.6;94.25;88;6.6;1.6625;
2009-05-03;12.4;1005.03913;22.717391;25.2;23.826087;22.9;93.652174;83;6.1;1.852174;
2009-05-04;5.4;1004.383333;22.6875;31;24.908333;22.1;88.541667;53;9.6;1.4375;
