Nome: CANTO DO BURITI
Codigo Estacao: A365
Latitude: -8.117939
Longitude: -42.975721
Altitude: 312.07
Situacao: Operante
Data Inicial: 2010-06-11
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2010-06-11;null;null;null;null;null;null;null;null;null;null;
2010-06-12;null;null;null;null;null;null;null;null;null;null;
2010-06-13;null;null;null;null;null;null;null;null;null;null;
2010-06-14;null;null;null;null;null;null;null;null;null;null;
2010-06-15;null;null;null;null;null;null;null;null;null;null;
2010-06-16;null;null;null;null;null;null;37.461538;30;11.4;null;
2010-06-17;0;977.4875;15.4375;34;27.8625;21.7;48.958333;29;10.5;3.375;
2010-06-18;0;976.658333;16.4625;33.5;28.133333;23;49.958333;34;12;3.4625;
2010-06-19;0;976.316667;17.425;33;28.058333;23.4;53.541667;35;10.9;4.245833;
2010-06-20;0;975.741667;15.35;35.1;27.275;20;52.666667;25;9.5;2.804167;
2010-06-21;0;975.941667;13.845833;34.7;27.308333;19.4;47.291667;21;10.6;2.75;
2010-06-22;0;976.966667;11.683333;35.5;26.320833;16.2;43.875;20;9.1;2.079167;
2010-06-23;0;977.704167;15.479167;34.8;26.8;18.1;51.833333;28;11.2;2.9;
2010-06-24;0;979.3375;12.533333;33.5;28.104167;24.4;42.333333;14;12.8;5.1125;
2010-06-25;0;980.6875;15.508333;29.6;25.1;20;56;33;12.2;3.725;
2010-06-26;0;978.395833;15.920833;33.1;25.325;17.3;59.375;32;12.9;3.745833;
2010-06-27;.2;978.704167;16.766667;29;25.404167;21.6;60.541667;44;12.5;4.475;
2010-06-28;0;978.716667;14.529167;32.1;27.025;21.3;47.875;32;11.9;3.8125;
2010-06-29;0;978.2375;13.733333;33.9;26.995833;18.5;47.291667;21;11.9;3.929167;
2010-06-30;0;978.741667;14.654167;33.1;26.858333;21.9;50.791667;23;13.3;4.445833;
2010-07-01;0;979.395833;15.958333;31.2;25.866667;21.2;55.75;37;11.9;3.5625;
2010-07-02;0;978.720833;13.3;33.1;25.820833;19.3;50.875;20;11.7;3.445833;
2010-07-03;0;978.25;14.891667;33.8;26.645833;19.9;51.125;30;11.9;4.0125;
2010-07-04;0;978.1875;14.633333;33.3;26.795833;21.6;50;28;11.5;4.208333;
2010-07-05;0;978.1375;14.154167;32.9;25.883333;18.6;51.833333;24;11.2;3.741667;
2010-07-06;0;978.570833;14.6;31.6;26.375;21.3;50.791667;29;14;5.016667;
2010-07-07;0;978.145833;12.4375;32.5;25.329167;18.1;47.375;22;11;3.175;
2010-07-08;0;978.391667;13.529167;33.8;26.420833;19.2;47.291667;27;8.8;2.329167;
