Nome: SANTA CRUZ
Codigo Estacao: A367
Latitude: -6.22805554
Longitude: -36.02666666
Altitude: 227.49
Situacao: Pane
Data Inicial: 2010-08-16
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2010-08-16;null;null;null;null;null;null;null;null;null;null;
2010-08-17;null;null;null;null;null;null;null;null;null;null;
2010-08-18;null;null;null;null;null;null;null;null;null;null;
2010-08-19;null;null;null;null;null;null;null;null;null;null;
2010-08-20;null;null;null;null;null;null;null;37;9.7;null;
2010-08-21;null;989.8875;17.891667;30;23.891667;18;69.875;50;12.1;3.104167;
2010-08-22;.2;990.470833;20.054167;27.7;23.895833;21.7;79.583333;60;11.1;3.083333;
2010-08-23;.6;989.65;17.45;28.5;24.204167;21.4;66.916667;48;11.1;3.570833;
2010-08-24;0;988.879167;17.85;30.2;24.108333;18;69.333333;47;12.1;3.025;
2010-08-25;0;988.883333;17.170833;30.8;24.820833;18.2;64.25;42;10.5;2.825;
2010-08-26;0;988.604167;17.2875;31.9;25.9625;21.3;60.583333;36;11.2;3.4875;
2010-08-27;0;988.4125;19.054167;28.1;23.933333;19.3;74.791667;61;13.2;2.3375;
2010-08-28;.4;987.6875;16.541667;32.2;25.4375;19.8;61.125;32;10.5;2.791667;
2010-08-29;0;987.991667;18.8125;31.4;25.5;22.8;67.291667;45;10.4;3.983333;
2010-08-30;0;988.704167;16.116667;31.5;25.658333;21.1;58.625;30;10.9;3.1;
2010-08-31;.2;988.379167;17.058333;31;25.283333;20.5;63.166667;37;13.3;3.804167;
2010-09-01;1.6;988.4;16.6625;31;24.8;20.6;63.541667;26;14.2;3.95;
2010-09-02;0;989.175;16.670833;30.1;25.033333;21.1;61.708333;39;13.4;3.970833;
2010-09-03;0;989.4625;15.070833;31.9;24.916667;17.7;58.458333;27;10.3;3.083333;
2010-09-04;0;989.525;16.983333;30.9;24.408333;18.1;64.5;43;11.1;2.95;
2010-09-05;0;989.108333;15.466667;32.4;25.091667;18.7;58.166667;30;10.2;2.941667;
2010-09-06;0;989.966667;13.983333;31.7;24.75;18.3;54.875;28;11.8;2.916667;
2010-09-07;0;989.525;15.1875;31.8;24.908333;19.8;57.416667;31;10.9;3.3875;
2010-09-08;0;988.920833;17.475;29.4;23.591667;17.9;69.916667;46;10.9;2.366667;
2010-09-09;0;989.325;19.045833;29.8;23.033333;17.2;79.375;53;11.1;2.279167;
2010-09-10;1;989.270833;17.066667;30.1;25.308333;21.7;62.166667;39;12.5;3.7875;
2010-09-11;0;988.3125;14.645833;32.3;25.095833;20;56.416667;20;11.6;3.9;
2010-09-12;0;987.9875;16.633333;30.3;24.725;20.5;62.291667;40;11.5;3.258333;
2010-09-13;0;987.8;15.15;32.8;25.5625;19.5;56.583333;26;11.8;3.608333;
2010-09-14;0;988.554167;17.025;32.5;25.579167;20.8;61.875;32;12.7;3.6;
2010-09-15;0;987.895833;16.4;32.2;25.7875;22.1;58.458333;33;11.5;4.429167;
2010-09-16;0;986.75;15.554167;32.6;25.525;19.6;57.541667;29;12.1;3.125;
2010-09-17;0;987.145833;16.9;32.9;25.758333;20.5;60.708333;32;11;3.0875;
2010-09-18;0;988.0375;15.7875;33.4;25.6125;17.7;58.958333;27;11.3;2.6375;
2010-09-19;0;987.908333;17.279167;32.9;25.508333;18.5;63.208333;33;12;2.904167;
2010-09-20;0;987.275;15.595833;32.5;26.0625;22.8;54.666667;29;10.9;4.0125;
2010-09-21;0;987.2375;16.625;31.6;25.391667;20;60.25;35;11.7;3.733333;
2010-09-22;0;987.483333;15.845833;32.8;26.5125;22.3;54.875;29;13.7;3.958333;
2010-09-23;0;987.929167;15.608333;32.3;25.591667;19.9;56.5;32;12.3;3.7625;
2010-09-24;0;987.904167;16.529167;32.8;26.1875;21.7;57.666667;28;12.3;3.466667;
2010-09-25;0;987.595833;17.725;31.8;25.8;21.2;62.708333;38;11.7;3.375;
2010-09-26;0;986.625;17.566667;32.5;26.054167;21.7;61.833333;33;11.9;3.329167;
2010-09-27;0;986.041667;16.5125;33.5;26.545833;21.9;57.5;27;11.6;3.541667;
2010-09-28;0;985.191667;18.9625;32;25.804167;21.9;67.083333;46;11.2;3.491667;
2010-09-29;0;985.354167;18.083333;34;26.708333;21.8;62.541667;30;10.5;3.041667;
2010-09-30;0;985.720833;18.2875;33.9;26.7625;22.1;63.5;31;10.3;3.429167;
2010-10-01;0;985.466667;18.208333;35.1;26.841667;20.7;63.125;29;10.8;2.691667;
2010-10-02;0;985.6375;18.308333;35.2;27.7;21.4;61.583333;26;10.1;3.004167;
2010-10-03;0;986.041667;17.291667;35.7;27.795833;23.3;57;24;10;3.108333;
2010-10-04;0;987.366667;16.641667;34.5;27.254167;21.6;56.166667;25;11.1;3.254167;
2010-10-05;0;987.054167;16.195833;34;26.629167;21.1;55.791667;30;10.6;3.470833;
2010-10-06;0;986.945833;15.841667;34.8;26.308333;18.2;56.916667;25;9.9;2.620833;
2010-10-07;0;987.904167;16.7375;33.8;26.316667;19.5;59.125;28;15.3;3.079167;
2010-10-08;0;989.0125;17.716667;33.9;26.541667;21;61.833333;30;9.7;3.0375;
2010-10-09;0;988.266667;18.358333;35.3;27.1;22.1;63.041667;26;8.5;2.529167;
2010-10-10;0;988.045833;18.675;34.2;27.195833;23.2;63.125;32;10.6;3.395833;
2010-10-11;0;987.266667;17.575;33.8;27.404167;22.2;58;31;11.2;3.125;
2010-10-12;0;987.3375;17.741667;34.5;27.604167;22.9;57.75;29;10.8;3.295833;
2010-10-13;0;987.870833;16.854167;33.5;26.616667;20.4;58.333333;30;14.5;3.166667;
2010-10-14;0;987.970833;16.929167;32.5;26.741667;22.5;56.958333;30;13;3.670833;
2010-10-15;0;986.925;16.825;33;27.1125;23.3;55.666667;31;13.6;3.866667;
2010-10-16;0;986.65;17;32.7;26.658333;22.4;57.375;33;11.8;3.833333;
2010-10-17;0;986.233333;17.254167;34.3;26.995833;20.5;58.25;29;12.2;3.308333;
2010-10-18;0;986.533333;17.983333;35.4;27.2;20.5;60.875;27;10.3;2.9125;
2010-10-19;0;986.0375;19.241667;35.1;27.641667;23.6;63.708333;31;9.2;3.220833;
2010-10-20;0;985.9125;19;36.2;27.8375;22.5;63.333333;26;10.1;2.366667;
2010-10-21;0;985.775;19.058333;36.1;28.075;23.6;61.458333;28;10.6;2.358333;
2010-10-22;0;985.3125;19.741667;32.2;26.9125;23.4;66.25;43;8.7;2.879167;
2010-10-23;0;984.745833;20.079167;30.4;26.479167;24.3;69.125;49;8.8;2.245833;
2010-10-24;3.2;984.616667;20.3875;34.3;26.4125;23.4;71.791667;38;9.7;1.8125;
2010-10-25;4.4;983.825;19.6625;33.1;26.720833;22.8;67.333333;39;9.9;2.783333;
2010-10-26;0;983.808333;19.0875;33.9;27.441667;23.1;62.833333;36;9.6;2.7875;
2010-10-27;0;984.1125;19.466667;34;26.9375;22.4;66.208333;38;9.6;2.379167;
2010-10-28;0;984.283333;19.141667;35.2;27.4;22.5;64.375;31;9.7;2.254167;
2010-10-29;0;985.0875;19.633333;33;26.904167;23.7;66.625;39;10.2;2.8125;
2010-10-30;0;986.05;17.8625;34;27.154167;23.1;60.791667;29;12.5;3.125;
2010-10-31;0;986.454167;17.9625;33.9;26.566667;19.7;62.708333;32;11.2;2.783333;
2010-11-01;0;987.070833;18.233333;34;27.283333;22.8;60.791667;31;12.2;3.204167;
2010-11-02;0;984.975;17.4;34.8;27.0375;20.4;59.833333;28;12.1;2.775;
2010-11-03;0;984.5125;17.966667;35;27.308333;22.9;59.833333;27;11;2.883333;
2010-11-04;0;985.279167;18.616667;34.1;26.941667;22.1;63.125;33;11.9;3.304167;
2010-11-05;0;986.25;18.741667;34.3;27.854167;24;60.75;31;12.4;3.495833;
