Nome: QUIXADA
Codigo Estacao: A369
Latitude: -4.97888888
Longitude: -39.05722222
Altitude: 193
Situacao: Pane
Data Inicial: 2018-03-19
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-03-19;null;null;null;null;null;null;null;null;null;null;
2018-03-20;null;null;null;null;null;null;null;null;null;null;
2018-03-21;null;null;null;null;null;null;null;38;8.1;null;
2018-03-22;10.4;989.083333;22.779167;32.8;27.054167;24;78.541667;53;8.9;1.8125;
2018-03-23;11.6;988.6625;null;32.8;27.208333;22.6;null;75;9.2;1.904167;
2018-03-24;.6;988.4125;22.004167;33.8;27.291667;23.2;75.333333;41;8.3;1.558333;
2018-03-25;0;988.866667;21.279167;33.3;27.641667;24;71.125;43;7.2;1.470833;
2018-03-26;.8;989.725;21.491667;32.6;26.845833;22.9;74.25;45;8;1.25;
2018-03-27;.2;989.775;22.225;32.2;26.75;23.6;77.75;49;6.9;.945833;
2018-03-28;2.4;988.591667;22.716667;32.4;25.9375;22.6;83.458333;53;9.3;1.308333;
2018-03-29;26.8;988.5;23.216667;30.7;24.870833;22;91.208333;61;11.9;1.304167;
2018-03-30;36.2;988.991667;23.066667;29.2;25.004167;23.1;89.458333;66;6.6;1.229167;
2018-03-31;1.4;988.895833;22.7125;32.2;26.5875;22.8;80.916667;54;6.2;1.3375;
2018-04-01;.2;987.9375;23.005556;32.3;26.525;23.5;87.777778;64;7.3;1.608333;
2018-04-02;4;988.35;23.383333;28;24.925;23.7;91.25;77;10.9;1.095833;
2018-04-03;5.6;987.358333;23.1;32.5;26.175;23.1;84.458333;55;8.4;1.120833;
2018-04-04;.6;987.183333;22.733333;32.2;26.5875;23.5;80.708333;56;7.5;1.3875;
2018-04-05;0;987.479167;22.116667;32;26.595833;23.2;78.125;51;5.9;1.120833;
2018-04-06;0;988.304167;22.895833;30.7;25.291667;22.2;87.041667;63;7.7;.904167;
2018-04-07;3.6;989.091667;22.716667;31.5;26.1375;22.8;82.583333;55;6.3;.958333;
2018-04-08;9;990.375;21.975;29.7;24.679167;21.4;85.416667;63;7.9;1.233333;
2018-04-09;2;989.983333;22.6375;31;24.779167;22.5;88.458333;61;9.9;1.158333;
2018-04-10;5;989.929167;null;29.4;24.629167;22.8;null;93;7.6;1;
2018-04-11;4;989.804167;22.066667;30;24.3375;22;87.833333;63;8.9;1.020833;
2018-04-12;10.4;989.925;22.779167;30.8;24.8125;22.5;88.958333;64;6.7;.745833;
2018-04-13;26.6;991.3875;22.304167;26.8;24.029167;22.4;90.458333;74;5.3;.791667;
2018-04-14;4.4;991.966667;21.9375;31.6;25.525;21;82.25;54;4.6;.9;
2018-04-15;.8;991.7875;22.066667;32.1;26.075;21.5;80.375;53;15;1.079167;
2018-04-16;9.2;990.9625;22.7875;31.1;25.3625;22.3;86.333333;58;7.6;1.116667;
2018-04-17;76.6;992.129167;22.104167;26;23.504167;22.2;92.041667;76;7.4;1.1375;
2018-04-18;.6;992.829167;null;31.3;25.4125;20.8;91.538462;65;7.7;1.266667;
2018-04-19;.2;992.766667;null;31.7;26.466667;23;null;null;6.9;1.395833;
2018-04-20;0;991.295833;22.604348;31.9;26.316667;22.4;80.913043;55;8.1;1.079167;
2018-04-21;25.8;989.7875;22.475;31.3;25.7625;21.8;83.458333;58;7.7;1.304167;
2018-04-22;.2;989.704167;22.775;30.8;26.283333;23.2;81.875;62;7.7;1.558333;
2018-04-23;24.8;990.783333;21.6;30.9;25.683333;22.2;79.458333;56;14.5;1.933333;
2018-04-24;0;991.1875;22.441667;31.6;25.725;22.6;83.208333;57;10.3;1.5375;
2018-04-25;2;991.575;21.683333;30.8;24.954167;20.4;83.5;57;9.6;1.229167;
2018-04-26;.2;991.325;22.4;31.1;26.1625;22.3;81.208333;58;7.6;1.5;
2018-04-27;1.8;990.704167;21.695833;31.3;25.7375;21.1;80;56;11.2;1.225;
2018-04-28;.2;990.970833;22.566667;31.6;26.6375;22.8;79.708333;56;7.6;1.420833;
2018-04-29;.2;991.1625;null;31;26.025;23.4;null;85;10.1;1.425;
2018-04-30;8.4;991.1875;null;30.9;25.920833;23;null;null;11.2;1.491667;
2018-05-01;13.8;991.816667;22.455;30.9;25.870833;22;80.35;62;4.8;null;
2018-05-02;11.2;992.075;21.695833;30.6;25.266667;20.3;81.875;57;null;null;
2018-05-03;0;991.358333;21.983333;31.2;25.733333;21.6;81.416667;55;null;null;
2018-05-04;0;990.454167;null;31.1;25.791667;21.7;null;84;null;null;
2018-05-05;0;990.870833;null;30.4;25.2625;21.1;null;null;null;null;
2018-05-06;0;991.320833;null;30.5;25.633333;22;null;null;null;null;
2018-05-07;0;991.491667;null;29.3;25.325;22.1;78.5;61;null;null;
2018-05-08;0;990.891667;21.191667;30.7;25.045833;21.2;80.375;55;null;null;
2018-05-09;0;990.8125;null;30.9;25.633333;21.9;null;91;null;null;
2018-05-10;6;991.654167;null;28.1;25.145833;23.3;null;null;null;null;
2018-05-11;0;991.195833;22.505263;31.4;25.791667;21.4;80.105263;59;null;null;
2018-05-12;.2;991.454167;22.8625;31.5;25.958333;22.6;84.416667;57;null;null;
2018-05-13;4.2;990.466667;22.5;31.6;26.3625;23;80.708333;53;null;null;
2018-05-14;.2;990.025;null;31.7;26.791667;23.4;null;87;null;null;
2018-05-15;0;990.491667;null;30.6;25.820833;21.4;null;null;null;null;
2018-05-16;18.6;990.6;null;30.9;25.579167;22.3;74.357143;57;null;null;
2018-05-17;0;990.6875;22.158333;31.7;25.425;21.8;83.916667;54;null;null;
2018-05-18;39.4;990.575;22.241667;30.6;25.079167;21.6;85.333333;61;null;null;
2018-05-19;17;990.95;22.358333;30.6;25.525;22.1;84.041667;59;null;null;
2018-05-20;.2;990.366667;22.116667;31.2;25.829167;21;81.416667;57;null;null;
2018-05-21;0;989.633333;22.945833;31.5;26.345833;23.2;82.833333;57;null;null;
2018-05-22;0;991.045833;22.116667;30.9;26.345833;23.7;78.875;55;null;null;
2018-05-23;0;992.304167;21.104167;30.6;25.379167;21;79.25;54;null;null;
2018-05-24;0;992.6125;null;29.8;25.295833;20.9;null;92;null;null;
2018-05-25;2.8;991.6625;22.027273;31.1;25.233333;22;83.318182;50;null;null;
2018-05-26;0;991.108333;21.8875;30.9;25.383333;21.7;82.208333;56;null;null;
2018-05-27;0;991.220833;21.9375;30.5;25.9375;22.6;79.666667;57;null;null;
2018-05-28;0;992.041667;null;30.9;25.508333;21.2;77.588235;55;null;null;
