Nome: IPANGUACU
Codigo Estacao: A372
Latitude: -5.53499999
Longitude: -36.87222221
Altitude: 19
Situacao: Operante
Data Inicial: 2017-11-07
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2017-11-07;null;null;null;null;null;null;null;null;null;null;
2017-11-08;null;1007.7875;19.554167;36.2;28.558333;null;60.291667;29;12.6;4.116667;
2017-11-09;0;1008.420833;null;35.4;null;25.5;51.2;34;11.4;2.679167;
2017-11-10;0;1007.421739;null;null;null;null;41.285714;28;12.2;3.1;
2017-11-11;0;1006.695833;null;null;null;null;48;28;12.6;3.7625;
2017-11-12;0;1007.045833;null;null;null;null;50;26;12.7;3.345833;
2017-11-13;0;1007.4;null;null;null;null;52.571429;37;13.1;3.575;
2017-11-14;0;1007.704167;18.457895;37.6;null;23.4;50.842105;26;11.7;2.958333;
2017-11-15;0;1008.4;null;34.1;null;20.2;44.428571;31;14.5;3.752174;
2017-11-16;0;1008.986957;null;null;null;null;39.384615;23;12.2;3.008696;
2017-11-17;0;1008.795833;null;36.2;null;26.4;50.529412;29;11.1;3.095833;
2017-11-18;0;1007.354167;19.191667;36.1;28.604167;21.5;59.25;27;12.5;3.275;
2017-11-19;0;1007.647826;null;null;null;16.7;null;27;12.5;3.465217;
2017-11-20;0;1007.591667;null;38.4;null;8.5;41.583333;23;11.2;3.204167;
2017-11-21;0;1007.720833;null;37.6;null;-7.4;41.538462;28;12.2;3.366667;
2017-11-22;0;1008.008696;null;35.4;29.173913;24.4;48.214286;33;13;3.96087;
2017-11-23;0;1008.773913;19.426087;36.5;29.082609;21.1;58.826087;32;12.4;2.943478;
2017-11-24;0;1009.7125;20.083333;34;29.091667;24.8;59.875;41;11.8;3.0125;
2017-11-25;0;1009.291304;18.813043;37.5;30.091304;24.1;53.652174;27;11.4;3.469565;
2017-11-26;0;1009.290909;null;37.7;null;24.8;42.866667;25;11.9;2.809091;
2017-11-27;0;1010.12381;null;37.4;null;26;47.384615;28;11.6;3.433333;
2017-11-28;null;1009.630435;null;36.9;null;null;51.176471;29;12;3.886957;
2017-11-29;0;1008.791304;null;35.1;null;-9.5;50.833333;30;11.4;3.604348;
2017-11-30;0;1007.826087;null;35.3;null;22.6;58.066667;38;13.3;3.230435;
2017-12-01;0;1008.091304;null;37;null;-8.7;38.75;25;12.4;2.795652;
2017-12-02;0;1008.641667;null;36.7;null;-2.6;null;31;11.6;3.041667;
2017-12-03;0;1008.25;null;36.5;null;6.8;43.461538;32;21.3;3.408333;
2017-12-04;0;1008.304348;null;36.6;null;23.6;null;54;10.6;2.969565;
2017-12-05;0;1008.552174;null;36.9;null;-4.7;null;32;12.2;3.556522;
2017-12-06;0;1007.075;20.454167;38;29.325;22;61.416667;29;11.7;3.241667;
2017-12-07;0;1007.256522;20.395652;36.8;28.673913;21.9;63.26087;33;13.1;3.591304;
2017-12-08;0;1008.145833;20.775;35.8;28.308333;22.2;65.916667;38;12.4;3.416667;
2017-12-09;0;1008.183333;20.975;35.3;28.083333;21.5;67.958333;39;12.2;3.179167;
2017-12-10;0;1007.295833;21.3625;34.8;28.029167;21.5;69.666667;43;12.5;3.25;
2017-12-11;0;1008.033333;20.8125;35.7;28.2125;21.2;67.166667;37;17.5;3.245833;
2017-12-12;0;1008.079167;20.208333;37.2;28.833333;21.2;62.958333;30;11.5;2.85;
2017-12-13;0;1008.8;20.025;36;28.845833;22.6;60.625;30;12;3.408333;
2017-12-14;0;1009.691667;19.408333;36;28.933333;21;59.083333;34;12.3;3.154167;
2017-12-15;0;1009.404545;19.486364;36.2;28.536364;21;61.136364;30;12.3;2.968182;
2017-12-16;0;1009.341667;19.554167;36.6;29.05;22.4;58.833333;31;13.9;3.720833;
2017-12-17;0;1009.2125;19.55;35.9;29.016667;20.8;59.708333;33;11.8;3.4;
2017-12-18;0;1009.166667;18.291667;36.6;29.5875;22.4;54.125;29;12.2;2.841667;
2017-12-19;0;1009.370833;19.475;35.2;29.233333;23.1;57.583333;33;9.9;2.429167;
2017-12-20;0;1008.295833;20.029167;34.9;29.075;23.8;59.458333;34;10.3;2.8;
2017-12-21;0;1008.621739;20.256522;36.8;29.195652;24.7;60.304348;32;11.3;2.778261;
2017-12-22;.2;1009.204167;20.841667;32.4;27.979167;23.4;66.083333;46;9.8;2.291667;
2017-12-23;0;1008.55;21.033333;34.5;29.158333;23.9;62.625;41;11.7;2.9;
2017-12-24;0;1007.345833;19.829167;38.2;29.55;22.3;58.541667;28;13.8;3.045833;
2017-12-25;0;1006.995652;20.204348;37.2;29.43913;22.1;60.217391;31;11.3;2.821739;
2017-12-26;0;1007.608333;20.891667;37.7;29.741667;25.3;60.833333;31;11.8;3.1875;
2017-12-27;0;1007.5875;19.720833;37.5;30.216667;23.3;55.75;31;11.9;3.233333;
2017-12-28;0;1007.704167;19.458333;37.5;29.058333;21.5;58.583333;30;10.8;3.1375;
2017-12-29;0;1008.170833;19.75;36.9;29.395833;21.6;57.75;32;11.6;3.125;
2017-12-30;null;1008.689474;20.821053;36.7;null;24.2;59.210526;34;11.8;4.015789;
2017-12-31;.2;1009.379167;20.875;37.4;29.420833;22.1;62.166667;32;11.4;3.5375;
2018-01-01;0;1008.925;20.791667;38.2;29.1625;22.3;63.375;28;10.7;2.891667;
2018-01-02;0;1008;20.508333;36;28.504167;21.6;64.541667;34;11.5;3.25;
2018-01-03;0;1008.4125;20.933333;36.2;28.933333;24;64.708333;33;11.5;2.929167;
2018-01-04;0;1009.929167;20.420833;37.4;28.870833;22;63.541667;29;13;3.141667;
2018-01-05;0;1010.966667;20.083333;35;28.6625;24;61.583333;33;11.5;2.408333;
2018-01-06;0;1009.633333;20.808333;36.6;28.108333;21.4;66.958333;32;14.8;2.720833;
2018-01-07;0;1009.145833;19.945833;36.5;28.333333;20.7;63.5;30;12;2.9125;
2018-01-08;0;1009.345833;20.3375;35.8;27.704167;20.3;66.791667;34;13.7;2.216667;
2018-01-09;1;1009.520833;21.066667;35.2;28.095833;22.6;68.416667;35;11.6;2.145833;
2018-01-10;0;1010.156522;20.556522;33.9;27.034783;22.8;70;41;15.9;1.904348;
2018-01-11;33.4;1010.429167;21.829167;34.1;27.658333;23;72.916667;40;10.6;2.354167;
2018-01-12;.2;1009.341667;20.6875;36;28.395833;22.2;66.041667;32;10.8;3.1375;
2018-01-13;0;1008.545833;20.479167;36.8;28.716667;21.8;63.541667;32;12.9;2.770833;
2018-01-14;0;1009.1;20.65;35.4;28.745833;22.3;64.125;36;15.2;2.775;
2018-01-15;5;1010.079167;19.745833;33;27.220833;21.6;65.75;43;14.9;2.941667;
2018-01-16;0;1009.3125;18.566667;36.2;29.1875;20.4;56.416667;29;11.7;3.091667;
2018-01-17;0;1008.454167;18.779167;36.9;29.583333;21.2;54.416667;34;11.5;3;
2018-01-18;0;1008.683333;20.5125;37;29.958333;25.3;58.458333;31;12;3.420833;
2018-01-19;0;1009.925;21.1125;34.7;26.220833;22.6;75.666667;42;15.2;1.845833;
2018-01-20;85.2;1009.725;22.616667;33.5;25.325;21.9;86.75;49;15.4;1.191667;
2018-01-21;19.6;1008.345833;21.579167;36.4;28.179167;21.9;71.416667;32;8;1.525;
2018-01-22;0;1006.966667;20.4625;35.6;29.225;23.3;61.708333;34;10.2;2.283333;
2018-01-23;0;1007.216667;21.620833;35.2;28.191667;23.8;69;41;10.4;2.3125;
2018-01-24;0;1007.775;22.470833;30.7;27.241667;24.2;75.875;58;7.5;1.008333;
2018-01-25;0;1007.475;21.104167;34.4;27.504167;21.5;70.291667;38;9.5;1.729167;
2018-01-26;14.6;1007.154167;21.508333;35;28.104167;22.7;69.833333;38;10.8;2.004167;
2018-01-27;0;1007.470833;22.295833;31.6;27.079167;24.6;75.625;53;7.2;1.816667;
