Nome: CORRENTE
Codigo Estacao: A374
Latitude: -10.42916666
Longitude: -45.17305554
Altitude: 452
Situacao: Operante
Data Inicial: 2018-03-27
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-03-27;null;null;null;null;null;null;null;null;null;null;
2018-03-28;null;959.95;20.290909;31;24.777273;null;78.727273;50;7.5;1.404545;
2018-03-29;0;959.529167;21.254167;31;24.4875;19.9;83.5;55;9.3;1.129167;
2018-03-30;8.8;959.8375;20.041667;30.5;24.516667;19.7;78.916667;44;9.4;1.025;
2018-03-31;.2;959.641667;19.608333;31.5;24.1375;18.2;78.375;47;6.2;1.054167;
2018-04-01;0;958.6125;20.366667;32;25.004167;19.2;77.916667;46;6.2;1.016667;
2018-04-02;0;958.6125;20.525;31.7;25.108333;19.6;78.041667;47;5.8;1.108333;
2018-04-03;0;957.654167;20.604167;32.7;25.5875;19.9;76.666667;46;5.9;1.045833;
2018-04-04;0;957.3625;20.7;33.6;25.870833;20.1;75.75;43;6.2;1.125;
2018-04-05;0;957.775;21.45;29.7;24.845833;20.8;82.125;62;7.7;1.270833;
2018-04-06;0;958.758333;21.658333;29.4;23.645833;21.1;89.125;63;7.1;.983333;
2018-04-07;2.6;959.7625;21.229167;31;24.4375;20.8;83.583333;53;7.3;1.3125;
2018-04-08;0;960.7375;20.7875;31.1;25;20.8;79.125;50;6.9;1.270833;
2018-04-09;0;960.720833;null;27.9;22.8875;21.2;88.461538;66;8.4;1.016667;
2018-04-10;28.8;960.4625;20.915789;30.9;24.35;19.8;78.684211;48;6.5;1.075;
2018-04-11;7.6;961.1875;20.4875;27.3;23.2875;19.8;85.125;63;9.8;1.308333;
2018-04-12;0;961.233333;20.429167;29.8;23.854167;20.1;82.625;55;6.5;1.116667;
2018-04-13;0;962.079167;20.8375;29.8;23.391667;20.5;86.666667;56;8.5;1.083333;
2018-04-14;7.6;963.295833;21.195833;29.5;24.075;21.6;85.333333;54;6;1.020833;
2018-04-15;0;963.104167;null;30.6;24.1875;19;88.714286;60;7.1;.916667;
2018-04-16;0;961.983333;null;31.2;24.629167;19.5;71;50;5.7;.9625;
2018-04-17;.2;962.541667;20.470833;28.6;24.033333;21.1;82.041667;58;7.7;1.033333;
2018-04-18;0;963.970833;19.716667;29.9;23.545833;18.6;81.166667;53;8.4;1.420833;
2018-04-19;0;964.141667;19.691667;31;24.4875;18.7;76.583333;50;7.2;1.379167;
2018-04-20;0;962.879167;null;31.1;24.208333;17.9;86.214286;58;7.3;1.133333;
2018-04-21;0;960.795833;19.713043;31.7;24.683333;18.8;75.521739;47;7.3;1.070833;
2018-04-22;0;960.458333;19.8625;31.7;24.6375;18.4;77.083333;48;9;1.254167;
2018-04-23;0;961.295833;19.583333;31;24.308333;18.4;77.208333;50;8;1.2375;
2018-04-24;0;961.954167;19.691667;31.9;24.7875;19.7;75.625;48;7.7;1.258333;
2018-04-25;0;962.616667;19.814286;31.1;24.729167;19.4;79;51;6.7;1.179167;
2018-04-26;0;962.141667;19.35;31.5;24.741667;18.4;74.666667;47;8.7;1.204167;
2018-04-27;0;961.804167;19.0875;31.5;24.279167;18.3;75.375;42;6.9;1.258333;
2018-04-28;0;962.041667;18.954167;32.1;24.291667;18.4;74.791667;45;6.4;1.133333;
2018-04-29;0;962.091667;18.75;31.8;24.891667;19.9;71.458333;44;9.7;1.358333;
2018-04-30;0;962.220833;18.245833;31.8;24.075;17.6;72.791667;43;8;.9875;
2018-05-01;0;962.6875;18.625;32.5;24.520833;18.6;72.5;44;6.9;1.179167;
2018-05-02;0;962.3;19.170833;32.8;25.229167;19.3;71.708333;43;8.4;1.266667;
2018-05-03;0;962.395833;18.683333;31.8;25.245833;19.9;70.041667;39;8.1;1.0875;
2018-05-04;0;961.804167;17.9375;32.3;24.4125;17.7;70.083333;42;8.7;1.475;
2018-05-05;0;962.316667;17.483333;32.4;24.9375;19.5;66.875;34;9.7;1.458333;
