Nome: BARREIRAS
Codigo Estacao: A402
Latitude: -12.12472221
Longitude: -45.02694443
Altitude: 474.17
Situacao: Operante
Data Inicial: 2001-12-19
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2001-12-19;null;null;null;null;null;null;null;null;null;null;
2001-12-20;null;null;null;null;null;null;null;56;8.7;null;
2001-12-21;2;961.1625;null;null;null;null;75.153846;65;8.7;.941667;
2001-12-22;2;961.6375;20.3625;30.7;24.979167;21.8;77.041667;48;11.7;1.3125;
2001-12-23;19.2;961.672727;19.609091;31.9;25.804545;20.7;71.590909;43;7.3;1.809091;
2001-12-24;null;null;null;null;null;null;null;null;null;null;
2001-12-25;null;null;null;null;null;null;null;null;null;null;
2001-12-26;null;null;null;null;null;null;null;null;null;null;
2001-12-27;null;null;null;null;null;null;null;null;null;null;
2001-12-28;null;null;null;null;null;null;null;52;7.6;null;
2001-12-29;null;962.4125;20.516667;27.5;23.466667;21.2;83.916667;67;10.7;1.6125;
2001-12-30;0;961.329167;20.275;23.5;22.154167;21.6;89.083333;82;7.1;1.2375;
2001-12-31;0;960.041667;20.554167;28.1;23.541667;21.2;83.708333;66;7.8;1.704167;
2002-01-01;0;959.779167;20.666667;26.7;22.729167;21.6;88.208333;70;8.6;2.2125;
2002-01-02;0;958.766667;21.616667;28.3;24.383333;21.7;85;69;6.2;1.670833;
2002-01-03;0;958.945833;21.083333;28.2;24.220833;22.7;82.916667;63;12.3;2.045833;
2002-01-04;0;960.004167;21.154167;27;23.441667;22.4;87.25;70;10;2.079167;
2002-01-05;0;961.354167;20.9125;27.4;22.9125;21.4;88.666667;71;7.1;1.670833;
2002-01-06;0;959.416667;20.904167;31.4;24.766667;21.8;80.708333;47;10.3;1.3375;
2002-01-07;0;958.9125;21.266667;27.4;23.579167;21.3;87.083333;70;13.8;2.258333;
2002-01-08;0;959.775;20.5;28;23.904167;21.6;81.833333;62;10.1;3.1375;
2002-01-09;0;961.316667;20.325;29.6;24.0875;21.5;80.458333;52;12;2.320833;
2002-01-10;0;962.558333;19.179167;29.7;24.6875;21;73.666667;47;10;2.3625;
2002-01-11;0;963.5;19.791667;30.1;25.216667;21.1;73.541667;50;9.9;1.866667;
2002-01-12;0;963.4375;19.916667;30.9;25.270833;20.5;73.708333;47;8.8;1.933333;
2002-01-13;0;962;20.283333;30.8;25.608333;21.2;74.208333;49;8.1;1.954167;
2002-01-14;0;961.120833;20.770833;30.5;23.945833;21.8;82.875;55;6.8;.9;
2002-01-15;0;958.295833;20.679167;29.5;23.279167;21;85.875;57;11.2;1.804167;
2002-01-16;0;957.666667;20.933333;27.1;23.075;20.9;87.75;72;5.6;1.470833;
2002-01-17;0;959.329167;20.516667;24.5;22.683333;21.4;87.666667;77;9.1;2.779167;
2002-01-18;0;960.633333;20.325;28.3;23.258333;21.2;83.916667;59;11.4;2.458333;
2002-01-19;0;960.654167;20.2125;29.3;24.2875;20.1;79.416667;54;6.6;1.641667;
2002-01-20;0;961.591667;19.725;30.4;24.708333;19.7;75.958333;41;8.4;1.85;
2002-01-21;0;962.7875;20.070833;32.2;25.566667;20.3;74.083333;45;7.8;1.791667;
2002-01-22;0;963.375;19.604167;33.2;26.1375;20.4;69.708333;36;7.5;1.520833;
2002-01-23;0;963.241667;18.558333;32.2;25.25;18.9;69.25;39;5.6;1.595833;
2002-01-24;0;961.808333;18.8;32.2;25.229167;18.5;70.625;37;7.2;1.5875;
2002-01-25;0;961.566667;19.504167;33.1;25.775;19.3;70.791667;42;7.1;1.775;
2002-01-26;0;961.945833;20.504167;32.4;26.2;20.8;72.958333;44;7.4;1.841667;
2002-01-27;0;961.220833;19.679167;32.6;26.116667;20.7;70.666667;39;7.9;1.770833;
2002-01-28;0;960.216667;19.3375;34.2;26.116667;19.9;69.833333;32;6;1.354167;
2002-01-29;0;959.691667;19.633333;33.3;26.4875;19.9;69.208333;41;7.4;1.8125;
2002-01-30;0;960.404348;19.965217;34.1;27.130435;21.6;68.086957;37;6.9;1.756522;
2002-01-31;0;960.220833;19.075;32.7;27.045833;21.6;64.708333;38;8.5;2.245833;
