Nome: AREMBEPE
Codigo Estacao: A403
Latitude: -12.762552
Longitude: -38.16906
Altitude: 4.87
Situacao: Desativada
Data Inicial: 2002-03-22
Data Final: 2013-10-12
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2002-03-22;null;null;null;null;null;null;null;null;null;null;
2002-03-23;null;null;null;null;null;null;null;null;null;null;
2002-03-24;null;null;null;null;null;null;null;null;null;null;
2002-03-25;null;null;null;null;null;null;null;null;null;null;
2002-03-26;null;null;null;null;null;null;null;68;14.8;null;
2002-03-27;5.6;1013.116667;22.975;29.1;27.533333;24.3;76.541667;68;15.9;6.395833;
2002-03-28;1.4;1013.941667;22.945833;29.2;27.666667;24.4;75.583333;68;14.5;6.558333;
2002-03-29;7.8;1012.7125;23.195833;28.7;27.491667;23.3;77.5;69;19.2;9.145833;
2002-03-30;2;1012.675;23.458333;28.4;27.275;23.9;79.791667;73;19.7;8.9875;
2002-03-31;1.8;1013.208333;23.3375;29.1;27.566667;25.5;77.958333;71;16.2;7.083333;
2002-04-01;null;1012.857895;22.963158;28.7;null;24.4;77;73;13.4;5.063158;
2002-04-02;0;1013.080952;22.838095;28.7;null;25.6;75.095238;65;11.5;6.628571;
2002-04-03;null;1014.077778;22.261111;29.4;null;26.5;72.055556;65;10.2;6.088889;
2002-04-04;null;1013.473684;22.126316;29.8;null;26.9;71.736842;62;9.2;5.652632;
2002-04-05;null;1011.6;22.531579;30.2;null;26.9;73.526316;66;12.5;5.626316;
2002-04-06;0;1010.445833;23.325;30.3;27.758333;24.8;76.916667;69;11.3;4.995833;
2002-04-07;.4;1011.320833;22.983333;29.7;26.708333;24;80.291667;66;13.9;5.066667;
2002-04-08;.4;1010.654167;23.645833;29;27.8;25.2;78.083333;71;9.3;5.3875;
2002-04-09;.4;1010.441667;23.341667;28.6;26.654167;23.7;82.333333;73;10.8;4.0625;
2002-04-10;4.8;1010.3625;22.9375;29;27.508333;24.4;76.125;70;9.5;5.025;
2002-04-11;0;1011.127273;22.759091;28.7;27.590909;27;75.045455;69;7.6;4.404545;
2002-04-12;null;1011.425;23.235;29.4;null;24.2;77.35;70;8.3;3.965;
2002-04-13;null;1012.104762;23.357143;29.6;null;22.9;80.809524;70;8.4;4.635;
2002-04-14;0;1012.916667;22.954167;29.3;27.845833;27.4;74.875;65;9.5;5.933333;
2002-04-15;.2;1012.716667;23.304167;27.7;26.4125;24.5;83.208333;74;13.4;5.829167;
2002-04-16;7.4;1012.675;23.116667;27.9;26.466667;24.1;81.916667;73;12.8;4.866667;
2002-04-17;2.6;1013.545833;22.65;29.6;26.820833;23.5;78.375;61;7.1;3.679167;
2002-04-18;0;1013.441667;22.741667;28.9;27.6875;26.8;74.625;66;8.6;4.85;
2002-04-19;.8;1012.754167;22.729167;28.9;27.829167;26.3;73.958333;65;11.4;7.633333;
2002-04-20;0;1012.45;22.191667;29.9;27.770833;27.1;72;65;11.3;5.983333;
2002-04-21;3.4;1012.733333;21.970833;28.6;26.4125;23.3;77.458333;61;12.7;5.166667;
2002-04-22;3.8;1012.520833;22.391667;28.2;27.341667;23.5;74.5;60;15.3;7.6375;
2002-04-23;4.2;1011.625;22.4;28.8;27.3625;22.9;74.416667;65;17.5;8.316667;
2002-04-24;1;1011.125;22.4375;28.3;27.2375;25;75.166667;61;17.8;6.916667;
2002-04-25;2;1011.970833;22.295833;29.7;26.970833;23;75.958333;66;11.3;4.570833;
2002-04-26;0;1012.770833;22.191667;29.4;27.516667;25.9;72.875;61;10.3;5.504167;
2002-04-27;0;1012.3;21.3875;28.8;27.291667;25.8;70.416667;58;11.4;5.604167;
2002-04-28;0;1012.608333;20.716667;29.6;26.025;20.8;73.291667;61;9.1;3.35;
2002-04-29;0;1013.895833;21.1875;28.6;27.25;23.1;69.583333;62;8.8;5.1125;
2002-04-30;0;1014.35;21.058333;29.2;27.516667;26.4;67.958333;60;10.2;6.258333;
2002-05-01;0;1013.7;21.033333;29.1;27.433333;26.4;68.166667;61;8.9;5.033333;
2002-05-02;0;1012.777778;22.383333;28.5;null;25.3;76.166667;66;11.1;5.966667;
2002-05-03;null;null;null;null;null;null;null;null;null;null;
2002-05-04;null;null;null;null;null;null;null;null;null;null;
2002-05-05;null;1014.6125;21.145833;29.1;27.475;null;68.5;60;9.5;6.383333;
2002-05-06;null;1015.054167;23.108333;28;24.7;23.3;91;67;18;8.645833;
2002-05-07;50;1014.154167;22.1;27.9;25.358333;22.5;83.041667;69;10.1;5.166667;
2002-05-08;null;1014.104167;21.733333;28.1;26.491667;22.4;75.416667;66;15.3;4.5375;
2002-05-09;null;1015.054167;21.545833;28.2;26.075;21.8;76.791667;66;9.3;4.183333;
2002-05-10;null;1015.945833;22.470833;28.8;27.325;26.5;74.916667;69;10.4;5.666667;
2002-05-11;null;1016.341667;22.929167;27.8;25.908333;23.1;84;68;16.3;5.7375;
2002-05-12;null;1015.779167;22.266667;27.7;26.6125;23.7;77.416667;68;15.9;6.5125;
2002-05-13;null;1015.525;21.641667;27.9;26.866667;23.9;73.166667;67;14.4;7.275;
2002-05-14;null;1015.604167;21.783333;27.4;26.041667;23.8;77.791667;62;18.5;8.866667;
2002-05-15;null;1015.520833;21.666667;27.8;26.804167;22.8;73.583333;66;15.5;6.504167;
2002-05-16;null;1013.608333;21.504167;28.1;26.945833;24.2;72.166667;66;7.9;5.6375;
2002-05-17;null;1012.079167;21.854167;28.3;26.266667;21.9;76.875;67;7.5;3.958333;
2002-05-18;null;1012.020833;22.125;27.9;26.1625;22.4;78.708333;67;8.9;4.7625;
2002-05-19;null;1013.6875;21.779167;27.7;26.9125;26.3;73.583333;67;8.2;5.379167;
2002-05-20;null;1013.6875;22.820833;27.7;26.820833;24.6;78.666667;72;8.9;5.7125;
2002-05-21;null;1012.8375;23.208333;28.4;26.941667;24;80.208333;72;9.2;5.908333;
2002-05-22;null;1012.008333;22.758333;28.7;26.7875;23.6;78.791667;69;10.1;5.825;
2002-05-23;null;1012.625;21.75;27.4;25.541667;23;79.916667;70;14.6;5.233333;
2002-05-24;null;1013.4625;20.416667;26.5;24.8375;22.7;76.625;68;17.5;8.991667;
2002-05-25;null;1014.420833;19.575;25.2;23.9375;22.3;76.75;64;15.9;8.491667;
2002-05-26;13;1015.770833;18.254167;26.2;24.170833;20.9;69.791667;58;16.3;7.179167;
2002-05-27;null;1015.054167;17.954167;26.8;25.191667;22;64.416667;54;14.4;8.083333;
2002-05-28;null;1014.0875;17.020833;26.9;25.679167;23;58.833333;54;12.6;6.9;
2002-05-29;null;1014.0625;16.866667;27.9;25.1;19.9;60.958333;50;7.1;3.241667;
2002-05-30;null;1015.029167;16.9875;27.3;26.258333;22.7;56.958333;50;9.5;4.791667;
2002-05-31;null;1015.995833;17.716667;27.6;26.420833;23.4;58.833333;49;14.2;6.345833;
2002-06-01;null;1016.358333;15.958333;28;26.541667;23.1;52.416667;43;14.9;5.958333;
2002-06-02;null;1016.4125;15.416667;28.1;26.670833;24.8;50.166667;42;11.9;7.6375;
2002-06-03;null;1015.2625;16.845833;26.8;25.729167;24.1;58.125;50;16.9;5.8625;
2002-06-04;null;1014.883333;16.375;27.2;25.308333;22.7;58.375;45;11.1;3.883333;
2002-06-05;null;1014.8875;13.845833;27.2;26.5875;23.9;45.541667;40;9.3;5.7375;
2002-06-06;null;1015.058333;14.491667;27.4;26.175;24.7;48.708333;38;14.2;6.279167;
2002-06-07;null;1015.513043;12.995652;27.1;26.330435;23.2;43.782609;36;9.8;5.930435;
2002-06-08;null;1016.720833;14.025;27;25.8625;23.2;48.333333;38;12.9;5.295833;
