Nome: ITIRUCU
Codigo Estacao: A407
Latitude: -13.527828
Longitude: -40.119752
Altitude: 757.42
Situacao: Operante
Data Inicial: 2003-02-08
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2003-02-08;null;null;null;null;null;null;null;null;null;null;
2003-02-09;null;930.0875;17.241667;30;22.420833;null;75.208333;35;9.8;2.679167;
2003-02-10;0;928.770833;17.016667;30.5;23.270833;18.7;71;38;9.3;2.779167;
2003-02-11;0;928.733333;17.079167;30.4;22.854167;18.4;72.833333;38;9.6;2.820833;
2003-02-12;0;929.658333;15.779167;29.2;22.375;16.4;70.458333;29;9.6;2.808333;
2003-02-13;0;930.065217;17.669565;28;22.604348;18.9;75.391304;46;8.6;3.056522;
2003-02-14;1;929.304167;18.191667;30;22.833333;19.6;77.333333;37;9.8;2.7875;
2003-02-15;0;928.704167;17.416667;30.4;23.095833;18;73.5;37;9.1;2.975;
2003-02-16;0;928.5125;17.875;31.5;23.766667;19;72.791667;37;9.6;2.970833;
2003-02-17;0;928.320833;17.3125;32.3;24.2625;19.1;69.25;34;9;2.766667;
2003-02-18;0;929.008333;17.908333;32.3;24.354167;19.1;70.875;32;9;2.875;
2003-02-19;0;930.1375;17.3;31.7;24.408333;18.8;68.666667;34;10.2;3.420833;
2003-02-20;0;930.220833;18.375;30.2;23.5875;20;74.583333;43;10.6;3.266667;
2003-02-21;0;929.304167;17.283333;28.7;22.9;18;73.25;42;8.4;2.958333;
2003-02-22;0;930.3;17.8875;28.5;22.704167;19.5;75.958333;47;10.6;3.179167;
2003-02-23;0;931.766667;18.379167;26.9;22.008333;18.9;80.791667;54;11.2;3.454167;
2003-02-24;1.6;931.733333;18.5375;30.8;22.3625;18.8;81.333333;36;10.9;3.183333;
2003-02-25;.2;929.9375;16.583333;30.5;23.325;18;69.625;33;8.5;3;
2003-02-26;0;929.154167;17.029167;30.9;23.304167;17.6;71.791667;37;8.8;2.725;
2003-02-27;0;929.504167;17.429167;31.5;23.416667;18.3;72.208333;37;9.8;3.295833;
2003-02-28;0;930.416667;17.279167;30.8;23.108333;18.1;72.083333;39;8.9;2.866667;
2003-03-01;1.6;929.8;18.654167;29;22.2875;18.3;81.291667;50;9.5;2.5125;
2003-03-02;0;928.841667;18.3125;31.3;23.233333;18.4;76.583333;39;9.7;3.029167;
2003-03-03;0;928.941667;18.895833;31.5;23.804167;20.5;76.083333;42;11.7;3.375;
2003-03-04;.4;930.304167;17.6875;31;23.3875;19;73.291667;37;10;2.9625;
2003-03-05;0;929.466667;17.958333;30.6;23.35;19.6;74.125;40;11.1;3.391667;
2003-03-06;0;928.366667;17.745833;31.2;23.554167;19.1;72.708333;36;10.2;3.129167;
2003-03-07;0;929.075;17.9875;30.4;23.1625;19.2;75.208333;40;11.3;2.604167;
2003-03-08;0;929.65;16.970833;30.9;22.945833;18.1;72.958333;32;10.4;2.808333;
2003-03-09;.2;929.604167;17.875;30.8;23.329167;18.5;74.208333;42;11.5;2.983333;
2003-03-10;0;929.608333;18.858333;31.2;23.354167;19.1;77.666667;45;10.4;3.320833;
2003-03-11;0;929.575;19.108333;30.7;22.870833;20.2;80.666667;43;9.8;3.075;
2003-03-12;0;928.570833;17.645833;31.4;23.658333;18.1;72.416667;39;8.3;2.570833;
2003-03-13;0;928.445833;18.525;29.6;23.708333;19.2;75.083333;47;7.2;2.5125;
2003-03-14;0;928.704167;18.675;32.1;24.070833;19.8;75.166667;38;10.1;2.9125;
2003-03-15;0;930.133333;18.320833;31.3;24.416667;19.8;71.75;40;14;3.420833;
2003-03-16;0;930.095833;17.975;30.8;23.045833;19.1;75.25;43;11.1;3.083333;
2003-03-17;0;928.516667;18.716667;30.5;22.895833;19.6;79;44;9.8;2.466667;
2003-03-18;.6;928.845833;18.695833;31.1;22.158333;19.3;82.291667;40;10.8;2.870833;
2003-03-19;8.4;930.5625;17.891667;29.4;22.779167;18.7;76.958333;38;10.7;3.0125;
2003-03-20;0;930.804167;18.7625;27.4;21.858333;19.4;83.458333;57;10.9;2.9125;
2003-03-21;.2;929.454167;18.725;28.4;22.0125;18.4;83.083333;51;8.4;2.354167;
2003-03-22;2.8;928.525;19.429167;30.8;23.345833;20;80.125;45;8.6;2.979167;
2003-03-23;1.2;929.254167;19.508333;28.4;22.504167;20.7;84.125;52;9.4;2.983333;
2003-03-24;13.4;930.645833;19;30.2;23.166667;20;79.208333;45;8.8;2.795833;
2003-03-25;.2;930.2625;18.379167;30.5;23.5375;19.3;75.458333;41;8.7;2.970833;
2003-03-26;.2;929.15;18.191667;29.8;22.979167;18.5;76.708333;45;12.3;2.808333;
2003-03-27;0;929.895833;18.795833;29.1;22.829167;19.5;79.25;52;10.4;3.916667;
2003-03-28;0;930.491667;17.85;29.5;23.0375;18.4;74.583333;47;9.5;3.516667;
2003-03-29;.2;929.704167;18.691667;28.3;22.708333;19.6;79.291667;52;8.4;3.391667;
2003-03-30;0;928.829167;18.1625;29.4;23.395833;20.2;74.25;49;9.7;2.9875;
2003-03-31;0;928.633333;18.25;30.6;23.4;19.8;74.875;38;12.5;3.291667;
2003-04-01;0;929.683333;18.716667;30.6;23.75;20.3;75.625;45;9.8;2.7;
2003-04-02;.4;930.304167;18.158333;29.8;23.229167;19;75.833333;38;10.1;2.791667;
2003-04-03;.2;929.745833;17.029167;30.2;23.204167;17.8;71.75;36;10.7;2.9125;
2003-04-04;0;928.825;17.183333;29.9;23.1;19;72.25;42;8.6;2.8125;
2003-04-05;0;928.579167;16.825;32.8;24.016667;18.5;69;28;7.8;2.1;
2003-04-06;0;927.591667;18.125;33;24.366667;18.7;71.833333;33;9.2;2.741667;
2003-04-07;0;925.904167;18.85;32.9;24.8375;19.7;72.625;37;7.4;2.808333;
2003-04-08;0;927.070833;19.358333;30.9;24.15;20.9;76.041667;46;7.5;2.954167;
2003-04-09;0;929.333333;18.829167;27.2;22.970833;19.4;78.333333;60;7.3;2.5;
2003-04-10;.2;929.566667;17.008333;32.5;23.9875;18.2;69.791667;30;9;2.4;
2003-04-11;0;929.2125;18.6875;31.3;23.75;19;75.333333;45;7.7;2.420833;
2003-04-12;0;929.691667;18.679167;32.8;24.5;19;73.208333;40;10.4;3.154167;
2003-04-13;1.6;931.675;19.058333;30.8;23.866667;20.8;76.791667;40;8.9;2.65;
2003-04-14;7.4;932.6;19.708333;23.6;20.7125;19.4;94.083333;78;9.9;3.933333;
2003-04-15;23.8;931.191667;19.2875;25.1;20.65;18.7;92.25;73;10.2;4.454167;
2003-04-16;.2;930.408333;18.570833;21.6;19.6;18.5;93.833333;85;11.2;4.291667;
2003-04-17;4;930.916667;18.3625;25;20.570833;18.3;87.583333;68;10.6;3.991667;
2003-04-18;.6;931.370833;18.5625;26.9;20.45;18.8;89.5;57;13.2;3.854167;
2003-04-19;4;931.3;19.120833;25.7;20.820833;18.8;90.333333;70;8.8;3.416667;
2003-04-20;.6;930.370833;18.583333;26.1;21.170833;18;86.041667;63;8.3;2.491667;
2003-04-21;.4;931.183333;17.870833;28;21.208333;17.5;82.583333;47;13.6;3.295833;
2003-04-22;1.6;931.316667;17.6;28.2;21.4625;17.4;80.583333;47;10.4;3.391667;
2003-04-23;2.6;931.0125;17.766667;26.3;21.241667;18.1;82.083333;57;11.1;3.404167;
2003-04-24;1.4;930.829167;18.841667;23.8;20.316667;18.1;91.458333;79;7.1;2.670833;
2003-04-25;4.6;930.475;18.779167;26.8;21.458333;18.9;85.875;60;6.8;2.995833;
