Nome: MACAJUBA
Codigo Estacao: A412
Latitude: -12.13166666
Longitude: -40.35416666
Altitude: 338.85
Situacao: Operante
Data Inicial: 2003-02-02
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2003-02-02;2.8;975.408333;20.858333;28.2;24.658333;22.1;79.916667;62;12.3;4.329167;
2003-02-03;2.2;975.333333;20.183333;31.6;26.208333;22.3;71.791667;45;11.5;4.6625;
2003-02-04;.4;974.0375;20.2625;31.8;25.920833;22.1;72.75;46;12;4.458333;
2003-02-05;.4;973.970833;18.470833;33.8;25.958333;19.6;67.625;31;12.3;3.216667;
2003-02-06;0;974.379167;17.933333;32.3;25.920833;19.4;64.875;36;10.9;3.3;
2003-02-07;0;974.375;18.329167;34.5;27.029167;20.8;63.333333;30;14;4.179167;
2003-02-08;0;974.375;18.195833;34;27.004167;21.3;62.125;32;13.1;4.733333;
2003-02-09;0;973.683333;16.583333;33.8;26.004167;19.2;60.75;28;11.1;3.116667;
2003-02-10;0;972.379167;17.2625;34.4;27.229167;22.3;59.25;27;10.9;3.341667;
2003-02-11;0;972.4;17.175;33.8;26.416667;20;59.833333;30;11.5;3.325;
2003-02-12;0;973.3625;16.354167;33.2;26.1375;18.9;58.708333;28;14.2;3.308333;
2003-02-13;0;973.591304;19.030435;32.2;26.730435;23.2;64;39;11.5;3.969565;
2003-02-14;.2;972.625;18.479167;34.1;27.245833;22.5;63.041667;27;12.4;4.020833;
2003-02-15;0;972.195833;17.866667;34.1;26.970833;19.8;61.833333;29;12.1;3.6125;
2003-02-16;0;972.033333;18.1375;34.6;27.766667;21.8;60.208333;28;12.2;3.675;
2003-02-17;0;971.975;17.091667;35.1;27.629167;20.8;57.291667;26;11.5;2.791667;
2003-02-18;0;972.841667;18.770833;33.6;26.708333;20;64.416667;33;9.5;2.354167;
2003-02-19;0;973.65;17.5125;35.6;27.925;20.1;58.583333;23;15.8;3.395833;
2003-02-20;.4;973.375;19.391667;35.6;28.054167;23.7;62.291667;27;14.3;5.166667;
