Nome: FEIRA DE SANTANA
Codigo Estacao: A413
Latitude: -12.1961111
Longitude: -38.96749999
Altitude: 229.64
Situacao: Pane
Data Inicial: 2007-05-25
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-05-25;null;null;null;30.3;null;null;null;48;6.4;null;
2007-05-26;null;988.583333;20.791304;24;22.082609;21;92.521739;83;9.7;2.377273;
2007-05-27;15;989.15;20.816667;23.8;21.9;20.8;93.625;88;8;2.829167;
2007-05-28;3.2;988.772727;21.431818;28.6;24.059091;21.2;86;61;5.8;1.813636;
2007-05-29;0;988.1;20.879167;30;24.233333;19.6;83.458333;51;6.5;1.366667;
2007-05-30;0;988.679167;20.516667;29.9;24.425;20.2;80.75;49;7.5;1.5125;
2007-05-31;13;991.216667;20.729167;23.5;21.633333;20.7;94.666667;84;10.9;2.179167;
2007-06-01;26.2;991.825;19.416667;26.8;22.479167;20;83.708333;60;10.3;2.983333;
2007-06-02;0;990.741667;17.383333;27.4;21.679167;16.7;77.958333;51;6.9;1.816667;
2007-06-03;0;989.104167;17.45;28.9;21.5625;15.7;79.875;49;3.6;.804167;
2007-06-04;0;988.891667;18.975;29.8;22.283333;16;83.666667;48;8.2;1.7125;
2007-06-05;.4;991.320833;20.725;25.3;21.816667;19.5;93.666667;78;8.5;2.116667;
2007-06-06;17.6;991.445833;20.654167;26;22.504167;21;89.541667;74;9.8;2.054167;
2007-06-07;0;990.678261;19.282609;27.2;21.721739;17.9;87.086957;62;8;1.652174;
2007-06-08;0;990.5;17.029167;26.8;21.116667;16.4;79.541667;50;8.7;1.766667;
2007-06-09;0;990.6;17.959091;24.8;19.904545;15.7;89;73;7.6;1.954545;
2007-06-10;null;null;null;null;null;null;null;80;6.9;null;
2007-06-11;null;null;null;26.5;null;null;89.6875;68;8.8;null;
2007-06-12;1.4;990.404167;20.345833;27.7;23.0625;19.9;85.791667;63;7.7;2.129167;
2007-06-13;0;990.15;19.729167;27.8;22.733333;18.7;84.333333;58;8.5;2.133333;
2007-06-14;0;989.741667;19.45;28.1;22.545833;18.9;83.958333;52;8.9;2.175;
2007-06-15;1.2;989.533333;19.383333;28.5;22.6125;18;83.5;53;7.7;2.033333;
2007-06-16;11.2;990.758333;20.708333;23.8;22.016667;20.9;92.333333;80;8.7;2.083333;
2007-06-17;3.6;991.341667;18.995833;26.4;21.754167;17;85.25;56;9;2.125;
2007-06-18;0;991.945833;19.358333;23.6;20.816667;17.4;91.5;80;7.1;2.05;
2007-06-19;1.2;992.079167;19.141667;27.3;22.033333;17.5;84.791667;58;9.2;2.1125;
2007-06-20;.4;993.066667;20.141667;25.7;21.575;20.2;91.791667;71;11.4;2.533333;
2007-06-21;3.8;993.0875;19.541667;27.8;22.95;19.7;82.583333;57;10.1;2.845833;
2007-06-22;9.4;991.4125;18.320833;27.4;22.470833;19.6;79.625;38;10.4;2.85;
2007-06-23;2;989.7;17.820833;28;22.125;17.5;79.541667;41;7.3;1.704167;
2007-06-24;0;991.275;18.358333;27.2;21.3875;17.4;84.375;57;8.5;1.8375;
2007-06-25;.2;992.491667;19.541667;25.5;20.858333;17.1;92.375;75;7;1.675;
2007-06-26;2;993.1;19.066667;25.7;21.2875;17.3;87.833333;65;10.6;2.325;
2007-06-27;2.2;992.020833;18.966667;27.3;22.266667;19.9;82.625;55;9.8;2.9375;
2007-06-28;1.2;991.679167;18.5875;25;21.170833;19.2;85.791667;67;8.9;2.166667;
2007-06-29;1;992.704167;18.55;24.1;20.5;17.6;88.875;69;9;1.883333;
2007-06-30;2;993.7375;18.570833;26.4;21.670833;18.3;83.875;56;7.1;1.616667;
2007-07-01;0;994.133333;18.833333;27.2;21.6625;17;84.916667;59;7.1;1.920833;
2007-07-02;0;993.720833;19.145833;28.3;22.091667;18.3;84.625;53;10.5;2.108333;
2007-07-03;3.6;993.608333;19.133333;27.3;22.3625;19.7;83.166667;54;8.8;2.654167;
2007-07-04;.2;993.958333;18.7375;25.1;20.379167;16.4;90.75;69;9.1;1.991667;
2007-07-05;2.6;994.120833;17.9875;26.9;21.466667;16.9;82.375;53;10.7;2.2125;
2007-07-06;.4;992.679167;18.908333;23.5;20.6;17.9;90.125;81;8.9;2.358333;
2007-07-07;4.8;991.5125;19.404167;24.1;20.866667;19.1;91.583333;75;7.4;1.954167;
2007-07-08;1.4;991.041667;19.654167;24.8;21.575;19.8;89.166667;70;6.5;1.658333;
2007-07-09;2.4;991.254167;19.283333;24.4;20.5875;17;92.458333;75;8.8;2.091667;
2007-07-10;6.6;990.854167;17.8625;26.3;20.8125;16.1;84.375;59;8.2;1.883333;
2007-07-11;0;990.775;17.804167;27.7;22.075;17.1;78.708333;45;7.1;2.125;
2007-07-12;1.4;991.716667;17.995833;27.2;20.925;15.9;84.791667;57;9.9;2.05;
2007-07-13;.4;991.908333;18.5125;26.3;21.566667;18.9;83.625;59;9.8;2.6125;
2007-07-14;.2;991.041667;18.4125;26.9;21.333333;18.1;84.625;57;6.7;1.666667;
2007-07-15;.2;989.933333;18.258333;27.8;21.520833;17.2;83.666667;48;4.9;1.4375;
2007-07-16;0;989.475;17.958333;28;21.475;15.5;82.583333;47;6.6;1.6125;
2007-07-17;.2;989.879167;19.641667;28.9;22.879167;18.4;83.5;53;6.9;1.658333;
2007-07-18;0;989.175;19.220833;29.1;22.8875;18.3;82.125;48;5.3;1.45;
2007-07-19;.2;987.945833;19.0625;28.9;22.670833;17.5;82;54;5.7;1.595833;
2007-07-20;.2;990.370833;18.320833;28.7;22.45;18.4;79.666667;49;8.8;1.975;
2007-07-21;.2;991.154167;17.908333;28.5;21.908333;16;80.25;48;8.8;2.0875;
2007-07-22;0;989.933333;18.033333;27.8;21.433333;15.9;82.708333;53;8.5;2.129167;
2007-07-23;.2;989.3375;17.254167;28.1;21.266667;15.8;80.75;43;11.5;1.529167;
2007-07-24;.2;989.75;18.766667;27.8;21.7875;16.4;84.583333;54;6.8;1.645833;
2007-07-25;0;989.8875;19.8375;27.7;22.629167;19.9;85.25;60;7.9;1.975;
2007-07-26;.2;991.2625;19.741667;28.3;22.720833;17.9;84.375;60;7.7;1.8375;
2007-07-27;5.4;991.558333;19.529167;26.1;22.033333;20.3;86.333333;65;8.9;2.366667;
2007-07-28;1.6;991.909091;18.095455;26.8;21.213636;16.9;83.681818;57;9.4;2.059091;
2007-07-29;.8;991.970833;18.3625;26.9;21.216667;18.8;84.666667;59;10.5;2.8875;
2007-07-30;25.8;992.916667;17.725;21;19.070833;17.9;92.166667;81;14;3.966667;
2007-07-31;7;993.15;16.716667;23.8;19.4125;16.2;84.916667;60;9.8;2.795833;
2007-08-01;.8;992.654167;17.120833;25.3;20.0625;16;84.166667;61;10.1;2.341667;
2007-08-02;0;992.858333;17.966667;26;20.15;16.1;87.958333;65;9.8;2.470833;
2007-08-03;.6;992.741667;18.445833;26.8;22.0375;19.5;81.583333;52;9.9;3.1625;
2007-08-04;0;992.958333;17.754167;25.3;21.825;19.5;78.625;56;9.5;2.833333;
2007-08-05;0;992.45;17.570833;27.1;21.129167;15.9;81.791667;54;8.4;2.1375;
2007-08-06;.2;992.186957;17.904348;26.9;20.913043;16.1;84.130435;58;9.5;2.46087;
2007-08-07;0;992.117391;17.978261;26.6;21.321739;16.8;82.652174;53;9.7;2.308696;
2007-08-08;.2;992.695833;18.770833;25.7;20.508333;17.3;90.083333;73;11.1;2.079167;
2007-08-09;3.8;992.616667;17.070833;27.6;21.4625;16.3;78.708333;44;12.1;2.7;
2007-08-10;5.4;992.275;18.483333;26.8;21.5375;17.8;83.916667;59;11;2.745833;
2007-08-11;.2;992.25;18.983333;27.9;21.866667;18;84.833333;53;8.5;2.604167;
2007-08-12;7;992.9;18.854167;27;21.425;17.4;86.083333;58;13.6;3.191667;
2007-08-13;2.2;992.954167;18.145833;26.6;21.404167;17.3;83.166667;53;10.5;2.85;
2007-08-14;2.2;993.021739;17.656522;26.9;21.704348;19;79.695652;45;12.4;3.391304;
2007-08-15;6.8;993.079167;16.85;26.5;21.2375;17.7;77.708333;45;12.4;3.329167;
2007-08-16;.2;992.325;16.508333;26;20.854167;17.2;77.708333;52;9.5;2.5625;
2007-08-17;.2;991.475;16.383333;27.3;21.158333;16;76.125;46;9.7;2.775;
2007-08-18;3.8;991.158333;18.0375;25.3;20.783333;16.9;85.083333;61;12;2.383333;
2007-08-19;1.8;992.2;17.629167;24.9;20.0875;16.2;86.5;67;8.2;1.904167;
2007-08-20;.2;992.458333;17.7875;26.5;20.941667;16.8;83.166667;59;7.7;2.191667;
2007-08-21;.2;991.7;16.4375;28.1;20.7625;14.7;79.083333;41;8.5;1.791667;
2007-08-22;0;991.583333;17.733333;26.7;20.816667;15.6;83.625;57;10.6;2.35;
2007-08-23;0;990.8;17.404167;27.2;21.8;16.8;77.958333;49;10.8;2.7375;
2007-08-24;.2;990.2875;17.754167;25.5;21.279167;18.8;80.833333;60;10;2.6625;
2007-08-25;0;989.529167;17.175;27.4;21.141667;15.6;79.791667;54;7.3;1.9;
2007-08-26;0;989.654167;18.675;28.8;22.8375;18.8;79.458333;51;7.3;1.795833;
2007-08-27;0;989.483333;18.958333;30;23.516667;19;78.208333;43;6.8;2.083333;
2007-08-28;0;989.541667;18.591667;29.4;22.7625;18.1;79.041667;51;9.4;2.433333;
2007-08-29;.2;992.170833;17.679167;25.9;20.3875;16;85.458333;57;9.8;2.520833;
2007-08-30;2.8;993.483333;16.991667;25.9;20.425;16.1;82;56;9.4;2.491667;
2007-08-31;4.4;993.95;18.704167;21.9;19.8125;17.9;93.333333;89;9.6;2.4625;
2007-09-01;6.6;993.416667;18.1625;27.7;21.6;17.7;82.541667;54;9.4;2.420833;
2007-09-02;0;993.641667;17.15;28.2;22.25;18.3;75.625;40;9.3;2.395833;
2007-09-03;0;993.870833;17.916667;27.9;21.7625;17.4;80.25;48;11.6;2.870833;
2007-09-04;.2;994.216667;18.504167;26.4;21.283333;17.7;84.791667;65;11;2.866667;
2007-09-05;5;994.679167;18.3625;28.2;22.1375;18.1;81.166667;48;10.7;3.0875;
2007-09-06;1.2;994.308333;19.0625;26.9;21.566667;17.9;86.25;63;9.8;2.875;
2007-09-07;2.2;993.2;18.025;26.6;21.891667;19.4;80.5;42;10.9;2.816667;
2007-09-08;1.6;992.633333;18.1875;24.2;20.445833;17.6;87.375;66;9.9;2.245833;
2007-09-09;.8;992.041667;18.175;25;19.925;16;89.958333;66;9;2.2125;
2007-09-10;8.2;992.166667;18.395833;25.6;21.3375;18.8;84.25;63;9.5;2.604167;
2007-09-11;2.6;992.270833;19.025;26.3;21.004167;18.4;88.875;69;11.1;3.1;
2007-09-12;1.6;992.725;16.891667;27;21.491667;17.9;76.875;48;10.2;2.983333;
2007-09-13;.8;991.416667;17.904167;27.7;21.5;17.4;81.458333;50;10.6;2.6;
2007-09-14;1.8;991.083333;18.104167;27.6;21.233333;16.6;83.541667;56;10.8;2.2875;
2007-09-15;0;990.620833;18.279167;27.2;21.7875;17.3;81.958333;55;8.8;2.066667;
2007-09-16;0;989.304167;18.158333;28.9;22.320833;18.5;79.208333;50;7;1.8625;
2007-09-17;0;988.670833;16.891667;30.2;21.779167;14.4;77.458333;35;8.7;2.066667;
2007-09-18;.2;991.3375;17.8625;29.5;22.729167;17.7;76.875;44;10.7;2.575;
2007-09-19;0;991.841667;17.870833;28.5;22.175;17.3;78.416667;50;9.9;2.720833;
2007-09-20;0;990.4375;17.766667;26.1;20.0875;15.4;87.25;63;9.7;2.529167;
2007-09-21;5.4;990.1375;19.691667;26.8;21.816667;19.5;88.291667;61;9;2.9125;
2007-09-22;3.6;991.341667;19.029167;27.6;21.983333;18.2;84.333333;56;8.9;2.383333;
2007-09-23;.2;990.375;17.916667;30.3;23.095833;16.6;75.916667;39;9.1;2.816667;
2007-09-24;0;989.216667;17.808333;31.2;23.1125;16.2;75.416667;42;8;1.983333;
2007-09-25;0;989.879167;17.475;30.4;22.9125;17.4;74.333333;41;9.3;2.658333;
2007-09-26;0;992.975;16.341667;29.4;22.895833;17.4;70.5;34;10.8;3.104167;
2007-09-27;0;993.3625;17.316667;29.2;22.870833;17.9;73.666667;42;11;3.145833;
2007-09-28;.2;992.75;16.141667;30.2;22.625;16.8;71;32;9.4;2.758333;
2007-09-29;0;992.166667;16.670833;29.9;22.3375;15.8;73.583333;41;9.2;2.354167;
2007-09-30;0;992.283333;17.4375;30.1;22.425;15.5;76.333333;42;10.4;2.604167;
