Nome: VITORIA DA CONQUISTA
Codigo Estacao: A414
Latitude: -14.88638888
Longitude: -40.80138888
Altitude: 879.38
Situacao: Pane
Data Inicial: 2007-05-31
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-05-31;null;null;null;null;null;null;null;null;null;null;
2007-06-01;null;921.638095;14.575;21.3;null;null;88.55;65;7.9;1.921053;
2007-06-02;null;null;null;null;null;null;null;41;5;null;
2007-06-03;null;917.838095;10.995238;28.6;null;12.1;61.857143;22;6.9;1.914286;
2007-06-04;0;918.05;13.129167;28.5;21.541667;14.1;61.416667;34;10.1;2.9125;
2007-06-05;0;920.704167;15.616667;21.6;17.366667;15.5;89.958333;70;9.7;2.7375;
2007-06-06;0;920.370833;15.45;24.2;18.1875;14.3;85.291667;59;6.8;1.754167;
2007-06-07;0;919.582609;14.821739;24.4;18.156522;14.2;82.478261;53;7.9;2.021739;
2007-06-08;0;919.529167;13.125;23;17.458333;13.6;78.25;46;8.9;2.058333;
2007-06-09;0;919.75;10.983333;23.9;16.308333;9.3;74.125;38;8.1;2.108333;
2007-06-10;0;920.0875;12.704167;25.2;17.916667;12.3;73.875;42;8.6;2.279167;
2007-06-11;0;920.2;15.3375;24.1;18.358333;13.9;83.5;58;7.9;1.866667;
2007-06-12;0;920.175;16.354167;21.6;18.004167;15.5;90.458333;75;7.3;2.420833;
2007-06-13;0;919.5625;16.1875;23.6;18.245833;16.9;88.833333;58;8;2.458333;
2007-06-14;0;919.233333;14.041667;25;17.570833;12.3;82.083333;49;8.4;2.2375;
2007-06-15;0;919.3625;15.341667;22.7;17.525;13.4;87.916667;60;9.5;2.175;
2007-06-16;0;920.4375;15.029167;24.5;18.791667;12.2;80.833333;47;11.7;1.904167;
2007-06-17;0;920.7375;13.95;23.7;17.845833;12.6;80.666667;47;11;2.595833;
2007-06-18;0;921.504167;14.1125;23.6;16.691667;10.4;86.208333;56;8.4;2.454167;
