Nome: SANTA RITA DE CASSIA
Codigo Estacao: A415
Latitude: -11.00277777
Longitude: -44.52499999
Altitude: 450.01
Situacao: Pane
Data Inicial: 2007-05-27
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-05-27;null;null;null;null;null;null;null;null;null;null;
2007-05-28;null;null;null;null;null;null;null;null;null;null;
2007-05-29;null;null;null;null;null;null;null;null;null;null;
2007-05-30;null;null;null;null;null;null;null;null;null;null;
2007-05-31;null;null;null;null;null;null;null;null;null;null;
2007-06-01;null;963.991667;15.241667;32.3;25.779167;null;54.791667;32;11.4;2.641667;
2007-06-02;0;963.725;14.291667;32.9;24.8625;16.6;56.083333;27;6.5;1.1875;
2007-06-03;0;962.879167;12.8375;35;24.9;15.2;53.583333;19;4.6;.975;
2007-06-04;0;962.633333;9.891667;35.4;24.791667;14.5;46.875;15;6;1.158333;
2007-06-05;0;963.258333;11.4375;34.2;24.558333;15.2;47.833333;23;11.4;1.220833;
2007-06-06;0;963.429167;13.408333;34.4;26.508333;18.2;47.833333;22;7.5;1.404167;
2007-06-07;0;962.786957;13.943478;33.5;24.921739;17;54.347826;27;7.5;1.452174;
2007-06-08;0;962.675;13.166667;32.7;25.304167;17.2;51.041667;24;8.6;1.545833;
2007-06-09;0;963.004167;10.108333;31.2;23.245833;13.4;47.875;21;7.5;1.6375;
2007-06-10;0;962.908333;11.070833;33.7;23.5625;14.3;48.958333;23;8;1.604167;
2007-06-11;0;963.1125;13.354167;32.2;24.870833;17.1;52.541667;27;9.6;1.65;
2007-06-12;0;963.104167;12.333333;33.4;24.195833;16.3;51.375;23;9.4;1.629167;
2007-06-13;0;962.2875;12.733333;33.8;24.433333;15.7;51.333333;27;8.8;1.6125;
2007-06-14;0;962.0375;11.85;32.7;24.445833;15.7;49.875;20;9.3;1.741667;
2007-06-15;0;962.795833;11.2375;31.9;22.7125;12.8;51.583333;27;11.3;1.945833;
2007-06-16;0;963.425;11.370833;33.9;24.308333;14.4;48.833333;22;8.9;1.608333;
2007-06-17;0;963.358333;14.145833;34.5;26.041667;18.4;52.833333;23;9;1.891667;
2007-06-18;0;964.416667;10.220833;32.7;24.641667;15.2;43.666667;22;8.9;1.9875;
2007-06-19;0;964.7375;11.2625;31.2;22.916667;13.1;49.833333;30;10.6;1.854167;
2007-06-20;0;965.258333;11.433333;32.5;23.104167;13.5;52.708333;23;8.8;1.670833;
2007-06-21;0;965.3125;10.179167;32.5;23.4125;14;48.416667;20;13.2;2.575;
2007-06-22;0;964.6875;13.0625;29.9;22.020833;14.2;59.416667;30;11;1.995833;
2007-06-23;0;963.054167;10.370833;31.4;22.708333;13.1;51.541667;22;12.9;2.3375;
2007-06-24;0;963.9875;9.083333;32.4;22.2;11.7;48.583333;19;6.9;1.4375;
2007-06-25;0;965.004167;8.041667;32.1;22.191667;11.5;45.541667;14;10.7;1.945833;
2007-06-26;0;965.358333;13.333333;31.6;24.720833;19.9;52.208333;24;10.9;2.625;
2007-06-27;0;965.2875;13.2125;30.5;23.745833;16.2;54.625;31;8.9;2.254167;
2007-06-28;0;964.5;11.8875;31.6;22.741667;13.8;54.708333;27;6.8;1.470833;
2007-06-29;0;965.5375;11.066667;32.4;23.591667;14.5;49.416667;21;7.6;1.3125;
2007-06-30;0;966.191667;10.725;32.8;23.175;12.9;49.083333;25;8.3;1.283333;
2007-07-01;0;966.654167;11.795833;33.1;24.420833;16.1;49.375;22;6.2;1.145833;
2007-07-02;0;966.120833;9.7625;32.7;23.65;14;45;22;8.3;1.429167;
2007-07-03;0;965.7875;10.483333;32.1;23.783333;14;45;26;8.4;1.8125;
2007-07-04;0;965.841667;12.095833;31.4;24.0625;15.6;50.916667;26;7.8;2.025;
2007-07-05;0;966.1125;11.904167;31.5;23.55;15;50.416667;31;10.2;2.104167;
2007-07-06;0;965.354167;11.141667;31.2;23.558333;15.2;50.583333;21;9.6;1.916667;
2007-07-07;0;963.875;11.7125;32;24.041667;16.2;48.625;27;9.9;1.975;
2007-07-08;0;963.225;11.4625;33.2;23.541667;13.4;51.583333;23;8.7;1.608333;
2007-07-09;0;963.520833;8.708333;33.4;23.645833;14.5;44.791667;13;10.1;1.816667;
2007-07-10;0;962.970833;10.716667;32.1;23.470833;15;45.833333;24;8.5;1.679167;
2007-07-11;0;962.758333;10.2375;33.3;24.016667;13.4;47.208333;16;8.2;1.616667;
2007-07-12;0;963.795833;9.766667;32.4;23.920833;15.8;46.666667;17;8.4;1.854167;
2007-07-13;0;964.408333;8.966667;31.7;22.5625;12.9;45.166667;22;7.7;1.345833;
2007-07-14;0;963.595833;10.245833;33.1;23.420833;13.5;46.875;21;7.1;1.316667;
2007-07-15;0;962.4125;9.825;33.6;24.095833;14.3;44.833333;18;7.5;1.216667;
2007-07-16;0;961.441667;9.133333;34.4;24.104167;13.7;42.833333;19;6.6;1.295833;
2007-07-17;0;961.691667;11.595833;34.7;26.420833;17.4;42.125;22;9.3;1.204167;
2007-07-18;0;961.533333;12.35;35.2;25.795833;16.7;46.541667;22;7.4;1.233333;
2007-07-19;0;960.316667;12.0625;36.2;26.954167;17.8;43.583333;19;7;1.183333;
2007-07-20;0;961.358333;12.704167;34.2;26.7125;18.5;44.041667;26;15.3;1.858333;
2007-07-21;0;963.004167;10.966667;33.5;26.375;17.9;42.041667;19;8.2;2.075;
2007-07-22;0;962.270833;8.425;33.5;23.2625;13.1;43.041667;18;9.1;1.354167;
2007-07-23;0;961.654167;8.858333;34.4;23.658333;13.6;42.791667;19;7.2;1.275;
2007-07-24;0;961.583333;8.983333;34.8;24.804167;14.9;41.125;18;7;1.495833;
2007-07-25;0;962.195833;7.9375;34.5;25.433333;14.5;36.208333;15;9.1;1.391667;
2007-07-26;0;963.170833;8.925;35.9;25.270833;14.9;39.458333;15;7.8;1.420833;
2007-07-27;0;962.7875;10.279167;35;25.645833;16.4;41.583333;17;8.1;1.525;
2007-07-28;0;963.53913;10.786957;33.7;25.430435;16.7;44.130435;17;8.6;1.704348;
2007-07-29;0;964.129167;7.966667;32;22.85;12.9;41.458333;19;10.5;1.8625;
2007-07-30;0;964.629167;10.679167;31.8;23.7;15.1;46.916667;25;10.4;1.941667;
2007-07-31;0;964.716667;10.704167;30.9;23.570833;15.2;47.666667;25;7.6;1.8875;
2007-08-01;0;964.108333;8.033333;31.2;22.425;12.1;43.625;19;10.4;1.420833;
2007-08-02;0;964.858333;8.208333;32;22.404167;12.4;43.958333;19;7.6;1.645833;
2007-08-03;0;964.775;9.3875;32.9;23.333333;12.3;44.708333;23;11.9;2.133333;
2007-08-04;0;964.858333;12.520833;32.1;24.554167;15.4;49.708333;29;10;2.225;
2007-08-05;0;964.033333;12.533333;33.6;24.8125;16.8;50.583333;22;9;1.483333;
2007-08-06;0;963.270833;9.1875;33;24.429167;16;42.708333;15;9.9;2.145833;
2007-08-07;0;963.96087;8.717391;33.1;23.921739;13.7;41.608696;18;8.9;1.604348;
2007-08-08;0;963.433333;8.95;32.8;23.245833;13.4;44.166667;20;9.7;1.891667;
2007-08-09;0;963.995833;8.608333;32.5;23.516667;13.6;42.875;18;10.5;2.495833;
2007-08-10;0;964.508333;10.325;32.1;24.25;14.1;44.083333;24;10.6;2.6625;
2007-08-11;0;964.308333;9.391667;32.7;23.908333;13.2;42.875;22;10.5;2.104167;
2007-08-12;0;964.266667;11.091667;32.5;24.433333;15.5;46.625;21;11.5;2.391667;
2007-08-13;0;965.1375;10.1375;31.9;24.1875;15.5;45.541667;19;9.7;2.325;
2007-08-14;0;964.913043;11.230435;31.5;24.321739;17.3;45.826087;25;12.9;3.591304;
2007-08-15;0;965.5375;10.966667;30;22.641667;13.5;50.541667;28;12.7;2.7;
2007-08-16;0;964.516667;8.8375;31.1;23.125;14.8;43.708333;20;10.2;2.258333;
2007-08-17;0;963.329167;8.558333;31.8;22.883333;12.6;44.125;19;8.6;1.591667;
2007-08-18;0;962.7625;10.141667;31.9;23.679167;14.3;45.333333;23;9;2.004167;
2007-08-19;0;963.729167;11.454167;32.2;24.716667;16.6;46.625;23;8.4;1.954167;
