Nome: BREJO GRANDE
Codigo Estacao: A421
Latitude: -10.47388888
Longitude: -36.48194443
Altitude: 6.11
Situacao: Pane
Data Inicial: 2008-07-16
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-07-16;null;null;null;null;null;null;null;null;null;null;
2008-07-17;null;null;null;null;null;null;null;null;null;null;
2008-07-18;null;null;null;null;null;null;null;null;null;null;
2008-07-19;null;null;null;null;null;null;null;null;null;null;
2008-07-20;null;null;null;null;null;null;null;null;null;null;
2008-07-21;null;null;null;null;null;null;null;null;null;null;
2008-07-22;null;null;null;null;null;null;null;58;8.4;null;
2008-07-23;null;1017.166667;19.054167;27.4;23.933333;20.7;74.916667;53;8.4;1.333333;
2008-07-24;.4;1016.233333;19.9625;27.6;23.883333;21.7;79.291667;62;7.1;1.316667;
2008-07-25;.2;1016.708333;19.458333;27.9;23.65;20;78.166667;57;5.6;.9125;
2008-07-26;2;1016.970833;21.1125;27.5;23.979167;21.7;84.416667;68;7.6;1.495833;
2008-07-27;3;1018.404167;19.966667;27.7;24.016667;22;78.875;60;9.4;1.9125;
2008-07-28;10.4;1018.470833;18.925;28.2;24.583333;21.5;71.125;58;9.4;2.066667;
2008-07-29;0;1017.1375;18.379167;28.1;24.475;21.7;69.583333;52;8.5;1.783333;
2008-07-30;0;1016.15;18.966667;28;24.191667;20.8;73.208333;56;6.8;1.195833;
2008-07-31;4.4;1015.783333;19.925;28.1;23.733333;21;79.958333;57;8.3;1.191667;
