Nome: ABROLHOS
Codigo Estacao: A422
Latitude: -17.96305555
Longitude: -38.70333333
Altitude: 20.93
Situacao: Pane
Data Inicial: 2008-07-20
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-07-20;null;null;null;null;null;null;null;null;null;null;
2008-07-21;null;null;null;null;null;null;null;60;7.5;null;
2008-07-22;null;1018.333333;17.629167;25.5;23.883333;23;68.166667;59;9.5;6.166667;
2008-07-23;0;1016.266667;18.025;25;24.008333;23.6;69.25;64;10.6;7.504167;
2008-07-24;0;1015.3625;18.708333;25;23.779167;23.2;73.333333;65;9.6;5.808333;
2008-07-25;0;1015.758333;16.954167;25.1;23.795833;23.1;65.666667;58;9;5.104167;
2008-07-26;0;1017.45;17.625;27.4;23.679167;22.6;69.5;56;18.3;4.1875;
2008-07-27;3.8;1020;16.595833;25.1;23.3;20.7;66.416667;54;17;4.9;
2008-07-28;0;1020.3875;14.983333;25.6;23.429167;22;59.291667;44;9.5;3.958333;
2008-07-29;0;1018.579167;17.033333;25.9;23.404167;21.7;67.583333;56;11.4;3.525;
2008-07-30;0;1016.516667;18.65;25.1;23.3625;22.1;75;64;9.8;4.7875;
2008-07-31;0;1016.266667;19.116667;25.4;23.529167;22.3;76.375;65;13.3;5.9125;
2008-08-01;0;1016.0875;18.391667;25.9;24.108333;21.1;70.583333;59;10.9;6.004167;
2008-08-02;0;1014.204167;18.925;25.3;24.020833;23.3;73.166667;63;11.2;7.8125;
2008-08-03;0;1011.066667;20.454167;24.9;24.2125;23.7;79.375;73;15.5;11.341667;
2008-08-04;0;1011.8;21.470833;26;24.591667;24;82.791667;76;15.6;7.683333;
2008-08-05;0;1015.895833;21.2625;25.9;24.495833;23.8;82.333333;74;8.5;5.870833;
2008-08-06;0;1016.295833;19.366667;26.2;24.320833;23.4;73.916667;65;8.4;5.454167;
2008-08-07;0;1016.091667;18.433333;26.3;24.316667;23;69.791667;58;8.6;5.416667;
2008-08-08;0;1015.116667;19.0625;25.7;24.245833;23.2;73.083333;65;9.6;6.466667;
2008-08-09;0;1016.520833;19.045833;26.1;24.216667;23.2;72.791667;67;9.3;5.2625;
2008-08-10;0;1016.175;18.525;25.6;24.091667;23.2;71.25;59;10;5.554167;
2008-08-11;0;1016.7625;18.391667;26.8;24.254167;22.9;70.166667;56;7.7;3.870833;
2008-08-12;0;1017.141667;18.645833;26.9;24.316667;22.6;70.875;61;8.9;4.404167;
2008-08-13;.4;1017.858333;18.725;26.5;24.245833;22.7;71.541667;62;8.9;5.0875;
2008-08-14;.4;1018.933333;19.058333;27;24.416667;21.8;72.208333;62;13.8;5.7;
2008-08-15;5;1019;19.0375;26.5;23.591667;20.7;75.875;64;13.4;6.241667;
2008-08-16;.8;1017.983333;18.4;26.4;24.0875;21.2;70.541667;63;11.9;7.095833;
2008-08-17;0;1017.608333;17.558333;26.7;23.658333;20.1;69.125;53;14.9;5.6125;
2008-08-18;.8;1017.8875;17.95;26.9;23.991667;20.9;69.083333;57;12.3;4.875;
2008-08-19;0;1017.65;16.891667;26.6;23.908333;21.9;65.333333;47;12.2;6.05;
2008-08-20;0;1016.979167;17.441667;26;23.391667;21.4;69.666667;53;12.8;5.4;
2008-08-21;2.4;1016.608333;18.370833;25.8;23.2125;20.3;74.416667;64;9.2;3.045833;
2008-08-22;0;1015.741667;18.745833;26.1;23.741667;22.6;73.708333;67;8.7;4.391667;
2008-08-23;0;1017.2875;18.1125;27.6;24.504167;22.8;67.75;56;8.5;3.504167;
2008-08-24;7.2;1017.966667;18.358333;24;22.795833;20.2;76.333333;65;16.5;4.808333;
2008-08-25;4;1017.341667;17.5875;26;23.433333;20.5;69.791667;61;12.9;4.233333;
2008-08-26;0;1015.095833;18.754167;25.8;23.554167;22.2;74.666667;65;8.9;3.770833;
2008-08-27;0;1013.441667;19.179167;27.1;23.825;22.8;75.333333;66;8.4;3.783333;
2008-08-28;0;1013.579167;18.816667;26.7;24.0375;22.7;73;60;7.8;2.883333;
2008-08-29;0;1013.3125;19.295833;24.6;23.445833;23;77.708333;69;8;3.954167;
2008-08-30;2.8;1012.991667;18.579167;25.9;23.941667;21.8;72.125;58;9.5;4.791667;
2008-08-31;0;1014.941667;16.954167;26.9;24.095833;22.9;64.833333;50;12;3.95;
2008-09-01;0;1016.15;17.275;25.5;23.645833;22.8;67.833333;57;18.2;7.275;
2008-09-02;0;1016.058333;16.5625;27.3;23.9125;22.2;63.916667;49;9.2;3.3375;
2008-09-03;0;1015.066667;18.4375;26.2;24.041667;22.8;70.958333;63;10.5;7.225;
2008-09-04;0;1014.141667;18.275;25.6;24.145833;23.3;69.75;62;10.9;7.791667;
2008-09-05;0;1013.7375;18.9125;25.5;24.191667;23.6;72.291667;66;12.9;8.9625;
2008-09-06;0;1015.191667;17.333333;25.8;24.475;23.5;64.625;53;13.5;8.320833;
2008-09-07;0;1015.9;20.65;25.9;24.558333;23.9;78.833333;73;16.4;10.141667;
2008-09-08;0;1017.408333;19.85;26.8;24.604167;23.7;75.041667;63;14.2;7.416667;
2008-09-09;0;1018.5625;17.383333;26.9;24.583333;23.2;64.708333;50;10;4.8125;
2008-09-10;0;1019.216667;18.1375;27.4;24.804167;23.3;66.583333;57;8.1;4.029167;
2008-09-11;0;1018.404167;17.858333;27.5;24.504167;23.1;66.791667;54;8.4;4.85;
2008-09-12;0;1016.3;19.445833;26.4;24.391667;23.3;73.958333;66;9.2;5.670833;
2008-09-13;0;1014.245833;20.683333;25.7;24.375;23.6;79.875;74;12.6;8.291667;
2008-09-14;0;1013.608333;21.191667;25.7;24.5625;23.7;81.75;76;15;10.641667;
2008-09-15;0;1015.675;20.641667;26;24.595833;24;78.583333;70;14.9;8.391667;
2008-09-16;0;1015.85;20.35;26.2;24.616667;23.8;77.291667;70;13;6.704167;
2008-09-17;0;1015.304167;19.829167;26;24.291667;23.3;76.333333;66;10;3.883333;
2008-09-18;0;1014.729167;19.766667;25.5;22.920833;21.8;82.583333;67;18.8;5.308333;
2008-09-19;1.4;1017.8;16.591667;25.3;22.908333;20.8;67.958333;53;19;5.55;
