Nome: IRECE
Codigo Estacao: A424
Latitude: -11.328998
Longitude: -41.864504
Altitude: 768.42
Situacao: Operante
Data Inicial: 2008-03-30
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-03-30;null;null;null;null;null;null;null;null;null;null;
2008-03-31;null;null;null;null;null;null;null;null;null;null;
2008-04-01;null;null;null;null;null;null;null;null;null;null;
2008-04-02;null;null;null;null;null;null;null;56;6;null;
2008-04-03;5.8;925.158333;19.35;28.4;22.904167;20;81.583333;51;8.2;1.4125;
2008-04-04;1;925.1875;19.7875;29;22.9;20.3;83.875;55;11.1;1.145833;
2008-04-05;.8;925.145833;20.004167;28.8;23.408333;20.5;82.25;56;8.1;1.666667;
2008-04-06;67.8;925.991667;19.758333;28.6;22.620833;19.5;85.208333;56;12.1;1.504167;
2008-04-07;10.4;926.1875;20.116667;28.9;23.395833;20.3;82.75;56;7.5;1.9125;
2008-04-08;0;927.241667;17.595833;28.8;23.525;18.8;71.458333;45;9.3;2.495833;
2008-04-09;21.2;927.6125;18.0375;28.3;23.25;18.9;74.416667;45;9.1;2.1875;
2008-04-10;0;925.716667;17.966667;28.9;23.329167;19;73.75;48;10.2;2.7;
2008-04-11;0;924.316667;17.791667;28.4;23.095833;18;73.833333;50;8.4;2.379167;
2008-04-12;0;924.420833;18.075;29.8;23.679167;17.8;72.916667;44;5.6;1.579167;
2008-04-13;0;925.141667;18.7125;30.3;24.5375;19.5;71.916667;43;5.6;1.441667;
2008-04-14;0;925.920833;18.475;29.9;24.329167;20.1;71.75;44;5.2;1.033333;
2008-04-15;0;926.0375;18.525;30.8;24.425;19.4;71.958333;41;5.6;1.041667;
2008-04-16;0;927.529167;17.4625;29.8;23.6625;18.4;70.708333;39;7.4;1.966667;
2008-04-17;0;928.270833;17.6875;28.6;22.808333;18.5;73.875;50;8.9;2.745833;
2008-04-18;.2;927.516667;17.566667;28.1;22.466667;17.2;75.166667;50;8.3;2.433333;
2008-04-19;0;927.004167;16.008333;29.4;23.183333;18.3;66.416667;36;10.5;2.3875;
2008-04-20;0;927.020833;16.4125;29.2;22.891667;17.7;68.791667;42;8.7;2.766667;
2008-04-21;0;927.741667;17.654167;27.8;23.108333;19.8;72.666667;52;9.6;2.325;
2008-04-22;0;927.229167;14.7625;29.8;22.579167;16.1;64.458333;34;10.6;2.679167;
2008-04-23;0;926.470833;17.745833;27.4;22.429167;16.9;75.833333;57;7.4;1.941667;
2008-04-24;0;925.729167;18.058333;30.6;23.683333;17.7;73.291667;43;5.8;1.254167;
2008-04-25;0;925.354167;18.6625;30.9;24.516667;19.8;71.375;43;6.8;1.683333;
2008-04-26;0;925.366667;18.3875;30.5;24.2375;19.5;72.041667;41;7.1;1.3875;
2008-04-27;1;925.9375;17.845833;30.3;23.883333;19.5;71.583333;44;6.9;1.520833;
2008-04-28;0;925.545833;15.55;30.7;23.783333;16.8;63.041667;33;7;1.8625;
2008-04-29;0;925.733333;17.058333;30.5;24.445833;19;66.25;38;7.6;2.216667;
2008-04-30;0;925.591667;16.391667;30.8;23.933333;18.4;66.458333;35;7.7;1.9125;
2008-05-01;0;925.778261;14.995652;30.3;23.678261;17.7;61.565217;35;11.1;2.9;
2008-05-02;0;926.4125;16.925;28.3;22.454167;17.7;72.333333;50;10.4;3.120833;
2008-05-03;0;927.016667;18.329167;28.1;21.45;17.8;83.958333;52;10;2.254167;
2008-05-04;21;927.4375;16.908333;29.5;22.608333;17.5;73.291667;44;7.1;2.129167;
2008-05-05;0;927.654167;13.4625;31.4;22.808333;15.3;60.791667;23;7.2;2.1;
2008-05-06;0;926.754167;14.908333;31.4;23.645833;16.8;61.25;29;4.6;1.333333;
2008-05-07;0;926.466667;17.658333;30.2;23.654167;18.5;70.458333;44;8.1;1.6125;
2008-05-08;0;926.633333;18.545833;28.9;23.170833;19.6;76.583333;51;8.4;2.35;
2008-05-09;0;926.904167;17.370833;27.3;22.458333;18.9;74.208333;53;7.5;1.95;
2008-05-10;0;928.179167;17.45;25.3;21.733333;18.3;77.333333;61;8.8;2.433333;
2008-05-11;0;929.404167;15.141667;27;21.35;16.9;69.458333;46;10.9;3.2;
2008-05-12;0;930.008333;15.220833;27.9;21.975;18.6;67.083333;44;10.5;3.391667;
2008-05-13;0;930.329167;15.129167;25.7;21.016667;17.7;70.041667;51;10.1;3.216667;
2008-05-14;0;929.733333;14.516667;28.3;21.470833;14.9;67.041667;40;9.5;2.795833;
2008-05-15;0;929.925;15.358333;28.2;22.216667;16.9;67.125;42;9.3;2.829167;
2008-05-16;0;929.579167;16.008333;29.8;23.004167;18.5;67.875;37;8.1;2.6625;
2008-05-17;0;929.925;15.083333;29.3;22.504167;17.3;65.333333;36;11;3.129167;
2008-05-18;0;930.179167;15.820833;25;21.508333;18.8;70.541667;57;11;3.6;
2008-05-19;0;929.304167;15.270833;27.9;21.55;16.3;69.291667;44;9.4;2.679167;
2008-05-20;0;928.433333;14.329167;29.2;21.9875;15.1;66.041667;33;8.8;2.5375;
2008-05-21;0;927.791667;13.525;29.3;21.808333;15.3;62.333333;32;10.4;2.783333;
2008-05-22;0;928.541667;15;27.9;21.991667;17.9;66.458333;37;7.6;2.679167;
2008-05-23;0;928.183333;15.8375;26.9;21.995833;16.8;69.916667;51;8.1;2.625;
2008-05-24;0;927.775;14.866667;30.1;22.158333;16.3;65.708333;38;8.4;2.3625;
2008-05-25;0;927.216667;15.7;29.8;22.229167;16.9;69.625;36;8.1;2.358333;
2008-05-26;0;927.5375;12.8;31.1;23.620833;16.5;58.125;19;8.3;2.375;
2008-05-27;0;927.916667;13.441667;29.9;22.625;15;59.583333;32;11.7;2.883333;
2008-05-28;0;928.254167;13.504167;28.2;22.391667;17.9;59.625;36;13.1;3.595833;
2008-05-29;0;928.283333;14.05;27.4;21.4125;15.1;64.583333;46;11.4;3.108333;
2008-05-30;0;929.645833;16.654167;26.9;21.295833;16.5;76.041667;51;10.9;2.804167;
2008-05-31;0;930.3375;14.491667;28.6;21.4125;15.3;68.291667;35;11.1;3.391667;
2008-06-01;0;930.6;14.659091;26.5;20.595455;15.6;70.318182;45;12.1;3.463636;
2008-06-02;0;930.304167;13.616667;27.3;20.5125;14.1;66.791667;39;11.7;3.95;
2008-06-03;0;930.004167;14.466667;28;20.845833;14.2;69.416667;42;9.6;3.041667;
2008-06-04;0;930.082609;14.269565;28.6;22.13913;17.9;63.304348;35;10.8;3.226087;
2008-06-05;0;930.658333;14.233333;28.7;21.6875;16.4;65.666667;38;9.8;2.820833;
2008-06-06;0;930.7;15.3;26.7;21.878261;17.5;67.304348;44;11.8;3.969565;
2008-06-07;0;930.15;15.616667;28.3;21.925;17.9;70.75;35;12.1;3.670833;
2008-06-08;.6;929.745833;16.404167;28;21.0875;16.9;76;47;12.3;3.65;
2008-06-09;0;929.766667;14.695833;28;22.045833;17.6;66.666667;32;14.2;3.866667;
2008-06-10;0;929.979167;13.6;27.9;20.516667;14.4;68;36;10.1;2.9125;
2008-06-11;0;929.341667;11.6625;28.3;21.175;15.4;60.583333;22;9.6;2.970833;
2008-06-12;0;929.808333;15.029167;28.8;20.7375;15.3;71.541667;41;10.8;3.1625;
2008-06-13;0;929.65;13.029167;29;21.304167;15;64.25;23;11.5;3.5875;
2008-06-14;0;928.6625;14.129167;26.9;20.845833;16.4;68.625;37;10.2;3.05;
2008-06-15;0;929.55;12.379167;28.3;20.720833;14.6;63.666667;32;7.3;2.191667;
2008-06-16;0;929.516667;12.333333;31.5;22.595833;15.1;57.625;25;8;2.441667;
2008-06-17;0;929.675;12.3;28.3;21.720833;17;58.416667;28;11.9;3.3875;
2008-06-18;0;929.320833;15.066667;27.3;21.208333;17.2;69.5;44;10.4;3.129167;
2008-06-19;0;929.4625;12.725;27.3;21.004167;16.8;62.458333;33;11.9;3.233333;
2008-06-20;0;929.229167;11.5125;28;20.525;14;60.125;32;9.3;2.958333;
2008-06-21;0;928.4875;12.6625;27.6;20.533333;14;63.125;38;8.7;2.754167;
2008-06-22;0;928.525;12.15;28.2;20.970833;13.5;61.125;31;8.7;2.645833;
2008-06-23;0;929.558333;15.1;28.2;21.691667;16.3;67.958333;45;10.4;3.3;
2008-06-24;0;931.258333;15.620833;25.5;21.466667;19.1;70.208333;52;11.3;3.704167;
2008-06-25;0;930.316667;13.179167;27.3;20.316667;13.7;66.5;39;11.6;2.95;
2008-06-26;0;930.2375;13.616667;26.9;20.225;14.9;68.416667;41;11.7;3.329167;
2008-06-27;0;931.408333;15.3125;25.9;20.745833;17.7;72.208333;51;12.6;4.208333;
2008-06-28;0;932.958333;14.679167;24.6;19.8375;16.3;73.25;53;12.7;4.016667;
2008-06-29;0;932.516667;13.8875;25.4;19.783333;16.7;70.333333;44;11.2;3.866667;
2008-06-30;0;931.608333;13.375;26.1;20.216667;16.4;66.875;39;12.3;3.333333;
2008-07-01;0;931.545833;15.3;27.4;20.475;15.4;74.25;48;10.9;3.133333;
2008-07-02;0;932.154167;13.666667;26.1;20.295833;16.2;68.208333;37;12.7;3.9125;
2008-07-03;0;931.154167;14.1375;26.6;19.954167;15.9;70.708333;44;11;3.566667;
2008-07-04;0;930.395833;14.054167;27.4;20.566667;16;68.916667;39;8.6;2.85;
2008-07-05;0;930.595833;14.204167;28.5;20.683333;15.2;68.875;37;9.9;2.7125;
2008-07-06;0;932.0375;14.7;25.3;20.691667;17.6;69.5;52;13.1;3.8625;
2008-07-07;0;932.15;13.120833;26;19.770833;15;67.5;43;10.6;3.533333;
2008-07-08;0;931.316667;10.7;26.9;19.408333;13;61.583333;30;9.9;3.145833;
2008-07-09;0;930.991667;10.795833;26.8;19.670833;14.1;59.5;34;10.4;3.183333;
2008-07-10;0;931.9;13.2125;25;19.4875;14.5;68.375;47;11.1;3.458333;
2008-07-11;0;932.675;14.991667;25.8;20.5375;16.7;71.75;51;12;4.191667;
2008-07-12;0;932.1;12.4125;26.2;20.4875;17.1;62.125;36;13.9;4.616667;
2008-07-13;0;930.654167;9.383333;26.7;19.479167;13.6;58.041667;23;11.8;3.458333;
2008-07-14;0;930.945833;12.7125;25.7;19.075;13.9;68.583333;38;13.4;3.616667;
2008-07-15;0;932.441667;13.329167;25.4;18.995833;14.7;70.791667;45;13.4;4.154167;
2008-07-16;0;932.704167;11.233333;25.9;19.516667;13.3;61.583333;33;12.9;4.266667;
2008-07-17;0;931.279167;12.466667;27;19.7625;14.5;65.125;39;11.1;3.7375;
2008-07-18;0;930.695833;13.3125;29.1;21.279167;15.7;63.375;34;8.9;2.920833;
2008-07-19;0;931.095833;12.8;28.7;21.375;15.2;61.75;30;8.7;2.404167;
2008-07-20;0;931.0625;11.558333;27.5;20.958333;16.2;58.75;29;12.4;3.208333;
2008-07-21;0;931.720833;12.1625;26.1;19.533333;12.7;63.666667;44;11.8;3.808333;
2008-07-22;0;931.841667;13.7;27.2;20.625;16;66.125;42;10.9;3.795833;
2008-07-23;0;931.008333;13.191667;27.6;21.095833;15.7;63.791667;33;10;3.041667;
2008-07-24;0;929.929167;11.908333;29.5;21.2875;14.7;60.458333;26;7.9;2.4;
2008-07-25;0;930.270833;10.125;29.3;20.741667;13;55.166667;23;7.8;2.504167;
2008-07-26;0;930.579167;7.933333;30.4;20.8125;11.9;48.708333;16;9.8;2.975;
2008-07-27;0;932.3375;11.158333;26.8;20.441667;15.1;57.958333;33;14.3;4.454167;
2008-07-28;0;932.633333;13.241667;26.1;19.491667;13.7;68.791667;44;12.1;3.645833;
2008-07-29;0;931.470833;13.058333;25.4;19.416667;14.6;68.916667;43;13.2;4.1625;
2008-07-30;0;930.104167;12.6625;28.3;21.195833;16.5;61.833333;31;10.4;3.008333;
2008-07-31;0;929.695833;10.983333;28.3;20.854167;14.7;57.333333;27;9.9;3.241667;
2008-08-01;0;929.629167;11.816667;27.1;20.508333;15.4;61.083333;31;11.8;3.370833;
2008-08-02;0;929.108333;10.0125;29.7;21.070833;13.8;53.958333;25;8;1.945833;
2008-08-03;0;928.004167;11.754167;32;23.075;14.8;52.958333;25;7.1;2.1375;
2008-08-04;0;927.75;12.9375;33.2;24.316667;16.8;54.875;21;7.7;2.129167;
2008-08-05;0;929.2125;13.158333;30.2;23.633333;16.8;54.875;29;13.8;4.095833;
2008-08-06;0;929.375;12.120833;27.7;21.158333;14;59.833333;30;14.4;4.116667;
2008-08-07;0;929.520833;12.983333;29.1;21.9625;15.6;59.958333;30;11.8;3.575;
2008-08-08;0;929.241667;13.1375;29.3;22.320833;16.2;60.541667;30;9.5;3.133333;
2008-08-09;0;930.258333;11.395833;29;21.945833;16.2;55.333333;26;10.3;3.416667;
2008-08-10;0;930.070833;10.420833;29.4;21.766667;15.3;52.625;24;11.6;3.166667;
2008-08-11;0;929.891667;11.554167;27.6;20.854167;13.6;58.416667;33;10.5;3.2375;
2008-08-12;0;930.016667;13.3125;28.2;21.570833;16.3;62.208333;32;12;3.8625;
2008-08-13;0;931.045833;12.166667;27.2;21.370833;16.9;58.625;31;10.2;3.770833;
2008-08-14;0;931.604167;12.4625;28.4;21.170833;16.1;60.208333;33;11.1;3.779167;
2008-08-15;0;931.516667;12.0375;27.9;20.908333;16.2;60.833333;26;12.8;3.829167;
2008-08-16;1.2;930.445833;15.175;26.3;21.004167;17.4;70.458333;49;13.2;3.675;
2008-08-17;0;929.8125;12.416667;28.2;21.295833;15.8;59.875;31;10.4;3.654167;
2008-08-18;0;930.05;10.9625;26.8;20.6625;15.4;57.458333;26;15;4.266667;
