Nome: LENCOIS
Codigo Estacao: A425
Latitude: -12.557854
Longitude: -41.388808
Altitude: 438.09
Situacao: Operante
Data Inicial: 2008-04-04
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-04-04;null;null;null;null;null;null;null;null;null;null;
2008-04-05;null;null;null;null;null;null;null;null;null;null;
2008-04-06;null;null;null;null;null;null;null;89;2.1;null;
2008-04-07;null;null;null;null;null;null;70.642857;58;7.2;null;
2008-04-08;0;963.4125;21.208333;30.1;25.775;23.4;76.583333;56;5.9;1.179167;
2008-04-09;2.2;963.566667;20.516667;32;26.5;23.3;71.875;42;5.4;1.066667;
2008-04-10;0;961.720833;19.483333;32.3;26.858333;23.4;65.875;40;6.4;1.195833;
2008-04-11;.2;959.933333;20.491667;32.4;26.75;23.4;70.666667;41;5;.683333;
2008-04-12;0;959.783333;20.595833;33.8;26.95;22.3;70.5;38;4.3;.7625;
2008-04-13;0;960.558333;20.7125;33.9;27.308333;22.6;69.291667;40;4.2;.733333;
2008-04-14;0;961.225;20.095833;34;27.354167;23.2;67.291667;35;4.3;.725;
2008-04-15;0;961.420833;20.083333;33.6;27.458333;22.5;66.083333;39;4.6;.7375;
2008-04-16;0;963.541667;20.1;32.4;27.004167;23.6;67.625;38;9.1;1.029167;
2008-04-17;1.4;964.595833;21.375;31.7;25.516667;22.7;79.333333;48;9.5;1.220833;
2008-04-18;6.4;963.779167;20.3625;30.7;24.495833;21;79.583333;43;7.3;1.004167;
2008-04-19;0;963.025;18.3125;31.1;25.408333;20.5;68.708333;33;7.3;1.1875;
2008-04-20;0;963.7;19.6;30.2;25.091667;21.4;72.791667;50;7.8;.975;
2008-04-21;3;964.025;20.391667;30.1;24.866667;22;78.083333;44;6.2;.6875;
2008-04-22;0;963.408333;17.916667;31.5;24.925;18.8;68.041667;37;6.2;.845833;
2008-04-23;0;962.325;19.795833;31;25.645833;21.7;71.041667;49;4.4;.654167;
2008-04-24;0;960.845833;19.7625;34.8;26.508333;21;70.083333;28;4.3;.720833;
2008-04-25;0;960.6875;20.35;32.8;27.0875;23.1;68.208333;39;5.8;.65;
2008-04-26;11.8;960.8625;21.45;31.8;26.258333;22.7;76.125;49;5.1;.554167;
2008-04-27;.2;961.6375;20.9625;31.4;26.066667;23.1;74.916667;45;3.4;.4125;
2008-04-28;0;961.633333;20.141667;30.8;25.829167;22.2;71.75;51;4.2;.629167;
2008-04-29;0;961.9125;19.895833;32;26.4625;22.7;68.75;41;5.2;.604167;
2008-04-30;0;961.529167;17.566667;31.7;26.145833;22.6;62.25;31;6.6;1.008333;
2008-05-01;0;962.186957;17.491304;31.4;25.491304;21.5;63.173913;36;8.3;1.334783;
2008-05-02;0;963.0875;19.366667;26.5;23.9375;22;75.875;54;6.1;1.3375;
2008-05-03;14.2;963.283333;20.845833;29;23.308333;21;87.041667;57;4.7;.954167;
2008-05-04;7.4;963.620833;19.908333;29.5;23.916667;19.6;80.166667;51;4.6;.529167;
2008-05-05;0;963.566667;18.458333;32.6;24.745833;18.8;71.208333;34;3.3;.708333;
2008-05-06;0;961.854167;19.145833;33.8;25.2625;18.1;70.875;37;3.8;.8375;
2008-05-07;0;961.395833;19.441667;33.6;25.9625;19.6;69.291667;38;9.8;.7125;
2008-05-08;2.8;963.1;21.175;28.4;24.145833;20.7;83.75;63;7.5;.825;
2008-05-09;4;963.3375;20.75;27.1;23.575;21.1;84.75;63;4.7;.420833;
2008-05-10;.6;964.825;20.508333;25.7;22.820833;21.5;87.125;71;7.6;.9875;
2008-05-11;.6;966.066667;18.6;28.9;23.666667;20.2;75.291667;48;6.9;1.116667;
2008-05-12;2.8;967.045833;18.291667;27.7;23.35;20.2;74.708333;50;7.1;1.383333;
2008-05-13;.4;967.329167;18.154167;25.2;22.391667;19;77.625;60;6.2;1.1125;
2008-05-14;0;966.458333;17.979167;29.4;23.145833;18.1;74.5;47;4.8;.608333;
2008-05-15;0;966.675;18.654167;29.1;23.279167;17.9;76.416667;50;4.2;.4375;
2008-05-16;0;966.041667;19.558333;29.8;24.658333;21.4;74.625;49;4.2;.5625;
2008-05-17;.2;966.625;18.933333;29.6;24.779167;21;71.458333;47;8.1;1.379167;
2008-05-18;0;966.904167;18.304167;26.6;23.945833;21.5;71.333333;56;8.7;2.15;
2008-05-19;0;965.5375;17.320833;30.3;25.2;21.8;63.875;38;7.1;1.075;
2008-05-20;0;964.9625;17.7375;28.8;24.316667;21.7;68.583333;43;7.3;1.275;
2008-05-21;0;964.395833;15.7375;29.2;22.85;17.7;66.916667;34;6.4;.9125;
2008-05-22;0;965.058333;16.158333;29.4;23.279167;17.6;66.291667;37;5.8;.733333;
2008-05-23;0;964.204167;18.083333;31.1;24.433333;20.4;69.666667;41;5.3;.525;
2008-05-24;0;964.083333;17.575;31;23.904167;17.5;69.916667;31;3.8;.6875;
2008-05-25;0;963.483333;18.658333;30.3;23.9625;18.8;73.875;47;3.8;.5125;
2008-05-26;0;963.804167;18.879167;31;25.5625;22.2;68.208333;43;5.4;.733333;
2008-05-27;0;964.370833;17.420833;30;24.558333;19.9;66.25;40;7.3;1.025;
2008-05-28;0;964.795833;16.891667;30.7;24.658333;20.3;63.75;38;8.9;1.420833;
2008-05-29;0;964.770833;16.279167;31.4;23.4625;16.3;66.125;38;8.9;.9;
2008-05-30;1;966.170833;19.945833;27.9;23.616667;20.8;80.541667;60;7.7;1.1;
2008-05-31;.6;966.995833;18.241667;30.4;24.329167;20;72.041667;39;7.5;1.091667;
2008-06-01;0;967.313043;17.782609;28.6;24.147826;21;69;45;8.4;1.421739;
2008-06-02;0;966.95;16.1625;30.1;23.375;15.9;66.708333;37;8.7;1.108333;
2008-06-03;0;966.3125;16.033333;30.6;23.5;16.3;66.458333;34;7;.854167;
2008-06-04;0;966.616667;17.608333;29.7;24.2;19.3;68.291667;43;5.4;.808333;
2008-06-05;0;967.0625;17.579167;29.9;24.583333;20.9;66.958333;41;7.9;1.033333;
2008-06-06;1;967.754545;18.554545;27.2;23.622727;19.6;74.045455;57;6.8;1.304545;
2008-06-07;0;967.091667;18.675;28.8;23.8;19.7;74.666667;49;7.5;1.370833;
2008-06-08;.4;966.816667;20.091667;28.3;22.983333;20.8;84.541667;58;9.8;1.55;
2008-06-09;23.6;966.954167;19.725;27.6;22.691667;20.4;84.375;56;11.4;1.895833;
2008-06-10;.2;966.733333;17.9375;28.8;22.133333;17.2;79.083333;50;5.7;.770833;
2008-06-11;0;965.970833;16.025;29.7;23.895833;19;66.291667;27;8.6;1.045833;
2008-06-12;2.4;966.95;18.933333;23.7;20.416667;18.1;91.166667;69;7.3;1.095833;
2008-06-13;18.6;966.6;17.895833;28.8;22.525;17.8;77.875;47;5.7;.7125;
2008-06-14;7.8;965.4;19.75;27.4;22.2375;19.5;86.541667;61;7.1;.908333;
2008-06-15;2.6;966.2625;17.375;29.2;22.983333;18.4;73.291667;41;5.2;.475;
2008-06-16;0;966.2;16.85;30;22.125;14.7;74.458333;44;4.7;.858333;
2008-06-17;0;966.758333;17.225;29.4;23.004167;17.6;72.416667;42;7.9;1.208333;
2008-06-18;0;966.208333;19.245833;27.8;22.475;20;82.666667;60;7.8;1.904167;
2008-06-19;9.2;966.283333;17.6875;28;21.9;18.4;79.125;48;7.9;1.041667;
2008-06-20;0;965.975;16.8375;28.4;21.979167;17.6;74.875;46;5.7;.9125;
2008-06-21;0;965.1875;17.258333;27.3;21.666667;16.8;77.208333;54;5.7;.591667;
2008-06-22;0;965.058333;16.583333;29.5;22.275;17.1;73.333333;39;3.6;.504167;
2008-06-23;0;966.470833;18.004167;27.9;21.941667;16.9;79.416667;56;5.4;.816667;
2008-06-24;3;967.904167;18.966667;28.1;22.954167;20;80.291667;49;8.3;.983333;
