Nome: GUANAMBI
Codigo Estacao: A426
Latitude: -14.20805555
Longitude: -42.74972221
Altitude: 552.23
Situacao: Operante
Data Inicial: 2008-04-23
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-04-23;null;null;null;null;null;null;null;null;null;null;
2008-04-24;null;null;null;null;null;null;47;31;6.9;null;
2008-04-25;0;947.9375;18.908333;31.6;26.008333;22.1;66.375;43;6.8;1.5875;
2008-04-26;4.4;948.075;19.6625;31.2;25.041667;21.3;73.625;47;8.6;1.570833;
2008-04-27;.8;949.083333;19.866667;31.3;24.9;21.3;75.083333;46;7;1.995833;
2008-04-28;0;948.516667;18.204167;31.5;25.533333;21.4;66.291667;34;9.1;2.5625;
2008-04-29;0;948.779167;17.933333;31.7;26.079167;22.4;62.416667;37;10.1;2.766667;
2008-04-30;0;948.4875;16.8125;32.2;25.904167;21.2;59.291667;33;8.2;2.329167;
2008-05-01;0;949.165217;16;30.8;25.382609;21.1;57.73913;34;12.2;3.76087;
2008-05-02;0;950.325;17.029167;28.5;23.841667;20.7;66.625;46;12.5;3.95;
2008-05-03;0;950.020833;17.95;29.9;25.0875;21.1;65.666667;47;10.6;3.025;
2008-05-04;0;949.908333;17.3;32.7;26.704167;21.2;58.291667;36;7;1.966667;
2008-05-05;0;950.270833;14.741667;33.6;26.583333;20.6;51.75;24;6.9;1.9375;
2008-05-06;0;949.025;15.370833;33;26.095833;18.4;53.125;35;7.7;1.691667;
2008-05-07;0;949.083333;15.491667;33.7;27.05;20.8;52.125;29;6.4;1.895833;
2008-05-08;0;949.354167;15.858333;32.7;26.404167;21.5;54.666667;30;9.4;2.345833;
2008-05-09;0;949.516667;15.529167;30.9;25.016667;20.7;57.375;32;10.1;2.658333;
2008-05-10;0;951.195833;14.629167;30.2;24.858333;21;55.041667;32;12.6;3.808333;
2008-05-11;0;952.758333;13.529167;29.7;24.4;20.2;52.083333;33;13.6;4.25;
2008-05-12;0;953.791667;12.983333;29;23.495833;19.5;53.666667;32;13.1;4.091667;
2008-05-13;0;953.704167;13.341667;28.4;22.695833;18.6;56.791667;36;14.5;4.766667;
2008-05-14;0;953.0375;13.316667;29;23.55;19.5;53.875;34;9.9;3.125;
2008-05-15;0;953.15;14.866667;29.8;24.175;19.7;57.375;36;8.7;3.483333;
2008-05-16;0;952.741667;16.241667;30.8;24.825;19.9;61.041667;35;10.5;2.666667;
2008-05-17;0;953.166667;15.354167;30.5;24.920833;20.7;56.583333;36;12.3;3.933333;
2008-05-18;0;953.75;15.354167;27.7;23.320833;20;61.416667;46;14.3;4.9875;
2008-05-19;0;952.720833;13.854167;30.1;24.158333;19.8;54.125;33;9.1;2.754167;
2008-05-20;0;951.8375;12.85;30.6;24.0375;19;51.791667;26;13;3.1625;
2008-05-21;0;951.070833;12.025;29.7;23.754167;19.5;49.875;26;13.3;3.029167;
2008-05-22;0;951.683333;11.195833;31.5;24.566667;19.7;44.958333;25;11.3;2.4375;
2008-05-23;0;950.875;12.629167;31.4;25.616667;20.3;45.958333;28;8.8;2.404167;
2008-05-24;0;950.479167;12.708333;32;25.991667;21.1;45.25;27;7.6;2.270833;
2008-05-25;0;949.441667;13.741667;31.8;25.791667;20.4;49;30;7.7;2.191667;
2008-05-26;0;950.254167;14.7625;31.6;26.2375;21.6;50.375;33;6.9;2.15;
2008-05-27;0;950.795833;15.258333;31.7;26.320833;22.1;52.166667;32;10.6;3.4375;
2008-05-28;0;951.4125;14.404167;30.1;24.975;20.9;52.708333;37;14;4.2375;
2008-05-29;0;951.466667;13.875;30.7;24.620833;19;52.625;32;10.8;3.583333;
2008-05-30;0;952.454167;14.4625;31.7;25.508333;20.5;52.791667;29;10.3;3.05;
2008-05-31;0;953.595833;13.466667;30.6;25.095833;20.5;51.5;26;14.2;3.695833;
2008-06-01;0;954.552174;14.526087;27.8;23.173913;19.8;59.391304;37;12.3;4.104348;
2008-06-02;0;954.504167;15.316667;26.8;22.041667;18.3;66.583333;46;9.5;3.566667;
2008-06-03;0;953.9125;16.383333;27.8;22.520833;19;69.625;47;10.7;3.7625;
2008-06-04;0;953.491304;15.4;29.1;23.352174;19.3;63;38;12.3;4.313043;
2008-06-05;0;953.954167;14.8625;30;23.945833;19.6;58.625;35;11.3;3.3375;
2008-06-06;0;954.108696;14.83913;29.6;24.395652;20.2;56.521739;36;14.8;5.326087;
2008-06-07;0;953.866667;14.591667;30.2;24.433333;20.4;56.583333;32;12.5;3.858333;
2008-06-08;0;953.816667;15.008333;28.8;24.0125;20.3;58.541667;40;11.8;3.6625;
2008-06-09;0;953.741667;13.470833;30.1;24.316667;20.8;53.958333;29;13.2;4.2375;
2008-06-10;0;953.6125;11.404167;27.9;22.3125;17.8;52.958333;28;10.3;3.566667;
2008-06-11;0;952.758333;9.791667;30.4;23.245833;16.9;47.458333;19;10.6;3.345833;
2008-06-12;0;953.8375;13.720833;28.8;22.9;17.5;57.208333;34;11.3;3.45;
2008-06-13;0;953.316667;12.558333;29.5;23.354167;19.3;54.416667;21;12;3.604167;
2008-06-14;0;952.1;14;28;22.458333;18.6;59.625;42;11.9;3.733333;
2008-06-15;0;952.516667;11.904167;30.1;23.833333;18.9;50.083333;25;9.4;2.991667;
2008-06-16;0;952.7875;9.458333;31.6;23.741667;16;43;22;7.9;1.841667;
2008-06-17;0;953.241667;12.729167;29.5;23.516667;19.2;51.958333;31;16.1;5.6375;
2008-06-18;0;953.291667;14.9;27.8;22.545833;19.3;63.083333;44;13.2;4.445833;
2008-06-19;0;952.870833;13.804167;28.4;22.5625;18.7;59.75;33;13.3;4.575;
2008-06-20;0;952.466667;13.045833;29;22.841667;18;56.541667;31;11.7;2.908333;
2008-06-21;0;951.5375;13.0875;28.8;22.875;18.1;56.416667;32;8.7;2.820833;
2008-06-22;0;951.245833;12.429167;30.4;23.9125;18.7;52.375;25;10.1;2.933333;
2008-06-23;0;952.633333;12.554167;29.9;24.05;18.8;50.083333;34;11.2;3.258333;
2008-06-24;0;954.3375;13.8625;28.9;24.108333;20.7;53.666667;38;13.2;4.858333;
2008-06-25;0;954.020833;14.541667;28.5;23.058333;19.7;60.291667;39;10.7;3.825;
2008-06-26;0;954.05;13.625;27.8;22.983333;19;57.5;37;14.5;3.979167;
2008-06-27;0;955.820833;13.154167;27.5;22.541667;18.6;56.166667;40;16.7;5.008333;
2008-06-28;0;956.875;13.295833;28.3;22.729167;19;56.583333;36;12.6;4.516667;
2008-06-29;0;956.141667;12.416667;28.1;22.120833;18;56.125;33;14.5;4.333333;
2008-06-30;0;955.4;12.541667;28.7;22.666667;18;54.416667;32;10.2;3.666667;
2008-07-01;0;955.4125;15.2;28.5;23.004167;19.2;63.583333;38;12.5;3.904167;
2008-07-02;0;955.641667;13.379167;28.7;22.9375;19.3;57.041667;33;13.4;5.1875;
2008-07-03;0;954.920833;13.0875;28.1;22.504167;18.4;57.291667;33;12.2;3.925;
2008-07-04;0;953.2125;12.616667;29.8;23.404167;18.7;54.208333;26;9.5;3.491667;
2008-07-05;0;953.604167;13.041667;30;23.758333;18.5;53.958333;28;11.3;3.6;
2008-07-06;0;955.229167;13.129167;28.6;23.020833;18.7;55.416667;32;14.2;5.429167;
2008-07-07;0;956.091667;12.5375;25.8;21.2375;17.6;58.541667;40;15.1;4.3875;
2008-07-08;0;955.079167;9.8875;27.3;20.916667;16.4;51.666667;27;13.7;4.108333;
2008-07-09;0;954.429167;8.316667;27.8;21.520833;16.5;44.208333;26;14.6;4.529167;
2008-07-10;0;955.591667;13.058333;28.4;22.220833;17.7;57.541667;38;16;5.745833;
2008-07-11;0;957.4625;13.458333;27.1;22.0875;18.9;59.666667;37;13.8;4.658333;
2008-07-12;0;956.5625;11.0375;27.4;21.845833;17.8;52.458333;32;14.7;4.745833;
2008-07-13;0;954.879167;7.5875;28.4;21.816667;16.5;42.5;20;12.5;5.133333;
2008-07-14;0;955.395833;11.9625;26.4;20.533333;15.5;58.875;40;10.7;3.4125;
2008-07-15;0;956.870833;10.875;27.8;21.529167;16;54.125;28;14.8;4.429167;
2008-07-16;0;957.170833;11.779167;28.6;21.358333;16.4;56.791667;30;13;4.545833;
2008-07-17;0;955.175;10.358333;27.6;21.2375;15.4;53.291667;27;12.4;3.420833;
2008-07-18;0;953.854167;10.654167;30.8;23.208333;17.2;48.541667;23;11.4;2.758333;
2008-07-19;0;953.845833;10.129167;31.3;23.779167;18.3;45.125;19;9.3;3.2625;
2008-07-20;0;954.3875;10.029167;29.2;22.858333;17.3;47.708333;21;11.3;4.083333;
2008-07-21;0;955.070833;8.95;28.6;22.125;16.6;44.833333;25;10.5;4.1625;
2008-07-22;0;954.766667;10.4625;29.7;22.9875;16.9;47.083333;27;11.8;4.475;
2008-07-23;0;953.883333;11.829167;30;23.2125;17.6;52.5;25;10.9;3.333333;
2008-07-24;0;953.0125;10.304167;30.2;23.354167;17.2;47.25;23;8.6;2.745833;
2008-07-25;0;953.154167;7.641667;31.1;24.025;18.4;38.625;15;9.2;3.166667;
2008-07-26;0;953.595833;7.616667;31.5;24.8;19.1;36.166667;16;13.8;4.058333;
2008-07-27;0;956.254167;12.125;28.2;22.716667;18.8;52.833333;30;13.8;4.991667;
2008-07-28;0;956.375;12.7;28.2;22.4375;18.4;56.75;30;13.6;4.670833;
2008-07-29;0;955.004167;10.058333;28.4;22.266667;17.2;48.125;26;14.8;4.7875;
2008-07-30;0;953.179167;11.7375;29.3;22.875;17.8;51.708333;29;16.3;5.5875;
2008-07-31;0;952.395833;9.6125;30.3;24.025;18.4;42.875;23;14.1;4.895833;
2008-08-01;0;952.420833;11.5125;28.9;23.375;18.4;50.083333;28;14.1;5.754167;
2008-08-02;0;951.6625;8.304167;31.4;24.470833;19;38.291667;19;12.4;3.191667;
2008-08-03;0;950.604167;9.616667;32.7;25.491667;18.9;41;18;7.3;1.879167;
2008-08-04;0;949.675;6.1875;35.9;26.725;17.8;29.416667;13;8.4;2.120833;
2008-08-05;0;951.816667;13.3;32.5;26.929167;22.2;45.125;25;14.9;5.291667;
