Nome: PORTO SEGURO
Codigo Estacao: A427
Latitude: -16.38888888
Longitude: -39.18249999
Altitude: 86.36
Situacao: Pane
Data Inicial: 2008-07-09
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-07-09;null;null;null;null;null;null;null;null;null;null;
2008-07-10;null;null;null;null;null;null;null;null;null;null;
2008-07-11;null;null;null;null;null;null;81.076923;63;8.7;null;
2008-07-12;.8;1011.558333;16.975;25.6;20.741667;17.5;80.708333;50;10.9;2.025;
2008-07-13;0;1009.95;17.066667;24.6;19.941667;16.9;84.25;60;11;1.970833;
2008-07-14;9.4;1010.129167;18.041667;25.3;20.466667;18.1;86.625;59;8;1.854167;
2008-07-15;.4;1012.254167;17.4875;25.2;20.329167;17.6;84.833333;58;8.2;1.845833;
2008-07-16;12;1012.7125;16.908333;25.1;20.329167;18.1;82.583333;52;10.2;1.775;
2008-07-17;0;1010.575;16.029167;24.4;18.516667;14.4;86.375;62;5.8;1.025;
2008-07-18;0;1009;16.2125;27.3;19.204167;14.3;85.041667;47;6.1;1.070833;
2008-07-19;0;1009.266667;16.808333;27.1;19.545833;13.7;85.75;56;7.5;1.0875;
2008-07-20;0;1010.333333;15.2;26.5;19.666667;14.9;79.333333;39;7.3;.9125;
2008-07-21;0;1010.916667;14.504167;26.3;18.675;12.7;79.791667;43;6.6;.875;
2008-07-22;0;1010.8875;16.983333;24.7;18.554167;14;91.125;59;5.3;.95;
2008-07-23;8.8;1009.025;17.954167;26.6;20.908333;16.6;84.708333;59;6.9;1.225;
2008-07-24;0;1007.920833;16.7125;26.9;20.0625;14.9;83.208333;51;6.3;1.154167;
2008-07-25;0;1008.3;15.720833;26.9;19.166667;13.6;82.791667;52;6.4;.920833;
2008-07-26;0;1009.7875;15.920833;26.2;19.225;12.9;83.208333;53;6.1;1.154167;
2008-07-27;21.2;1012.245833;18.079167;23.9;20.558333;19;86.458333;66;8.4;1.845833;
