Nome: SENHOR DO BONFIM
Codigo Estacao: A428
Latitude: -10.44305555
Longitude: -40.14833333
Altitude: 532.09
Situacao: Operante
Data Inicial: 2008-03-26
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-03-26;null;null;null;null;null;null;null;null;null;null;
2008-03-27;null;null;null;null;null;null;null;null;null;null;
2008-03-28;null;null;null;null;null;null;null;52;8.9;null;
2008-03-29;null;949.991667;20.183333;30.3;24.533333;20.8;78.75;43;6.9;2.141667;
2008-03-30;32.4;949.791667;20.529167;27.8;23.679167;20.8;83.5;59;6.9;1.2625;
2008-03-31;3.6;949.595833;21.291667;27.5;22.670833;21.8;92.208333;65;10.9;1.833333;
2008-04-01;55.8;949.895833;20.7125;25.3;21.975;20.4;92.708333;75;8.9;2.366667;
2008-04-02;30.8;949.95;20.679167;24.7;21.766667;20.4;93.833333;80;6.4;1.791667;
2008-04-03;4;949.8875;20.583333;27.9;23.679167;21;83.583333;60;6.9;1.895833;
2008-04-04;1.8;949.866667;21.341667;28.3;23.491667;21.9;88.083333;65;10.5;1.291667;
2008-04-05;6.6;949.808333;21.208333;29.3;24.820833;21.5;81.291667;61;5.1;1.441667;
2008-04-06;.2;950.45;20.825;30.6;25.658333;22;75.75;48;5.6;1.295833;
2008-04-07;0;951.1;20.729167;28.7;24.55;22.1;80;60;8.8;2.716667;
2008-04-08;1.4;952.233333;19.766667;28.9;24.2125;20.4;77.666667;48;8;2.325;
2008-04-09;0;952.479167;19.591667;29.2;24.625;20.9;75.166667;47;7.2;2.295833;
2008-04-10;.2;950.5;20.216667;29.2;24.504167;21.3;78.416667;52;7.9;2.808333;
2008-04-11;0;949.1125;19.358333;29.4;24.154167;21.2;76.291667;47;7.4;2.145833;
2008-04-12;0;949.233333;19.729167;29.5;24.2875;20.3;77.208333;51;5.6;1.6125;
2008-04-13;0;949.854167;19.929167;29.1;24.775;21.3;75.625;53;6.8;1.9125;
2008-04-14;0;950.466667;19.6875;30.7;25.133333;21.2;73.208333;48;5.3;1.608333;
2008-04-15;8.4;950.8375;20.154167;29.5;24.829167;20.9;76.916667;50;5.7;1.316667;
2008-04-16;0;952.3125;20.2625;29.7;25.0375;21.8;76.083333;51;10.3;2.529167;
2008-04-17;0;953.158333;19.929167;28.8;24.133333;20.5;78.583333;53;8.7;3.170833;
2008-04-18;.2;952.533333;20.216667;28.1;23.158333;20.7;84.333333;57;9.8;2.766667;
2008-04-19;.6;952.054167;18.258333;28.2;23.675;20.1;74.208333;45;10.5;2.516667;
2008-04-20;0;952.358333;19.804167;27.4;22.945833;20.4;82.916667;60;9.9;2.741667;
2008-04-21;.2;952.808333;19.391667;27.8;23.75;20.8;78.041667;54;7.8;2.275;
2008-04-22;0;952.391667;18.45;28.4;23.675;19.4;74.041667;51;9;2.9;
2008-04-23;0;951.270833;20.270833;28.7;24.166667;21.3;79.75;56;6.8;2.070833;
2008-04-24;0;950.5125;19.425;29.5;24.504167;20;74.166667;53;4.8;1.225;
2008-04-25;0;949.975;19.416667;30.6;24.966667;20.5;72.625;49;5.2;1.375;
2008-04-26;0;950.208333;18.058333;30.3;24.8;20.4;68.375;40;5.8;1.5;
2008-04-27;0;950.870833;16.204167;29;23.708333;18.7;65.333333;40;7.4;2.433333;
2008-04-28;0;950.429167;18.475;30.1;25.025;20.5;68.541667;39;7.2;1.991667;
2008-04-29;10.8;950.920833;20.558333;28.1;23.85;21.3;82.333333;60;9.3;2.716667;
2008-04-30;0;950.5625;19.933333;29.1;24.4;21.5;78;49;7.4;2.5625;
2008-05-01;.2;950.913043;18.830435;29.7;24.817391;21.4;72.043478;41;9.1;3.121739;
2008-05-02;.2;951.329167;20.004167;27;23.279167;20.7;82.375;66;12.7;3.529167;
2008-05-03;12.6;951.925;19.416667;28;23.420833;20.3;80;51;7.3;2.133333;
2008-05-04;0;952.633333;18.945833;28.4;23.741667;20.4;76.291667;50;7.5;2.1875;
2008-05-05;0;952.783333;16.85;28.5;23.145833;18.2;70.25;42;8.1;1.995833;
2008-05-06;0;951.541667;17.483333;30.4;24.425;20;66.75;42;4.8;1.204167;
2008-05-07;0;950.641667;17.783333;32.4;25.545833;19;64.583333;36;6.4;1.833333;
2008-05-08;.4;951.825;20.666667;27.3;23.3;20.6;85.625;65;8.3;2.708333;
2008-05-09;.2;952.216667;19.6;24.8;22.041667;20.5;86.5;71;6.6;2.491667;
2008-05-10;.2;953.679167;19.229167;24.5;20.95;19.6;90.125;71;11;2.708333;
2008-05-11;1.4;954.9625;18.883333;23.6;20.6625;18.9;89.75;77;10.4;3.1;
2008-05-12;3.6;955.683333;18.725;24.7;20.808333;19.1;88.583333;66;12.2;4.070833;
