Nome: QUEIMADAS
Codigo Estacao: A436
Latitude: -10.98472221
Longitude: -39.61694443
Altitude: 310.11
Situacao: Operante
Data Inicial: 2008-05-22
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-05-22;null;null;null;null;null;null;null;null;null;null;
2008-05-23;null;null;null;null;null;null;null;45;8.4;null;
2008-05-24;null;978.5375;20.3875;25.2;22.354167;21.1;88.875;72;8.1;1.745833;
2008-05-25;41.4;977.758333;19.8125;30;23.275;19.4;82.5;50;11.3;1.970833;
2008-05-26;0;978.266667;18.9;30.3;23.3375;18.8;79.041667;40;8.8;2.108333;
2008-05-27;0;978.616667;18.441667;30.6;23.908333;18.8;75.375;36;9.5;2.620833;
2008-05-28;.2;978.854167;18.2375;29.9;24.204167;20.3;72.083333;38;10.5;3.6625;
2008-05-29;0;978.7;18.791667;29.3;23.570833;19.8;76.208333;45;12.5;2.9375;
2008-05-30;0;979.791667;17.991667;30.8;24.158333;19.6;71.875;35;10.5;3.095833;
2008-05-31;0;981.095833;18.625;29.6;22.745833;18.9;79.25;51;16.1;3.2125;
2008-06-01;.6;981.095455;16.25;30.5;23.359091;18.4;68.909091;30;13.5;2.972727;
2008-06-02;0;980.720833;16.795833;29.6;23.041667;17.2;70.416667;42;9.7;3.175;
2008-06-03;0;980.695833;19.504167;25.6;22.0625;20.9;85.75;66;10.9;1.9125;
2008-06-04;19.4;980.76087;18.369565;29.4;22.956522;18.7;78.217391;44;9.6;2.056522;
2008-06-05;0;981.358333;18.745833;28.3;23.233333;18.7;77.75;55;8.2;2.3375;
2008-06-06;1.8;981.165217;18.96087;30.4;23.804348;20.2;76.304348;39;11.9;3.86087;
2008-06-07;1;980.758333;18.233333;29.4;24.066667;20.7;72.625;41;12;4.120833;
2008-06-08;.4;980.141667;19.1125;30;23.595833;20.1;77.625;46;13.7;3.825;
2008-06-09;1.2;980.45;17.170833;30.5;24.191667;20.3;69.166667;33;13.7;4.170833;
2008-06-10;1.6;980.516667;18.641667;26.5;22.016667;19;81.875;60;11.6;2.320833;
2008-06-11;0;979.975;16.391667;30.2;23.058333;16.4;69.708333;37;8.5;2.233333;
2008-06-12;.2;980.345833;18.579167;29.6;24.016667;21.3;73.041667;45;10.7;2.95;
2008-06-13;.4;980.441667;17.979167;26.8;21.466667;17.6;81.5;57;8.1;2.275;
2008-06-14;.6;979.15;16.05;30.4;23.4375;17.9;68.458333;30;11.8;2.845833;
2008-06-15;0;980.066667;15.883333;30.1;23.0875;17.3;66.791667;37;7.4;2.129167;
2008-06-16;0;980.270833;17.225;31.4;25.225;21.1;63.458333;36;8.6;2.5875;
2008-06-17;0;980.491667;15.325;30.6;25.1625;21.1;58.25;28;10.4;3.941667;
2008-06-18;0;980.016667;16.520833;26.8;22.929167;19.8;68.541667;49;8.5;2.979167;
2008-06-19;3;980.095833;16.475;28;21.570833;15.4;74.583333;48;7.8;2.2125;
2008-06-20;0;979.629167;15.870833;30.6;23.654167;18.2;64.666667;36;8.9;2.729167;
2008-06-21;0;978.775;16.233333;31.1;24.116667;19.5;65.083333;30;10.5;3;
2008-06-22;0;978.754167;15.779167;31.2;24.070833;18.7;63.541667;29;9.5;2.120833;
2008-06-23;3.2;980.495833;20.020833;25.2;22.158333;20.3;87.833333;62;10.7;2.8375;
2008-06-24;27.4;981.983333;19.8;24.7;21.5625;20.2;90;75;9.3;1.745833;
