Nome: IPIAU
Codigo Estacao: A445
Latitude: -14.17138888
Longitude: -39.69249999
Altitude: 132.11
Situacao: Pane
Data Inicial: 2009-06-29
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2009-06-29;null;null;null;null;null;null;null;null;null;null;
2009-06-30;null;null;null;null;null;null;null;53;5.3;null;
2009-07-01;null;1001.104167;19.166667;30;23.05;19.7;81.375;44;5.3;.845833;
2009-07-02;0;1001.566667;18.975;29.8;22.466667;17.6;83;47;4.8;.970833;
2009-07-03;0;1002.1125;19.025;29;22.058333;17.7;85.041667;52;6.9;.9125;
2009-07-04;0;1002.291667;18.5875;30.1;22.2375;18.3;82.291667;47;6.9;1.379167;
2009-07-05;0;1003.6375;17.65;28.9;21.366667;16.9;82.208333;45;8.1;1.383333;
2009-07-06;.6;1004.329167;17.875;28.7;21.329167;16.9;82.791667;49;8.6;1.354167;
2009-07-07;.6;1003.9875;18.620833;24.3;19.629167;16.8;94.25;71;7.5;1.470833;
2009-07-08;26.4;1003.9875;19.375;23.3;20.275;18.4;94.666667;85;6.8;1.220833;
2009-07-09;24.6;1003.629167;19.6625;27.3;21.6875;19.4;89.208333;60;7.2;1.383333;
2009-07-10;6.2;1002.683333;19.641667;23;20.466667;18.1;95.25;87;6.2;1.204167;
2009-07-11;18;1001.433333;20.395833;28.3;22.279167;18.8;89.958333;61;8.2;1.170833;
2009-07-12;0;1001.283333;19.95;30;23.125;19.8;84.625;49;4.5;1.1375;
2009-07-13;0;1002.983333;19.795833;29.5;23.158333;19.1;83.5;51;6.9;1.208333;
2009-07-14;3;1004.541667;20.295833;28.1;22.654167;20.3;87.5;59;8;1.15;
2009-07-15;.4;1004.004167;19.95;28.1;21.916667;19.3;89.5;60;8.4;1.020833;
2009-07-16;14.4;1005.091667;19.904167;24.9;21.220833;19.8;92.458333;78;7;1.395833;
2009-07-17;9.2;1005.4125;20.075;25.2;21.029167;18.9;94.458333;76;7;1.475;
2009-07-18;4.4;1003.925;18.654167;28.3;22.225;18.2;82.458333;45;5.4;.970833;
2009-07-19;0;1000.970833;19.533333;27.3;22.258333;19.1;85.833333;58;4.3;.933333;
2009-07-20;0;1000.808333;19.175;28.9;21.7;17.3;87.208333;57;3.8;.966667;
2009-07-21;0;1001.995833;19.975;28.4;22.729167;19.3;85.708333;56;7;1.225;
2009-07-22;0;1002.166667;19.329167;29.5;22.983333;18.8;82.291667;47;5.6;1.0125;
2009-07-23;0;1000.983333;19.879167;28.1;22.1375;18.8;88.125;61;6.5;.991667;
2009-07-24;0;1001.2625;19.770833;28.8;22;18.5;88.5;59;7.4;.9875;
2009-07-25;1.4;1003.145833;19.733333;28;22.375;18.8;86.208333;57;7.8;1.1875;
2009-07-26;1;1004.079167;18.45;28.7;21.391667;17.9;85.166667;48;4.8;1.008333;
2009-07-27;0;1003.2125;19.291667;29.8;22.975;19.2;81.75;49;5.7;1.175;
2009-07-28;6.4;1002.65;19.895833;28.7;23.279167;21;82.75;53;7.5;1.454167;
2009-07-29;0;1002.8875;17.995833;27.8;20.45;15.6;87.541667;57;5.8;1.016667;
2009-07-30;.2;1003.458333;18.8375;29.1;21.866667;18.1;85.125;50;5.4;1.045833;
2009-07-31;0;1004.654167;19.195833;33.2;22.829167;18.3;81.791667;39;7.5;1.541667;
2009-08-01;3.4;1004.270833;20.591667;26.4;22.25;20.2;90.541667;72;8.3;1.491667;
2009-08-02;6.6;1004.454167;20.079167;26.6;22.154167;19;88.75;66;8;1.383333;
2009-08-03;.8;1005.0625;19.254167;28;22.020833;18.7;86;51;6.8;1.133333;
2009-08-04;.2;1003.933333;18.5875;28.3;21.308333;18;86.208333;50;7.3;1.15;
2009-08-05;0;1003.341667;18.0125;28.4;21.683333;16.8;81.75;50;8;1.5625;
2009-08-06;4;1003.2875;18.883333;29.5;22.9625;18.8;79.875;45;5.6;1.083333;
2009-08-07;0;1004.045833;18.704167;28.8;22.416667;18.4;81.916667;46;5.7;1.0125;
2009-08-08;2.2;1005.1625;19.104167;28;21.908333;19.7;85.208333;50;9.2;1.429167;
2009-08-09;2;1004.270833;19.054167;26.5;21.179167;17.5;88.25;67;8.5;1.0875;
2009-08-10;0;1003.454167;18.441667;28.5;21.266667;17.9;85.791667;48;8.1;1.354167;
2009-08-11;0;1003.304167;17.775;29.7;21.579167;15.8;81.458333;45;7.6;1.425;
2009-08-12;.2;1005.433333;17.15;28.5;21.2375;16.8;80.791667;45;9.6;1.579167;
2009-08-13;.2;1005.395833;17.895833;27;20.691667;16.5;85.166667;56;6.3;1.145833;
2009-08-14;2.8;1003.483333;17.754167;27;20.5375;16.9;85.583333;52;10;1.554167;
2009-08-15;1.4;1002.891667;17.8375;26.4;20.495833;16.1;85.958333;58;7.8;1.466667;
2009-08-16;11.6;1003.7875;18.6625;25.3;20.679167;17.5;88.958333;65;8.7;1.075;
2009-08-17;7.2;1002.833333;19.0875;24.9;20.566667;17.9;91.666667;69;10.2;1;
2009-08-18;7;1001.1875;18.745833;28.4;22.141667;18.4;83.291667;48;5.3;.816667;
2009-08-19;0;999.5875;19.904167;27.9;22.729167;19.5;85.166667;61;5.8;1.058333;
2009-08-20;1;999.1;19.395833;30.4;22.741667;17.7;83.916667;51;6;1.216667;
2009-08-21;0;997.933333;20.283333;31.1;24.325;19.2;80.791667;48;7;1.5125;
2009-08-22;0;999.5;21.125;27.9;23.016667;22.2;89.541667;65;10.4;1.541667;
2009-08-23;25.4;1001.816667;20.170833;26.7;21.7375;19.5;91.25;68;5.6;1.570833;
2009-08-24;13.6;1001.775;20.433333;27.2;22.391667;20.1;89.25;67;7;1.145833;
2009-08-25;3.6;1001.641667;18.6;28.3;22.895833;18.9;79.166667;48;5.9;1.241667;
2009-08-26;.2;1002.2375;17.658333;28.6;21.579167;16.8;81.125;45;8.4;1.65;
2009-08-27;.4;1003.720833;17.679167;28.8;21.3875;16.3;81.75;50;6.9;1.441667;
2009-08-28;.2;1003.5;18.070833;29.2;22.35;17.8;79.583333;40;6.2;1.208333;
2009-08-29;0;1003.175;19.133333;27.8;22.295833;18.1;83.458333;61;8.7;1.295833;
2009-08-30;2;1003.379167;18.654167;26.5;21.995833;18.9;82.333333;58;6.6;1.408333;
2009-08-31;4.2;1003.583333;18.220833;25.9;21.166667;18;83.958333;63;6.6;1.425;
2009-09-01;2.8;1003.583333;19.220833;27.5;21.1375;18;89.333333;63;8.5;.75;
2009-09-02;1.6;1003.129167;18.741667;29;21.783333;17.5;84.791667;53;6.3;1.229167;
2009-09-03;.2;1002.529167;18.866667;30.1;22.420833;17.4;82.708333;48;7.3;1.0875;
2009-09-04;.2;1001.579167;20.5375;30.5;24.0125;19.5;82.541667;53;7;1.383333;
2009-09-05;0;1001.070833;20.291667;31.2;24.108333;18.9;81.416667;48;7.3;1.558333;
2009-09-06;.2;1002.283333;19.804167;29.8;23.033333;18.2;83.708333;54;7.9;1.333333;
2009-09-07;0;1001.3125;20.154167;30.9;24.241667;20.1;79.625;50;8.2;1.5125;
2009-09-08;0;1000.821739;19.882609;29.6;22.934783;18.4;84.608696;52;8;1.086957;
2009-09-09;.2;1002.416667;19.3375;29.1;23.025;18.6;81.666667;51;9.8;1.6875;
2009-09-10;3.4;1004.829167;19.729167;28;22.716667;19.9;84.166667;54;9;2.0125;
2009-09-11;3.6;1005.058333;20.433333;25.4;21.870833;20;91.708333;78;10.9;1.483333;
2009-09-12;18.8;1003.866667;19.1375;27.3;22.345833;19.3;83.333333;59;9;1.466667;
2009-09-13;.6;1003.166667;18.2875;28.9;21.966667;17.5;81.5;53;8.9;1.625;
2009-09-14;.2;1002.9125;17.883333;29.5;22.104167;17.2;80.125;41;7.6;1.095833;
2009-09-15;0;1002.470833;18.679167;31.1;22.9375;16.9;79.458333;43;6.6;1.133333;
2009-09-16;.4;1001.691667;19.65;30;23.4125;18.6;81.291667;50;6.9;1.4375;
2009-09-17;.2;1000.6;19.129167;30.7;23.320833;18.3;80.416667;39;8.2;1.3375;
2009-09-18;0;1000.083333;19.166667;30.5;23.333333;18;80.125;48;8.2;1.366667;
2009-09-19;0;1000.491667;18.5375;31.5;23.679167;17.7;76.625;39;7.2;1.254167;
2009-09-20;0;1000.095833;18.291667;32;23.941667;17.2;75.208333;37;6.8;1.354167;
2009-09-21;0;999.05;20.908333;32.3;25.0625;19.5;79.833333;49;7.7;1.420833;
2009-09-22;2;998.8375;21.170833;31.2;25.370833;22.1;79.708333;50;8.4;1.7375;
2009-09-23;0;998.7875;19.595833;32;24.925;19;76;38;7.1;1.779167;
2009-09-24;0;997.954167;19.85;32.6;25.0375;19.6;75.583333;43;7.7;1.683333;
2009-09-25;0;999.925;20.620833;30.2;24.133333;20.7;81.666667;54;6.1;1.083333;
2009-09-26;0;1002.425;20.791667;26.9;22.833333;19.3;88.875;68;7.7;.958333;
2009-09-27;13.4;1002.045833;19.5375;30.8;24.4125;20.3;77.125;44;7.1;1.4;
2009-09-28;0;1002.758333;18.783333;31.6;23.291667;17;79.083333;41;6.6;1.0875;
2009-09-29;0;1000.558333;18.570833;34.7;25.004167;18.1;73.25;29;6.5;1.329167;
2009-09-30;.2;1000.979167;19.575;31.8;24;18.1;79.166667;42;8;1.3625;
2009-10-01;1.2;1002.8375;21.041667;26.4;23.004167;21.4;89.041667;70;8.3;1.408333;
