Nome: CURACA
Codigo Estacao: A448
Latitude: -9.00138888
Longitude: -39.9125
Altitude: 370
Situacao: Operante
Data Inicial: 2015-08-19
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2015-08-19;null;null;null;null;null;null;null;null;null;null;
2015-08-20;null;null;null;null;null;null;null;22;8.6;null;
2015-08-21;null;973.25;13.795833;34.8;27.529167;20;48.833333;16;12.5;2.979167;
2015-08-22;0;972.566667;14.229167;34.2;26.970833;21;49.041667;23;10.5;3.929167;
2015-08-23;0;972.583333;13.829167;32.3;26.304167;20.8;48.791667;27;11.7;3.833333;
2015-08-24;0;972.395833;11.679167;34;26.491667;19.7;44.5;18;9.5;3.016667;
2015-08-25;0;972.8875;13.320833;33.4;26.991667;20.3;45.791667;25;11.7;2.675;
2015-08-26;0;973.1;15.154167;34.5;28.229167;23.1;48.166667;26;10.2;3.016667;
2015-08-27;0;972.5875;15.479167;34;27.979167;22.2;49.5;27;9.1;3.354167;
2015-08-28;0;973.483333;13.279167;33.8;27.445833;20.8;44.5;23;12.4;3.970833;
2015-08-29;0;975.075;12.2375;33.9;26.995833;19.8;44.5;18;12.1;3.416667;
2015-08-30;0;975.695833;13.729167;33.1;26.5875;21.3;48.541667;24;13.5;4.045833;
2015-08-31;0;975.266667;12.591667;32.6;25.8375;20.1;47.208333;20;12.3;4.0375;
2015-09-01;0;974.395833;13.75;33.5;26.166667;19.4;50.375;24;16.1;3.025;
2015-09-02;0;973.525;11.183333;34.4;27.016667;19.9;42.625;15;8.3;2.920833;
2015-09-03;0;973.966667;13.4;33.4;26.920833;21.1;46.75;24;11.4;3.3125;
2015-09-04;0;973.725;13.645833;34.9;27.641667;21.4;46.666667;19;10.4;2.975;
2015-09-05;0;972.779167;11.375;36.7;28.733333;21.1;39.666667;12;9.3;2.5;
2015-09-06;0;972.608333;10.295833;36.7;29.170833;21.6;35.333333;13;11.4;3.454167;
2015-09-07;0;972.845833;11.441667;34.3;27.483333;19.9;41.541667;16;10.8;3.620833;
2015-09-08;0;971.966667;10.9625;34.8;27.583333;21;39.625;17;10;3.291667;
2015-09-09;0;971.891667;13.604167;35.1;28.375;21.9;43.958333;20;10;3.933333;
2015-09-10;0;972.383333;13.9375;33.6;27.691667;21.7;45.916667;24;11;4.066667;
2015-09-11;0;972.204167;12.3125;34.4;27.408333;20.4;42.291667;19;12;2.75;
2015-09-12;0;972.483333;12.525;36;28.466667;21.7;42.208333;15;9.3;2.8125;
2015-09-13;0;972.833333;13.454167;35.2;28.5875;22.3;43.458333;20;12.4;3.354167;
2015-09-14;0;974.254167;13.083333;33.7;27.295833;21.7;45.5;20;10.5;3.333333;
2015-09-15;0;974.8125;15.795833;32.8;27.420833;22.5;51.541667;24;13.4;4.479167;
2015-09-16;0;974.641667;14.866667;32.4;25.75;19.7;53.5;28;12.2;4.270833;
2015-09-17;0;973.716667;15.3625;33.1;26.354167;21.4;54.083333;25;12.5;4.175;
2015-09-18;0;973.791667;16.1875;33.1;25.908333;21.1;56.791667;30;12.4;3.6;
