Nome: JEREMOABO
Codigo Estacao: A450
Latitude: -10.08083332
Longitude: -38.34583333
Altitude: 261
Situacao: Operante
Data Inicial: 2015-08-12
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2015-08-12;null;null;null;null;null;null;null;null;null;null;
2015-08-13;null;null;null;null;null;null;null;null;null;null;
2015-08-14;null;null;null;null;null;null;null;null;null;null;
2015-08-15;null;null;null;null;null;null;null;null;null;null;
2015-08-16;null;null;null;null;null;null;null;null;null;null;
2015-08-17;null;null;null;null;null;null;null;null;null;null;
2015-08-18;null;null;null;null;null;null;null;41;10.7;null;
2015-08-19;2;986.2375;18.854167;28.4;22.6375;20.1;80.375;55;11.5;2.879167;
2015-08-20;.6;985.391667;18.441667;30;23.608333;19.1;75.208333;43;9.1;1.970833;
2015-08-21;0;985.904167;17.920833;30.6;23.475;18.6;74;38;8.1;1.891667;
2015-08-22;0;985.1625;17.7;30.9;24.1875;20.4;70;39;10.4;2.820833;
2015-08-23;0;984.891667;16.9125;30.2;23.491667;19.1;69.166667;37;9.6;2.55;
2015-08-24;0;984.795833;15.383333;30.3;23.4375;18;64.625;32;9;1.808333;
2015-08-25;0;985.3625;17.333333;32.1;24.458333;18.1;67.75;33;8.7;2.341667;
2015-08-26;0;985.554167;18.425;32.6;26.016667;21;67.166667;32;8.7;3.25;
2015-08-27;0;985.295833;17.504167;31.5;25.108333;21;66.125;34;9.7;2.720833;
2015-08-28;0;986.433333;16.225;31.5;23.958333;17.6;65.958333;32;10.2;2.595833;
2015-08-29;0;987.841667;16.979167;31.8;24.591667;19.6;66.5;30;16.2;2.858333;
2015-08-30;0;988.375;16.975;31.2;24.754167;21;65.625;31;12.9;3.291667;
2015-08-31;0;987.716667;15.920833;30;23.529167;18.1;65.833333;35;13.8;3.116667;
