Nome: FORMOSO DO RIO PRETO
Codigo Estacao: A452
Latitude: -11.05222222
Longitude: -45.20083333
Altitude: 488
Situacao: Operante
Data Inicial: 2016-06-01
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2016-06-01;null;null;null;null;null;null;null;null;null;null;
2016-06-02;null;null;null;null;null;null;null;null;null;null;
2016-06-03;null;null;null;null;null;null;null;22;2.6;null;
2016-06-04;null;957.566667;14.327273;35.6;23.433333;14.9;65.636364;21;6.4;.995833;
2016-06-05;0;957.5625;14.825;34.7;23.6875;15;63.125;29;7.1;1.108333;
2016-06-06;0;958.070833;17.347826;35.3;24.629167;16.6;69.434783;31;8.3;1.0875;
2016-06-07;0;958.279167;18.243478;35.4;25.6125;18.5;68.26087;33;4.8;1.016667;
2016-06-08;0;958.395833;18.3;35.7;26.229167;19.2;66.833333;30;6.3;.825;
2016-06-09;0;959.35;17.422727;34.8;25.529167;17.9;66.454545;33;7.2;1.1875;
2016-06-10;0;960.325;18.652174;34.4;25.804167;19.1;70.130435;33;6;1.066667;
2016-06-11;0;961.05;null;35.1;26.129167;19.3;null;53;5.3;1.133333;
2016-06-12;0;961.9;null;34.3;25.204167;19.5;null;null;6.7;1.05;
2016-06-13;0;962.5875;null;32.6;24.904167;19.2;null;null;7.5;1.1625;
2016-06-14;0;963.525;null;31.4;24.6125;17.8;null;null;9.1;1.8875;
2016-06-15;0;964.4;null;31.2;23.954167;16;null;null;9.3;1.9875;
2016-06-16;0;962.875;null;32.1;22.529167;14.7;null;null;7.5;1.179167;
2016-06-17;0;961.25;null;31.7;22.575;15.9;null;null;8;1.270833;
2016-06-18;0;961.083333;null;32.3;23.0375;15.9;null;null;6.8;1.2;
2016-06-19;0;961.091667;null;32.6;23.454167;16.8;null;null;7.8;1.275;
2016-06-20;0;960.466667;null;32.4;22.591667;15.4;null;null;8;1.366667;
2016-06-21;0;961.441667;null;31.5;22.045833;14.7;null;64;8.5;1.5125;
2016-06-22;0;961.870833;13.2125;31.2;21.1375;11.9;65.25;33;9.9;1.433333;
2016-06-23;0;961.416667;14.566667;32.5;22.433333;14.4;65.333333;31;6.9;1.170833;
2016-06-24;0;960.841667;14.143478;32.4;22.433333;14.1;65.26087;28;8.4;1.170833;
2016-06-25;0;961.445833;13.470833;30.4;22.295833;14.4;61.166667;34;10.2;2.066667;
2016-06-26;0;962.441667;14.6;30.3;22.266667;15.1;65;37;11.3;1.8625;
2016-06-27;0;963.45;13.879167;29.7;22.225;15;62.625;35;10.1;1.7875;
2016-06-28;0;963.179167;12.675;30.1;20.341667;12.6;66.25;28;10.8;1.6375;
2016-06-29;0;962.9375;12.420833;29.5;20.045833;11.8;65.5;34;10.7;1.879167;
2016-06-30;0;962.066667;12.866667;30.8;21.029167;12;64.625;29;10;1.841667;
2016-07-01;0;962.220833;13.854167;30.5;21.866667;13.4;64.166667;34;9.4;1.6375;
2016-07-02;0;962.508333;13.629167;30.5;21.595833;12.5;64.75;35;11;1.845833;
2016-07-03;0;962.695833;13.8125;30.8;21.604167;13.2;65.833333;33;9.8;1.458333;
2016-07-04;0;962.675;14.6625;30.6;21.7375;14;67.666667;37;10;1.720833;
2016-07-05;0;962.254167;14.041667;30.7;21.833333;13.7;65.875;32;11.7;1.683333;
2016-07-06;0;961.895833;14.633333;31.3;22.1125;14.7;66.375;31;7.2;1.308333;
2016-07-07;0;961.370833;12.852174;33.3;21.725;12.4;63.869565;25;7.8;1.008333;
2016-07-08;0;961.6875;11.925;34.5;22.345833;12.6;59.041667;20;11.7;.783333;
2016-07-09;0;961.279167;12.045833;34.4;22.054167;12.3;59.375;22;6.7;1.083333;
2016-07-10;0;961.129167;13.129167;33;22.225;13.5;60.666667;27;7.8;1.166667;
2016-07-11;0;960.116667;13.754167;32.7;22.720833;14.6;61.833333;26;7.3;1.283333;
2016-07-12;0;959.604167;12.479167;32.7;21.6;12.5;61.875;25;6.3;1.029167;
2016-07-13;0;959.633333;12.441667;33.4;22.029167;12.4;60.5;25;7.5;1.091667;
2016-07-14;0;959.008333;12.466667;33.7;22.070833;12.7;60.833333;23;7.3;1.120833;
2016-07-15;0;958.604167;11.975;33;21.733333;12.4;59.875;23;8;1.216667;
2016-07-16;0;958.708333;10.934783;33.4;21.220833;11.6;59.173913;22;7.9;.929167;
2016-07-17;0;958.554167;10.016667;35.7;21.770833;11;55.208333;16;5.8;.8375;
2016-07-18;0;958.6875;10.020833;36.3;22.3375;11.6;53.75;15;5.2;.6875;
2016-07-19;0;959.945833;11.041667;35.1;22.8875;14;52.541667;19;9.6;1.125;
2016-07-20;0;960.066667;12.825;33.3;22.654167;13.9;57.916667;25;7.5;1.508333;
2016-07-21;0;960.004167;13.141667;34;23.004167;14.1;59.125;26;6.5;1.116667;
2016-07-22;0;959.533333;13.566667;34;23.629167;14.7;58.166667;26;7.7;1.308333;
2016-07-23;0;960.425;12.875;32;22.966667;15.1;57.791667;27;9.3;1.516667;
2016-07-24;0;961.65;12.613043;30.8;22.1125;14.2;58.913043;29;9.8;1.841667;
2016-07-25;0;960.408333;12.241667;31.6;21.391667;12.1;61.041667;26;10;1.716667;
2016-07-26;0;960.8875;13.170833;30.3;21.020833;12.9;64.541667;34;8.9;1.595833;
2016-07-27;0;961.095833;12.229167;30.6;22.408333;16.2;56.541667;26;8.4;1.729167;
2016-07-28;0;960.1625;10.769565;31.8;20.708333;11.5;58.913043;26;9;1.4625;
2016-07-29;0;960.5375;11.108333;31.6;21.3125;11.9;57.625;25;12.1;1.608333;
2016-07-30;0;961.3375;11.225;30.2;21.458333;13.2;56.333333;27;11.3;1.866667;
2016-07-31;0;961.241667;11.365217;29.9;21.120833;12.1;58.782609;31;12.1;2.15;
2016-08-01;0;961.2125;12.516667;30.6;22.045833;13.2;58.958333;28;9.6;1.629167;
2016-08-02;0;961.425;12.6375;32;22.1375;13.3;59.25;29;8.8;1.545833;
2016-08-03;0;961.075;13.125;32.1;21.983333;13.5;61.208333;30;9.4;1.5375;
2016-08-04;0;961.3;12.6;32.1;22.1375;13.5;59.625;28;8.9;1.520833;
2016-08-05;0;961.733333;11.445833;31.1;21.920833;12.4;56.583333;25;11;1.7375;
2016-08-06;0;961.741667;12.2;31.5;21.5625;13.1;60.26087;27;9.5;1.3125;
2016-08-07;0;961.4375;11.283333;33.3;21.833333;11.4;57;23;6.1;1.079167;
2016-08-08;0;960.108333;11.426087;34.1;22.445833;12.2;56.695652;22;7.4;1.175;
2016-08-09;0;960.3875;10.908333;34.7;22.908333;12.1;52.958333;21;7.6;1.154167;
2016-08-10;0;959.6375;10.654167;36.1;23.233333;13;51.958333;17;7;1.058333;
2016-08-11;0;958.108333;9.956522;37.3;23.741667;13.5;49.304348;15;6.9;.954167;
2016-08-12;0;957.679167;11.795833;36.9;25.995833;16.6;44.416667;19;7.7;1.2625;
2016-08-13;0;958.445833;13.620833;34.1;24.783333;17.1;53.25;27;8.4;1.441667;
2016-08-14;0;958.6125;13.721739;35.1;24.429167;15.7;56.173913;24;10.5;1.341667;
2016-08-15;0;957.854167;13.479167;35;24.358333;15.6;55.958333;23;7;.991667;
2016-08-16;0;957.520833;13.121739;37.2;25.358333;15.7;54.391304;19;7.1;.933333;
2016-08-17;0;958.1625;13.721739;38;25.816667;16.6;53.521739;19;8.8;1.108333;
2016-08-18;0;957.979167;14.152174;37;26.316667;17.4;51.826087;20;7.4;1.3125;
2016-08-19;0;957.883333;13.579167;34.9;25.791667;16.8;51.916667;23;9.8;1.691667;
2016-08-20;0;958.945833;13.195833;35.5;25.995833;16.3;50.166667;19;8.2;1.579167;
2016-08-21;0;958.7125;11.029167;37.2;24.5125;13.6;49;17;8.9;.991667;
2016-08-22;0;958.5125;11.595652;37.5;25.958333;16.4;46.652174;17;6.3;1.066667;
2016-08-23;0;958.754167;11.729167;35.4;24.716667;15.7;49.166667;21;10.1;1.5875;
2016-08-24;0;960.208333;14.8;33.8;26.0875;19.3;51.958333;31;9.6;2.195833;
2016-08-25;0;960.8;16.595833;32.3;25.445833;18.5;60.75;36;10.6;2.420833;
2016-08-26;0;959.533333;14.754167;33.1;25.5625;19.2;53.708333;31;9.5;1.995833;
2016-08-27;0;958.945833;14.604348;33.7;24.875;16.1;56.913043;27;9.9;1.691667;
2016-08-28;0;959.670833;15.995652;31.5;26.0625;22.5;55.347826;37;9.2;2.304167;
2016-08-29;0;959.770833;11.879167;33.5;24.745833;15.1;48.25;21;9.5;1.904167;
2016-08-30;0;959.1375;12.7;35.2;24.3375;15.2;52.541667;23;8.6;1.354167;
2016-08-31;0;958.95;13.95;34.8;25.129167;17.4;53.208333;26;10.4;1.783333;
2016-09-01;0;959.079167;13.630435;35.8;26.758333;17.6;48.478261;21;10.8;1.966667;
2016-09-02;0;959.8625;12.652174;33.3;25.9;17.8;47.304348;23;9.4;2.1375;
2016-09-03;0;959.979167;11.920833;32.7;25.8875;19.6;45.583333;16;11.3;2.195833;
2016-09-04;0;960.3;13.275;32.9;25.933333;19;47.833333;26;9.1;2.133333;
2016-09-05;0;960.195833;13.034783;33.6;25.025;16.6;51.521739;23;9.3;1.729167;
2016-09-06;0;960.1875;13.3375;35.7;26.016667;18.8;49;21;8.7;1.404167;
2016-09-07;0;959.325;13.145833;35.9;25.966667;18.1;49;21;8.9;1.445833;
2016-09-08;0;958.216667;12.408333;36.6;25.716667;16;49.375;19;9.8;1.1875;
2016-09-09;0;958.8875;10.8375;35.9;24.9375;15.6;48;13;8;1.45;
2016-09-10;0;961.329167;10.45;33.8;23.4625;14.3;47.916667;19;9.9;1.916667;
2016-09-11;0;960.445833;9.85;33.7;25.2625;16.8;40.833333;18;9.2;2.058333;
2016-09-12;0;958.116667;11.654167;35.9;24.958333;15.5;47;23;8.5;1.45;
2016-09-13;0;957.933333;13.979167;35.6;25.8625;18;51;26;9.3;1.541667;
2016-09-14;0;958.320833;12.066667;37.1;25.804167;16.8;48.291667;17;9.1;1.458333;
2016-09-15;0;957.454167;11.804167;37.2;25.7125;15.7;46.458333;19;8.1;1.425;
2016-09-16;0;957.370833;11.722727;38.4;26.3;15.7;47.681818;15;6.8;1.291667;
2016-09-17;0;957.666667;12.591667;37.2;26.366667;17.9;46.208333;20;8.3;1.191667;
2016-09-18;0;958.179167;13.116667;36.3;25.791667;16.3;49.583333;22;9.1;1.491667;
2016-09-19;0;957.691667;11.7875;37.1;26.395833;16.7;45.708333;17;9.1;1.345833;
2016-09-20;0;956.658333;9.845455;38.1;25.520833;14.7;44.727273;13;6.8;.883333;
2016-09-21;0;955.908333;11.525;39.2;26.945833;16.7;42.583333;17;8.9;1.183333;
2016-09-22;0;956.575;15.208696;36.9;28.2375;19.9;48.913043;23;9.4;1.770833;
2016-09-23;0;959.75;16.545833;33.9;27.5375;20.5;53.541667;31;8.2;1.341667;
2016-09-24;0;959.066667;17.15;36.3;27.845833;21.5;57.541667;26;6.9;1.366667;
2016-09-25;1;957.258333;19.3;35.5;26.779167;22.4;68.26087;31;7.2;1.358333;
2016-09-26;7.4;958.066667;21.1125;28.7;23.745833;22.1;86.416667;55;5.8;.9625;
2016-09-27;4.8;958.625;20.895833;29.1;23.829167;21.6;84.916667;56;6.2;1.120833;
2016-09-28;2;959.033333;20.95;32.5;24.666667;22;81.791667;43;10.1;1.458333;
2016-09-29;9.6;957.2375;19.778261;34;25.7375;20.3;73.086957;36;5.7;1.083333;
2016-09-30;.2;955.920833;17.926087;34.2;27.008333;20.4;63.391304;24;7.4;1.554167;
2016-10-01;0;957.116667;18.461905;35.2;27.195833;20.8;66.52381;29;8.2;1.225;
2016-10-02;0;956.454167;17.195;36.5;29.054167;23.9;52;25;10.7;1.85;
2016-10-03;0;956.295833;16.013043;35.6;27.566667;19.6;54.347826;24;9.5;1.875;
2016-10-04;0;955.125;15.404167;37.1;27.916667;19;50.208333;23;8;1.595833;
2016-10-05;0;955.970833;18.613043;33.4;27.179167;24;61.347826;33;8.3;1.5875;
2016-10-06;.4;954.029167;19.845455;33.3;25.625;21.8;73.045455;41;12.7;1.5;
2016-10-07;0;954.591667;20.434783;32.5;24.816667;21.9;78.304348;42;7.3;.991667;
2016-10-08;21.4;955.845833;21.091667;30.5;24.645833;21.8;81.541667;53;9.4;1.25;
2016-10-09;0;957.8;19.904348;33.3;25.8125;21.7;72.434783;39;10.1;1.7125;
2016-10-10;.2;957.341667;17.691667;35.9;28.008333;20.5;60.208333;24;8.8;1.716667;
2016-10-11;0;957.604167;14.85;34.2;27.083333;18.2;50.125;24;10.7;2.1625;
2016-10-12;0;958.0625;14.43913;33.7;27.4625;21.6;47.043478;25;13;2.6625;
2016-10-13;0;958.483333;13.565217;34.4;27.395833;19.8;47.217391;21;12.6;2.795833;
2016-10-14;0;959.375;15.608696;35;27.195833;20.3;52.304348;28;8.4;1.7375;
